Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-07-30,88.1,91.49,91.49,85.16,86.39,73628,6403748.44,1281
2024-07-31,86.39,88.65,88.65,82.5,83.06,59827,5019807.2,1438
2024-08-01,83.06,84.72,87.19,80.53,81.63,70854,5903920.95,1429
2024-08-02,81.63,78.3,83.73,77.99,79.35,61977,4925955.9,1343
2024-08-05,79.35,75.38,82.8,75.38,76.39,85603,6659745.07,1746
2024-08-06,76.39,79.49,79.49,73.1,74.22,43054,3300154.41,1232
2024-08-07,74.22,75.56,77.93,75.12,77.93,25700,1968687.62,592
2024-08-08,77.93,81.81,81.81,74.5,74.89,113198,8676246.01,2109
2024-08-09,74.89,74.65,76.0,71.14,71.84,101915,7440207.68,2222
2024-08-12,71.84,75.0,75.43,69.0,72.96,172547,12516150.59,2595
2024-08-13,72.96,73.89,73.89,70.03,71.05,61646,4401559.13,2238
2024-08-14,71.05,72.45,72.45,69.0,69.24,26485,1845361.86,986
2024-08-16,69.24,69.3,70.86,66.01,69.16,55269,3760739.17,2108
2024-08-19,69.16,71.99,72.61,66.99,72.61,75703,5440588.06,1756
2024-08-20,72.61,76.22,76.24,69.99,75.11,211886,15632706.67,2610
2024-08-21,75.11,77.2,78.86,75.12,78.86,125457,9782915.89,1726
2024-08-22,78.86,81.5,82.8,76.01,78.32,119971,9669830.11,1622
2024-08-23,78.32,80.0,80.77,75.16,75.58,93257,7200086.76,2336
2024-08-26,75.58,77.95,78.0,71.91,72.18,149333,10976803.46,2374
2024-08-27,72.18,73.3,73.74,71.1,71.68,91668,6642854.56,1623
2024-08-28,71.68,71.71,72.9,70.9,70.99,55241,3980820.42,1662
2024-08-29,70.99,71.0,72.94,69.51,69.95,62052,4394331.34,1397
2024-08-30,69.95,72.34,72.34,67.31,69.61,96073,6669699.48,2602
2024-09-02,69.61,71.0,73.09,70.13,73.09,75987,5535897.41,600
2024-09-03,73.09,76.74,76.74,76.74,76.74,81846,6280862.04,192
2024-09-04,76.74,76.71,78.68,73.1,77.62,133598,10178473.66,3217
2024-09-05,77.62,78.9,81.5,74.51,81.5,619495,47806712.29,2028
2024-09-06,81.5,85.57,85.57,85.57,85.57,75759,6482697.63,181
2024-09-09,85.57,89.84,89.84,89.84,89.84,39082,3511126.88,157
2024-09-10,89.84,94.33,94.33,94.33,94.33,89496,8442157.68,168
2024-09-11,94.33,99.04,99.04,99.04,99.04,78251,7749979.04,146
2024-09-12,99.04,103.99,103.99,103.99,103.99,23064,2398425.36,128
2024-09-13,103.99,109.18,109.18,109.18,109.18,28292,3088920.56,168
2024-09-16,109.18,114.63,114.63,114.63,114.63,44606,5113185.78,140
2024-09-17,114.63,120.36,120.36,120.36,120.36,43816,5273693.76,158
2024-09-18,120.36,126.37,126.37,126.37,126.37,80066,10117940.42,169
2024-09-19,126.37,132.68,132.68,126.06,132.68,1739273,229971815.5,5482
2024-09-20,132.68,139.31,139.31,139.31,139.31,52675,7338154.25,181
2024-09-23,139.31,146.27,146.27,146.27,146.27,117502,17187017.54,122
2024-09-24,146.27,153.58,153.58,149.22,153.58,580192,88863148.57,1052
2024-09-25,153.58,161.25,161.25,147.15,161.25,2778375,441473152.95,16297
2024-09-26,161.25,166.0,166.39,153.18,153.18,1237583,194276179.6,9592
2024-09-27,153.18,145.52,145.52,145.52,145.52,57264,8333057.28,616
2024-09-30,145.52,139.35,141.27,138.24,138.24,106463,14801814.22,739
2024-10-01,138.24,131.32,131.32,131.32,131.32,31225,4100467.0,470
2024-10-03,131.32,124.75,137.88,124.75,137.88,2440179,323195810.96,5412
2024-10-04,137.88,144.77,144.77,139.94,144.77,322573,46530918.37,1173
2024-10-07,144.77,149.39,150.0,137.53,137.53,475931,66896164.49,1955
2024-10-08,137.53,130.65,143.8,130.65,130.65,478633,63863988.97,2045
2024-10-09,130.65,130.0,132.95,126.1,128.13,132811,17203652.63,1424
2024-10-10,128.13,132.95,134.53,132.8,134.52,266013,35741370.44,1548
2024-10-11,134.52,136.5,136.5,127.79,134.44,148034,19499471.46,1231
2024-10-14,134.44,130.59,131.47,127.71,127.72,216408,27714966.17,1079
2024-10-15,127.72,126.9,128.95,121.33,127.56,211629,25935983.98,1538
2024-10-16,127.56,124.1,126.5,122.25,123.65,101096,12557600.66,744
2024-10-17,123.65,124.89,129.83,119.55,129.83,277656,35272813.56,878
2024-10-18,129.83,131.5,136.32,128.0,136.32,160896,21626088.06,530
2024-10-21,136.32,143.13,143.13,143.13,143.13,37833,5415037.29,194
2024-10-22,143.13,150.28,150.28,143.0,150.28,581875,87131933.97,2089
2024-10-23,150.28,144.0,150.28,142.76,142.76,265501,38885011.22,888
2024-10-24,142.76,137.0,142.0,135.62,135.62,119466,16237922.28,635
2024-10-25,135.62,131.01,141.21,128.83,128.83,140406,18637971.89,702
2024-10-28,128.83,123.5,132.4,122.38,126.83,179146,22607050.25,967
2024-10-29,126.83,128.4,132.0,122.2,128.21,101364,12876655.45,911
2024-10-30,128.21,128.21,133.8,124.55,127.83,79097,10176980.83,537
2024-10-31,127.83,130.75,134.0,127.83,133.63,92160,12208610.6,813
2024-11-01,133.63,139.3,139.7,132.05,136.19,56397,7744183.23,616
2024-11-04,136.19,138.0,139.0,130.0,133.82,58178,7760086.44,547
2024-11-05,133.82,133.82,133.82,127.15,132.2,73170,9558831.7,654
2024-11-06,132.2,132.5,138.0,128.1,136.89,56956,7646297.05,589
2024-11-07,136.89,140.0,142.4,132.75,133.2,72217,9880381.51,602
2024-11-08,133.2,135.99,135.99,126.54,128.21,88860,11473918.32,737
2024-11-11,128.21,129.98,130.0,124.14,125.94,51154,6541254.43,484
2024-11-12,125.94,126.0,128.89,122.15,124.6,66499,8256907.86,556
2024-11-13,124.6,118.37,118.37,118.37,118.37,34025,4027539.25,315
2024-11-14,118.37,112.45,117.8,112.45,112.45,110388,12443822.44,699
2024-11-18,112.45,107.0,111.9,106.82,110.0,126672,13747885.85,823
2024-11-19,110.0,115.0,115.5,111.12,115.5,57972,6666770.08,274
2024-11-21,115.5,115.8,116.96,111.9,114.34,74332,8434440.32,444
2024-11-22,114.34,115.95,120.05,112.1,120.05,60974,7114076.0,428
2024-11-25,120.05,124.7,124.7,118.22,120.44,34663,4208379.37,402
2024-11-26,120.44,123.3,126.46,117.1,126.46,46756,5754945.38,427
2024-11-27,126.46,126.46,132.78,123.99,132.78,81989,10678747.99,605
2024-11-28,132.78,134.0,139.35,131.0,133.9,127511,17284556.92,921
2024-11-29,133.9,133.9,137.5,130.0,135.25,56928,7641805.06,623
2024-12-02,135.25,139.4,142.01,138.01,142.01,41161,5804152.09,310
2024-12-03,142.01,143.8,149.11,143.5,149.11,142861,21165911.2,878
2024-12-04,149.11,156.56,156.56,144.3,146.31,213464,32798783.48,1316
2024-12-05,146.31,142.3,149.4,138.99,145.54,169159,23952613.25,960
2024-12-06,145.54,145.47,146.9,139.01,141.7,69801,9973496.16,603
2024-12-09,141.7,142.85,144.95,136.55,143.32,57650,8068162.65,598
2024-12-10,143.32,143.9,143.9,139.05,140.39,49347,6942478.47,435
2024-12-11,140.39,140.39,140.39,135.15,136.78,68078,9314596.92,526
2024-12-12,136.78,134.51,140.5,132.41,135.26,35670,4877333.38,483
2024-12-13,135.26,131.75,138.65,130.0,133.67,35912,4788120.35,417
2024-12-16,133.67,133.01,140.0,128.6,135.21,74680,10165933.49,680
2024-12-17,135.21,138.0,141.75,135.22,140.37,60915,8476776.4,496
2024-12-18,140.37,140.37,147.38,135.1,137.76,73441,10512100.68,495
2024-12-19,137.76,133.5,137.95,131.6,132.19,58254,7754215.74,435
2024-12-20,132.19,133.59,136.0,129.2,132.0,30173,4001172.73,332
2024-12-23,132.0,130.35,135.0,129.1,129.79,21724,2850914.5,295
2024-12-24,129.79,132.45,133.7,130.0,132.69,22864,3020613.96,260
2024-12-26,132.69,134.75,135.0,126.05,128.2,114203,14547593.18,543
2024-12-27,128.2,128.0,128.49,122.1,123.43,73908,9279411.81,457
2024-12-30,123.43,123.39,125.99,121.5,123.54,31584,3900942.34,353
2024-12-31,123.54,123.54,126.78,122.0,125.48,24960,3093074.05,428
2025-01-01,125.48,124.99,127.89,124.03,125.78,41668,5246626.78,704
2025-01-02,125.78,126.89,132.06,126.26,132.06,57626,7477069.88,692
2025-01-03,132.06,138.66,138.66,130.8,133.75,194933,26561601.26,3164
2025-01-06,133.75,132.46,134.09,127.06,127.34,104860,13516026.63,1783
2025-01-07,127.34,126.5,133.7,126.22,129.7,69751,9124153.27,1084
2025-01-08,129.7,129.7,131.91,126.0,128.68,58296,7456421.32,1122
2025-01-09,128.68,126.0,130.34,122.24,126.02,84013,10563468.42,1049
2025-01-10,126.02,128.99,128.99,120.32,122.33,152348,18613412.27,2457
2025-01-13,122.33,118.01,121.21,116.21,116.41,85352,10079330.73,1416
2025-01-14,116.41,118.11,119.95,115.0,117.79,69443,8121792.34,1762
2025-01-15,117.79,120.5,123.67,117.0,123.67,57251,6973393.12,669
2025-01-16,123.67,126.9,129.4,121.99,124.3,84013,10549055.0,1820
2025-01-17,124.3,127.9,129.5,123.11,124.01,73947,9287336.59,1872
2025-01-20,124.01,125.03,126.66,121.11,123.48,62626,7763546.45,1350
2025-01-21,123.48,125.06,127.0,119.95,121.43,58801,7213643.37,1368
2025-01-22,121.43,126.0,126.0,115.35,117.03,73507,8674924.63,1402
2025-01-23,117.03,121.2,121.45,116.0,119.12,54619,6478420.17,1430
2025-01-24,119.12,121.29,121.29,113.16,114.85,48276,5584921.23,927
2025-01-27,114.85,111.35,114.69,109.1,109.1,35324,3895251.25,738
2025-01-28,109.1,114.55,114.55,104.16,111.24,69776,7590990.47,1650
2025-01-29,111.24,115.9,116.8,110.84,116.8,29682,3430216.97,384
2025-01-30,116.8,118.8,122.64,118.49,122.64,50628,6179011.41,325
2025-01-31,122.64,127.49,128.77,122.55,128.77,59281,7508022.0,1014
2025-02-03,127.19,126.99,128.99,121.0,127.48,53142,6653415.09,1131
2025-02-04,127.48,128.0,133.85,126.43,133.85,71079,9410351.25,830
