Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-06-26,13.99,36.4,38.22,35.0,38.22,66883,2486635.24,251
2024-06-27,38.22,40.13,40.13,40.13,40.13,18106,726593.78,106
2024-06-28,40.13,42.13,42.13,42.13,42.13,7743,326212.59,76
2024-07-01,42.13,44.23,44.23,40.88,43.7,167588,7367684.12,593
2024-07-02,43.7,44.5,44.5,41.51,41.51,21686,914497.15,91
2024-07-03,41.51,39.45,39.45,39.43,39.43,4707,185611.11,52
2024-07-04,39.43,37.45,41.4,37.45,38.94,72544,2775615.23,361
2024-07-05,38.94,38.2,39.0,36.99,37.04,59781,2220947.36,281
2024-07-08,37.04,37.0,37.3,35.18,36.81,25131,902418.96,163
2024-07-09,36.81,36.45,38.47,35.0,37.39,32978,1210459.86,253
2024-07-10,37.39,39.99,44.86,39.99,44.86,288728,12782104.18,579
2024-07-11,44.86,48.01,53.83,48.01,53.83,815557,43175704.25,2084
2024-07-12,53.83,54.0,56.7,49.2,51.26,687914,36570739.98,5492
2024-07-15,51.26,50.95,52.0,47.98,48.26,76252,3729347.47,843
2024-07-16,48.26,47.5,47.5,44.5,45.25,73060,3375684.78,787
2024-07-18,45.25,48.0,49.77,45.41,49.77,199824,9705677.96,1293
2024-07-19,49.77,52.8,54.74,50.52,54.71,182559,9726660.35,1704
2024-07-22,54.71,53.99,54.9,50.55,50.9,99944,5277742.74,903
2024-07-23,50.9,51.95,52.0,47.05,48.02,54994,2696222.57,563
2024-07-24,48.02,46.7,52.82,46.7,52.82,75621,3845804.3,774
2024-07-25,52.82,53.8,55.46,51.1,52.45,48377,2575190.27,270
2024-07-26,52.45,52.45,53.85,51.5,52.9,25892,1368136.04,194
2024-07-29,52.9,53.2,53.5,50.25,50.43,40840,2083787.1,151
2024-07-30,50.43,50.43,51.95,49.05,49.61,19960,999090.3,147
2024-07-31,49.61,49.61,51.7,49.0,50.12,28129,1427739.74,128
2024-08-01,50.12,50.12,50.8,49.0,50.33,14372,716333.88,101
2024-08-02,50.33,47.83,51.0,47.81,49.1,11092,550040.23,93
2024-08-05,49.1,47.1,49.0,46.64,47.49,28300,1330994.0,163
2024-08-06,47.49,47.0,49.75,45.35,45.64,14769,678891.5,127
2024-08-07,45.64,45.64,47.0,43.35,43.76,61199,2670554.08,201
2024-08-08,43.76,44.64,44.99,42.01,42.21,20227,868755.53,169
2024-08-09,42.21,44.3,44.3,42.5,43.69,23254,1007844.07,113
2024-08-12,43.69,42.69,45.0,42.0,43.29,10868,463479.22,124
2024-08-13,43.29,43.29,43.29,41.12,41.12,19526,811682.69,148
2024-08-14,41.12,43.0,43.0,39.06,39.06,24418,966906.41,135
2024-08-16,39.06,39.08,41.0,37.1,37.54,82436,3139419.52,322
2024-08-19,37.54,37.5,38.94,37.5,38.85,14951,574121.67,108
2024-08-20,38.85,38.8,40.43,37.9,40.0,27971,1098219.0,162
2024-08-21,40.0,40.0,42.0,40.0,41.97,42878,1797168.38,163
2024-08-22,41.97,40.25,44.06,40.25,44.05,119682,5259261.4,228
2024-08-23,44.05,45.99,46.0,41.85,43.53,9554,415499.57,109
2024-08-26,43.53,44.5,44.5,42.0,43.64,9359,402097.04,112
2024-08-27,43.64,43.45,43.45,42.2,42.78,25227,1083410.1,79
2024-08-28,42.78,41.92,43.0,40.66,41.99,7588,318492.93,92
2024-08-29,41.99,41.0,41.15,40.05,40.53,14237,580010.39,160
2024-08-30,40.53,40.53,41.9,38.6,39.54,4212,168846.73,76
2024-09-02,39.54,40.0,41.51,40.0,41.34,95867,3963057.89,253
2024-09-03,41.34,43.2,43.4,41.34,42.31,57071,2457483.05,176
2024-09-04,42.31,42.0,42.5,40.7,41.98,16183,678839.47,71
2024-09-05,41.98,40.3,42.5,40.1,41.6,6872,286274.33,85
2024-09-06,41.6,41.6,42.0,40.5,41.47,5111,210374.77,89
2024-09-09,41.47,41.25,41.91,39.39,40.06,12405,497413.57,93
2024-09-10,40.06,39.0,41.1,39.0,41.09,7837,317112.93,76
2024-09-11,41.09,41.09,41.1,40.05,40.28,1724,69745.53,37
2024-09-12,40.28,40.31,42.25,40.28,40.7,7650,316366.64,99
2024-09-13,40.7,40.7,42.73,40.3,42.12,13557,568734.51,96
2024-09-16,42.12,41.3,43.84,40.55,41.54,3859,159465.8,62
2024-09-17,41.54,40.01,42.0,39.46,40.41,11245,449982.52,73
2024-09-18,40.41,40.41,41.89,38.8,40.86,12951,521296.2,88
2024-09-19,40.86,40.2,42.9,40.2,42.66,52982,2258053.12,247
2024-09-20,42.66,43.99,44.79,41.1,43.04,28134,1242482.68,154
2024-09-23,43.04,44.0,45.19,41.61,44.63,26491,1162929.52,137
2024-09-24,44.63,44.62,46.86,43.0,45.5,54350,2496684.91,183
2024-09-25,45.5,47.75,47.77,46.06,47.77,39321,1870104.86,137
2024-09-26,47.77,50.15,50.15,48.8,50.13,57178,2854089.89,242
2024-09-27,50.13,50.95,50.95,47.63,47.73,52014,2502761.34,175
2024-09-30,47.73,48.0,50.11,45.5,50.11,36063,1772326.99,146
2024-10-01,50.11,52.61,52.61,50.0,52.47,38418,2007467.2,133
2024-10-03,52.47,50.0,52.5,49.85,51.86,40066,2016182.6,162
2024-10-04,51.86,49.55,51.5,49.26,50.27,27675,1380669.44,79
2024-10-07,50.27,50.5,50.5,47.75,47.75,11042,534986.34,64
2024-10-08,47.75,50.0,50.12,45.75,49.1,10317,494681.35,105
2024-10-09,49.1,47.86,51.0,47.3,48.18,42319,2080592.45,272
2024-10-10,48.18,46.37,50.25,46.37,49.03,14495,709405.09,141
2024-10-11,49.03,49.9,51.48,49.02,51.48,24948,1274549.8,124
2024-10-14,51.48,52.76,54.05,50.1,54.04,53500,2861398.31,330
2024-10-15,54.04,56.54,56.7,54.0,55.74,51122,2851223.54,464
2024-10-16,55.74,56.0,57.0,52.95,53.97,13910,744741.87,83
2024-10-17,53.97,52.63,54.0,51.4,52.86,6002,318933.24,41
2024-10-18,52.86,50.9,53.8,50.3,53.8,819,42831.2,14
2024-10-21,53.8,51.25,53.75,51.11,51.11,5299,273254.96,32
2024-10-22,51.11,48.55,48.55,48.55,48.55,5454,264791.7,18
2024-10-23,48.55,48.5,48.5,46.15,46.15,3377,156767.25,24
2024-10-24,46.15,44.15,44.5,43.85,44.5,2710,120000.0,23
2024-10-25,44.5,43.5,44.5,42.35,42.8,956,40932.3,9
2024-10-28,42.8,42.8,44.66,40.66,41.01,2167,88837.91,19
2024-10-29,41.01,43.0,43.06,39.8,43.06,2341,99112.86,11
2024-10-30,43.06,42.0,45.2,41.5,43.0,1052,45546.18,15
2024-10-31,43.0,42.5,45.1,41.0,42.17,5885,255967.47,49
2024-11-01,42.17,42.17,42.17,41.0,42.17,3879,163460.43,9
2024-11-04,42.17,41.05,44.0,40.1,41.5,1265,52179.7,20
2024-11-05,41.5,41.5,43.5,41.5,42.15,1442,61714.35,19
2024-11-06,42.15,42.15,43.0,41.5,43.0,2356,100805.5,13
2024-11-07,43.0,43.0,44.0,42.0,42.09,1544,66612.5,20
2024-11-08,42.09,42.0,42.15,42.0,42.01,5733,240846.11,14
2024-11-11,42.01,40.25,43.0,40.25,42.0,4141,173781.25,29
2024-11-12,42.0,39.9,44.0,39.9,39.9,3392,135370.55,12
2024-11-13,39.9,37.9,41.89,37.9,40.22,8859,344570.91,22
2024-11-14,40.22,38.26,40.0,38.25,39.51,802,31384.06,12
2024-11-18,39.51,39.5,41.48,37.53,40.45,796,30404.86,12
2024-11-19,40.45,40.0,42.35,38.45,42.02,254,10005.1,7
2024-11-21,42.02,41.95,41.95,39.91,41.95,477,19691.74,8
2024-11-22,41.95,41.0,42.0,39.9,40.25,7491,311805.5,20
2024-11-25,40.25,39.0,40.25,39.0,39.03,3949,154023.5,30
2024-11-26,39.03,39.03,39.03,39.0,39.0,446,17403.0,5
2024-11-27,39.0,37.55,40.95,37.15,40.95,2835,114786.55,13
2024-11-28,40.95,39.0,41.94,38.92,41.94,1430,55998.6,10
2024-11-29,41.94,41.15,41.15,40.1,40.16,797,32061.5,15
2024-12-03,40.16,38.2,40.0,38.2,38.2,4947,191685.4,14
2024-12-04,38.2,38.0,38.0,36.5,38.0,1113,41286.33,20
2024-12-05,38.0,37.0,39.9,37.0,38.99,676,25647.9,13
2024-12-06,38.99,37.5,38.0,37.5,38.0,2114,79327.5,9
2024-12-09,38.0,39.9,39.9,39.0,39.9,15398,604955.2,20
2024-12-10,39.9,41.89,41.89,41.89,41.89,17027,713261.03,24
2024-12-11,41.89,43.98,43.98,43.98,43.98,1090,47938.2,19
2024-12-12,43.98,46.17,46.17,45.5,46.13,46003,2123651.28,139
2024-12-13,46.13,48.4,48.43,44.01,46.75,35889,1699546.03,380
2024-12-16,46.75,48.8,49.08,45.16,47.37,35321,1691333.37,222
2024-12-17,47.37,47.37,47.4,45.61,46.8,15935,743123.99,201
2024-12-18,46.8,46.72,46.72,45.36,45.39,5621,257712.15,78
2024-12-19,45.39,47.5,47.5,43.23,43.83,10904,496265.26,200
2024-12-20,43.83,43.58,45.0,43.25,43.53,9033,394778.6,305
2024-12-23,43.53,45.7,45.7,41.35,42.03,12409,530997.44,141
2024-12-24,42.03,43.16,43.55,41.51,42.4,4944,210466.07,147
2024-12-26,42.4,44.49,44.52,42.05,44.51,54051,2398601.81,114
2024-12-27,44.51,44.99,44.99,42.28,43.12,16353,700957.48,279
2024-12-30,43.12,43.12,43.12,41.04,41.35,3964,164554.36,146
2024-12-31,41.35,41.35,42.94,39.92,41.47,4531,185594.18,132
2025-01-01,41.47,41.99,43.54,41.77,41.89,11475,488071.23,114
2025-01-02,41.89,41.89,42.89,40.74,41.29,7980,331915.43,156
2025-01-03,41.29,42.02,42.96,42.02,42.56,5097,216872.58,58
2025-01-06,42.56,41.8,41.87,40.5,40.65,2146,88760.69,28
2025-01-07,40.65,40.43,42.5,39.5,40.25,11388,459395.49,208
2025-01-08,40.25,40.91,41.25,40.1,40.11,4322,174613.79,65
2025-01-09,40.11,39.41,41.95,39.21,40.82,4655,187209.26,84
2025-01-10,40.82,41.03,41.98,38.77,39.23,9208,364409.41,179
2025-01-13,39.23,41.15,41.15,37.34,39.27,3962,155782.9,97
2025-01-14,39.27,40.06,40.57,37.32,39.92,1584,63115.99,47
2025-01-15,39.92,39.89,39.89,37.92,39.27,5454,208988.72,63
2025-01-16,39.27,41.0,41.0,37.3,37.9,22051,840144.95,142
2025-01-17,37.9,38.14,38.86,37.7,38.23,14106,539382.47,81
2025-01-20,38.23,36.32,37.76,36.32,37.18,7100,263712.08,180
2025-01-21,37.18,37.36,39.0,36.31,37.13,14850,558579.59,169
2025-01-22,37.13,37.04,38.05,36.72,37.2,11731,439553.58,168
2025-01-23,37.2,37.0,37.78,37.0,37.04,1075,39908.53,38
2025-01-24,37.04,37.03,37.03,35.18,35.69,10198,362026.9,165
2025-01-27,35.69,37.35,37.35,33.9,33.92,3709,126667.1,95
2025-01-28,33.92,33.5,33.82,32.25,32.77,2734,89916.23,92
2025-01-29,32.77,33.77,34.4,32.94,34.4,4672,159882.5,84
2025-01-30,34.4,34.12,34.99,33.03,33.04,2227,75898.7,52
2025-01-31,33.04,33.05,34.69,33.04,33.65,5996,200467.87,74
2025-02-03,33.64,34.03,35.0,33.53,34.99,2521,87163.8,180
2025-02-04,34.99,35.87,36.73,34.01,36.73,8467,306475.16,199
2025-02-05,36.73,35.02,37.97,35.02,36.54,3266,120706.14,176
2025-02-06,36.54,36.52,37.93,35.71,36.36,1461,53457.32,165
2025-02-07,36.36,38.81,38.95,36.62,37.34,2553,95950.34,127
2025-02-10,37.34,41.0,41.0,34.8,35.96,2362,87186.05,255
2025-02-11,35.96,36.88,36.88,33.01,35.65,2925,105247.76,46
2025-02-12,35.65,38.9,38.9,33.83,37.19,5783,213615.11,235
2025-02-13,37.19,36.33,39.9,35.3,36.39,17288,647271.61,202
2025-02-14,36.39,36.1,37.39,32.75,33.16,4199,144715.38,249
2025-02-17,33.16,35.57,36.47,35.57,36.31,52112,1893177.41,267
2025-02-18,36.31,36.46,36.46,32.78,33.6,39267,1313460.64,249
2025-02-19,33.6,32.01,36.81,32.0,36.29,3600,128495.0,59
2025-02-20,36.29,37.0,37.0,35.0,36.39,3112,112878.43,61
2025-02-21,36.39,36.36,36.61,35.3,35.5,522,18500.3,49
2025-02-24,35.5,36.39,36.39,33.0,33.91,2048,68999.78,33
2025-02-25,33.91,33.91,35.0,32.41,33.71,17801,599569.98,33
2025-02-27,33.71,33.5,36.8,33.5,33.72,12740,436263.66,117
2025-02-28,33.72,33.05,35.1,32.28,33.25,8264,275214.73,101
2025-03-03,33.25,34.95,35.99,32.04,33.27,3884,130784.65,51
2025-03-04,33.27,33.26,35.65,33.26,34.56,3717,128439.31,19
2025-03-05,34.56,38.0,38.01,33.01,37.02,15051,555374.89,126
2025-03-06,37.02,37.25,39.17,35.12,37.91,11433,429346.91,797
2025-03-07,37.91,37.99,39.93,37.99,38.33,12437,483561.76,203
2025-03-10,38.33,41.35,41.35,35.13,36.61,4231,163934.84,74
2025-03-11,36.61,37.25,39.95,35.05,35.79,11416,433767.25,342
2025-03-12,35.79,36.0,36.54,34.22,34.25,5576,194705.73,151
2025-03-13,34.25,37.6,37.6,35.0,36.61,8429,308006.79,128
2025-03-17,36.61,37.53,37.53,33.02,34.24,14291,495979.65,80
2025-03-18,34.24,36.18,37.12,33.71,36.17,9165,323944.63,217
2025-03-19,36.17,36.95,37.08,34.8,36.25,5092,184563.43,99
2025-03-20,36.25,39.85,39.85,36.8,37.15,2135,79847.26,58
2025-03-21,37.15,37.24,38.99,37.24,38.56,3654,137201.71,59
2025-03-24,38.56,38.01,40.55,38.01,38.37,1466,57534.59,50
2025-03-25,38.37,38.37,40.8,36.0,37.69,15230,566810.74,157
2025-03-26,37.69,37.7,38.0,35.7,36.34,4803,178123.33,79
2025-03-27,36.34,37.32,37.5,35.34,36.01,3714,137129.35,42
2025-03-28,36.01,35.08,37.24,33.11,34.05,6052,208445.24,93
2025-04-01,34.05,31.5,37.45,31.5,36.88,935,33741.72,54
2025-04-02,36.88,39.0,39.0,34.88,35.31,4201,149862.28,103
2025-04-03,35.31,36.51,38.8,36.4,38.7,2418,92584.6,75
2025-04-04,38.7,41.35,41.35,36.69,39.51,54771,2140191.87,174
2025-04-07,39.51,38.99,38.99,34.33,35.11,21945,781134.85,97
2025-04-08,35.11,37.44,41.2,36.0,36.85,19091,700707.18,144
2025-04-09,36.85,37.78,39.67,35.44,36.03,10371,378673.83,142
2025-04-11,36.03,38.99,38.99,36.0,36.03,177,6391.48,12
2025-04-15,36.03,36.02,38.74,36.02,37.09,3223,121634.63,74
2025-04-16,37.09,37.5,38.79,36.0,36.71,4588,171952.62,105
2025-04-17,36.71,37.0,37.5,34.8,36.27,25513,908861.04,324
2025-04-21,36.27,40.0,41.4,37.5,38.19,21034,808251.38,166
2025-04-22,38.19,39.78,39.78,35.6,36.34,17143,623616.48,276
2025-04-23,36.34,36.37,37.94,36.1,36.96,3198,117588.21,59
2025-04-24,36.96,36.26,38.3,35.89,37.92,16746,633015.95,115
2025-04-25,37.92,37.51,37.51,36.0,36.13,1747,63251.64,45
2025-04-28,36.13,35.95,37.55,35.95,36.44,2009,74338.77,45
2025-04-29,36.44,36.56,37.69,35.5,35.5,3037,108275.18,33
2025-04-30,35.5,39.42,39.42,33.3,34.33,8044,274483.23,107
2025-05-02,34.33,34.7,36.15,34.53,34.67,5077,177796.19,33
2025-05-05,34.67,34.67,41.5,34.67,40.11,58460,2285293.61,476
2025-05-06,40.11,39.8,42.1,38.0,40.14,25890,1039758.27,432
2025-05-07,40.14,40.0,42.2,39.01,40.44,26743,1095977.01,245
