Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-09-22,818.8,102.1,107.2,102.1,107.2,1089826,114416022.7,1392
2017-09-25,107.2,112.55,112.55,108.0,112.55,4202788,471880180.75,9599
2017-09-26,112.55,113.0,113.0,106.95,108.45,1963765,214289320.7,19165
2017-09-27,108.45,106.0,109.4,103.05,103.05,1021374,106736755.1,15406
2017-09-28,103.05,98.15,102.0,97.9,97.9,426026,41723572.65,2862
2017-09-29,97.9,95.0,101.9,93.05,99.35,1238325,117278958.5,10979
2017-10-03,99.35,99.9,99.9,95.0,95.65,499444,48121509.85,7665
2017-10-04,95.65,94.4,97.8,90.9,91.25,618475,57287179.6,5710
2017-10-05,91.25,92.0,92.8,86.7,87.45,727660,64069922.9,5352
2017-10-06,87.45,85.2,91.8,85.2,91.1,1178336,107471393.45,9973
2017-10-09,91.1,90.5,94.75,87.0,91.25,1742731,159039600.65,11616
2017-10-10,91.25,93.9,94.25,91.0,91.9,2264099,210696528.85,8428
2017-10-11,91.9,92.7,92.7,85.85,86.3,996153,88368357.25,9164
2017-10-12,86.3,87.25,88.9,85.65,86.1,663484,57639272.7,10277
2017-10-13,86.1,87.0,87.25,79.65,82.45,3137483,258655979.75,23911
2017-10-16,82.45,82.35,86.75,81.7,82.4,2933097,245281400.6,9643
2017-10-17,82.4,81.4,85.6,81.2,84.8,1233684,103632703.1,21350
2017-10-18,84.8,86.95,92.1,84.8,88.5,2456484,218239764.05,17765
2017-10-19,88.5,89.3,89.9,88.0,88.85,452397,40348499.2,3466
2017-10-23,88.85,87.55,89.6,85.4,86.0,1131885,98188450.8,17476
2017-10-24,86.0,84.95,87.65,82.7,83.1,1425174,121073545.8,36800
2017-10-25,83.1,83.6,84.45,81.0,82.1,1064069,87986379.75,8767
2017-10-26,82.1,82.0,82.25,80.3,81.1,830890,67547636.3,18685
2017-10-27,81.1,81.4,82.85,80.55,81.6,749001,61064637.3,15087
2017-10-30,81.6,83.8,89.8,82.5,86.85,3161945,275029948.8,25968
2017-10-31,86.85,88.0,89.5,86.0,86.75,1947046,171555691.05,36198
2017-11-01,86.75,87.95,87.95,86.0,86.3,693947,60055366.4,11371
