Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,11.1,11.35,11.5,10.65,11.1,10712,118355.3,58
2017-01-03,11.1,11.0,11.35,11.0,11.15,12243,137492.2,47
2017-01-04,11.15,11.05,11.4,11.0,11.1,26451,293805.85,78
2017-01-05,11.1,11.4,12.3,11.25,11.8,61602,724734.5,332
2017-01-06,11.8,12.0,12.0,11.15,11.4,20337,235585.7,115
2017-01-09,11.4,12.0,12.0,11.25,11.3,11594,131659.05,59
2017-01-10,11.3,11.2,11.75,10.9,11.0,26694,297897.55,86
2017-01-11,11.0,10.9,11.35,10.8,10.95,15290,169050.9,46
2017-01-12,10.95,10.9,11.2,10.75,10.85,19637,214430.25,66
2017-01-13,10.85,10.85,11.0,10.7,10.75,16497,178754.55,69
2017-01-16,10.75,10.65,11.1,10.65,11.0,19701,214433.8,77
2017-01-17,11.0,11.0,11.65,10.9,11.3,34148,385347.0,132
2017-01-18,11.3,11.75,11.75,11.15,11.2,19249,220740.3,87
2017-01-19,11.2,11.0,11.15,10.9,11.05,17019,187188.1,46
2017-01-20,11.05,11.65,11.65,10.75,10.8,26504,288089.95,85
2017-01-23,10.8,11.05,11.05,10.8,10.9,2756,29916.4,15
2017-01-24,10.9,11.0,11.0,10.7,10.75,5536,59714.35,60
2017-01-25,10.75,10.65,10.95,10.65,10.9,6181,66937.65,21
2017-01-27,10.9,11.0,11.0,10.5,10.85,10538,113830.0,43
2017-01-30,10.85,11.0,11.0,10.35,10.55,11722,124964.2,64
2017-01-31,10.55,10.8,10.8,10.45,10.6,10629,112031.05,39
2017-02-01,10.6,10.55,10.9,10.45,10.9,11703,125728.1,61
2017-02-02,10.9,10.25,10.8,10.25,10.8,9202,98892.45,30
2017-02-03,10.8,10.5,10.95,10.5,10.7,8455,90400.25,33
2017-02-06,10.7,10.9,11.25,10.7,11.05,21701,238747.8,70
2017-02-07,11.05,11.0,11.25,11.0,11.25,21368,238445.3,38
2017-02-08,11.25,11.15,11.5,11.05,11.4,58904,669315.0,110
2017-02-09,11.4,11.5,12.7,11.5,11.9,79491,974648.05,240
2017-02-10,11.9,11.8,12.45,11.7,11.85,11472,138379.35,89
2017-02-13,11.85,12.5,12.5,11.6,11.8,14323,169363.25,69
2017-02-14,11.8,11.6,11.7,11.15,11.3,8352,94612.1,25
2017-02-15,11.3,11.1,11.45,10.15,11.0,4538,50317.55,34
2017-02-16,11.0,11.3,11.3,10.55,10.65,11345,123202.75,39
2017-02-17,10.65,10.4,11.35,10.25,10.8,13105,142689.3,56
2017-02-20,10.8,10.6,11.15,10.35,10.95,9735,104864.9,39
2017-02-21,10.95,11.05,12.0,10.65,11.45,54627,621126.55,185
2017-02-22,11.45,11.95,11.95,11.1,11.35,29198,330141.1,58
2017-02-23,11.35,11.3,13.6,11.05,12.95,639311,8453919.85,1259
2017-02-27,12.95,13.0,13.6,11.9,12.45,480860,6027178.0,2363
2017-02-28,12.45,12.25,12.6,11.8,11.9,103481,1253716.05,320
2017-03-01,11.9,12.2,12.2,11.65,11.75,31412,371231.15,88
2017-03-02,11.75,11.95,12.5,11.45,11.8,64292,773946.9,251
2017-03-03,11.8,11.9,12.2,11.4,12.05,30816,369104.7,74
2017-03-06,12.05,12.0,12.3,11.8,11.9,20966,252021.7,68
2017-03-07,11.9,11.8,12.5,11.4,11.9,24838,293702.75,66
2017-03-08,11.9,11.8,12.5,11.5,11.85,18579,222168.6,103
2017-03-09,11.85,12.0,12.1,11.6,11.65,10416,121775.5,65
2017-03-10,11.65,12.45,12.45,10.1,11.45,24782,280906.8,128
2017-03-14,11.45,11.8,12.45,11.4,11.55,10080,116899.0,65
2017-03-15,11.55,11.9,12.7,11.45,12.1,153628,1882733.65,377
2017-03-16,12.1,12.6,12.6,11.7,11.9,8629,104092.2,49
2017-03-17,11.9,12.2,12.2,11.8,11.85,11651,138628.05,50
2017-03-20,11.85,12.2,12.2,11.6,11.65,12526,147529.95,88
2017-03-21,11.65,12.0,12.0,11.55,11.55,5585,64701.55,29
2017-03-22,11.55,11.8,11.8,11.15,11.25,13285,150367.2,81
2017-03-23,11.25,11.8,11.8,11.35,11.35,10525,120355.95,65
2017-03-24,11.35,11.35,11.8,11.1,11.35,9164,104016.25,49
2017-03-27,11.35,11.75,13.55,11.35,11.65,200539,2494668.75,597
2017-03-28,11.65,11.5,11.95,11.5,11.6,6291,73220.7,65
2017-03-29,11.6,11.1,11.85,11.1,11.4,30139,348963.85,117
2017-03-30,11.4,11.1,11.95,11.1,11.2,25773,295536.95,97
2017-03-31,11.2,12.2,12.75,11.5,11.6,40123,472264.4,167
2017-04-03,11.6,11.9,11.9,10.8,11.1,51499,578154.85,257
