Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-12-27,321.0,422.3,423.0,382.0,388.35,13703609,5529922603.5,229727
2024-12-30,388.35,390.75,391.75,358.8,368.1,2018165,747944240.0,47656
2024-12-31,368.1,375.0,375.05,350.0,366.15,1101420,397004383.95,25364
2025-01-01,366.15,367.0,379.65,360.25,367.55,872546,321188621.5,15688
2025-01-02,367.55,360.2,388.0,360.2,379.75,1215579,460642586.05,22666
2025-01-03,379.75,380.9,389.9,373.1,380.1,636944,242435174.4,13313
2025-01-06,380.1,382.65,382.7,355.45,364.55,569788,208169568.4,13294
2025-01-07,364.55,362.1,369.9,358.25,367.3,297453,108912418.35,8100
2025-01-08,367.3,364.0,368.3,356.0,361.2,369725,133613423.1,8493
2025-01-09,361.2,361.1,363.9,345.15,354.85,362115,127583306.25,18338
2025-01-10,354.85,352.0,354.3,335.1,343.4,420457,144712915.0,10699
2025-01-13,343.4,334.95,341.7,312.0,322.4,420112,137345284.15,11770
2025-01-14,322.4,330.0,336.0,324.0,333.95,144251,47889468.7,3638
2025-01-15,333.95,338.8,354.5,338.8,350.7,433749,151322313.85,12370
2025-01-16,350.7,353.0,368.0,353.0,360.15,498654,179285879.7,9196
2025-01-17,360.15,362.0,365.95,351.35,356.1,383026,136751068.6,10760
2025-01-20,356.1,360.05,373.9,355.3,364.65,309895,112479053.1,13338
2025-01-21,364.65,364.65,369.85,353.05,355.15,164416,58806709.0,10962
2025-01-22,355.15,358.6,358.6,339.0,346.6,240862,82875985.25,17672
2025-01-23,346.6,339.6,355.0,328.1,346.3,674945,228317229.5,31115
2025-01-24,346.3,338.9,355.8,336.35,341.3,232369,80037062.2,9103
2025-01-27,341.3,328.0,337.75,323.15,335.45,201217,66832380.9,10429
2025-01-28,335.45,336.95,340.0,320.65,327.35,361248,118735749.55,12173
2025-01-29,327.35,326.25,351.0,326.25,347.95,244853,84237251.1,7451
2025-01-30,347.95,351.0,358.0,346.8,351.6,187001,66004533.5,7612
2025-01-31,351.6,354.0,356.35,345.1,346.9,119923,41846634.55,4476
2025-02-03,354.55,354.55,354.6,334.55,337.85,176943,60827358.25,10045
2025-02-04,337.85,338.25,349.8,337.9,347.4,119363,41225866.75,6667
2025-02-05,347.4,350.0,359.6,347.0,355.3,350998,124821914.35,9812
2025-02-06,355.3,359.9,367.9,354.85,358.45,322251,116657671.6,13046
2025-02-07,358.45,360.65,366.45,347.85,350.9,153162,54194247.05,8469
2025-02-10,350.9,349.05,364.0,341.2,354.05,295307,103855309.4,20401
2025-02-11,354.05,347.0,351.55,335.85,339.8,266402,91241881.7,19014
2025-02-12,339.8,340.0,352.45,334.2,344.45,203331,69830741.95,13820
2025-02-13,344.45,344.45,355.0,341.55,344.55,356753,122970224.05,5424
2025-02-14,344.55,349.95,349.95,312.7,321.7,260628,85609961.8,8472
2025-02-17,321.7,318.0,323.05,307.4,320.95,355080,111695253.85,9669
2025-02-18,320.95,315.05,320.95,307.0,309.2,205543,64018660.0,12950
2025-02-19,309.2,312.8,321.4,310.8,320.1,94919,30206322.75,2884
2025-02-20,320.1,320.0,328.15,315.05,326.2,58483,18917995.55,2112
2025-02-21,326.2,325.0,331.8,320.0,321.45,74549,24194500.7,3598
2025-02-24,321.45,311.15,317.1,309.4,315.55,339680,106876456.05,5560
2025-02-25,315.55,320.0,320.15,311.0,313.4,103307,32540249.9,2212
2025-02-27,313.4,311.0,316.4,305.5,310.95,120036,37379001.35,3413
2025-02-28,310.95,311.0,311.0,295.1,300.7,85986,25857073.85,3030
2025-03-03,300.7,303.0,323.0,286.95,314.7,143255,43415409.35,6103
2025-03-04,314.7,310.05,323.65,309.65,317.55,114796,36400696.75,5350
2025-03-05,317.55,317.55,321.95,314.0,318.9,90127,28694246.3,3589
2025-03-06,318.9,321.0,330.0,317.35,326.4,426205,137120604.3,7492
2025-03-07,326.4,326.0,328.75,319.0,322.55,77586,25046782.7,2981
2025-03-10,322.55,325.85,325.85,311.7,323.05,74986,23989643.2,3404
2025-03-11,323.05,320.05,327.0,314.1,320.6,516369,163923246.35,5372
2025-03-12,320.6,323.05,326.4,317.0,322.3,228956,73975951.1,5152
2025-03-13,322.3,323.05,323.65,316.05,321.05,170909,54706364.4,3041
2025-03-17,321.05,323.7,323.7,306.0,310.6,72234,22751731.7,2466
2025-03-18,310.6,311.2,324.45,308.25,320.3,95403,30328164.8,2941
2025-03-19,320.3,317.0,334.0,317.0,330.25,102996,33613622.55,4648
2025-03-20,330.25,331.0,342.0,324.25,339.3,101940,34214020.8,5565
2025-03-21,339.3,337.2,346.4,333.55,343.0,92916,31582433.1,4107
2025-03-24,343.0,316.0,351.0,312.0,343.25,689331,229562406.7,32681
2025-03-25,343.25,340.0,361.2,337.7,358.6,322898,113978152.45,9057
2025-03-26,358.6,362.0,367.9,355.6,365.5,209429,75938894.9,6052
2025-03-27,365.5,370.0,374.8,360.75,371.4,320220,117999326.95,15759
2025-03-28,371.4,373.0,376.9,359.9,361.7,265887,98000227.6,10807
2025-04-01,361.7,355.1,367.95,355.1,365.4,84034,30676148.45,3644
2025-04-02,365.4,363.1,378.9,359.95,372.55,203303,75505080.1,6724
2025-04-03,372.55,365.25,395.45,365.25,385.15,453503,174495572.2,13656
2025-04-04,385.15,381.5,395.0,369.55,391.55,503502,195214473.85,17762
2025-04-07,391.55,365.45,388.0,352.4,380.95,312446,117008815.25,14784
2025-04-08,380.95,390.0,402.4,381.2,395.55,394275,155566257.25,15881
2025-04-09,395.55,390.2,397.45,380.0,383.15,182809,71068560.85,15572
2025-04-11,383.15,388.45,401.0,385.6,394.75,158604,62336473.35,4750
2025-04-15,394.75,395.0,404.95,392.25,401.9,236679,94637064.5,7830
2025-04-16,401.9,400.25,442.05,398.35,441.05,973737,417701018.85,18110
2025-04-17,441.05,447.0,464.6,431.05,434.9,529618,236567926.25,19406
2025-04-21,434.9,435.05,444.95,430.0,434.95,142368,61976316.0,6343
2025-04-22,434.95,437.6,437.6,423.2,426.15,121625,52036846.85,5292
2025-04-23,426.15,428.75,430.6,405.1,425.05,510129,214479386.2,27623
2025-04-24,425.05,425.15,450.0,423.6,442.55,319493,139667219.7,10784
2025-04-25,442.55,446.95,448.0,414.05,429.1,216319,92186190.7,8318
2025-04-28,429.1,422.25,447.45,422.25,437.35,278870,122649697.7,9529
2025-04-29,437.35,443.9,463.05,430.45,434.95,638521,284384439.55,20100
2025-04-30,434.95,435.0,446.3,415.05,419.25,175991,75747783.05,8467
2025-05-02,419.25,419.45,426.0,414.35,418.55,137283,57673940.0,5927
2025-05-05,418.55,413.1,425.0,408.2,421.1,115394,48290288.1,7605
2025-05-06,421.1,421.1,421.1,403.95,408.5,87720,36332915.15,7227
2025-05-07,408.5,404.0,435.7,399.65,432.85,209474,89298950.6,8484
2025-05-08,432.85,432.85,457.4,421.55,428.1,311364,136923364.45,15527
2025-05-09,428.1,407.1,429.7,407.1,418.25,97838,41108100.7,5561
2025-05-12,418.25,443.0,444.9,431.0,438.75,124574,54736409.45,11140
2025-05-13,438.75,439.5,468.0,436.6,453.45,579016,263520442.15,23100
2025-05-14,453.45,458.45,467.8,442.05,447.1,261878,118636637.25,11293
2025-05-15,447.1,450.0,458.05,439.25,442.4,116235,51903042.9,6168
2025-05-16,442.4,444.45,459.9,418.0,425.1,252769,110984813.05,10836
2025-05-19,425.1,426.05,439.7,422.5,437.25,116051,50321943.65,4873
2025-05-20,437.25,450.0,480.95,442.3,475.3,714157,335042291.65,15914
2025-05-21,475.3,484.45,488.0,453.15,457.55,289082,134603940.35,12988
2025-05-22,457.55,460.0,463.2,447.0,451.2,74755,33890213.3,4050
2025-05-23,451.2,447.0,467.15,442.45,460.6,122920,56340532.35,5430
2025-05-26,460.6,460.6,478.95,452.5,461.0,466519,216432735.15,19918
2025-05-27,461.0,454.95,456.7,434.95,441.4,285348,127306452.1,11067
2025-05-28,441.4,444.75,485.0,438.8,477.7,369019,171289656.5,13485
2025-05-29,477.7,484.8,488.45,460.0,464.85,164716,77834473.35,7318
2025-05-30,464.85,468.0,473.6,463.0,465.0,65472,30634376.2,3784
2025-06-02,465.0,469.85,469.85,450.8,454.1,102005,46525215.3,6267
2025-06-03,454.1,451.15,465.0,451.15,460.9,55237,25394421.3,3251
2025-06-04,460.9,464.1,471.95,453.15,461.15,96126,44431421.6,5624
2025-06-05,461.15,461.0,468.0,457.0,460.95,69632,32198363.65,3802
2025-06-06,460.95,459.35,473.05,459.15,462.4,67406,31363499.1,3456
2025-06-09,462.4,462.4,466.9,455.1,459.15,55482,25494620.3,2957
2025-06-10,459.15,462.0,478.0,455.35,472.8,139911,65475212.4,5367
2025-06-11,472.8,471.0,478.0,457.45,459.45,103839,48281581.05,6272
2025-06-12,459.45,464.8,464.8,442.6,444.6,87116,39163440.75,3660
2025-06-13,444.6,440.0,450.0,434.5,448.2,72664,32229011.2,3980
2025-06-16,448.2,454.0,454.0,438.1,443.0,42192,18690086.1,2239
2025-06-17,443.0,441.2,451.8,436.5,439.4,110539,48795500.4,3328
2025-06-18,439.4,440.1,460.0,439.1,451.55,92392,41772503.1,4852
2025-06-19,451.55,451.55,459.7,443.9,450.75,72291,32585974.0,5475
2025-06-20,450.75,450.7,453.15,440.25,449.1,42174,18886937.05,3617
2025-06-23,449.1,449.0,450.95,429.0,431.05,125142,54674594.2,5593
2025-06-24,431.05,440.0,452.15,435.85,447.9,87302,38778078.0,5366
2025-06-25,447.9,448.25,460.15,447.0,454.8,91979,41757238.05,3577
2025-06-26,454.8,451.8,454.95,442.8,447.05,44468,19914996.8,2356
2025-06-27,447.05,446.2,469.45,446.0,467.2,176271,81369177.75,7739
2025-06-30,467.2,470.0,499.0,465.95,480.2,467402,225698486.7,16053
2025-07-01,480.2,480.25,485.0,471.1,481.45,212569,101731396.55,7422
2025-07-02,481.45,481.0,484.0,469.5,482.55,88423,42233057.2,4746
2025-07-03,482.55,480.0,504.0,477.4,500.4,233408,115453255.4,9618
2025-07-04,500.4,500.4,504.0,490.1,497.0,116634,57921503.0,5089
2025-07-07,497.0,499.9,504.0,484.2,500.35,128062,63309821.2,5974
2025-07-08,500.35,505.0,522.0,504.0,518.45,496393,255362601.55,23214
2025-07-09,518.45,518.65,540.0,511.65,524.2,306805,160960642.65,17150
2025-07-10,524.2,530.0,536.45,522.85,534.75,129893,68807288.75,4990
2025-07-11,534.75,535.05,537.7,522.5,532.5,103382,54808713.9,3244
2025-07-14,532.5,532.5,546.9,526.75,536.3,79637,42546741.2,5019
2025-07-15,536.3,537.0,545.0,532.85,540.05,107436,57958295.15,5315
2025-07-16,540.05,544.95,549.15,533.95,546.75,69978,38120399.15,3272
2025-07-17,546.75,546.75,549.85,542.6,544.7,62908,34284592.95,2964
2025-07-18,544.7,550.0,559.0,543.0,554.05,72681,39941843.95,3651
2025-07-21,554.05,553.0,560.2,531.3,546.9,156095,85095988.95,5956
2025-07-22,546.9,553.9,553.95,538.0,543.05,53468,29094945.9,2328
2025-07-23,543.05,546.1,546.1,534.0,539.35,39337,21186993.75,1921
2025-07-24,539.35,543.8,543.8,530.05,533.35,288356,154356114.75,4584
2025-07-25,533.35,525.0,539.8,521.0,523.5,129934,68696438.45,4635
2025-07-28,523.5,525.95,530.0,507.0,518.95,226497,117197526.65,6211
2025-07-29,518.95,507.1,520.0,506.0,511.6,244512,124181325.75,2484
2025-07-30,511.6,515.45,521.0,509.1,516.6,183604,94241461.85,4445
2025-07-31,516.6,502.0,517.0,502.0,513.85,40773,20898452.9,2151
2025-08-01,513.85,513.85,515.85,501.0,504.6,159813,81682849.15,2999
2025-08-04,504.6,504.6,508.75,497.85,501.35,44414,22358824.45,3100
2025-08-05,501.35,501.35,504.0,487.85,492.85,64886,32138585.0,4182
2025-08-06,492.85,500.0,500.0,474.3,486.4,65531,31770250.9,6048
2025-08-07,486.4,485.0,486.0,457.9,476.5,246449,116357185.95,9669
2025-08-08,476.5,473.0,477.7,464.0,467.65,146882,68983380.05,5051
2025-08-11,467.65,461.0,465.0,453.2,463.05,50303,23125149.95,2612
2025-08-12,463.05,463.75,469.35,451.85,458.35,77923,35800982.35,3412
2025-08-13,458.35,459.5,490.0,453.9,483.7,127396,60364566.4,4690
2025-08-14,483.7,483.75,494.1,478.0,489.0,54823,26653000.85,2262
2025-08-18,489.0,493.0,510.0,493.0,505.05,203005,102209719.55,4818
2025-08-19,505.05,507.6,524.0,501.0,504.15,417560,212988705.05,4676
2025-08-20,504.15,500.1,511.5,498.1,505.2,78942,39928092.5,3146
2025-08-21,505.2,503.85,507.0,496.55,504.2,182375,91910623.6,4314
2025-08-22,504.2,504.95,511.95,500.95,507.8,53577,27162575.55,2200
2025-08-25,507.8,512.0,523.45,510.0,514.35,64749,33500223.1,4266
2025-08-26,514.35,513.05,523.05,491.85,508.8,48948,24653444.25,3264
2025-08-28,508.8,506.55,509.0,496.35,505.4,24498,12346442.25,1633
2025-08-29,505.4,500.35,509.0,494.45,503.6,101392,50971130.3,1706
2025-09-01,503.6,525.0,525.05,509.8,518.75,57467,29733822.5,4182
2025-09-02,518.75,511.8,520.55,509.0,512.0,30080,15459190.75,2132
2025-09-03,512.0,516.25,517.95,506.9,512.65,18112,9278926.5,1128
2025-09-04,512.65,522.95,525.0,509.3,510.5,33474,17218232.25,1217
2025-09-05,510.5,514.8,518.25,503.9,511.25,37452,19146474.3,1436
2025-09-08,511.25,502.1,514.15,501.25,504.45,21868,11105439.1,1557
2025-09-09,504.45,500.0,509.6,499.0,503.45,22033,11101759.75,1431
2025-09-10,503.45,500.1,511.55,500.1,508.15,17413,8836594.0,1376
2025-09-11,508.15,511.0,523.0,508.6,515.15,40620,21035664.9,2134
2025-09-12,515.15,517.95,551.95,511.6,516.4,444365,236747365.4,15031
2025-09-15,516.4,516.4,534.0,511.3,528.65,74000,38972791.95,3205
2025-09-16,528.65,536.95,536.95,514.9,520.05,33742,17604869.25,1997
2025-09-17,520.05,528.8,546.2,524.8,533.75,179060,95127685.5,5054
2025-09-18,533.75,539.8,539.8,522.5,528.85,52478,27695415.2,2936
2025-09-19,528.85,533.8,533.8,509.1,512.5,111691,57461155.1,3386
2025-09-22,512.5,512.0,522.8,511.95,515.05,32725,16911284.8,2003
2025-09-23,515.05,515.0,517.9,511.1,515.45,20602,10596677.3,1194
2025-09-24,515.45,509.0,522.6,509.0,516.4,18962,9783123.45,1360
2025-09-25,516.4,516.3,516.3,501.0,505.1,23412,11860735.85,1443
2025-09-26,505.1,501.0,511.7,482.2,500.0,29892,14870543.5,2260
2025-09-29,500.0,493.6,509.7,487.2,495.8,29538,14620838.15,2733
2025-09-30,495.8,497.25,501.0,491.0,498.0,88242,43953205.05,1820
2025-10-01,498.0,491.15,504.4,490.25,500.8,43569,21721741.6,2851
2025-10-03,500.8,496.0,505.4,496.0,500.6,19063,9535701.45,1988
