Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-09-24,744.0,811.5,841.95,801.0,818.55,12520012,10288956341.75,574346
2021-09-27,818.55,847.95,860.0,832.3,846.8,3813046,3248245324.35,133607
2021-09-28,846.8,853.9,855.0,803.5,815.65,1071633,880733740.25,48373
2021-09-29,815.65,814.85,814.85,795.1,802.3,489332,393341829.75,28927
2021-09-30,802.3,801.5,816.55,800.0,806.1,307693,249422345.15,30836
2021-10-01,806.1,800.0,821.0,792.0,810.45,359134,289378545.2,27578
2021-10-04,810.45,807.0,816.25,803.1,806.3,205226,165871926.65,23143
2021-10-05,806.3,806.3,809.4,796.35,804.25,187609,150604205.25,13878
2021-10-06,804.25,801.1,809.0,785.0,795.3,189694,151092706.5,12223
2021-10-07,795.3,805.0,806.0,791.5,804.65,219406,175982294.85,23278
2021-10-08,804.65,801.3,814.6,798.15,804.9,147354,118787276.6,19048
2021-10-11,804.9,803.6,810.85,797.0,799.05,198366,158765243.7,12728
2021-10-12,799.05,796.1,799.85,787.05,790.85,104124,82381683.7,7286
2021-10-13,790.85,792.0,832.9,791.0,820.95,419915,342987574.0,51703
2021-10-14,820.95,825.0,829.0,801.5,810.3,98794,80759407.55,9255
2021-10-18,810.3,804.0,820.0,802.0,803.6,107722,87315819.9,10425
2021-10-19,803.6,803.65,824.0,800.0,810.9,185196,150310404.35,15990
2021-10-20,810.9,802.1,809.4,779.1,789.9,134511,106706831.45,13976
2021-10-21,789.9,790.05,809.45,771.0,775.05,266559,208056117.6,30967
2021-10-22,775.05,784.0,784.0,735.0,746.6,128218,97500552.1,11695
2021-10-25,746.6,753.0,753.0,709.05,730.95,149014,108500442.3,16335
2021-10-26,730.95,730.0,758.25,724.0,753.05,208149,156010652.2,8849
2021-10-27,753.05,753.05,759.0,732.65,743.1,47539,35394550.55,5589
2021-10-28,743.1,738.1,745.0,723.25,740.3,74808,54775460.6,5717
2021-10-29,740.3,728.0,741.15,682.0,707.4,187890,135852930.3,13919
2021-11-01,707.4,695.0,717.2,694.65,715.1,71628,50532307.6,6744
2021-11-02,715.1,719.5,740.0,713.0,735.4,43916,31903781.0,5388
2021-11-03,735.4,748.8,748.8,718.4,725.4,34751,25333738.0,3922
2021-11-04,725.4,725.4,738.95,725.4,733.0,8600,6300340.6,715
2021-11-08,733.0,733.0,734.0,715.0,725.65,44610,32358280.8,5213
2021-11-09,725.65,731.0,735.0,722.25,724.45,26035,18902295.25,3742
2021-11-10,724.45,725.0,735.0,715.1,720.3,83496,60473255.1,8450
2021-11-11,720.3,774.0,815.0,774.0,801.95,964117,771026291.3,67953
2021-11-12,801.95,793.5,825.5,793.5,820.4,346732,282707928.9,23656
2021-11-15,820.4,820.1,835.0,797.6,818.05,191548,157020684.1,13406
2021-11-16,818.05,807.0,829.9,803.0,825.6,126812,104014843.5,11177
2021-11-17,825.6,814.0,889.0,814.0,845.8,562072,484110993.55,30803
2021-11-18,845.8,854.0,881.0,820.25,850.7,313657,268651104.65,20501
2021-11-22,850.7,864.5,864.5,782.6,795.2,211258,170333974.3,12447
2021-11-23,795.2,795.0,804.0,771.9,792.65,185424,146054440.9,13095
2021-11-24,792.65,794.1,828.0,787.05,796.25,323868,260503628.6,10738
2021-11-25,796.25,799.95,808.9,786.35,788.7,52199,41471968.15,4231
2021-11-26,788.7,789.95,815.0,763.55,776.8,116477,91736973.55,7347
2021-11-29,776.8,791.75,812.0,748.8,793.45,149131,117793369.1,13572
2021-11-30,793.45,793.45,805.0,761.5,784.4,160756,126095887.5,10147
2021-12-01,784.4,800.0,814.1,761.0,775.75,176491,137413028.8,11498
2021-12-02,775.75,775.75,807.0,775.75,792.6,151528,120874312.25,11432
2021-12-03,792.6,797.95,805.0,773.25,783.6,76632,60729261.45,5189
2021-12-06,783.6,783.6,796.85,760.0,762.7,108347,83679589.7,9400
2021-12-07,762.7,782.4,782.4,762.5,770.45,143156,110252415.75,8248
2021-12-08,770.45,778.75,778.8,751.5,763.95,138922,106325295.8,11407
2021-12-09,763.95,773.85,780.0,762.1,776.1,152909,118312325.3,12295
2021-12-10,776.1,777.95,784.95,771.2,776.2,84775,65884930.5,4860
2021-12-13,776.2,776.2,787.0,766.0,772.55,127046,98074462.1,5387
2021-12-14,772.55,768.55,775.7,756.0,761.45,125141,95215427.25,6836
2021-12-15,761.45,769.7,769.7,752.2,761.2,48137,36494524.55,7549
2021-12-16,761.2,756.1,775.0,746.25,763.0,134167,101441533.1,10881
2021-12-17,763.0,755.25,793.4,755.25,788.3,208435,163198767.2,16059
2021-12-20,788.3,775.0,775.0,748.8,754.05,66896,50934887.55,7096
2021-12-21,754.05,754.0,766.95,741.0,754.4,50664,38180319.05,4813
2021-12-22,754.4,750.1,769.75,750.1,755.2,26024,19719234.95,3471
2021-12-23,755.2,757.0,768.7,752.15,755.65,33271,25259379.9,6815
2021-12-24,755.65,755.65,761.45,747.0,750.3,40601,30516134.8,7679
2021-12-27,750.3,762.0,762.0,738.5,749.0,52670,39405524.5,4704
2021-12-28,749.0,752.0,758.85,750.65,753.9,27793,20971840.7,2431
2021-12-29,753.9,750.1,774.0,750.1,769.25,96602,73945606.05,6876
2021-12-30,769.25,772.0,792.3,772.0,788.2,208724,163345496.45,8179
2021-12-31,788.2,788.0,802.9,772.0,776.55,55864,43917934.7,4264
2022-01-03,776.55,787.75,787.75,774.0,777.5,26479,20579343.45,2743
2022-01-04,777.5,787.4,787.4,770.25,774.5,31544,24484586.2,5025
2022-01-05,774.5,769.1,777.25,769.1,774.95,27793,21538291.45,2272
2022-01-06,774.95,770.0,774.95,758.0,765.0,28447,21828222.4,3154
2022-01-07,765.0,765.0,802.7,765.0,779.2,90547,70808289.9,6597
2022-01-10,779.2,784.0,784.0,751.4,769.9,102436,78709875.25,8755
2022-01-11,769.9,768.45,774.15,760.7,762.35,19701,15077286.5,2480
2022-01-12,762.35,771.0,771.0,760.0,762.85,39355,30123105.4,3884
2022-01-13,762.85,761.0,763.75,756.0,758.45,20361,15452213.9,2390
2022-01-14,758.45,764.75,809.0,756.1,795.55,138614,108898399.5,11216
2022-01-17,795.55,800.0,806.85,770.0,778.9,115404,91241653.2,13215
2022-01-18,778.9,775.0,786.45,764.65,767.05,45964,35533619.45,5874
2022-01-19,767.05,770.0,783.9,766.4,780.0,37991,29513444.4,3993
2022-01-20,780.0,789.75,789.75,772.95,778.1,27130,21114414.1,2998
2022-01-21,778.1,774.0,780.4,752.25,760.6,23831,18249692.8,2666
2022-01-24,760.6,750.25,758.35,733.1,745.1,39496,29368919.7,5766
2022-01-25,745.1,745.0,750.0,726.3,746.35,44749,33174502.6,4278
2022-01-27,746.35,731.0,750.2,731.0,745.25,30943,22945868.5,7376
2022-01-28,745.25,740.0,754.0,738.0,749.95,31765,23778027.5,3542
2022-01-31,749.95,755.0,757.65,740.1,745.8,15481,11594262.5,2708
2022-02-01,745.8,750.0,754.75,738.1,740.7,21818,16228648.85,2824
2022-02-02,740.7,749.7,765.0,742.85,747.5,24597,18479530.95,4355
2022-02-03,747.5,746.1,753.95,744.75,747.25,17559,13134794.15,1833
2022-02-04,747.25,754.75,754.9,743.85,749.25,12896,9668076.4,1623
2022-02-07,749.25,749.0,764.8,743.05,745.05,16505,12359036.85,1860
2022-02-08,745.05,696.0,715.95,681.0,704.25,159345,110965785.85,12508
2022-02-09,704.25,713.0,713.0,682.5,688.85,243737,170554742.35,8003
2022-02-10,688.85,698.75,698.75,686.0,686.95,19981,13798557.4,2520
2022-02-11,686.95,695.75,695.75,675.0,678.0,20473,13975561.05,3410
2022-02-14,678.0,676.75,684.95,651.55,680.1,25490,17180638.75,5370
2022-02-15,680.1,693.7,693.7,653.0,666.75,187859,125204578.8,5446
2022-02-16,666.75,692.75,696.0,669.05,683.2,33019,22730647.45,5168
2022-02-17,683.2,684.4,689.0,665.0,667.1,16053,10793795.85,2936
2022-02-18,667.1,665.0,672.0,647.0,657.7,23553,15528409.0,3484
2022-02-21,657.7,673.0,673.0,644.0,648.05,18453,12060810.2,2700
2022-02-22,648.05,640.0,658.95,624.0,640.0,68579,43387744.6,4412
2022-02-23,640.0,636.0,649.2,636.0,645.9,22950,14793122.6,6533
2022-02-24,645.9,642.0,668.95,615.0,662.7,81205,52043939.15,10041
2022-02-25,662.7,671.75,674.0,650.1,656.3,19959,13230114.35,3267
2022-02-28,656.3,656.3,670.4,621.85,658.95,53580,34996961.6,13440
2022-03-02,658.95,658.0,662.15,648.5,652.55,15349,10063152.6,2345
2022-03-03,652.55,661.7,662.0,648.0,652.0,21751,14238756.45,3095
2022-03-04,652.0,641.0,648.25,635.0,638.35,10790,6922475.5,1404
2022-03-07,638.35,635.0,635.0,610.45,620.55,45438,28238851.6,7657
2022-03-08,620.55,629.75,629.75,600.0,604.8,38576,23546111.6,6233
2022-03-09,604.8,617.0,617.0,597.55,610.2,53181,32240322.35,5887
2022-03-10,610.2,616.0,644.95,603.0,608.0,73578,44851567.6,7657
