Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-03-17,39.39,39.24,39.55,39.21,39.45,2307,90786.95,46
2025-03-18,39.45,39.45,40.71,39.4,40.36,2888138,116568085.07,324
2025-03-19,40.36,40.54,41.66,40.54,41.56,115428,4795761.99,122
2025-03-20,41.56,41.87,42.08,41.48,41.86,10419,435929.93,70
2025-03-21,41.86,41.94,43.8,41.94,42.53,43098,1834540.17,111
2025-03-24,42.53,50.0,50.0,42.85,43.69,5449,236347.23,108
2025-03-25,43.69,43.69,43.69,42.23,42.23,1232824,52093158.72,234
2025-03-26,42.23,42.65,42.65,41.86,41.95,1532,64600.38,49
2025-03-27,41.95,41.95,42.53,41.74,42.41,1987,83889.84,55
2025-03-28,42.41,42.66,42.79,41.85,41.9,36819,1551185.91,70
2025-04-01,41.9,41.9,42.21,41.56,41.7,7432,309762.04,66
2025-04-02,41.7,41.75,42.4,41.43,42.35,31894,1350298.44,36
2025-04-03,42.35,42.27,42.55,42.2,42.52,972,41193.75,33
2025-04-04,42.52,42.26,42.26,41.18,41.5,4826,201114.29,79
2025-04-07,41.5,41.0,41.0,35.4,39.96,17711,690636.53,140
2025-04-08,39.96,40.76,40.97,40.54,40.84,10440,424803.07,55
2025-04-09,40.84,40.26,40.59,40.15,40.54,4338,175428.78,54
2025-04-11,40.54,41.09,41.48,41.09,41.47,2377,98330.66,19
2025-04-15,41.47,42.31,42.85,42.31,42.77,34305,1458124.19,47
2025-04-16,42.77,43.07,43.44,43.05,43.42,12519,542868.78,63
2025-04-17,43.42,43.32,43.91,43.16,43.84,11871,519210.92,51
2025-04-21,43.84,43.97,44.59,43.84,44.57,3534,156842.35,67
2025-04-22,44.57,44.91,45.11,44.86,45.03,73715,3314354.35,50
2025-04-23,45.03,45.12,45.5,44.65,45.46,7767,349443.17,61
2025-04-24,45.46,46.0,46.0,45.05,45.09,4890,221654.63,65
2025-04-25,45.09,46.21,46.21,43.56,43.81,16100,708222.42,128
2025-04-28,43.81,44.69,44.69,43.71,44.15,4581,201833.24,55
2025-04-29,44.15,44.52,44.57,44.14,44.42,7221,320847.74,32
2025-04-30,44.42,44.64,44.64,43.97,44.06,2740,121657.48,52
2025-05-02,44.06,44.08,44.6,43.9,43.92,5525,243059.9,42
2025-05-05,43.92,45.02,45.02,44.05,44.64,39381,1756436.2,47
2025-05-06,44.64,46.0,46.0,43.41,43.49,7976,349278.94,104
2025-05-07,43.49,44.36,44.36,43.29,44.24,10143,444421.3,43
2025-05-08,44.24,44.34,44.57,43.25,43.51,5306,233229.96,63
2025-05-09,43.51,43.0,43.51,42.5,43.14,5267,225559.26,89
2025-05-12,43.14,44.68,45.63,44.38,45.05,26174,1179966.5,104
2025-05-13,45.05,45.27,46.12,44.88,45.88,2591,117455.96,47
2025-05-14,45.88,45.41,45.97,45.38,45.9,25096,1151095.79,150
2025-05-15,45.9,46.85,46.85,45.72,46.27,5226,240906.11,49
2025-05-16,46.27,46.76,47.85,46.54,47.16,11304,530281.11,60
2025-05-19,47.16,48.1,48.1,46.83,47.09,28427,1339089.34,80
2025-05-20,47.09,46.76,46.86,46.11,46.18,7028,326998.62,129
2025-05-21,46.18,48.26,48.26,46.08,46.64,5225,243646.73,44
2025-05-22,46.64,46.67,46.84,46.45,46.7,28586,1334880.98,70
2025-05-23,46.7,46.7,47.23,46.7,47.02,5896,277756.17,39
2025-05-26,47.02,47.31,47.52,47.22,47.28,4801,227376.41,72
2025-05-27,47.28,47.28,47.5,47.24,47.49,24685,1172281.95,56
2025-05-28,47.49,47.7,47.82,47.51,47.52,6150,293365.86,60
2025-05-29,47.52,47.77,47.85,47.56,47.78,11370,541838.89,66
2025-05-30,47.78,48.01,48.01,47.69,47.76,8475,405372.52,79
2025-06-02,47.76,48.47,48.47,47.52,48.05,42174,2025916.49,78
2025-06-03,48.05,48.1,48.2,47.62,47.73,6920,331439.31,88
2025-06-04,47.73,48.54,48.54,47.77,48.23,6748,324922.97,67
2025-06-05,48.23,49.5,49.5,47.75,48.62,56973,2770906.94,120
2025-06-06,48.62,48.86,48.97,48.41,48.92,13918,678175.04,82
2025-06-09,48.92,50.14,50.14,49.1,49.39,59946,2958478.0,118
2025-06-10,49.39,50.0,51.4,48.88,49.0,27107,1333588.98,281
2025-06-11,49.0,49.16,49.23,48.66,48.78,855678,41740586.96,106
2025-06-12,48.78,48.73,48.84,47.83,47.84,283721,13623366.94,150
2025-06-13,47.84,47.84,47.95,47.15,47.93,7225,343573.72,82
2025-06-16,47.93,49.12,49.12,47.18,48.13,27103,1302060.32,118
2025-06-17,48.13,48.13,48.35,47.69,47.69,128684,6164774.81,134
2025-06-18,47.69,48.24,48.24,47.5,47.59,145700,6988208.44,96
2025-06-19,47.59,47.7,48.2,46.78,46.88,11982,564164.56,155
2025-06-20,46.88,47.0,47.76,46.86,47.72,13143,621388.0,74
2025-06-23,47.72,46.86,47.85,46.52,47.82,29546,1410515.24,100
2025-06-24,47.82,48.78,48.78,47.97,48.11,115255,5544268.27,83
2025-06-25,48.11,49.1,49.1,48.4,48.54,11621,563750.49,66
2025-06-26,48.54,49.51,49.51,48.46,48.9,13736,668249.69,59
