Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,4.95,5.1,5.15,4.85,5.15,338321,1729630.15,336
2017-01-03,5.15,5.35,5.4,5.05,5.35,1601703,8478089.7,952
2017-01-04,5.35,5.45,5.55,5.1,5.1,1736852,9020923.45,1208
2017-01-05,5.1,4.95,5.15,4.85,5.0,1303694,6446606.05,955
2017-01-06,5.0,5.05,5.05,4.75,4.95,1389683,6732727.4,551
2017-01-09,4.95,5.05,5.15,4.9,5.15,958647,4897562.7,342
2017-01-10,5.15,5.35,5.4,5.05,5.1,715402,3746025.25,670
2017-01-11,5.1,5.25,5.25,5.0,5.05,527343,2676781.25,374
2017-01-12,5.05,5.0,5.0,4.85,4.9,523408,2565392.4,323
2017-01-13,4.9,4.8,5.1,4.7,5.05,586310,2866747.15,374
2017-01-16,5.05,5.15,5.15,4.9,4.95,300245,1503117.55,251
2017-01-17,4.95,5.05,5.05,4.9,4.9,218387,1078302.75,177
2017-01-18,4.9,5.0,5.0,4.85,4.85,332255,1633654.2,252
2017-01-19,4.85,4.95,4.95,4.75,4.8,387160,1869604.6,280
2017-01-20,4.8,4.85,4.9,4.65,4.8,537197,2565891.65,343
2017-01-23,4.8,4.8,4.9,4.7,4.8,275842,1331726.9,179
2017-01-24,4.8,4.85,4.85,4.75,4.75,283912,1356949.15,192
2017-01-25,4.75,4.75,4.8,4.65,4.65,248642,1169672.25,214
2017-01-27,4.65,4.75,4.85,4.55,4.85,635188,2993277.35,267
2017-01-30,4.85,4.95,5.05,4.95,5.05,451374,2268467.0,249
2017-01-31,5.05,5.3,5.3,4.9,4.95,1369618,7082708.4,787
2017-02-01,4.95,4.85,5.0,4.85,4.95,283766,1397684.15,223
2017-02-02,4.95,5.0,5.05,4.85,4.95,274995,1354976.5,172
2017-02-03,4.95,4.95,5.0,4.85,4.9,377026,1861005.75,223
2017-02-06,4.9,4.9,4.95,4.75,4.8,529694,2578561.55,348
2017-02-07,4.8,4.8,4.95,4.7,4.75,699802,3379745.55,376
2017-02-08,4.75,4.85,5.0,4.8,4.95,331073,1624237.1,209
2017-02-09,4.95,4.95,5.0,4.8,4.8,295734,1437836.35,203
2017-02-10,4.8,4.85,5.1,4.85,4.9,647640,3219440.5,365
2017-02-13,4.9,4.85,4.95,4.75,4.75,364177,1745622.75,227
2017-02-14,4.75,4.75,4.9,4.75,4.8,191936,921650.85,185
2017-02-15,4.8,4.85,4.85,4.35,4.35,1012178,4539841.35,520
2017-02-16,4.35,4.3,4.55,4.05,4.45,693354,2972435.15,452
2017-02-17,4.45,4.4,4.6,4.35,4.45,196507,876995.25,223
2017-02-20,4.45,4.55,4.75,4.4,4.6,276876,1274027.5,268
2017-02-21,4.6,4.6,4.85,4.6,4.75,402565,1904063.0,272
2017-02-22,4.75,4.8,4.8,4.65,4.65,264617,1241891.6,243
