Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-08-01,199.0,227.55,238.36,227.1,229.38,22998671,5314017056.5,172453
2025-08-04,229.38,231.0,236.4,219.75,227.23,3650366,837014051.09,34917
2025-08-05,227.23,228.75,231.3,224.18,225.6,1521158,345129163.61,14362
2025-08-06,225.6,224.31,226.6,217.08,222.03,1421700,314881221.34,13769
2025-08-07,222.03,222.5,233.9,219.26,225.86,1966493,447960522.32,17461
2025-08-08,225.86,228.0,252.5,225.25,239.89,7959080,1920305833.59,80396
2025-08-11,239.89,241.0,255.39,240.99,245.8,4479567,1112927970.23,38660
2025-08-12,245.8,249.0,256.95,244.01,247.29,3881583,974043145.55,33698
2025-08-13,247.29,249.04,250.03,241.0,244.95,1870444,458488135.25,12204
2025-08-14,244.95,245.0,250.0,243.0,247.51,1141885,281534778.29,10465
2025-08-18,247.51,251.0,258.43,245.4,250.97,2672656,673130637.05,24697
2025-08-19,250.97,251.0,254.8,248.0,253.0,1132284,284672398.66,10885
2025-08-20,253.0,253.9,259.14,245.02,247.18,3137990,791944954.66,31895
2025-08-21,247.18,257.0,274.1,246.02,250.35,15967251,4140633515.89,115929
2025-08-22,250.35,252.0,254.0,245.21,246.22,1406627,350075538.49,12757
2025-08-25,246.22,246.47,247.0,227.0,229.46,2084895,488451196.69,21778
2025-08-26,229.46,229.46,234.77,225.61,228.66,1622001,373621962.92,15434
2025-08-28,228.66,227.51,229.0,219.12,222.71,859849,192310550.53,10065
2025-08-29,222.71,218.0,225.6,215.69,219.72,1335770,294860584.23,15429
2025-09-01,219.72,219.72,225.99,219.5,224.84,787473,176200616.78,9284
2025-09-02,224.84,228.0,233.9,224.25,231.7,1406863,324611294.09,14138
2025-09-03,231.7,231.7,244.78,231.7,236.23,1630836,389172498.27,15518
2025-09-04,236.23,238.0,240.46,231.15,233.1,508962,120286342.64,7074
2025-09-05,233.1,231.0,234.28,227.2,230.53,522806,120626898.53,7150
2025-09-08,230.53,231.8,234.4,228.14,231.86,325146,75344264.22,4440
2025-09-09,231.86,232.0,232.0,224.5,225.48,388822,88542590.64,5257
2025-09-10,225.48,226.6,229.32,222.58,225.88,566677,127628769.96,7342
2025-09-11,225.88,226.8,228.01,223.0,224.56,381653,85886260.47,4974
2025-09-12,224.56,225.9,228.0,222.24,223.61,359976,80887446.25,4760
2025-09-15,223.61,223.61,224.5,218.83,219.55,308136,68096296.37,4478
2025-09-16,219.55,220.64,224.39,220.0,221.35,357432,79482413.17,4872
2025-09-17,221.35,222.0,223.51,219.71,220.23,327186,72311242.92,4565
2025-09-18,220.23,220.5,223.0,219.0,220.86,360057,79488429.58,3614
2025-09-19,220.86,221.3,223.9,218.56,222.6,301480,66680070.05,3342
2025-09-22,222.6,222.6,228.45,221.8,224.22,504449,113963079.18,5473
2025-09-23,224.22,225.1,227.0,222.1,223.63,303519,68107379.55,3580
2025-09-24,223.63,223.6,225.4,220.82,223.14,238708,53146064.64,2926
2025-09-25,223.14,223.13,228.0,213.0,214.41,678872,149297051.56,7110
2025-09-26,214.41,215.01,222.4,200.02,218.33,1846634,391061327.28,20747
2025-09-29,218.33,219.18,219.63,207.1,208.78,460609,98729595.29,6176
2025-09-30,208.78,209.99,216.5,204.2,213.89,401754,83906659.36,5564
2025-10-01,213.89,213.97,214.1,208.59,210.67,201081,42452420.29,3833
2025-10-03,210.67,214.9,216.99,210.45,213.5,302953,64567347.17,5896
2025-10-06,213.5,211.0,215.01,207.5,208.63,241452,50951758.84,4376
2025-10-07,208.63,208.95,208.95,204.25,206.86,287060,59312429.66,5357
2025-10-08,206.86,207.3,211.5,205.2,209.85,328963,68536754.32,5300
2025-10-09,209.85,213.4,218.0,206.25,208.72,710641,150845179.97,8144
2025-10-10,208.72,209.05,231.89,209.0,214.13,3378550,755398720.69,32022
2025-10-13,214.13,215.0,221.5,211.25,215.45,764171,165541907.17,10364
2025-10-14,215.45,215.85,220.01,212.0,213.07,330138,70969493.54,5617
2025-10-15,213.07,214.4,215.0,210.0,210.65,221185,46782094.89,3550
2025-10-16,210.65,210.1,216.25,209.88,211.37,314106,66763303.31,5328
2025-10-17,211.37,211.9,212.1,195.42,205.0,1229577,250472095.88,11362
2025-10-20,205.0,207.99,208.99,201.38,205.31,334818,68486671.09,4902
2025-10-21,205.31,206.5,207.99,205.32,206.7,91636,18943307.71,1248
2025-10-23,206.7,207.0,207.7,201.2,201.73,321975,65645945.71,4384
2025-10-24,201.73,202.05,205.09,197.52,199.62,341064,68285755.27,5004
2025-10-27,199.62,199.8,213.88,199.79,212.39,1380900,288455567.15,12581
2025-10-28,212.39,210.5,214.2,207.31,211.77,684153,144173278.29,6586
2025-10-29,211.77,212.0,217.45,208.11,213.67,812843,173986086.57,8621
2025-10-30,213.67,218.5,230.55,217.78,228.54,2486029,556865514.08,21729
