Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-08-25,55.86,56.1,56.25,55.11,55.75,1413,78752.15,25
2022-08-26,55.75,56.1,56.1,55.2,55.2,4078,225807.51,31
2022-08-29,55.2,56.85,56.85,53.7,54.0,3033,164383.97,26
2022-08-30,54.0,53.8,54.3,53.8,54.02,3445,186033.91,16
2022-09-01,54.02,54.3,55.0,51.54,53.42,10161,532428.69,85
2022-09-02,53.42,52.2,53.4,52.2,52.39,2390,124973.39,40
2022-09-05,52.39,52.5,53.4,52.5,53.0,1204,63669.1,21
2022-09-06,53.0,53.01,53.65,53.0,53.45,2668,142291.34,33
2022-09-07,53.45,53.21,53.21,52.61,53.0,2296,121247.92,46
2022-09-08,53.0,53.0,53.95,53.0,53.95,1309,69915.33,17
2022-09-09,53.95,54.0,54.5,53.95,54.5,6349,344315.13,22
2022-09-12,54.5,54.59,55.45,54.47,55.15,1962,107417.55,40
2022-09-13,55.15,55.2,57.0,55.2,56.49,5219,293685.22,45
2022-09-14,56.49,56.21,56.5,55.81,56.08,1738,97381.71,28
2022-09-15,56.08,57.2,57.2,55.9,56.13,3072,172386.41,26
2022-09-16,56.13,56.4,56.4,54.4,54.51,2421,133945.31,61
2022-09-19,54.51,54.9,56.0,54.9,55.57,1300,71820.71,33
2022-09-20,55.57,55.8,56.05,55.55,55.56,1445,80549.79,22
2022-09-21,55.56,55.7,56.4,55.7,55.75,681,38130.95,21
2022-09-22,55.75,55.8,57.0,55.8,56.97,2773,157587.09,36
2022-09-23,56.97,57.0,58.0,56.25,56.81,11780,670549.83,58
2022-09-26,56.81,56.0,56.0,54.5,55.0,18592,1019590.89,78
2022-09-27,55.0,55.01,55.5,54.51,54.72,5875,323543.57,53
2022-09-28,54.72,54.61,54.61,53.0,53.65,3180,171757.47,58
2022-09-29,53.65,54.0,55.65,54.0,55.35,548,30299.73,26
2022-09-30,55.35,55.5,56.25,55.5,56.0,1995,111681.75,17
2022-10-03,56.0,56.1,57.4,56.1,56.98,892,50757.39,38
2022-10-04,56.98,59.1,61.2,58.9,60.36,17862,1064275.09,75
