Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-02-24,31.65,45.45,47.7,44.5,47.7,275450,12681830.6,376
2021-02-25,47.7,50.075,50.075,50.075,50.075,15590,780669.25,17
2021-02-26,50.075,52.575,52.575,51.575,52.575,783212,41171877.2,847
2021-03-01,52.575,54.5,54.5,49.95,49.95,747582,38187681.45,981
2021-03-02,49.95,49.5,49.625,47.475,47.525,190898,9171852.75,468
2021-03-03,47.525,45.675,47.45,45.625,46.525,153438,7106238.4,386
2021-03-04,46.525,45.5,46.0,44.2,44.2,475372,21049958.45,677
2021-03-05,44.2,44.2,46.25,43.5,43.975,221744,9954163.75,579
2021-03-08,43.975,45.35,45.35,43.275,43.55,163690,7219214.0,394
2021-03-09,43.55,43.5,45.325,42.775,44.5,261258,11619643.3,345
2021-03-10,44.5,45.725,46.1,39.575,40.1,888642,37150852.35,2919
2021-03-12,40.1,41.0,43.275,38.875,39.675,516876,21209050.5,2393
2021-03-15,39.675,40.975,40.975,38.275,38.55,238996,9396108.9,1308
2021-03-16,38.55,38.9,39.075,36.9,38.125,313016,11885467.3,1660
2021-03-17,38.125,39.125,39.125,36.0,36.4,318504,11775301.05,2072
2021-03-18,36.4,37.25,37.7,35.75,36.15,283870,10467146.85,1158
2021-03-19,36.15,36.35,36.35,34.225,34.8,311696,10899528.85,1611
2021-03-22,34.8,34.8,36.075,34.8,35.6,211454,7512028.65,851
2021-03-23,35.6,35.675,35.95,35.375,35.625,52282,1864048.95,288
2021-03-24,35.625,35.75,36.2,34.95,35.05,69130,2456580.5,542
2021-03-25,35.05,35.2,35.45,33.75,34.9,128840,4469434.15,1376
2021-03-26,34.9,34.525,35.625,34.5,34.675,128956,4515363.75,644
2021-03-30,34.675,34.875,35.25,34.15,34.5,61698,2148957.0,271
2021-03-31,34.5,34.525,35.0,34.25,34.425,47516,1638264.95,290
2021-04-01,34.425,34.975,38.2,34.675,37.875,817296,30355236.15,2957
