Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,489.0,501.0,501.0,487.0,488.75,11252,5556761.45,701
2017-01-03,488.75,498.0,507.0,485.25,489.55,19187,9450632.45,1840
2017-01-04,489.55,490.05,490.05,481.0,482.65,65956,31989157.3,1302
2017-01-05,482.65,485.0,485.0,480.15,482.8,10200,4922919.7,580
2017-01-06,482.8,481.0,482.4,472.0,475.3,14424,6906695.2,1257
2017-01-09,475.3,480.0,485.0,475.5,480.0,28788,13816634.0,1815
2017-01-10,480.0,480.0,484.0,472.15,473.95,14671,7048690.7,1087
2017-01-11,473.95,470.05,557.0,470.05,515.85,209643,110454668.15,9488
2017-01-12,515.85,514.95,532.95,513.0,524.75,33410,17418007.5,1422
2017-01-13,524.75,527.0,529.5,511.25,513.2,6055,3126178.0,516
2017-01-16,513.2,515.7,528.5,513.15,524.75,9109,4764589.95,611
2017-01-17,524.75,530.0,538.0,528.05,533.1,15345,8193532.1,770
2017-01-18,533.1,542.0,543.7,530.55,537.55,12684,6822577.0,640
2017-01-19,537.55,538.0,551.8,535.0,546.05,14423,7857382.3,595
2017-01-20,546.05,549.05,580.45,544.5,562.55,27478,15337321.65,1295
2017-01-23,562.55,562.0,580.0,546.0,560.7,15282,8660672.25,884
2017-01-24,560.7,575.0,623.7,544.1,600.75,436813,258907960.25,16711
2017-01-25,600.75,600.3,604.8,585.0,594.5,34888,20772285.2,1778
2017-01-27,594.5,594.1,640.35,590.0,603.75,35770,21988020.05,2254
2017-01-30,603.75,602.5,618.9,600.0,604.9,11086,6732689.15,666
2017-01-31,604.9,602.0,607.65,590.85,595.2,11328,6757438.9,965
2017-02-01,595.2,599.0,616.0,587.0,610.85,8717,5243268.25,863
2017-02-02,610.85,602.1,622.0,599.2,603.95,10355,6307306.65,875
2017-02-03,603.95,602.55,616.3,599.6,603.2,20388,12333865.85,763
2017-02-06,603.2,603.0,622.0,603.0,618.65,9798,6049590.1,706
2017-02-07,618.65,612.0,624.0,611.95,621.8,4798,2969368.9,525
2017-02-08,621.8,624.75,630.0,605.1,613.3,6166,3808350.9,823
2017-02-09,613.3,610.3,619.8,610.3,614.35,5155,3169355.45,308
2017-02-10,614.35,625.05,625.55,615.0,619.95,5349,3302772.15,381
2017-02-13,619.95,625.0,636.8,605.35,609.75,14228,8752334.15,515
2017-02-14,609.75,608.05,619.0,605.05,613.0,6193,3789512.2,351
2017-02-15,613.0,616.1,622.0,614.25,618.4,11104,6864249.95,481
2017-02-16,618.4,616.75,623.9,609.85,614.25,7704,4732160.25,349
2017-02-17,614.25,616.9,616.9,605.2,610.2,8986,5475921.55,388
2017-02-20,610.2,619.8,625.1,601.25,604.1,7301,4437589.2,567
2017-02-21,604.1,604.0,618.95,599.95,614.55,18026,10861888.65,677
2017-02-22,614.55,610.05,617.4,591.35,604.6,12141,7334679.85,792
2017-02-23,604.6,604.05,609.95,602.0,604.1,2744,1657664.15,328
2017-02-27,604.1,609.0,615.0,585.0,610.8,17999,10821554.75,2261
2017-02-28,610.8,617.95,623.0,603.6,620.95,30307,18653371.05,835
2017-03-01,620.95,628.9,629.5,619.0,626.85,34871,21761181.65,835
2017-03-02,626.85,640.0,640.0,629.9,635.35,62833,39887778.75,1122
2017-03-03,635.35,635.35,639.95,628.0,634.7,8641,5475013.0,365
2017-03-06,634.7,638.35,645.8,635.05,637.05,7385,4725312.75,440
2017-03-07,637.05,647.0,647.0,629.25,636.7,4345,2767722.8,425
2017-03-08,636.7,640.25,640.25,620.0,621.9,2813,1759121.45,327
2017-03-09,621.9,625.0,634.8,621.65,631.65,3693,2321231.15,358
2017-03-10,631.65,641.0,641.0,615.1,620.1,37989,23808631.3,460
2017-03-14,620.1,629.1,667.05,628.9,651.1,79770,51947210.9,2096
2017-03-15,651.1,653.65,659.95,635.05,649.75,7506,4858958.1,754
2017-03-16,649.75,649.95,664.0,638.55,660.05,21039,13747270.45,1708
2017-03-17,660.05,661.15,675.0,649.2,655.05,13242,8642724.95,1027
2017-03-20,655.05,659.3,663.0,651.2,656.75,4534,2987385.65,366
2017-03-21,656.75,661.05,670.0,646.0,659.65,11402,7485628.2,1036
2017-03-22,659.65,652.0,661.7,637.0,651.45,13629,8898991.8,1100
2017-03-23,651.45,645.0,665.0,645.0,651.25,21438,14048248.6,1123
2017-03-24,651.25,651.3,670.0,645.1,664.65,18877,12498989.25,1763
2017-03-27,664.65,673.85,702.0,666.65,680.05,28370,19467246.0,3297
2017-03-28,680.05,694.0,694.0,666.5,684.4,8814,5980607.9,791
2017-03-29,684.4,685.9,690.0,663.2,676.9,9489,6371046.25,880
2017-03-30,676.9,680.6,688.75,662.35,667.8,4765,3227812.05,470
2017-03-31,667.8,667.7,697.0,667.4,688.2,16712,11524075.3,980
2017-04-03,688.2,700.0,700.0,690.0,693.85,9043,6270202.3,398
2017-04-05,693.85,700.0,702.95,680.0,691.1,16946,11799087.25,1074
2017-04-06,691.1,695.0,698.35,687.0,689.7,8493,5868592.3,490
2017-04-07,689.7,699.95,700.0,679.95,682.75,8531,5879993.35,1051
2017-04-10,682.75,681.95,697.5,677.3,680.0,1849390,1258328572.85,1257
2017-04-11,680.0,697.0,700.0,677.05,689.2,1511199,1030669045.25,4085
2017-04-12,689.2,694.15,695.0,679.45,685.0,403788,275254419.7,1237
2017-04-13,685.0,680.1,690.0,680.1,687.65,22006,15119605.1,1895
2017-04-17,687.65,685.05,695.95,677.7,687.55,17143,11718629.15,792
2017-04-18,687.55,689.9,692.0,675.0,675.1,255707,172989085.55,1068
2017-04-19,675.1,679.8,689.75,672.25,686.4,39072,26672567.6,1572
2017-04-20,686.4,680.55,698.8,680.5,694.4,15150,10474915.85,724
2017-04-21,694.4,694.4,702.0,691.85,699.35,17490,12189786.55,694
2017-04-24,699.35,699.35,730.0,691.1,725.5,36916,26551958.9,2050
2017-04-25,725.5,715.0,765.0,712.0,762.55,64947,48810514.45,3164
2017-04-26,762.55,767.0,767.7,711.75,723.4,37531,27668293.6,3881
2017-04-27,723.4,735.0,743.0,712.8,723.45,30487,22328687.65,1591
2017-04-28,723.45,724.0,742.0,724.0,737.9,17687,12968382.55,1328
2017-05-02,737.9,741.0,765.0,731.0,763.1,17017,12798853.8,1466
2017-05-03,763.1,760.0,777.6,749.0,770.9,14569,11127738.15,1669
2017-05-04,770.9,760.9,797.0,756.4,781.15,17450,13523163.75,1359
2017-05-05,781.15,765.5,780.0,737.0,758.75,214568,161466397.45,5706
2017-05-08,758.75,760.95,785.0,756.0,779.45,13473,10427395.7,1097
2017-05-09,779.45,772.45,786.0,772.0,782.6,11125,8655809.2,688
2017-05-10,782.6,790.0,840.0,784.35,818.15,77650,63563572.75,7037
2017-05-11,818.15,826.6,829.65,813.95,818.15,16939,13880240.45,977
2017-05-12,818.15,825.0,825.0,782.3,800.45,13782,11002017.8,2251
2017-05-15,800.45,803.2,809.95,790.05,799.0,8719,6985660.45,887
2017-05-16,799.0,810.0,823.0,797.5,800.0,25454,20434203.85,3527
2017-05-17,800.0,808.0,808.0,760.0,769.65,30580,23690708.85,1817
2017-05-18,769.65,792.0,792.0,763.75,772.75,9674,7461697.55,3717
2017-05-19,772.75,780.05,785.0,756.1,760.4,10469,8023670.3,697
2017-05-22,760.4,779.9,779.9,756.0,758.85,12132,9268259.3,595
2017-05-23,758.85,774.8,774.8,712.3,732.8,17759,12997017.05,1443
2017-05-24,732.8,755.0,755.0,700.0,732.45,57272,41596411.15,3462
2017-05-25,732.45,712.0,768.0,685.0,751.2,21561,15867128.2,1704
2017-05-26,751.2,759.85,785.0,755.3,780.0,41468,32295668.2,1602
2017-05-29,780.0,776.5,805.0,756.05,766.8,6740,5191516.55,784
2017-05-30,766.8,763.15,784.0,752.05,774.35,9552,7349751.8,741
2017-05-31,774.35,769.2,800.0,769.2,795.6,32772,25907103.0,1978
2017-06-01,795.6,785.05,794.0,775.0,782.6,7301,5733375.8,907
2017-06-02,782.6,785.35,792.0,762.0,779.65,19618,15271336.15,2037
2017-06-05,779.65,779.65,786.0,761.0,766.25,15353,11781982.25,1247
2017-06-06,766.25,765.0,775.0,756.05,760.45,5986,4571451.6,525
2017-06-07,760.45,768.1,772.0,751.15,766.75,12527,9585521.05,920
2017-06-08,766.75,772.05,787.9,764.45,784.9,6325,4922693.2,484
2017-06-09,784.9,793.0,793.0,778.6,784.7,25532,20183071.35,888
2017-06-12,784.7,790.0,790.0,768.25,773.6,16736,12955264.7,479
2017-06-13,773.6,773.0,798.85,752.6,769.1,29996,23015171.5,1294
2017-06-14,769.1,779.95,789.0,761.15,773.9,20204,15613946.45,1206
2017-06-15,773.9,770.05,785.0,764.95,781.95,12854,9895765.85,2396
2017-06-16,781.95,782.1,794.9,775.0,789.55,7036,5530825.6,677
2017-06-19,789.55,798.95,798.95,777.05,782.3,9110,7158104.95,1228
2017-06-20,782.3,787.75,790.0,780.0,786.0,53184,41805276.35,401
2017-06-21,786.0,780.55,785.0,771.1,778.6,7528,5848927.5,1272
2017-06-22,778.6,778.65,780.2,774.0,776.1,3418,2659507.1,274
2017-06-23,776.1,785.95,786.0,769.05,774.5,8774,6818354.15,710
2017-06-27,774.5,786.0,786.0,767.95,770.65,5058,3899732.55,260
2017-06-28,770.65,780.05,783.7,765.0,771.0,2843,2190707.0,292
2017-06-29,771.0,771.0,777.0,760.0,764.9,13485,10354532.85,674
2017-06-30,764.9,752.0,775.0,752.0,774.9,21112,16306461.35,821
2017-07-03,774.9,789.95,790.0,757.3,765.4,90990,70749500.55,580
2017-07-04,765.4,770.0,780.95,762.7,770.1,4783,3699735.15,369
2017-07-05,770.1,776.95,798.95,774.65,784.7,14953,11756011.1,1086
2017-07-06,784.7,789.7,789.7,775.0,778.95,6295,4910534.85,315
2017-07-07,778.95,778.85,779.0,769.95,771.1,4347,3355551.0,310
2017-07-10,771.1,794.2,830.0,762.15,769.55,4198,3235421.9,166
2017-07-11,769.55,777.05,777.05,770.05,775.95,2724,2109038.95,237
2017-07-12,775.95,760.0,785.0,760.0,774.2,12783,9901466.0,252
