Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,290.5,290.75,291.6,286.35,287.65,44960,12944200.9,1270
2017-01-03,287.65,288.3,296.4,288.3,293.4,131356,38363244.7,2185
2017-01-04,293.4,294.7,295.7,289.3,290.4,151588,44171409.2,1820
2017-01-05,290.4,290.5,311.95,290.5,310.65,654733,199773576.75,15047
2017-01-06,310.65,313.4,318.0,301.3,304.1,305584,94576114.95,9444
2017-01-09,304.1,306.4,310.8,298.2,307.15,347936,105242834.85,5503
2017-01-10,307.15,307.15,308.55,301.1,303.6,123291,37451795.8,3369
2017-01-11,303.6,306.0,313.0,303.45,310.45,200938,62237611.2,4691
2017-01-12,310.45,310.45,312.5,308.0,310.1,100531,31186604.8,3460
2017-01-13,310.1,310.1,320.9,307.35,311.5,224725,70941001.2,5667
2017-01-16,311.5,308.0,316.85,308.0,312.05,53177,16679869.75,1433
2017-01-17,312.05,309.05,319.5,309.05,311.6,119840,37670786.65,2646
2017-01-18,311.6,311.7,318.25,311.7,315.4,118456,37403519.3,2949
2017-01-19,315.4,313.15,323.8,313.15,320.85,236883,76063192.9,4668
2017-01-20,320.85,316.75,323.8,305.15,309.65,88891,28187936.7,2057
2017-01-23,309.65,310.0,315.5,308.55,310.4,56004,17460326.75,971
2017-01-24,310.4,311.0,317.85,310.65,315.5,80832,25487162.4,2663
2017-01-25,315.5,316.9,322.0,316.7,317.5,89660,28539116.95,1451
2017-01-27,317.5,318.05,324.0,313.0,315.35,312336,99643405.85,2358
2017-01-30,315.35,321.0,322.0,311.5,313.0,87797,27636527.6,1697
2017-01-31,313.0,313.0,319.9,312.65,318.6,123024,38949632.5,2580
2017-02-01,318.6,318.6,324.8,318.4,324.3,115012,37059835.25,2586
2017-02-02,324.3,326.5,340.0,323.25,329.1,542009,180041693.75,9434
2017-02-03,329.1,331.75,337.0,331.0,335.85,199221,66701393.55,4079
2017-02-06,335.85,338.8,348.75,335.05,346.05,225750,77674577.55,3576
