Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,154.15,156.9,163.75,154.5,160.55,983880,157899606.85,9942
2017-01-03,160.55,161.75,162.8,158.0,161.85,752641,121329993.65,6148
2017-01-04,161.85,162.0,167.45,162.0,163.6,930419,152833243.4,6623
2017-01-05,163.6,164.7,167.9,160.0,160.95,1039103,169054312.65,8766
2017-01-06,160.95,161.4,171.55,154.15,170.7,1838441,307497500.85,16863
2017-01-09,170.7,172.4,176.3,168.1,171.0,892511,153725902.65,8517
2017-01-10,171.0,171.1,175.75,170.0,170.9,1252452,216177950.6,9152
2017-01-11,170.9,171.4,174.9,169.1,171.2,634639,109055309.25,5042
2017-01-12,171.2,172.0,174.15,168.6,170.25,635038,108402105.35,4925
2017-01-13,170.25,170.1,172.5,168.9,170.15,668542,114180384.4,4842
2017-01-16,170.15,170.95,175.4,170.55,172.4,1069276,185297374.25,5111
2017-01-17,172.4,173.75,177.7,173.15,175.8,1770241,308977366.2,6394
2017-01-18,175.8,177.0,182.6,176.0,180.5,2028921,365902501.45,12914
2017-01-19,180.5,183.5,183.5,178.8,180.2,1124561,203281363.8,5470
2017-01-20,180.2,179.65,183.0,178.2,180.15,654410,118223363.8,4503
2017-01-23,180.15,179.1,184.55,179.1,180.15,497809,90414181.25,3913
2017-01-24,180.15,181.6,188.5,180.6,186.55,1178095,218246664.4,6538
2017-01-25,186.55,190.0,203.0,190.0,196.5,3286141,649752708.0,23240
2017-01-27,196.5,197.0,197.9,187.05,193.6,2115203,411058564.4,11066
2017-01-30,193.6,193.5,199.5,168.0,171.85,2721272,496538713.5,18384
2017-01-31,171.85,172.6,177.85,170.0,171.05,909434,156753462.2,8005
2017-02-01,171.05,172.0,173.8,168.05,171.65,546451,93435062.8,4304
2017-02-02,171.65,172.15,175.3,170.5,170.9,379496,65371330.1,4379
2017-02-03,170.9,171.9,172.6,170.5,170.85,427141,73050476.8,2704
2017-02-06,170.85,174.5,177.85,171.2,171.6,410327,71357214.4,6263
2017-02-07,171.6,172.0,172.3,168.25,170.3,218998,37294009.55,2499
2017-02-08,170.3,170.65,172.75,168.95,170.4,538364,92182421.25,3226
2017-02-09,170.4,171.4,172.15,169.65,170.25,272616,46523626.4,1946
2017-02-10,170.25,171.35,171.7,151.05,151.85,1782688,276390400.6,12736
2017-02-13,151.85,153.95,157.5,153.9,156.4,782904,121922283.5,6563
2017-02-14,156.4,157.25,157.25,150.0,150.55,810300,122746144.1,5373
2017-02-15,150.55,149.05,152.6,147.7,150.2,264797,39841074.35,2333
2017-02-16,150.2,151.55,154.5,148.5,153.95,386982,59025992.95,3098
2017-02-17,153.95,154.9,155.25,149.55,150.05,538511,82201903.2,3118
2017-02-20,150.05,150.0,152.35,149.9,150.65,231158,34912545.4,1817
2017-02-21,150.65,151.5,161.8,151.5,157.9,1221491,191637771.5,8737
2017-02-22,157.9,159.35,164.0,158.6,160.0,1017682,164215231.4,7356
2017-02-23,160.0,161.6,166.8,160.0,160.15,1223683,198302738.0,9167
2017-02-27,160.15,161.0,162.05,159.15,160.1,873999,140513183.55,1798
2017-02-28,160.1,160.3,160.75,155.95,156.6,366424,57984010.1,3168
2017-03-01,156.6,158.4,159.0,151.5,154.0,167122,25895827.0,1917
2017-03-02,154.0,155.3,156.4,151.6,152.2,224379,34566272.95,1491
2017-03-03,152.2,151.9,163.7,151.9,158.2,860476,136036278.25,7451
