Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,702.6,703.45,710.5,695.775,706.375,510200,359754369.75,8981
2017-01-03,706.375,708.45,710.65,697.85,701.175,540568,379869555.5,9377
2017-01-04,701.175,701.95,720.75,701.95,709.65,962940,687076027.0,16580
2017-01-05,709.65,716.75,729.5,712.5,716.55,986338,711312160.2,16693
2017-01-06,716.55,716.5,720.725,692.5,696.075,885408,621114756.6,16292
2017-01-09,696.075,695.075,699.4,686.1,693.95,343776,237680133.05,8749
2017-01-10,693.95,699.2,712.475,698.525,705.525,631708,446608744.75,12376
2017-01-11,705.525,707.075,709.5,695.0,699.65,366560,256830388.65,8037
2017-01-12,699.65,700.0,710.8,697.0,702.725,450288,316612886.75,12281
2017-01-13,702.725,711.0,718.375,694.55,699.85,646322,455399514.25,12825
2017-01-16,699.85,695.0,710.5,690.025,707.475,422874,297122193.55,8963
2017-01-17,707.475,710.0,722.0,706.775,711.55,711454,509174811.35,13389
2017-01-18,711.55,726.5,760.85,721.05,757.475,4931634,3693051644.9,78607
2017-01-19,757.475,762.8,777.5,759.1,761.375,2419762,1852799794.7,38125
2017-01-20,761.375,762.4,762.4,733.65,741.225,1050030,782782541.85,18838
2017-01-23,741.225,742.5,749.5,728.4,744.475,719482,532393977.35,15188
2017-01-24,744.475,745.5,758.0,742.5,751.575,512038,383204667.3,11365
2017-01-25,751.575,762.55,766.5,728.8,732.375,2247448,1678519256.3,38745
2017-01-27,732.375,734.4,745.2,733.0,736.0,580684,428524852.1,10807
2017-01-30,736.0,734.0,736.175,723.5,729.25,498206,362813321.25,11768
2017-01-31,729.25,729.0,729.0,701.5,711.675,736740,527145643.9,17189
2017-02-01,711.675,705.05,733.5,697.025,725.15,1193752,857705170.35,24842
2017-02-02,725.15,724.0,740.75,714.0,735.1,789910,576868082.6,15374
2017-02-03,735.1,736.0,743.4,731.1,737.325,413684,304985277.8,7822
2017-02-06,737.325,742.5,742.5,727.5,734.275,345194,253743848.9,7526
2017-02-07,734.275,734.275,734.3,721.525,726.6,400696,291303697.7,8937
2017-02-08,726.6,724.85,753.475,722.675,747.85,1533174,1137810717.4,28411
2017-02-09,747.85,752.95,759.25,741.65,750.525,888816,668450508.95,17102
2017-02-10,750.525,754.65,754.675,742.625,745.825,397040,297209356.15,9262
2017-02-13,745.825,750.5,754.0,735.6,747.25,445182,331936726.45,9441
2017-02-14,747.25,748.0,748.85,735.05,739.45,377830,279940693.9,8828
