Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-10-06,1808.15,450.0,450.0,427.5,427.5,11935,5243631.4,199
2022-10-07,427.5,406.15,406.15,406.15,406.15,139,56454.85,36
2022-10-10,406.15,385.85,385.85,385.85,385.85,57,21993.45,17
2022-10-11,385.85,366.6,366.6,366.6,366.6,133,48757.8,28
2022-10-12,366.6,348.3,348.3,348.3,348.3,161,56076.3,18
2022-10-13,348.3,330.9,330.9,330.9,330.9,6223,2059190.7,117
2022-10-14,330.9,317.8,325.0,314.4,315.0,66387,20923977.75,1093
2022-10-17,315.0,330.75,330.75,330.75,330.75,5539,1832024.25,165
2022-10-18,330.75,347.25,347.25,347.25,347.25,451,156609.75,66
2022-10-19,347.25,364.6,364.6,364.6,364.6,359,130891.4,45
2022-10-20,364.6,424.0,437.5,399.9,437.5,27244,11763340.8,314
2022-10-21,437.5,494.0,525.0,482.4,522.05,322149,166514799.1,7311
2022-10-24,522.05,547.0,574.25,545.0,567.1,53243,30016266.65,2123
2022-10-25,567.1,594.9,623.8,586.15,623.8,80037,48810132.15,4102
2022-10-27,623.8,654.7,680.0,561.45,564.1,191456,118802350.3,12501
2022-10-28,564.1,562.0,580.95,507.7,507.7,91729,48395622.6,4894
2022-10-31,507.7,500.0,513.45,466.3,500.45,76791,37773749.3,4364
2022-11-01,500.45,485.3,550.45,485.3,550.45,25253,13611138.6,1312
2022-11-02,550.45,600.0,605.45,535.0,576.8,140742,81847851.4,5971
2022-11-03,576.8,563.0,577.45,540.05,549.95,44097,24456590.65,3155
2022-11-04,549.95,536.0,575.0,536.0,543.2,28057,15666571.15,1802
2022-11-07,543.2,550.0,569.0,500.0,513.8,34651,18017456.4,2545
2022-11-09,513.8,497.05,532.7,497.05,508.0,28188,14480995.05,2431
2022-11-10,508.0,510.05,518.3,485.0,490.25,14452,7193425.65,948
2022-11-11,490.25,495.4,518.0,475.0,484.05,11286,5596277.35,848
2022-11-14,484.05,532.45,532.45,522.65,532.45,24131,12840955.8,388
2022-11-15,532.45,557.8,579.0,523.95,537.7,42445,23134812.15,2075
2022-11-16,537.7,537.7,537.7,506.0,513.95,11570,5984797.45,1091
2022-11-17,513.95,514.0,521.95,490.0,503.05,7178,3657849.8,739
2022-11-18,503.05,495.0,520.0,491.2,497.45,6498,3228556.55,498
2022-11-21,497.45,488.0,493.0,464.6,472.1,8749,4193371.2,625
2022-11-22,472.1,453.0,469.85,430.5,433.05,25324,11391398.85,1494
2022-11-23,433.05,435.15,476.35,430.55,476.35,10374,4811218.35,511
2022-11-24,476.35,499.0,518.8,480.05,495.0,44100,22110607.55,2742
2022-11-25,495.0,487.9,504.85,487.9,495.75,10925,5412126.05,768
2022-11-28,495.75,481.0,543.0,481.0,522.35,28682,14867695.85,1542
2022-11-29,522.35,543.5,543.5,504.0,506.7,14989,7738343.95,2701
2022-11-30,506.7,518.0,523.95,501.0,504.85,19474,9933796.15,3222
2022-12-01,504.85,507.4,516.0,491.05,503.75,10444,5291218.35,1144
2022-12-02,503.75,503.75,513.0,495.3,498.55,3199,1613424.55,429
2022-12-05,498.55,502.55,504.05,494.0,495.75,3240,1612286.75,240
2022-12-06,495.75,477.0,493.85,477.0,482.75,3238,1578068.45,409
2022-12-07,482.75,485.2,493.65,468.8,473.95,8462,4034208.5,1036
2022-12-08,473.95,478.75,488.9,463.5,466.4,7549,3572657.05,582
2022-12-09,466.4,471.5,481.9,430.7,450.9,14962,6799807.05,1103
2022-12-12,450.9,457.0,495.95,451.0,495.95,23981,11692555.25,693
2022-12-13,495.95,520.0,524.9,488.65,496.05,41356,21172829.45,2157
2022-12-14,496.05,494.0,496.25,476.65,487.4,10392,5039686.2,1726
2022-12-15,487.4,481.0,491.0,476.7,479.6,4626,2235233.6,701
2022-12-16,479.6,478.8,489.9,467.05,479.0,2883,1375007.9,424
2022-12-19,479.0,482.95,488.0,471.1,477.55,2803,1348910.45,350
2022-12-20,477.55,476.75,486.0,467.05,471.9,2508,1191893.5,319
2022-12-21,471.9,475.2,483.05,455.0,462.45,2743,1291584.55,517
2022-12-22,462.45,471.0,474.65,423.4,430.05,14267,6263188.3,1496
2022-12-23,430.05,432.25,434.95,400.0,401.6,8439,3479531.3,898
2022-12-26,401.6,401.6,441.0,401.6,438.9,10198,4386989.1,990
2022-12-27,438.9,441.1,468.45,436.6,442.05,4131,1841284.9,336
2022-12-28,442.05,442.1,449.35,430.55,441.65,4883,2150097.5,400
2022-12-29,441.65,441.65,446.2,420.0,425.6,2530,1103830.7,249
2022-12-30,425.6,428.1,467.8,428.1,458.3,8079,3622109.35,405
2023-01-02,458.3,450.5,460.6,441.0,444.8,4268,1926295.05,448
2023-01-03,444.8,447.65,460.0,436.0,449.85,2969,1322761.95,316
2023-01-04,449.85,444.5,453.8,429.1,436.5,4754,2067889.85,473
2023-01-05,436.5,438.7,470.0,431.3,453.6,9412,4254826.65,923
2023-01-06,453.6,447.55,458.6,444.9,446.7,3838,1733042.75,526
2023-01-09,446.7,446.65,491.35,441.0,482.45,45796,22256122.05,1757
2023-01-10,482.45,480.0,493.0,461.05,478.55,10266,4894914.65,910
2023-01-11,478.55,478.05,487.7,460.3,463.85,5121,2431576.7,482
2023-01-12,463.85,456.0,470.0,451.55,457.75,3726,1702682.6,317
2023-01-13,457.75,460.05,463.6,451.55,454.25,1346,616181.0,210
2023-01-16,454.25,456.55,459.95,445.0,450.9,5725,2582977.7,733
2023-01-17,450.9,450.95,452.85,434.3,436.15,6087,2689953.5,923
2023-01-18,436.15,438.35,479.75,438.35,449.65,41563,19512134.55,2705
2023-01-19,449.65,453.6,473.95,444.95,459.6,9485,4358645.75,661
2023-01-20,459.6,451.3,466.95,448.15,450.35,4297,1968467.15,475
2023-01-23,450.35,452.65,459.0,440.05,445.8,5205,2335263.15,469
2023-01-24,445.8,450.7,456.15,442.05,445.25,2855,1276903.35,395
2023-01-25,445.25,450.4,450.4,431.0,437.0,4956,2174722.3,837
2023-01-27,437.0,437.05,438.65,416.05,421.95,8210,3510545.95,531
2023-01-30,421.95,426.0,436.0,421.15,426.35,2401,1029051.65,242
2023-01-31,426.35,428.6,464.9,428.6,452.65,8345,3708226.85,598
