Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-09-15,510.0,495.0,515.0,481.0,509.65,2143945,1077673153.85,34948
2022-09-16,509.65,505.0,505.0,492.6,493.7,215374,107242570.45,11368
2022-09-19,493.7,494.75,499.0,489.0,497.15,140252,69359260.6,6764
2022-09-20,497.15,497.15,509.9,490.0,493.45,171893,85069578.35,6859
2022-09-21,493.45,495.0,505.0,490.0,493.2,201612,100240550.75,5263
2022-09-22,493.2,493.2,499.0,492.6,493.7,82122,40641824.5,3654
2022-09-23,493.7,495.95,496.35,486.5,490.1,100865,49594104.35,5506
2022-09-26,490.1,489.95,489.95,478.25,482.3,101873,49151744.95,7253
2022-09-27,482.3,488.0,488.0,480.0,480.95,61227,29540530.65,4047
2022-09-28,480.95,480.95,483.3,475.0,476.4,55243,26469641.15,4673
2022-09-29,476.4,487.5,489.8,476.1,481.65,64806,31167397.25,3247
2022-09-30,481.65,481.65,484.0,475.05,478.45,38768,18633399.75,3455
2022-10-03,478.45,482.55,483.45,473.5,474.5,47950,22838139.9,4524
2022-10-04,474.5,476.95,482.35,471.5,473.45,47965,22777712.25,4240
2022-10-06,473.45,479.1,482.65,474.8,480.25,45865,22018797.85,2848
2022-10-07,480.25,482.0,482.0,475.0,476.65,29209,13975663.05,2587
2022-10-10,476.65,480.0,480.0,470.0,470.9,47816,22633956.85,3168
2022-10-11,470.9,471.0,476.45,469.0,469.7,32487,15317954.7,3017
2022-10-12,469.7,468.0,471.05,464.45,467.0,85227,39870090.25,5607
2022-10-13,467.0,468.0,469.65,463.55,465.45,65116,30380499.85,5054
2022-10-14,465.45,467.85,474.85,465.0,466.15,51978,24363656.5,2984
2022-10-17,466.15,468.0,494.6,465.0,475.65,131322,62977686.3,5635
2022-10-18,475.65,479.3,490.0,476.35,486.05,63348,30807987.05,3503
2022-10-19,486.05,486.5,502.0,483.95,498.4,117064,57870940.7,5541
2022-10-20,498.4,500.0,500.0,481.1,485.35,48288,23745955.05,3361
2022-10-21,485.35,486.0,494.4,481.0,483.15,29622,14437286.55,2504
2022-10-24,483.15,494.0,494.0,483.5,490.15,13949,6859876.5,1126
2022-10-25,490.15,492.0,493.4,484.05,487.15,25312,12376692.85,1743
2022-10-27,487.15,488.0,537.65,487.15,514.35,593555,306404598.95,17537
2022-10-28,514.35,522.0,525.0,498.05,507.75,143964,73573884.5,6354
2022-10-31,507.75,510.95,513.95,501.0,503.0,79569,40422437.85,3163
2022-11-01,503.0,503.5,511.0,503.35,504.95,35234,17829193.55,2503
2022-11-02,504.95,503.0,504.95,493.6,494.65,63561,31695983.15,3646
2022-11-03,494.65,494.65,514.6,492.4,502.5,83741,42379672.85,5124
2022-11-04,502.5,502.5,511.45,501.0,505.85,53774,27282876.35,4663
2022-11-07,505.85,511.45,526.9,506.45,509.9,197647,101643851.35,8278
2022-11-09,509.9,512.0,518.6,506.15,508.5,103488,53006176.9,6105
2022-11-10,508.5,509.0,511.95,500.15,506.95,55708,28220735.6,4539
2022-11-11,506.95,512.0,516.5,491.55,501.95,78811,40220702.55,4338
2022-11-14,501.95,504.0,508.2,500.0,503.75,53761,27124832.65,3777
2022-11-15,503.75,503.5,507.45,502.8,504.0,23677,11964678.8,1496
2022-11-16,504.0,508.0,509.5,500.0,502.15,34580,17502507.6,2654
2022-11-17,502.15,500.15,510.5,500.15,509.8,118103,60116076.9,2255
2022-11-18,509.8,509.45,514.3,505.0,510.6,57353,29216050.85,3574
2022-11-21,510.6,512.75,525.0,508.1,510.0,240335,123422258.9,6107
2022-11-22,510.0,509.0,513.6,506.1,508.65,578808,295463656.05,3841
2022-11-23,508.65,512.9,512.9,505.0,507.3,41073,20911714.1,2755
2022-11-24,507.3,512.4,512.4,505.05,507.2,45300,23006053.75,3064
2022-11-25,507.2,508.45,518.1,505.0,510.05,139484,71155868.4,4473
2022-11-28,510.05,507.0,512.7,506.5,510.05,45850,23383750.95,2085
2022-11-29,510.05,513.3,513.3,506.3,507.3,31723,16173863.95,1645
2022-11-30,507.3,509.9,511.45,507.35,509.9,33986,17331063.65,1557
2022-12-01,509.9,518.5,548.5,517.3,528.75,778679,414640370.35,27110
2022-12-02,528.75,530.0,532.45,520.05,521.1,72437,37939514.05,4843
2022-12-05,521.1,523.45,530.0,515.1,522.2,51363,26974591.9,3946
2022-12-06,522.2,516.25,523.55,498.0,511.15,88458,45480770.7,5545
2022-12-07,511.15,511.15,517.75,510.3,515.65,33507,17238458.55,2472
2022-12-08,515.65,525.0,529.8,511.0,513.2,92381,47843732.1,4390
2022-12-09,513.2,519.0,519.0,510.0,512.9,49771,25552190.7,4636
2022-12-12,512.9,516.75,518.95,510.1,512.6,150892,77688013.8,4425
2022-12-13,512.6,513.0,524.6,507.5,521.1,171040,88324810.55,6282
2022-12-14,521.1,524.35,529.0,512.35,520.55,123205,64515880.7,6910
2022-12-15,520.55,525.0,526.7,512.7,513.5,130363,67629941.15,5392
2022-12-16,513.5,513.5,514.55,508.1,508.95,150055,76535463.45,3781
2022-12-19,508.95,509.0,513.85,501.7,503.55,116152,58708256.8,6181
2022-12-20,503.55,502.3,511.95,501.8,505.1,197361,99877120.2,3223
2022-12-21,505.1,507.5,510.2,491.35,493.4,147657,73543689.55,5537
2022-12-22,493.4,498.5,499.85,486.5,496.7,111304,55099763.25,4767
2022-12-23,496.7,497.0,497.0,481.6,483.4,75194,36537500.5,5565
2022-12-26,483.4,483.5,493.25,477.85,482.4,78651,38280890.1,3669
2022-12-27,482.4,487.8,490.0,483.4,484.95,32586,15841543.0,2168
2022-12-28,484.95,487.9,488.7,480.5,481.2,70234,33911342.8,3796
2022-12-29,481.2,486.7,486.7,478.15,479.1,36884,17699498.1,3784
2022-12-30,479.1,480.0,484.0,475.0,478.6,72140,34581317.35,4123
2023-01-02,478.6,487.55,487.55,477.3,478.05,65336,31296123.85,3286
2023-01-03,478.05,481.9,485.65,479.05,483.7,82224,39673139.95,3426
2023-01-04,483.7,484.75,487.75,478.2,482.4,97125,46692513.55,5027
2023-01-05,482.4,482.9,483.85,476.25,481.35,63906,30638283.2,6293
2023-01-06,481.35,482.0,482.0,475.0,479.6,33810,16187907.5,3933
2023-01-09,479.6,487.3,487.3,479.0,480.45,54440,26253614.4,4566
2023-01-10,480.45,484.95,484.95,478.0,479.9,32309,15499147.95,2698
2023-01-11,479.9,485.45,485.8,478.1,480.7,52333,25201026.95,3538
2023-01-12,480.7,485.0,485.0,478.65,479.9,44086,21157681.95,3360
