Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-06,2.9,2.9,2.9,2.9,2.9,100,290.0,1
2017-01-09,2.9,2.8,2.8,2.8,2.8,1000,2800.0,1
2017-01-10,2.8,2.75,2.75,2.75,2.75,500,1375.0,1
2017-01-11,2.75,2.75,2.75,2.65,2.65,600,1600.0,3
2017-01-13,2.65,2.65,2.65,2.65,2.65,1000,2650.0,2
2017-01-18,2.65,2.75,2.75,2.55,2.7,1500,4010.0,5
2017-01-19,2.7,2.75,2.8,2.65,2.65,860,2295.0,4
2017-01-24,2.65,2.65,2.65,2.55,2.55,101,257.65,2
2017-01-27,2.55,2.65,2.65,2.65,2.65,117,310.05,2
2017-01-30,2.65,2.65,2.65,2.65,2.65,8,21.2,1
2017-02-01,2.65,2.7,2.7,2.65,2.65,510,1376.5,2
2017-02-02,2.65,2.75,2.75,2.75,2.75,20,55.0,1
2017-02-07,2.75,2.65,2.65,2.65,2.65,510,1351.5,1
2017-02-08,2.65,2.75,2.75,2.75,2.75,2000,5500.0,1
2017-02-09,2.75,2.85,2.85,2.85,2.85,500,1425.0,1
2017-02-10,2.85,2.95,2.95,2.95,2.95,1200,3540.0,1
2017-02-13,2.95,3.05,3.05,3.05,3.05,112,341.6,4
2017-02-14,3.05,3.2,3.2,3.2,3.2,2362,7558.4,6
2017-02-15,3.2,3.35,3.35,3.35,3.35,250,837.5,2
2017-02-16,3.35,3.4,3.5,3.4,3.5,821,2843.5,5
2017-02-17,3.5,3.65,3.65,3.65,3.65,5001,18253.65,7
2017-02-20,3.65,3.8,3.8,3.8,3.8,766,2910.8,6
2017-02-21,3.8,3.95,3.95,3.95,3.95,1110,4384.5,2
2017-02-22,3.95,3.9,4.0,3.8,4.0,3600,14330.0,7
2017-02-23,4.0,4.2,4.2,3.8,3.8,22282,88861.6,37
2017-02-27,3.8,3.65,3.9,3.65,3.65,3531,12888.4,9
2017-02-28,3.65,3.5,3.8,3.5,3.5,8313,30595.5,8
2017-03-01,3.5,3.35,3.65,3.35,3.35,4481,15120.35,8
2017-03-02,3.35,3.2,3.2,3.2,3.2,2400,7680.0,4
2017-03-06,3.2,3.2,3.2,3.05,3.05,2200,7015.0,4
2017-03-07,3.05,3.2,3.2,3.2,3.2,100,320.0,1
2017-03-08,3.2,3.35,3.35,3.1,3.1,2200,7345.0,3
2017-03-09,3.1,2.95,2.95,2.95,2.95,200,590.0,1
2017-03-10,2.95,2.85,2.95,2.85,2.95,981,2843.95,2
2017-03-14,2.95,3.05,3.05,3.05,3.05,2025,6176.25,3
2017-03-15,3.05,2.9,2.95,2.9,2.95,300,880.0,3
2017-03-16,2.95,2.85,2.85,2.85,2.85,301,857.85,4
2017-03-17,2.85,2.75,2.75,2.75,2.75,400,1100.0,1
2017-03-20,2.75,2.65,2.7,2.65,2.7,500,1345.0,2
2017-03-21,2.7,2.75,2.75,2.75,2.75,1073,2950.75,5
2017-03-22,2.75,2.75,2.75,2.75,2.75,1,2.75,1
2017-03-23,2.75,2.85,2.85,2.85,2.85,350,997.5,4
2017-03-24,2.85,2.85,2.85,2.8,2.8,15,42.25,3
2017-03-27,2.8,2.9,2.9,2.85,2.85,2704,7796.6,7
2017-03-28,2.85,2.95,2.95,2.8,2.85,705,2004.3,10
2017-03-29,2.85,2.75,2.75,2.75,2.75,355,976.25,7
2017-03-31,2.75,2.75,2.75,2.75,2.75,600,1650.0,2
2017-04-05,2.75,2.7,2.8,2.7,2.8,301,822.7,4
2017-04-06,2.8,2.7,2.8,2.7,2.8,210,587.0,2
2017-04-07,2.8,2.7,2.7,2.7,2.7,1,2.7,1
2017-04-13,2.7,2.75,2.8,2.7,2.8,3300,9089.75,3
2017-04-17,2.8,2.75,2.75,2.75,2.75,100,275.0,1
2017-04-19,2.75,2.85,2.85,2.8,2.8,2100,5980.0,3
2017-04-20,2.8,2.8,2.9,2.8,2.9,205,584.5,3
2017-04-21,2.9,2.9,2.9,2.9,2.9,100,290.0,1
2017-04-24,2.9,2.8,2.8,2.8,2.8,2000,5600.0,1
2017-04-25,2.8,2.7,2.8,2.7,2.75,10400,28630.0,13
2017-04-27,2.75,2.75,2.75,2.75,2.75,191,525.25,2
2017-04-28,2.75,2.65,2.8,2.65,2.8,2200,5870.0,4
2017-05-02,2.8,2.8,2.8,2.8,2.8,25,70.0,1
2017-05-04,2.8,2.7,2.8,2.7,2.8,210,587.0,2
2017-05-05,2.8,2.8,2.8,2.8,2.8,501,1402.8,2
2017-05-08,2.8,2.75,2.75,2.75,2.75,122,335.5,2
2017-05-09,2.75,2.75,2.75,2.75,2.75,89,244.75,1
2017-05-10,2.75,2.7,2.7,2.7,2.7,200,540.0,1
2017-05-11,2.7,2.8,2.8,2.8,2.8,110,308.0,2
2017-05-12,2.8,2.75,2.75,2.75,2.75,1,2.75,1
2017-05-15,2.75,2.75,2.75,2.7,2.7,20,54.05,2
2017-05-16,2.7,2.75,2.75,2.75,2.75,2600,7150.0,4
2017-05-22,2.75,2.85,2.85,2.85,2.85,500,1425.0,5
