Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-07-02,10.42,10.96,10.96,10.37,10.41,343101,3609294.79,242
2025-07-03,10.41,10.46,10.46,10.3,10.31,117532,1215677.25,214
2025-07-04,10.31,10.37,10.67,10.36,10.43,86096,896264.14,168
2025-07-07,10.43,10.5,10.5,10.36,10.43,43099,448941.88,328
2025-07-08,10.43,10.45,10.47,10.4,10.44,50746,529855.91,128
2025-07-09,10.44,10.7,10.7,10.35,10.43,146401,1529021.85,137
2025-07-10,10.43,10.7,10.7,10.41,10.41,20842,217782.41,109
2025-07-11,10.41,10.7,10.7,10.33,10.35,39665,411710.65,177
2025-07-14,10.35,10.7,10.7,10.3,10.32,53556,552882.59,226
2025-07-15,10.32,10.7,10.7,10.31,10.35,73164,756308.39,124
2025-07-16,10.35,10.7,10.7,10.3,10.38,24533,254021.86,134
2025-07-17,10.38,10.4,10.41,10.32,10.32,27110,280899.93,129
2025-07-18,10.32,10.7,10.7,10.21,10.29,70745,726523.0,234
2025-07-21,10.29,10.7,10.7,10.2,10.3,40174,412966.15,160
2025-07-22,10.3,10.7,10.7,10.27,10.3,110555,1139461.37,344
2025-07-23,10.3,10.59,10.59,10.31,10.34,44810,463531.33,135
2025-07-24,10.34,10.7,10.7,10.21,10.29,21544,221902.78,258
2025-07-25,10.29,10.38,10.38,10.15,10.17,79833,814566.32,351
2025-07-28,10.17,10.7,10.7,10.05,10.07,61323,619137.42,445
2025-07-29,10.07,10.2,10.2,10.02,10.1,41124,413890.54,218
2025-07-30,10.1,10.15,10.15,10.09,10.11,17879,180983.4,162
2025-07-31,10.11,10.16,10.17,10.04,10.14,38099,384988.51,136
2025-08-01,10.14,10.16,10.17,10.07,10.1,29399,297759.8,151
2025-08-04,10.1,10.23,10.23,10.06,10.13,54284,548778.62,153
2025-08-05,10.13,10.17,10.18,10.08,10.14,21829,221019.5,193
2025-08-06,10.14,10.19,10.19,10.09,10.1,58499,592406.29,129
2025-08-07,10.1,10.15,10.15,10.03,10.1,18183,183156.47,183
2025-08-08,10.1,10.19,10.19,10.02,10.02,29318,294787.37,228
2025-08-11,10.02,10.07,10.11,10.0,10.07,14443,145057.96,143
2025-08-12,10.07,10.12,10.15,10.05,10.06,11686,118194.81,110
2025-08-13,10.06,10.06,10.15,10.06,10.09,12037,121604.48,100
2025-08-14,10.09,10.09,10.15,10.05,10.1,17038,172390.95,112
2025-08-18,10.1,10.3,10.37,10.24,10.27,41390,424870.95,113
2025-08-19,10.27,10.46,10.56,10.07,10.27,12664,130531.71,102
2025-08-20,10.27,10.46,10.46,10.25,10.3,38311,394701.67,110
2025-08-21,10.3,10.35,10.38,10.31,10.31,12025,124317.98,164
2025-08-22,10.31,10.36,10.39,10.25,10.29,107785,1113986.7,153
2025-08-25,10.29,10.49,10.49,10.29,10.33,25604,265141.99,98
2025-08-26,10.33,10.49,10.49,10.2,10.24,57638,590688.13,152
2025-08-28,10.24,10.42,10.42,10.18,10.2,14780,151344.49,183
2025-08-29,10.2,10.24,10.29,10.15,10.18,4315478,43931874.5,210
2025-09-01,10.18,10.38,10.38,10.0,10.23,218263,2221852.19,403
2025-09-02,10.23,10.42,10.42,10.14,10.2,54423,556106.68,182
2025-09-03,10.2,10.19,10.24,10.15,10.22,24432,249348.48,125
2025-09-04,10.22,10.23,10.47,10.13,10.27,50091,515456.48,136
2025-09-05,10.27,10.32,10.35,10.23,10.29,14030,144288.78,105
2025-09-08,10.29,10.39,10.4,10.25,10.34,22543,232371.57,133
2025-09-09,10.34,10.4,10.4,10.3,10.38,60191,624375.03,112
2025-09-10,10.38,10.49,10.49,10.21,10.4,36383,379212.08,117
2025-09-11,10.4,10.66,10.66,10.37,10.41,23977,250017.54,122
2025-09-12,10.41,10.67,10.67,10.38,10.47,27458,287157.53,113
2025-09-15,10.47,10.65,10.65,10.43,10.47,58273,610105.35,227
2025-09-16,10.47,10.66,10.66,10.42,10.56,55242,581902.15,209
2025-09-17,10.56,10.74,10.74,10.48,10.6,93990,993474.29,167
2025-09-18,10.6,10.61,10.68,10.6,10.62,36962,392812.73,143
2025-09-19,10.62,10.79,10.79,10.56,10.6,47886,508009.95,153
2025-09-22,10.6,10.75,10.76,10.5,10.54,41652,440231.77,178
2025-09-23,10.54,10.72,10.72,10.53,10.6,445870,4705908.46,163
2025-09-24,10.6,10.65,10.65,10.53,10.55,34766,366838.05,134
2025-09-25,10.55,10.57,10.58,10.46,10.48,25326,266635.09,130
2025-09-26,10.48,10.56,10.56,10.38,10.41,47055,490478.03,148
2025-09-29,10.41,10.45,10.45,10.35,10.39,15629,162638.15,120
2025-09-30,10.39,10.45,10.45,10.34,10.37,23135,239974.67,115
2025-10-01,10.37,10.11,10.54,10.11,10.42,21862,227559.17,144
2025-10-03,10.42,10.66,10.66,10.4,10.46,24681,257743.98,130
2025-10-06,10.46,10.26,10.7,10.26,10.59,107821,1142136.3,151
2025-10-07,10.59,10.65,10.65,10.54,10.55,26316,278208.88,142
2025-10-08,10.55,10.6,10.63,10.54,10.57,27140,287278.8,108
2025-10-09,10.57,10.62,10.62,10.54,10.58,22990,242943.73,99
2025-10-10,10.58,10.61,10.68,10.58,10.66,194294,2072683.91,161
2025-10-13,10.66,10.65,10.67,10.58,10.65,30866,327787.07,177
2025-10-14,10.65,10.71,10.72,10.54,10.58,14559,154135.53,205
2025-10-15,10.58,10.63,10.69,10.58,10.66,27743,295683.06,208
2025-10-16,10.66,10.73,10.78,10.69,10.74,74532,799620.1,240
2025-10-17,10.74,10.78,10.9,10.74,10.82,175763,1905581.64,361
2025-10-20,10.82,10.87,11.23,10.83,10.94,215446,2368892.21,396
2025-10-21,10.94,11.12,11.12,10.9,10.95,20543,225436.24,167
2025-10-23,10.95,11.03,11.33,10.97,11.0,832177,9243912.01,512
2025-10-24,11.0,11.03,11.06,10.91,10.95,57696,632454.28,302
2025-10-27,10.95,10.99,11.02,10.93,11.0,50412,554368.19,330
2025-10-28,11.0,11.07,11.07,10.89,10.92,149682,1638542.61,345
2025-10-29,10.92,10.99,11.02,10.96,10.99,46359,510138.61,233
2025-10-30,10.99,11.0,11.0,10.91,10.92,45467,497034.43,321
2025-10-31,10.92,10.97,10.97,10.84,10.87,50491,550823.43,280
2025-11-03,10.87,10.92,10.92,10.81,10.85,29961,324603.77,306
2025-11-04,10.85,10.88,10.88,10.79,10.83,40495,438868.57,243
2025-11-06,10.83,10.84,11.01,10.76,10.78,471341,5091967.72,515
2025-11-07,10.78,10.81,10.81,10.72,10.79,75588,814395.54,266
2025-11-10,10.79,10.84,10.94,10.79,10.81,507503,5509846.44,465
2025-11-11,10.81,10.86,10.86,10.78,10.83,53626,579851.43,157
2025-11-12,10.83,10.89,10.95,10.85,10.91,125137,1364673.92,351
2025-11-13,10.91,10.91,10.95,10.86,10.9,165125,1802750.97,345
2025-11-14,10.9,11.12,11.12,10.85,10.92,38501,419868.0,175
2025-11-17,10.92,10.92,11.0,10.92,10.95,165455,1811478.81,324
2025-11-18,10.95,10.97,11.05,10.93,10.98,284532,3123671.5,305
2025-11-19,10.98,10.98,11.05,10.93,11.01,32201,353507.54,182
2025-11-20,11.01,11.06,11.1,11.01,11.03,331190,3656474.67,469
2025-11-21,11.03,11.02,11.08,11.01,11.03,22062,243897.37,189
2025-11-24,11.03,11.09,11.1,11.0,11.01,101888,1127974.04,329
2025-11-25,11.01,11.06,11.06,10.93,10.97,49690,545659.27,241
2025-11-26,10.97,11.02,11.09,10.97,11.08,34729,383745.7,123
2025-11-27,11.08,11.12,11.14,11.06,11.08,47036,522022.88,129
2025-11-28,11.08,11.09,11.14,11.08,11.12,141862,1577262.98,134
2025-12-01,11.12,11.13,11.17,11.08,11.11,46115,513050.48,225
2025-12-02,11.11,11.11,11.12,11.05,11.06,125292,1387994.06,170
2025-12-03,11.06,11.1,11.1,10.99,11.05,78677,868819.11,190
2025-12-04,11.05,11.04,11.09,11.01,11.08,24661,272506.87,154
2025-12-05,11.08,10.8,11.28,10.8,11.16,88292,984245.33,166
2025-12-08,11.16,11.2,11.2,11.03,11.08,153525,1702205.32,249
2025-12-09,11.08,11.12,11.12,10.96,11.02,133313,1467153.2,646
2025-12-10,11.02,11.03,11.04,10.96,10.99,95695,1051961.46,178
2025-12-11,10.99,11.04,11.05,10.95,11.04,111785,1231650.7,160
2025-12-12,11.04,11.31,11.31,11.01,11.09,39293,435261.68,162
