Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-04-07,500.0,489.85,587.8,481.85,587.8,5427365,2949269530.35,140345
2021-04-08,587.8,661.0,705.35,645.0,705.35,1934876,1344861236.9,33318
2021-04-09,705.35,748.75,833.7,666.0,722.6,4120915,2988187025.65,182215
2021-04-12,722.6,670.0,721.8,645.0,688.35,1205691,820701072.2,47970
2021-04-13,688.35,691.0,706.25,674.0,687.65,290357,200328389.8,11485
2021-04-15,687.65,668.8,703.0,656.85,693.3,309883,210005548.75,15011
2021-04-16,693.3,686.0,695.75,661.15,669.65,136359,92701722.3,9517
2021-04-19,669.65,638.0,654.85,626.75,648.7,146563,93725365.5,12761
2021-04-20,648.7,650.0,658.7,628.8,642.0,98595,63178503.6,6282
2021-04-22,642.0,633.0,648.65,626.0,634.55,96633,61431118.0,5482
2021-04-23,634.55,634.4,657.65,628.4,640.9,147515,94776819.35,12793
2021-04-26,640.9,640.9,649.95,631.1,635.9,50993,32579068.9,4666
2021-04-27,635.9,630.1,652.8,628.55,642.9,209234,134177592.15,9081
2021-04-28,642.9,641.4,644.0,629.05,635.25,178821,113519222.75,8355
2021-04-29,635.25,634.0,641.15,629.05,630.9,62237,39468250.55,5779
2021-04-30,630.9,626.05,638.8,620.0,622.9,99837,62910904.15,6281
2021-05-03,622.9,618.0,631.0,609.7,611.6,120156,74618481.75,6984
2021-05-04,611.6,614.0,624.0,603.45,608.3,137022,83782940.8,9527
2021-05-05,608.3,608.0,614.85,593.65,607.75,195015,117913152.8,12514
2021-05-06,607.75,619.0,619.0,590.65,593.85,152506,91028500.7,14628
2021-05-07,593.85,590.0,594.9,570.2,579.6,162064,93737649.75,12253
2021-05-10,579.6,579.6,585.0,565.0,576.55,213179,122486230.8,13357
2021-05-11,576.55,571.5,589.0,562.5,565.5,87206,49616818.75,7758
2021-05-12,565.5,560.05,570.6,560.05,564.0,84568,47823984.1,7186
2021-05-14,564.0,565.0,573.95,553.0,565.05,117014,66154865.6,14478
2021-05-17,565.05,573.9,573.9,552.35,560.9,124027,69698133.2,7197
2021-05-18,560.9,563.5,625.25,555.95,608.95,368949,216066624.9,18453
2021-05-19,608.95,614.0,614.0,587.0,595.45,212506,126681636.85,13797
2021-05-20,595.45,599.0,618.0,585.8,595.2,282810,170224030.55,26219
2021-05-21,595.2,603.0,628.0,596.45,623.4,257572,158305868.65,15862
2021-05-24,623.4,631.0,651.95,620.75,637.8,249597,158626195.05,12610
2021-05-25,637.8,657.0,765.35,650.0,750.2,2044826,1491239049.9,89708
2021-05-26,750.2,737.5,900.2,707.3,892.15,2908650,2386589373.3,125156
2021-05-27,892.15,870.0,953.35,845.0,877.55,1802294,1627715164.6,99609
2021-05-28,877.55,885.0,895.0,815.0,849.5,574861,491163077.35,28382
2021-05-31,849.5,870.0,886.45,845.0,850.35,208176,179148343.65,15065
2021-06-01,850.35,854.9,857.05,822.0,826.65,120549,100230964.85,12638
2021-06-02,826.65,829.0,829.0,773.0,804.7,258125,207520378.25,16703
2021-06-03,804.7,802.7,846.0,802.2,822.1,108364,89429782.5,5906
2021-06-04,822.1,834.9,878.0,820.0,850.35,248984,212849621.85,11342
2021-06-07,850.35,867.85,874.4,850.1,856.9,110995,95494581.75,6075
2021-06-08,856.9,859.5,861.85,835.25,849.5,64139,54637108.2,4559
2021-06-09,849.5,854.4,873.75,830.75,837.65,254668,215567581.95,10923
2021-06-10,837.65,843.25,853.95,835.0,837.7,50264,42226237.05,2798
2021-06-11,837.7,843.0,847.7,822.35,825.5,90006,74729109.9,5382
2021-06-14,825.5,834.0,839.75,808.5,818.45,143946,117767364.0,8248
2021-06-15,818.45,831.7,865.0,814.0,825.6,104536,87930508.35,5421
2021-06-16,825.6,828.0,833.65,816.0,827.45,56661,46656878.2,3580
2021-06-17,827.45,825.0,909.7,812.0,874.3,461847,404416244.15,23813
2021-06-18,874.3,884.0,943.75,822.8,920.6,620902,564929007.65,36962
2021-06-21,920.6,919.7,980.0,905.0,946.6,339706,325750247.45,21364
2021-06-22,946.6,972.0,972.0,905.0,914.5,130049,121458561.9,9269
2021-06-23,914.5,919.1,924.0,879.9,882.7,122861,109970841.55,8223
2021-06-24,882.7,886.0,928.0,860.0,891.6,190525,171122201.2,12636
2021-06-25,891.6,908.0,915.0,888.05,892.2,112040,101036400.5,8084
2021-06-28,892.2,900.0,916.95,875.7,885.1,112389,100829423.0,7812
2021-06-29,885.1,890.0,905.0,875.05,879.25,44287,39209051.75,3459
2021-06-30,879.25,880.0,917.0,880.0,888.95,90932,81754411.75,5734
2021-07-01,888.95,894.6,914.0,886.25,897.3,72078,65052773.1,4322
2021-07-02,897.3,912.2,912.2,877.25,882.2,53938,48168539.35,3447
2021-07-05,882.2,896.95,898.05,876.65,884.85,36932,32812790.6,3005
2021-07-06,884.85,893.6,950.0,882.05,907.1,251504,232989707.55,14316
2021-07-07,907.1,914.5,924.8,894.0,903.15,43720,39644816.7,2954
2021-07-08,903.15,905.05,948.0,905.05,912.7,157543,145396000.15,8146
2021-07-09,912.7,913.0,927.4,891.65,906.6,55338,50266596.15,3247
2021-07-12,906.6,907.0,919.0,892.0,900.9,45425,41239202.95,2681
2021-07-13,900.9,914.8,928.7,876.8,899.7,195413,175376501.3,11235
2021-07-14,899.7,899.0,921.0,899.0,908.85,88665,80919124.8,5933
2021-07-15,908.85,913.0,928.0,900.0,901.45,54528,49747303.1,3623
2021-07-16,901.45,909.8,935.0,895.7,908.7,102425,93707743.1,6760
2021-07-19,908.7,891.7,918.25,865.25,880.7,64421,57592707.6,4306
2021-07-20,880.7,898.9,898.9,867.6,873.25,44608,39217657.1,3611
2021-07-22,873.25,880.7,911.8,870.05,881.85,174120,154872908.95,8917
2021-07-23,881.85,887.45,895.5,873.0,886.9,85784,75770745.65,4043
2021-07-26,886.9,890.95,894.1,874.0,878.95,29959,26445823.45,1562
2021-07-27,878.95,887.2,893.0,865.0,868.6,38123,33581713.2,2221
2021-07-28,868.6,876.3,880.8,852.1,861.1,47618,41293333.6,3398
