Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,0.45,0.45,0.45,0.4,0.4,3328523,1350938.2,171
2017-01-03,0.4,0.35,0.4,0.35,0.35,4281832,1534391.05,248
2017-01-04,0.35,0.35,0.35,0.3,0.35,1563359,546721.25,104
2017-01-05,0.35,0.35,0.35,0.3,0.35,1245184,432805.45,99
2017-01-06,0.35,0.35,0.35,0.3,0.35,3623635,1267552.15,92
2017-01-09,0.35,0.35,0.35,0.3,0.35,1935188,676883.25,73
2017-01-10,0.35,0.35,0.35,0.3,0.35,1491112,521485.15,62
2017-01-11,0.35,0.35,0.4,0.3,0.4,12494996,4574233.95,209
2017-01-12,0.4,0.45,0.45,0.4,0.45,2108199,947895.5,266
2017-01-13,0.45,0.5,0.5,0.4,0.45,1377899,620845.35,127
2017-01-16,0.45,0.45,0.5,0.4,0.45,1940546,871438.8,156
2017-01-17,0.45,0.45,0.5,0.45,0.45,632064,287651.8,73
2017-01-18,0.45,0.45,0.5,0.45,0.5,495163,231548.95,56
2017-01-19,0.5,0.5,0.5,0.4,0.5,324351,152179.95,95
2017-01-20,0.5,0.45,0.5,0.45,0.5,843034,383963.7,65
2017-01-23,0.5,0.45,0.5,0.45,0.5,673675,328551.2,44
2017-01-24,0.5,0.45,0.5,0.4,0.45,2487477,1122293.2,124
2017-01-25,0.45,0.45,0.5,0.45,0.45,558205,263994.85,42
2017-01-27,0.45,0.45,0.5,0.45,0.5,512827,237799.65,49
2017-01-30,0.5,0.45,0.5,0.4,0.4,1000923,447954.05,91
2017-01-31,0.4,0.45,0.45,0.4,0.45,164365,72181.5,44
2017-02-01,0.45,0.4,0.45,0.4,0.4,49245,20610.5,23
2017-02-02,0.4,0.4,0.45,0.4,0.45,557625,246743.05,49
2017-02-03,0.45,0.4,0.45,0.4,0.45,187300,79257.5,27
2017-02-06,0.45,0.4,0.45,0.4,0.45,213617,94806.8,28
2017-02-07,0.45,0.45,0.45,0.4,0.4,155304,65027.7,29
2017-02-08,0.4,0.45,0.45,0.4,0.45,401714,179642.4,79
2017-02-09,0.45,0.4,0.5,0.4,0.5,4862957,2377562.3,192
2017-02-10,0.5,0.55,0.6,0.5,0.6,4858763,2807964.45,417
2017-02-13,0.6,0.65,0.7,0.55,0.7,5812357,3753718.95,557
2017-02-14,0.7,0.75,0.75,0.7,0.75,3083032,2289086.55,374
2017-02-15,0.75,0.8,0.8,0.75,0.8,2694005,2117692.4,304
2017-02-16,0.8,0.85,0.85,0.75,0.85,1031176,859053.8,147
2017-02-17,0.85,0.9,0.9,0.8,0.8,584844,469702.9,162
2017-02-20,0.8,0.75,0.85,0.75,0.75,1574272,1246451.85,216
2017-02-21,0.75,0.7,0.8,0.7,0.7,568484,401533.05,87
2017-02-22,0.7,0.65,0.7,0.65,0.65,943638,627888.7,112
2017-02-23,0.65,0.65,0.7,0.6,0.65,816725,508458.7,156
2017-02-27,0.65,0.6,0.7,0.6,0.65,203483,131731.75,70
2017-02-28,0.65,0.6,0.7,0.6,0.7,577665,389404.25,85
2017-03-01,0.7,0.75,0.75,0.65,0.75,3958471,2874820.6,237
2017-03-02,0.75,0.75,0.8,0.7,0.7,5843294,4483092.2,296
2017-03-03,0.7,0.75,0.75,0.65,0.7,1474038,1033380.55,172
2017-03-06,0.7,0.75,0.75,0.65,0.65,3139573,2055904.8,181
2017-03-07,0.65,0.7,0.7,0.6,0.6,2728725,1652525.4,215
2017-03-08,0.6,0.65,0.65,0.55,0.55,4994720,2820088.15,234
2017-03-09,0.55,0.55,0.6,0.5,0.55,4312847,2383208.35,257
2017-03-10,0.55,0.55,0.6,0.5,0.55,9840580,5524840.35,327
2017-03-14,0.55,0.6,0.6,0.5,0.5,22501719,11485369.3,633
2017-03-15,0.5,0.55,0.55,0.45,0.45,13208784,6013458.75,382
2017-03-16,0.45,0.45,0.5,0.4,0.45,9854853,4446562.15,357
2017-03-17,0.45,0.45,0.5,0.4,0.45,24528650,11111198.35,523
2017-03-20,0.45,0.45,0.45,0.4,0.45,5697302,2547802.25,136
