Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-04-11,137.0,125.0,131.25,125.0,131.25,3043170,380830750.0,2905
2022-04-12,131.25,137.8,137.8,137.8,137.8,10595,1459991.0,136
2022-04-13,137.8,144.65,144.65,144.65,144.65,11223,1623406.95,135
2022-04-18,144.65,151.85,151.85,151.85,151.85,38925,5910761.25,425
2022-04-19,151.85,159.4,159.4,159.4,159.4,17060,2719364.0,262
2022-04-20,159.4,166.0,167.35,161.5,167.35,148163,24707431.15,1023
2022-04-21,167.35,175.7,175.7,174.8,175.7,45288,7956834.8,494
2022-04-22,175.7,184.45,184.45,184.45,184.45,10275,1895223.75,167
2022-04-25,184.45,193.65,193.65,193.65,193.65,11660,2257959.0,171
2022-04-26,193.65,203.3,203.3,203.3,203.3,6751,1372478.3,102
2022-04-27,203.3,223.6,223.6,223.6,223.6,5656,1264681.6,112
2022-04-28,223.6,245.95,245.95,230.0,245.95,775206,188898339.65,9873
2022-04-29,245.95,270.5,270.5,245.95,270.5,275639,74111696.6,2740
2022-05-02,270.5,284.0,284.0,284.0,284.0,12408,3523872.0,216
2022-05-04,284.0,298.2,298.2,269.8,269.8,868764,250137981.85,9898
2022-05-05,269.8,256.35,283.25,256.35,266.1,1692937,452963564.25,21447
2022-05-06,266.1,257.1,260.8,252.8,253.25,240119,61111213.05,3944
2022-05-09,253.25,241.55,247.8,240.6,240.6,733192,177020784.25,3949
2022-05-10,240.6,234.0,238.4,228.6,228.6,76248,17595363.25,1235
2022-05-11,228.6,220.0,232.3,217.2,217.2,345673,76213135.35,3830
2022-05-12,217.2,206.35,206.35,206.35,206.35,47386,9778101.1,201
2022-05-13,206.35,197.0,216.65,196.05,207.35,978707,204675975.85,8631
2022-05-16,207.35,206.25,217.7,198.0,199.5,312555,65472577.8,5843
2022-05-17,199.5,199.95,209.45,189.55,209.45,281705,55887873.95,6359
2022-05-18,209.45,217.8,219.9,209.0,211.3,352110,76260999.1,4452
2022-05-19,211.3,201.0,208.45,200.75,200.75,247351,50130262.25,2386
2022-05-20,200.75,205.05,207.1,190.75,193.2,259968,51480312.8,3783
2022-05-23,193.2,191.0,191.45,183.55,183.9,465500,86448811.25,4498
2022-05-24,183.9,185.9,193.05,175.0,193.05,305846,56695760.25,4083
2022-05-25,193.05,199.8,202.7,184.55,188.65,360747,70653603.1,6002
2022-05-26,188.65,193.65,194.25,179.25,192.35,234173,43048342.95,3577
2022-05-27,192.35,195.0,200.9,186.95,197.65,177280,34376314.05,3092
2022-05-30,197.65,201.85,207.5,201.85,207.5,144725,29824851.15,1231
2022-05-31,207.5,214.0,217.85,199.25,217.85,218596,46507902.65,2497
2022-06-01,217.85,226.4,228.7,218.45,227.3,367969,83261207.5,4871
2022-06-02,227.3,229.6,238.65,225.1,238.65,294368,69411053.65,4630
2022-06-03,238.65,245.45,246.9,226.75,237.75,384054,90752872.9,6839
2022-06-06,237.75,235.0,247.05,231.1,235.9,149253,35558607.45,3392
2022-06-07,235.9,235.9,237.9,226.0,228.55,78530,18116352.25,1821
2022-06-08,228.55,229.0,234.0,220.5,222.6,104729,23819374.95,2480
