Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-05-03,33.5,35.95,37.4,34.45,36.25,828447,29661455.0,2662
2023-05-04,36.25,36.6,37.0,34.1,34.65,783007,27657012.1,4500
2023-05-05,34.65,35.0,35.35,32.6,33.5,228688,7746457.65,1282
2023-05-08,33.5,33.5,33.8,32.35,32.7,217232,7113328.55,1142
2023-05-09,32.7,33.35,33.35,32.15,32.55,436775,14209148.3,1241
2023-05-10,32.55,32.6,32.75,31.1,31.4,396787,12585836.6,1329
2023-05-11,31.4,31.55,32.6,31.15,31.5,184922,5921758.9,1327
2023-05-12,31.5,31.55,31.85,30.75,30.9,719780,22369645.75,1218
2023-05-15,30.9,31.15,35.9,30.35,33.15,3596028,123771556.2,24149
2023-05-16,33.15,35.4,37.1,32.65,33.65,2403939,82935358.1,10102
2023-05-17,33.65,34.0,34.7,32.0,32.65,999558,33493137.1,6543
2023-05-18,32.65,32.8,33.5,32.4,32.65,255092,8406808.55,1397
2023-05-19,32.65,33.0,35.6,32.85,34.1,821191,28142686.75,4041
2023-05-22,34.1,33.65,34.25,32.9,33.25,312517,10439193.25,1913
2023-05-23,33.25,33.3,35.75,33.15,34.5,1760553,60574527.0,11912
2023-05-24,34.5,34.65,34.9,33.85,33.95,236641,8131221.2,1204
2023-05-25,33.95,34.05,34.65,32.95,33.45,535610,18002119.8,1715
2023-05-26,33.45,33.55,34.0,33.35,33.75,228145,7692218.05,745
2023-05-29,33.75,33.85,34.2,33.4,33.75,88668,2995289.1,612
2023-05-30,33.75,33.45,34.05,33.2,33.4,294115,9848193.65,884
2023-05-31,33.4,33.35,34.7,33.05,34.05,801288,27168638.7,6109
2023-06-01,34.05,34.2,34.95,33.5,33.7,239519,8182318.15,2212
2023-06-02,33.7,33.95,34.6,33.65,33.95,282307,9621171.45,1182
2023-06-05,33.95,34.2,37.0,34.2,35.75,1900545,68526100.05,5088
2023-06-06,35.75,36.0,36.5,34.65,35.0,811473,28610674.1,1945
2023-06-07,35.0,35.2,35.3,33.8,34.2,507992,17449952.75,2020
2023-06-08,34.2,34.4,35.25,34.0,34.2,468062,16189513.25,1496
2023-06-09,34.2,34.7,35.95,34.1,34.6,448727,15742185.8,2138
2023-06-12,34.6,35.0,40.7,34.95,39.35,4552922,173999647.55,9844
2023-06-13,39.35,39.9,43.7,39.5,42.6,5015856,210454691.9,15600
2023-06-14,42.6,42.3,45.0,42.0,43.9,2414531,105480476.85,6566
2023-06-15,43.9,43.9,46.4,43.2,44.3,1987167,88985200.6,7904
2023-06-16,44.3,44.6,45.4,42.1,44.5,2027017,89308451.4,5506
2023-06-19,44.5,44.65,46.3,42.6,45.9,2418391,108278158.7,4293
2023-06-20,45.9,45.9,50.5,45.2,49.1,5443791,261507462.85,8994
2023-06-21,49.1,49.45,53.7,48.95,52.05,3606885,183225692.6,9161
2023-06-22,52.05,52.3,52.45,50.1,50.95,1977356,101594689.95,5193
2023-06-23,50.95,50.85,52.3,49.05,50.05,1841597,93912901.75,5402
2023-06-26,50.05,49.75,51.85,48.65,49.8,1583907,79924660.8,3874
2023-06-27,49.8,49.05,50.4,46.65,47.8,754521,37078358.65,2597
2023-06-28,47.8,47.2,49.35,46.0,46.35,934093,44861648.35,3213
2023-06-30,46.35,46.25,47.05,44.05,46.1,664269,29816696.4,1292
2023-07-03,46.1,45.15,46.8,43.8,43.95,325762,14600502.95,804
2023-07-04,43.95,44.0,45.9,42.25,44.0,290254,12809912.6,793
2023-07-05,44.0,44.15,44.8,42.2,42.85,247437,10664176.6,557
2023-07-06,42.85,43.1,43.7,40.7,40.8,657416,27227878.05,1166
