Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-07-03,207.0,240.0,252.0,240.0,252.0,2045471,501505073.05,17195
2024-07-04,252.0,264.6,264.6,264.6,264.6,200911,53161050.6,1822
2024-07-05,264.6,273.0,273.0,253.35,260.14,1826577,484687392.05,28761
2024-07-08,260.14,259.89,259.89,247.13,247.13,263078,65751196.22,4381
2024-07-09,247.13,235.55,244.7,234.77,237.88,734821,174638982.57,10144
2024-07-10,237.88,233.01,242.88,226.05,240.12,525942,123070326.47,8543
2024-07-11,240.12,240.0,240.0,235.5,236.76,126955,30167034.1,2862
2024-07-12,236.76,238.89,238.89,230.6,233.07,159544,37297154.08,3407
2024-07-15,233.07,236.95,237.75,233.15,235.19,157733,37122093.96,4000
2024-07-16,235.19,237.0,246.94,234.0,246.23,522626,127082194.83,4087
2024-07-18,246.23,247.0,256.65,240.06,246.97,1380041,343925206.19,13304
2024-07-19,246.97,248.7,248.7,233.0,236.17,353244,84545320.83,5098
2024-07-22,236.17,236.17,246.0,233.15,239.03,190610,45655945.48,4244
2024-07-23,239.03,240.0,243.85,225.01,236.88,197540,46455046.38,7011
2024-07-24,236.88,239.99,241.97,233.7,236.11,193149,45848514.88,5260
2024-07-25,236.11,234.0,250.99,233.0,239.98,210529,50608511.17,8851
2024-07-26,239.98,241.9,242.9,235.82,238.55,159504,38064271.05,6683
2024-07-29,238.55,241.8,241.99,229.1,233.36,221593,52197678.55,6830
2024-07-30,233.36,231.0,238.0,231.0,234.42,147538,34615038.91,6466
2024-07-31,234.42,235.0,236.0,228.6,229.64,190682,44090402.62,6338
2024-08-01,229.64,233.44,233.44,220.0,223.99,249414,56432586.9,9389
2024-08-02,223.99,223.6,234.0,220.98,226.31,202659,45725750.49,6461
2024-08-05,226.31,224.25,224.25,210.85,212.46,342398,74101915.95,12024
2024-08-06,212.46,213.1,218.2,210.96,212.25,103865,22292130.28,5888
2024-08-07,212.25,214.8,220.8,212.6,217.78,120445,26128783.04,6504
2024-08-08,217.78,218.4,230.6,215.82,218.04,387054,87021207.55,12092
2024-08-09,218.04,223.0,224.59,220.78,222.39,62598,13956203.32,3993
2024-08-12,222.39,220.0,222.97,214.85,216.98,101094,22124321.31,5949
2024-08-13,216.98,217.0,219.99,212.0,213.08,114634,24569005.72,6886
2024-08-14,213.08,213.08,222.0,212.51,216.0,118145,25399746.03,5782
2024-08-16,216.0,218.9,222.0,213.76,214.61,101069,21825494.25,5367
2024-08-19,214.61,218.9,218.9,209.9,212.89,160511,34297525.14,5996
2024-08-20,212.89,215.87,216.09,212.51,212.74,103545,22132140.77,4239
2024-08-21,212.74,215.0,218.99,212.46,215.27,201852,43421351.89,5915
2024-08-22,215.27,216.78,218.78,213.5,215.81,92995,20129717.32,4542
2024-08-23,215.81,215.81,224.49,215.81,221.15,183073,40397247.56,6786
2024-08-26,221.15,223.45,224.85,219.0,222.15,209185,46512292.39,7173
2024-08-27,222.15,222.15,227.5,222.0,223.12,190579,42847580.74,8362
2024-08-28,223.12,224.4,224.4,218.0,219.66,119040,26156192.18,6162
2024-08-29,219.66,222.0,222.0,215.5,217.46,94657,20615783.94,5472
2024-08-30,217.46,216.3,219.39,216.0,217.24,47570,10346023.57,3221
2024-09-02,217.24,220.0,225.1,215.05,223.58,457394,101707796.83,13450
2024-09-03,223.58,224.7,225.0,218.25,219.19,162911,36122611.71,6382
2024-09-04,219.19,219.0,221.23,215.84,217.82,78351,17105312.72,4204
2024-09-05,217.82,219.57,219.7,215.7,215.92,65404,14186951.25,3604
2024-09-06,215.92,216.0,218.29,213.31,214.6,85573,18398736.71,5250
2024-09-09,214.6,212.27,217.0,210.68,211.83,90145,19105573.78,4211
2024-09-10,211.83,227.99,254.19,221.53,246.77,5436574,1333578614.24,85625
2024-09-11,246.77,250.0,276.84,249.01,260.25,4437346,1177255150.54,80991
2024-09-12,260.25,266.2,274.85,250.01,252.37,1893919,501027187.23,47620
2024-09-13,252.37,255.9,263.14,253.0,258.05,754581,195087319.39,21602
2024-09-16,258.05,259.02,260.0,248.33,251.22,442638,111517468.3,19389
2024-09-17,251.22,249.0,250.89,241.0,242.64,357296,87463918.02,12792
2024-09-18,242.64,241.0,258.0,240.45,252.22,705495,177641447.03,24888
2024-09-19,252.22,253.65,256.0,242.3,245.97,347360,85862948.64,16213
2024-09-20,245.97,247.24,249.9,242.5,246.53,198969,48939268.6,6667
2024-09-23,246.53,248.0,268.9,246.9,263.05,1400173,366819350.28,40584
2024-09-24,263.05,263.01,296.7,258.21,282.27,3824247,1078971253.06,69723
2024-09-25,282.27,282.0,293.9,276.21,279.88,1482586,422377356.22,32193
