TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,2017-01-25,HINDUNILVR,FUTSTK,823.74,825.88,818.91,822.85,5007000,587542740.0,711600,1186,1096.0,5007000
2017-01-02,2017-02-23,HINDUNILVR,,824.49,824.49,815.63,821.85,0,0.0,0,0,,0
2017-01-02,2017-03-30,HINDUNILVR,,824.49,824.49,815.63,821.85,0,0.0,0,0,,0
2017-01-03,2017-01-25,HINDUNILVR,FUTSTK,825.88,829.97,817.32,827.08,5191800,990893400.0,1196400,1994,1780.0,5191800
2017-01-03,2017-02-23,HINDUNILVR,FUTSTK,830.32,831.46,830.32,831.46,8400,2002050.0,2400,4,4.0,8400
2017-01-03,2017-03-30,HINDUNILVR,,822.95,829.27,816.03,826.33,0,0.0,0,0,,0
2017-01-04,2017-01-25,HINDUNILVR,FUTSTK,827.38,833.85,814.68,821.85,5248200,1319303790.0,1596600,2661,2455.0,5248200
2017-01-04,2017-02-23,HINDUNILVR,FUTSTK,827.18,827.18,821.35,823.99,12000,4964250.0,6000,10,10.0,12000
2017-01-04,2017-03-30,HINDUNILVR,,826.33,833.85,813.09,818.12,0,0.0,0,0,,0
2017-01-05,2017-01-25,HINDUNILVR,FUTSTK,822.95,833.85,821.55,831.86,5272200,1008527070.0,1212000,2020,1845.0,5272200
2017-01-05,2017-02-23,HINDUNILVR,FUTSTK,829.42,835.14,829.42,835.14,11400,2506020.0,3000,5,5.0,11400
2017-01-05,2017-03-30,HINDUNILVR,,821.4,832.21,818.52,829.62,0,0.0,0,0,,0
2017-01-06,2017-03-30,HINDUNILVR,,829.37,871.09,828.17,830.22,0,0.0,0,0,,0
2017-01-06,2017-01-25,HINDUNILVR,FUTSTK,831.96,841.12,831.26,832.95,5354400,864356910.0,1029600,1716,1576.0,5354400
2017-01-06,2017-02-23,HINDUNILVR,FUTSTK,839.28,843.16,837.44,837.44,10800,5056890.0,6000,10,10.0,10800
2017-01-09,2017-01-25,HINDUNILVR,FUTSTK,832.61,834.25,826.83,828.52,5379000,343528080.0,411600,686,650.0,5379000
2017-01-09,2017-02-23,HINDUNILVR,FUTSTK,834.45,835.0,831.56,832.21,12600,3514830.0,4200,7,7.0,12600
2017-01-09,2017-03-30,HINDUNILVR,,834.45,835.0,824.84,827.53,0,0.0,0,0,,0
2017-01-10,2017-01-25,HINDUNILVR,FUTSTK,829.82,833.45,826.08,827.23,5360400,599407740.0,720000,1200,1155.0,5360400
2017-01-10,2017-02-23,HINDUNILVR,FUTSTK,832.71,832.71,830.07,830.66,17400,7011210.0,8400,14,14.0,17400
2017-01-10,2017-03-30,HINDUNILVR,,830.27,832.41,825.49,827.03,0,0.0,0,0,,0
2017-01-11,2017-03-30,HINDUNILVR,,828.57,841.42,826.58,837.93,0,0.0,0,0,,0
2017-01-11,2017-01-25,HINDUNILVR,FUTSTK,827.38,841.32,827.38,837.68,5368200,1048787040.0,1248600,2081,1896.0,5368200
2017-01-11,2017-02-23,HINDUNILVR,FUTSTK,838.28,842.41,836.94,840.57,28800,18168540.0,21600,36,22.0,28800
2017-01-12,2017-03-30,HINDUNILVR,,840.12,840.12,821.2,822.4,0,0.0,0,0,,0
2017-01-12,2017-02-23,HINDUNILVR,FUTSTK,838.43,838.43,827.88,830.07,45000,20024040.0,24000,40,39.0,45000
2017-01-12,2017-01-25,HINDUNILVR,FUTSTK,837.93,838.78,824.14,825.54,5355600,1051262910.0,1261200,2102,1868.0,5355600
2017-01-13,2017-01-25,HINDUNILVR,FUTSTK,826.33,834.6,822.6,827.68,5530200,995483640.0,1194600,1991,1756.0,5530200
2017-01-13,2017-02-23,HINDUNILVR,FUTSTK,836.44,836.44,829.12,831.61,78000,31042830.0,37200,62,57.0,78000
2017-01-13,2017-03-30,HINDUNILVR,,826.48,832.06,821.6,824.44,0,0.0,0,0,,0
2017-01-16,2017-01-25,HINDUNILVR,FUTSTK,827.48,829.57,822.1,827.23,5569800,748798020.0,903000,1505,1306.0,5569800
2017-01-16,2017-02-23,HINDUNILVR,FUTSTK,833.0,833.05,828.07,831.01,93600,16009200.0,19200,32,28.0,93600
2017-01-16,2017-03-30,HINDUNILVR,,824.49,827.83,818.96,823.99,0,0.0,0,0,,0
2017-01-17,2017-01-25,HINDUNILVR,FUTSTK,825.98,840.12,825.98,836.89,5761200,1345715040.0,1602000,2670,2271.0,5761200
2017-01-17,2017-02-23,HINDUNILVR,FUTSTK,831.21,842.96,831.16,841.02,127200,54669000.0,64800,108,86.0,127200
2017-01-17,2017-03-30,HINDUNILVR,,823.25,839.43,823.25,837.09,0,0.0,0,0,,0
2017-01-18,2017-02-23,HINDUNILVR,FUTSTK,838.58,866.96,838.58,863.72,184800,140312130.0,162600,271,210.0,184800
2017-01-18,2017-03-30,HINDUNILVR,,837.14,864.07,834.05,861.28,0,0.0,0,0,,0
2017-01-18,2017-01-25,HINDUNILVR,FUTSTK,835.1,864.07,834.7,860.69,5788800,2379952770.0,2768400,4614,3887.0,5788800
2017-01-19,2017-01-25,HINDUNILVR,FUTSTK,860.44,872.19,855.81,857.0,5540400,2099443500.0,2420400,4034,3170.0,5540400
2017-01-19,2017-02-23,HINDUNILVR,FUTSTK,862.33,874.78,858.94,860.54,311400,200635140.0,231000,385,239.0,311400
2017-01-19,2017-03-30,HINDUNILVR,,861.73,872.24,854.91,856.65,0,0.0,0,0,,0
2017-01-20,2017-01-25,HINDUNILVR,FUTSTK,856.3,871.09,852.22,858.84,5219400,2235893370.0,2584200,4307,3462.0,5219400
2017-01-20,2017-02-23,HINDUNILVR,FUTSTK,859.94,873.28,855.71,861.88,526800,358251630.0,412800,688,450.0,526800
2017-01-20,2017-03-30,HINDUNILVR,,851.57,868.3,850.88,856.8,0,0.0,0,0,,0
2017-01-23,2017-01-25,HINDUNILVR,FUTSTK,852.12,864.02,849.43,858.99,3199200,4635302490.0,5393400,8989,5100.0,3199200
2017-01-23,2017-02-23,HINDUNILVR,FUTSTK,857.9,866.86,855.36,862.48,3059400,2689845930.0,3117000,5195,1899.0,3059400
2017-01-23,2017-03-30,HINDUNILVR,FUTSTK,861.33,861.33,861.33,861.33,600,519000.0,600,1,1.0,600
2017-01-24,2017-03-30,HINDUNILVR,FUTSTK,848.69,861.63,848.69,861.63,1200,1546050.0,1800,3,3.0,1200
2017-01-24,2017-01-25,HINDUNILVR,FUTSTK,858.15,858.15,840.37,855.66,1722600,3765556860.0,4424400,7374,5455.0,1722600
2017-01-24,2017-02-23,HINDUNILVR,FUTSTK,851.38,861.03,843.91,859.39,4507800,2412971520.0,2824800,4708,3098.0,4507800
2017-01-25,2017-03-30,HINDUNILVR,FUTSTK,867.06,867.06,866.31,866.31,2400,1044450.0,1200,2,2.0,2400
2017-01-25,2017-01-25,HINDUNILVR,FUTSTK,853.37,865.66,852.37,864.27,1111800,2139809670.0,2478000,4130,3295.0,1111800
2017-01-25,2017-02-23,HINDUNILVR,FUTSTK,856.4,868.85,856.21,867.71,5318400,2205535560.0,2541000,4235,3467.0,5318400
2017-01-27,2017-02-23,HINDUNILVR,FUTSTK,870.74,875.32,855.81,857.8,5406600,1244067480.0,1434600,2391,2247.0,5406600
2017-01-27,2017-03-30,HINDUNILVR,FUTSTK,861.38,861.38,859.74,860.84,4800,2593440.0,3000,5,5.0,4800
2017-01-27,2017-04-27,HINDUNILVR,,865.32,871.99,850.18,852.32,0,0.0,0,0,,0
2017-01-30,2017-02-23,HINDUNILVR,FUTSTK,856.9,862.83,852.52,854.36,5380800,828600660.0,963600,1606,1445.0,5380800
2017-01-30,2017-03-30,HINDUNILVR,FUTSTK,859.74,859.74,858.35,858.35,4200,2070480.0,2400,4,4.0,4200
2017-01-30,2017-04-27,HINDUNILVR,,853.32,859.54,847.54,849.93,0,0.0,0,0,,0
2017-01-31,2017-02-23,HINDUNILVR,FUTSTK,856.35,861.58,850.33,855.96,5544000,1411097370.0,1640400,2734,2536.0,5544000
2017-01-31,2017-03-30,HINDUNILVR,FUTSTK,860.39,860.98,859.94,860.49,8400,6220950.0,7200,12,12.0,8400
2017-01-31,2017-04-27,HINDUNILVR,,852.37,859.24,847.64,851.77,0,0.0,0,0,,0
2017-02-01,2017-04-27,HINDUNILVR,,853.37,863.87,845.6,850.43,0,0.0,0,0,,0
2017-02-01,2017-03-30,HINDUNILVR,FUTSTK,856.85,870.74,854.36,863.03,9600,8283990.0,9600,16,16.0,9600
2017-02-01,2017-02-23,HINDUNILVR,FUTSTK,858.35,867.31,850.03,855.11,5931000,2274244590.0,2640000,4400,3985.0,5931000
2017-02-02,2017-02-23,HINDUNILVR,FUTSTK,855.91,858.15,841.42,844.9,6198000,1486844160.0,1745400,2909,2674.0,6198000
2017-02-02,2017-03-30,HINDUNILVR,FUTSTK,859.09,859.09,846.5,848.84,21600,17423670.0,20400,34,32.0,21600
2017-02-02,2017-04-27,HINDUNILVR,,853.87,855.16,838.23,841.72,0,0.0,0,0,,0
2017-02-03,2017-02-23,HINDUNILVR,FUTSTK,846.15,850.98,838.88,849.09,6216600,1304266110.0,1536000,2560,2357.0,6216600
2017-02-03,2017-03-30,HINDUNILVR,FUTSTK,847.04,853.37,843.91,853.22,21600,11269590.0,13200,22,22.0,21600
2017-02-03,2017-04-27,HINDUNILVR,,841.42,848.84,835.05,846.15,0,0.0,0,0,,0
2017-02-06,2017-02-23,HINDUNILVR,FUTSTK,856.8,860.84,849.38,858.99,6306000,1544359440.0,1795800,2993,2754.0,6306000
2017-02-06,2017-03-30,HINDUNILVR,FUTSTK,854.41,862.68,854.36,861.58,26400,10886280.0,12600,21,21.0,26400
2017-02-06,2017-04-27,HINDUNILVR,,846.45,858.35,846.4,856.9,0,0.0,0,0,,0
2017-02-07,2017-04-27,HINDUNILVR,,859.34,859.64,847.39,851.62,0,0.0,0,0,,0
2017-02-07,2017-03-30,HINDUNILVR,FUTSTK,856.4,859.34,855.66,859.34,29400,6713820.0,7800,13,13.0,29400
2017-02-07,2017-02-23,HINDUNILVR,FUTSTK,859.94,861.68,849.48,854.61,6319800,892044990.0,1040400,1734,1663.0,6319800
2017-02-08,2017-02-23,HINDUNILVR,FUTSTK,855.46,858.0,846.55,852.67,6358800,1021946760.0,1194600,1991,1894.0,6358800
2017-02-08,2017-03-30,HINDUNILVR,FUTSTK,858.2,859.74,851.38,856.75,35400,18038880.0,21000,35,35.0,35400
2017-02-08,2017-04-27,HINDUNILVR,,856.25,856.25,843.76,849.33,0,0.0,0,0,,0
