TIMESTAMP,INSTRUMENT,SYMBOL,EXP_DATE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,FUTSTK,ICICIBANK,2017-01-25,256.55,256.9,249.1,252.9,57990000.0,6462933000.0,25605000.0,10242.0,9524.0,
2017-01-02,FUTSTK,ICICIBANK,2017-02-23,257.6,257.6,250.45,253.75,447500.0,76554125.0,302500.0,121.0,116.0,
2017-01-02,FUTSTK,ICICIBANK,2017-03-30,256.0,256.0,252.0,255.2,7500.0,5730625.0,22500.0,9.0,9.0,
2017-01-03,FUTSTK,ICICIBANK,2017-01-25,253.05,255.75,249.75,254.6,54972500.0,7718790750.0,30455000.0,12182.0,11094.0,
2017-01-03,FUTSTK,ICICIBANK,2017-02-23,253.4,256.5,250.9,255.55,487500.0,101080875.0,397500.0,159.0,157.0,
2017-01-03,FUTSTK,ICICIBANK,2017-03-30,252.0,256.7,252.0,256.7,12500.0,3186125.0,12500.0,5.0,5.0,
2017-01-04,FUTSTK,ICICIBANK,2017-01-25,256.95,256.95,251.25,251.8,56867500.0,6309724000.0,24877500.0,9951.0,8385.0,
2017-01-04,FUTSTK,ICICIBANK,2017-02-23,256.6,256.95,252.3,252.9,1805000.0,455862750.0,1795000.0,718.0,265.0,
2017-01-04,FUTSTK,ICICIBANK,2017-03-30,256.1,256.1,253.6,253.9,30000.0,5097250.0,20000.0,8.0,8.0,
2017-01-05,FUTSTK,ICICIBANK,2017-01-25,252.55,258.75,252.55,257.45,54970000.0,7541472000.0,29420000.0,11768.0,10613.0,
2017-01-05,FUTSTK,ICICIBANK,2017-02-23,253.3,259.4,253.3,258.3,1810000.0,90688875.0,352500.0,141.0,131.0,
2017-01-05,FUTSTK,ICICIBANK,2017-03-30,255.75,259.95,255.75,258.95,22500.0,16105750.0,62500.0,25.0,22.0,
2017-01-06,FUTSTK,ICICIBANK,2017-01-25,258.25,261.6,257.55,258.55,51027500.0,6749165875.0,26020000.0,10408.0,9488.0,
2017-01-06,FUTSTK,ICICIBANK,2017-02-23,259.05,262.6,258.7,259.55,1870000.0,88525000.0,340000.0,136.0,121.0,
2017-01-06,FUTSTK,ICICIBANK,2017-03-30,260.95,261.1,260.95,261.1,25000.0,1957750.0,7500.0,3.0,3.0,
2017-01-09,FUTSTK,ICICIBANK,2017-01-25,258.0,259.9,256.25,259.05,50702500.0,4318513875.0,16717500.0,6687.0,6029.0,
2017-01-09,FUTSTK,ICICIBANK,2017-02-23,257.9,260.8,257.8,260.05,1910000.0,60272625.0,232500.0,93.0,91.0,
2017-01-09,,ICICIBANK,2017-03-30,260.85,262.8,258.95,261.65,,0.0,0.0,0.0,,0.0
2017-01-10,FUTSTK,ICICIBANK,2017-01-25,259.6,262.25,258.6,260.5,50837500.0,6443104000.0,24732500.0,9893.0,8982.0,
2017-01-10,FUTSTK,ICICIBANK,2017-02-23,261.95,263.1,259.6,261.65,2035000.0,100628875.0,385000.0,154.0,137.0,
2017-01-10,FUTSTK,ICICIBANK,2017-03-30,261.1,262.8,261.1,262.8,27500.0,1964625.0,7500.0,3.0,3.0,
2017-01-11,FUTSTK,ICICIBANK,2017-01-25,262.45,268.15,261.8,265.35,50580000.0,10857508375.0,41072500.0,16429.0,14627.0,
2017-01-11,FUTSTK,ICICIBANK,2017-02-23,263.9,269.15,262.9,266.45,2062500.0,161475625.0,607500.0,243.0,235.0,
2017-01-11,FUTSTK,ICICIBANK,2017-03-30,264.45,269.5,264.45,269.5,37500.0,4007375.0,15000.0,6.0,6.0,
2017-01-12,FUTSTK,ICICIBANK,2017-01-25,265.7,269.55,265.7,268.4,48020000.0,8498448250.0,31730000.0,12692.0,11422.0,
2017-01-12,FUTSTK,ICICIBANK,2017-02-23,267.6,270.4,266.65,269.5,2135000.0,129043375.0,480000.0,192.0,185.0,
2017-01-12,FUTSTK,ICICIBANK,2017-03-30,269.05,269.85,269.05,269.85,50000.0,3370750.0,12500.0,5.0,5.0,
2017-01-13,FUTSTK,ICICIBANK,2017-01-25,269.65,270.0,265.1,268.1,47347500.0,6129970375.0,22910000.0,9164.0,8283.0,
2017-01-13,FUTSTK,ICICIBANK,2017-02-23,270.5,270.7,266.15,269.1,2515000.0,240247250.0,895000.0,358.0,318.0,
2017-01-13,FUTSTK,ICICIBANK,2017-03-30,270.35,270.35,268.75,269.0,42500.0,3364000.0,12500.0,5.0,4.0,
2017-01-16,FUTSTK,ICICIBANK,2017-01-25,267.3,271.65,265.4,269.95,48090000.0,6039938750.0,22457500.0,8983.0,8121.0,
2017-01-16,FUTSTK,ICICIBANK,2017-02-23,267.5,272.55,266.5,271.3,2802500.0,291113750.0,1077500.0,431.0,399.0,
2017-01-16,FUTSTK,ICICIBANK,2017-03-30,267.6,273.0,267.6,271.8,37500.0,5420750.0,20000.0,8.0,8.0,
2017-01-17,FUTSTK,ICICIBANK,2017-01-25,269.8,271.6,266.15,268.7,47282500.0,5317172375.0,19752500.0,7901.0,6944.0,
2017-01-17,FUTSTK,ICICIBANK,2017-02-23,271.0,272.55,267.3,269.55,3240000.0,315931000.0,1170000.0,468.0,368.0,
2017-01-17,FUTSTK,ICICIBANK,2017-03-30,272.8,272.8,269.0,270.0,47500.0,9491625.0,35000.0,14.0,14.0,
2017-01-18,FUTSTK,ICICIBANK,2017-01-25,267.95,272.0,266.95,268.65,50122500.0,7709568125.0,28602500.0,11441.0,9379.0,
2017-01-18,FUTSTK,ICICIBANK,2017-02-23,268.0,272.9,268.0,269.65,6317500.0,1043407500.0,3855000.0,1542.0,526.0,
2017-01-18,FUTSTK,ICICIBANK,2017-03-30,270.85,270.85,270.85,270.85,52500.0,1354250.0,5000.0,2.0,2.0,
2017-01-19,FUTSTK,ICICIBANK,2017-01-25,268.75,270.45,266.75,269.45,43122500.0,8245217750.0,30685000.0,12274.0,7810.0,
2017-01-19,FUTSTK,ICICIBANK,2017-02-23,269.7,271.5,267.95,270.6,11140000.0,3011045500.0,11172500.0,4469.0,1052.0,
2017-01-19,FUTSTK,ICICIBANK,2017-03-30,269.0,272.25,269.0,272.05,62500.0,6080125.0,22500.0,9.0,9.0,
2017-01-20,FUTSTK,ICICIBANK,2017-01-25,266.2,268.3,262.85,263.95,42040000.0,8238843375.0,31070000.0,12428.0,10381.0,
2017-01-20,FUTSTK,ICICIBANK,2017-02-23,267.5,269.1,264.05,264.95,14747500.0,2103428750.0,7900000.0,3160.0,2092.0,
2017-01-20,FUTSTK,ICICIBANK,2017-03-30,268.35,268.35,265.6,265.85,107500.0,24029250.0,90000.0,36.0,34.0,
2017-01-23,FUTSTK,ICICIBANK,2017-01-25,261.15,261.8,255.65,258.05,34395000.0,12799810875.0,49665000.0,19866.0,14627.0,
2017-01-23,FUTSTK,ICICIBANK,2017-02-23,262.1,262.55,256.85,259.15,26050000.0,5318942750.0,20572500.0,8229.0,4685.0,
2017-01-23,FUTSTK,ICICIBANK,2017-03-30,264.0,264.0,258.15,260.05,155000.0,21461250.0,82500.0,33.0,33.0,
2017-01-24,FUTSTK,ICICIBANK,2017-01-25,259.0,259.0,255.8,257.6,30397500.0,11381587750.0,44147500.0,17659.0,11232.0,
2017-01-24,FUTSTK,ICICIBANK,2017-02-23,259.2,260.0,257.0,258.95,41492500.0,7338749375.0,28340000.0,11336.0,6309.0,
2017-01-24,FUTSTK,ICICIBANK,2017-03-30,260.45,260.8,258.6,260.05,187500.0,14294625.0,55000.0,22.0,22.0,
2017-01-25,FUTSTK,ICICIBANK,2017-01-25,259.1,260.05,255.7,259.7,22950000.0,8837890500.0,34280000.0,13712.0,10900.0,
