TIMESTAMP,EXP_DATE,SYMBOL,INSTRUMENT,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_VAL,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,OPEN_INT
2017-01-02,2017-01-25,HCLTECH,FUTSTK,410.95,416.48,410.65,412.22,10298400,619883250.0,1498000,2140,1031.0,10298400
2017-01-02,2017-02-23,HCLTECH,FUTSTK,413.28,413.28,413.28,413.28,30800,578585.0,1400,2,1.0,30800
2017-01-02,2017-03-30,HCLTECH,,411.5,417.0,411.15,414.25,0,0.0,0,0,,0
2017-01-03,2017-01-25,HCLTECH,FUTSTK,413.25,416.32,410.32,415.45,10364200,877658845.0,2119600,3028,1427.0,10364200
2017-01-03,2017-02-23,HCLTECH,FUTSTK,415.5,415.5,413.15,415.5,43400,8120630.0,19600,28,13.0,43400
2017-01-03,2017-03-30,HCLTECH,,415.5,418.5,411.75,417.58,0,0.0,0,0,,0
2017-01-04,2017-01-25,HCLTECH,FUTSTK,416.4,428.45,414.15,427.35,11208400,2457015435.0,5796000,8280,3841.0,11208400
2017-01-04,2017-02-23,HCLTECH,FUTSTK,422.72,428.1,422.72,427.2,43400,19075210.0,44800,64,32.0,43400
2017-01-04,2017-03-30,HCLTECH,,417.78,430.0,416.52,428.48,0,0.0,0,0,,0
2017-01-05,2017-01-25,HCLTECH,FUTSTK,431.9,433.2,418.7,421.72,11270000,3100314280.0,7268800,10384,4724.0,11270000
2017-01-05,2017-02-23,HCLTECH,FUTSTK,430.5,433.5,419.42,421.72,130200,65831150.0,154000,220,99.0,130200
2017-01-05,2017-03-30,HCLTECH,,430.0,434.88,420.05,422.32,0,0.0,0,0,,0
2017-01-06,2017-03-30,HCLTECH,,417.5,420.15,403.38,407.2,0,0.0,0,0,,0
2017-01-06,2017-01-25,HCLTECH,FUTSTK,417.5,419.68,404.12,407.98,11666200,3128278720.0,7638400,10912,5044.0,11666200
2017-01-06,2017-02-23,HCLTECH,FUTSTK,414.55,414.55,403.5,407.1,292600,134221430.0,329000,470,235.0,292600
2017-01-09,2017-01-25,HCLTECH,FUTSTK,405.0,419.9,404.2,418.6,11494000,2254674555.0,5447400,7782,3659.0,11494000
2017-01-09,2017-02-23,HCLTECH,FUTSTK,407.5,418.45,406.7,417.65,317800,40009515.0,96600,138,69.0,317800
2017-01-09,2017-03-30,HCLTECH,,403.25,420.08,402.98,419.15,0,0.0,0,0,,0
2017-01-10,2017-01-25,HCLTECH,FUTSTK,420.0,420.85,416.55,418.18,11751600,1401517180.0,3348800,4784,2251.0,11751600
2017-01-10,2017-02-23,HCLTECH,FUTSTK,416.5,418.58,416.0,416.72,319200,16954700.0,40600,58,29.0,319200
2017-01-10,2017-03-30,HCLTECH,,421.35,422.0,417.25,418.92,0,0.0,0,0,,0
2017-01-11,2017-03-30,HCLTECH,,419.75,422.25,413.38,416.62,0,0.0,0,0,,0
2017-01-11,2017-01-25,HCLTECH,FUTSTK,418.72,421.6,413.05,416.25,11954600,1435213885.0,3445400,4922,2307.0,11954600
2017-01-11,2017-02-23,HCLTECH,FUTSTK,419.45,419.45,413.5,414.02,317800,9302300.0,22400,32,16.0,317800
2017-01-12,2017-03-30,HCLTECH,,415.02,424.95,415.02,423.85,0,0.0,0,0,,0
2017-01-12,2017-02-23,HCLTECH,FUTSTK,420.5,422.3,418.5,422.12,319200,18838680.0,44800,64,32.0,319200
2017-01-12,2017-01-25,HCLTECH,FUTSTK,417.35,424.2,415.58,423.12,12695200,2072612640.0,4918200,7026,3351.0,12695200
2017-01-13,2017-01-25,HCLTECH,FUTSTK,424.45,428.5,419.12,424.45,13049400,2609633215.0,6154400,8792,3990.0,13049400
2017-01-13,2017-02-23,HCLTECH,FUTSTK,430.25,430.25,419.0,423.45,368200,62782335.0,148400,212,103.0,368200
2017-01-13,2017-03-30,HCLTECH,,425.1,428.98,419.3,425.12,0,0.0,0,0,,0
