Options on individual securities                                                                    
S No      ,Symbol    ,No of Cont       ,Notional Value (Rs.)     
1         ,360ONE    ,            18003,    11115962925.00
2         ,ABB       ,            64518,    43364413600.00
3         ,ABCAPITAL ,            10208,    11759452580.00
4         ,ADANIENSOL,             9228,     6567432480.00
5         ,ADANIENT  ,            47049,    33318757693.00
6         ,ADANIGREEN,            18874,    11882422740.00
7         ,ADANIPORTS,            51093,    36604998791.00
8         ,ALKEM     ,             8551,     6427788400.00
9         ,AMBER     ,             7875,     5324932645.00
10        ,AMBUJACEM ,            16191,     9684335010.00
11        ,ANGELONE  ,            44590,    28438067275.00
12        ,APLAPOLLO ,             3209,     2228722843.00
13        ,APOLLOHOSP,            25193,    23670211025.00
14        ,ASHOKLEY  ,            12579,    11936120600.00
15        ,ASIANPAINT,            35255,    25095699125.00
16        ,ASTRAL    ,             8825,     5653349363.00
17        ,AUBANK    ,             8051,     8242537850.00
18        ,AUROPHARMA,            16340,    11320887820.00
19        ,AXISBANK  ,            49990,    41096589313.00
20        ,BAJAJ-AUTO,           102675,    76913777734.00
21        ,BAJAJFINSV,            37922,    19548022725.00
22        ,BAJAJHLDNG,            67644,    40953914408.00
23        ,BAJFINANCE,            64373,    48526065525.00
24        ,BANDHANBNK,             8419,     4610460456.00
25        ,BANKBARODA,            39067,    35763631459.00
26        ,BANKINDIA ,             4535,     3638312444.00
27        ,BDL       ,            51042,    28647135458.00
28        ,BEL       ,           187118,   114044207419.00
29        ,BHARATFORG,            11320,     8538389400.00
30        ,BHARTIARTL,            68782,    69473767924.00
31        ,BHEL      ,           157957,   122702254631.00
32        ,BIOCON    ,            14217,    14172054750.00
33        ,BLUESTARCO,             4326,     2645671649.00
34        ,BOSCHLTD  ,            16288,    15955142148.00
35        ,BPCL      ,            29498,    21541528326.00
36        ,BRITANNIA ,            40771,    31445775006.00
37        ,BSE       ,            68905,    72861474488.00
38        ,CAMS      ,             4879,     2843869688.00
39        ,CANBK     ,            21002,    22151085053.00
40        ,CDSL      ,            27440,    19650995243.00
41        ,CGPOWER   ,           135865,    77665636748.00
42        ,CHOLAFIN  ,            16809,    18844197875.00
43        ,CIPLA     ,            29038,    16292224931.00
44        ,COALINDIA ,            46621,    27600880208.00
45        ,COFORGE   ,            37768,    24574364569.00
46        ,COLPAL    ,            13753,     6554088765.00
47        ,CONCOR    ,            14108,     9534603688.00
48        ,CROMPTON  ,            10857,     5259851640.00
49        ,CUMMINSIND,            34937,    29926895700.00
50        ,DABUR     ,            19885,    13230208000.00
51        ,DALBHARAT ,             4911,     3420930321.00
52        ,DELHIVERY ,             7988,     7154236564.00
53        ,DIVISLAB  ,            26224,    17786164355.00
54        ,DIXON     ,           164958,   102663486403.00
55        ,DLF       ,            40471,    24001570230.00
56        ,DMART     ,            35618,    21178269833.00
57        ,DRREDDY   ,            29424,    23032003219.00
58        ,EICHERMOT ,            22845,    17422560470.00
59        ,ETERNAL   ,            73905,    52953140505.00
60        ,EXIDEIND  ,            10838,     7199505720.00
61        ,FEDERALBNK,            11242,    14870358750.00
62        ,FORTIS    ,             7150,     5301954684.00
63        ,GAIL      ,            18132,     9763305332.00
64        ,GLENMARK  ,            23659,    19143437475.00
65        ,GMRAIRPORT,            12145,     9095011353.00
66        ,GODREJCP  ,             4850,     3118116850.00
67        ,GODREJPROP,            25444,    15352809876.00
68        ,GRASIM    ,            11539,     8257488325.00
69        ,HAL       ,            92584,    64691991255.00
70        ,HAVELLS   ,            14921,    11300859675.00
71        ,HCLTECH   ,            63932,    37715956513.00
72        ,HDFCAMC   ,            12413,     9992006745.00
73        ,HDFCBANK  ,           191447,   102382226980.00
74        ,HDFCLIFE  ,            13571,    11681269985.00
75        ,HEROMOTOCO,            44468,    40572482048.00
76        ,HINDALCO  ,           118495,    77692556690.00
77        ,HINDPETRO ,            29915,    29152636189.00
78        ,HINDUNILVR,            38382,    28047481110.00
79        ,HINDZINC  ,           200229,   155113465693.00
80        ,HUDCO     ,            18521,    11924858177.00
81        ,ICICIBANK ,           152569,   155244144580.00
82        ,ICICIGI   ,            10522,     6810497801.00
83        ,ICICIPRULI,             4909,     3164316220.00
84        ,IDEA      ,            46912,    43158751394.00
85        ,IDFCFIRSTB,            55711,    45650038268.00
86        ,IEX       ,            35851,    21399916163.00
87        ,IIFL      ,             4141,     4596447653.00
88        ,INDHOTEL  ,            13658,     9997254350.00
89        ,INDIANB   ,             8754,     7572861300.00
90        ,INDIGO    ,            81900,    62167955228.00
91        ,INDUSINDBK,            36504,    23457426230.00
92        ,INDUSTOWER,            38910,    29636896535.00
93        ,INFY      ,            85412,    56765478600.00
94        ,INOXWIND  ,             9713,     4421904344.00
95        ,IOC       ,            26459,    21111087173.00
96        ,IRCTC     ,            29108,    17780175044.00
97        ,IREDA     ,            14653,     7594339134.00
98        ,IRFC      ,            13899,     7919015990.00
99        ,ITC       ,           244346,   141427479040.00
100       ,JINDALSTEL,            56800,    37621588813.00
101       ,JIOFIN    ,            46145,    33493669103.00
102       ,JSWENERGY ,             9373,     4830778650.00
103       ,JSWSTEEL  ,            38967,    31038624259.00
104       ,JUBLFOOD  ,            13244,     9172964313.00
105       ,KALYANKJIL,            23843,    15048427335.00
106       ,KAYNES    ,           129744,    51915728070.00
107       ,KEI       ,             6717,     5432012941.00
108       ,KFINTECH  ,             4456,     2476393275.00
109       ,KOTAKBANK ,            31340,    27477356940.00
110       ,KPITTECH  ,            32507,    17267397633.00
111       ,LAURUSLABS,            15857,    15332491590.00
112       ,LICHSGFIN ,            13933,     7513096900.00
113       ,LICI      ,            11050,     6626993135.00
114       ,LODHA     ,            20387,    10526376398.00
115       ,LT        ,           137076,    98899025496.00
116       ,LTF       ,            18781,    13568557613.00
117       ,LTIM      ,             7707,     7175550353.00
118       ,LUPIN     ,            10306,     9769510488.00
119       ,M&M       ,            31802,    24276586480.00
120       ,MANAPPURAM,            16619,    16216382700.00
121       ,MANKIND   ,             5334,     2806235370.00
122       ,MARUTI    ,           106805,    90826123688.00
123       ,MARICO    ,             9009,     8485238520.00
124       ,MAXHEALTH ,            10752,     6006109751.00
125       ,MAZDOCK   ,            30096,    15746106830.00
126       ,MCX       ,            58007,    84839635656.00
127       ,MFSL      ,             6033,     4257246520.00
128       ,MOTHERSON ,             9462,     7163819751.00
129       ,MPHASIS   ,             8921,     7187652051.00
130       ,MUTHOOTFIN,            31211,    34080010731.00
131       ,NATIONALUM,            56546,    74007263625.00
132       ,NAUKRI    ,            11286,     5985429900.00
133       ,NBCC      ,             9174,     7201723035.00
134       ,NESTLEIND ,             6660,     4434074275.00
135       ,NHPC      ,             5837,     3201533056.00
136       ,NMDC      ,            57591,    33578306190.00
137       ,NTPC      ,            46332,    24386553675.00
138       ,NUVAMA    ,             3221,     2459036050.00
139       ,NYKAA     ,             8019,     6758493594.00
140       ,OBEROIRLTY,            14687,     9182942265.00
141       ,OFSS      ,            18316,    11027406161.00
142       ,OIL       ,            10703,     6268465490.00
143       ,ONGC      ,            55610,    30153770235.00
144       ,PAGEIND   ,            12575,     6881393560.00
145       ,PATANJALI ,             5307,     2796226830.00
146       ,PAYTM     ,            15277,    15108210511.00
147       ,PERSISTENT,            28850,    19268272045.00
148       ,PETRONET  ,            10249,     5671448700.00
149       ,PFC       ,            54635,    27209372970.00
150       ,PGEL      ,             8756,     5330706215.00
151       ,PHOENIXLTD,             3764,     2532364555.00
152       ,PIDILITIND,             2774,     2116006775.00
153       ,PIIND     ,            10936,     6461282573.00
154       ,PNB       ,            22777,    23168952000.00
155       ,PNBHOUSING,             4573,     3056904760.00
156       ,POLICYBZR ,            19627,    12172902543.00
157       ,POLYCAB   ,            21787,    21825510044.00
158       ,POWERGRID ,            29771,    15283912645.00
159       ,POWERINDIA,            16482,    16524054695.00
160       ,PPLPHARMA ,             9363,     4460837693.00
161       ,PREMIERENE,            15246,     6877686723.00
162       ,PRESTIGE  ,             7295,     5472481973.00
163       ,RBLBANK   ,             6570,     6750690556.00
164       ,RECLTD    ,            71915,    39068284080.00
165       ,RELIANCE  ,           375455,   288144276200.00
166       ,RVNL      ,            44972,    25614086355.00
167       ,SAIL      ,              904,      632134631.00
168       ,SAMMAANCAP,              312,      201950833.00
169       ,SBICARD   ,             7679,     5562052880.00
170       ,SBILIFE   ,            26186,    20908114631.00
171       ,SBIN      ,           149908,   114536068875.00
172       ,SHREECEM  ,             4059,     2883586335.00
173       ,SHRIRAMFIN,            30182,    25316782838.00
174       ,SIEMENS   ,            49250,    26833323239.00
175       ,SOLARINDS ,            76225,    53679585963.00
176       ,SONACOMS  ,             4545,     2699953471.00
177       ,SRF       ,            11253,     7060295520.00
178       ,SUNPHARMA ,            45086,    28406506713.00
179       ,SUPREMEIND,             4547,     2937233924.00
180       ,SUZLON    ,            27750,    13625473895.00
181       ,SWIGGY    ,             8441,     4103108620.00
182       ,SYNGENE   ,            10466,     7079136100.00
183       ,TATACONSUM,             8401,     5692006788.00
184       ,TATAELXSI ,           131984,    78158430525.00
185       ,TATAPOWER ,            56695,    31896123933.00
186       ,TATASTEEL ,            62351,    63958510275.00
187       ,TATATECH  ,            18955,    10663541840.00
188       ,TCS       ,           276926,   159493652544.00
189       ,TECHM     ,            16943,    16788220740.00
190       ,TIINDIA   ,             4908,     2588004670.00
191       ,TITAN     ,            73229,    55488404020.00
192       ,TMPV      ,            74298,    22267512520.00
193       ,TORNTPHARM,             5229,     5393027413.00
194       ,TORNTPOWER,            21442,    13053019921.00
195       ,TRENT     ,           106250,    44513633435.00
196       ,TVSMOTOR  ,            15479,    10585589936.00
197       ,ULTRACEMCO,            16220,     9983760853.00
198       ,UNIONBANK ,            16903,    12491365688.00
199       ,UNITDSPR  ,             9685,     5470049320.00
200       ,UNOMINDA  ,             3849,     2844387288.00
201       ,UPL       ,            16340,    18136565990.00
202       ,VBL       ,            19629,    11444983538.00
203       ,VEDL      ,           157124,   112760326643.00
204       ,VOLTAS    ,            17764,    10023234169.00
205       ,WAAREEENER,            20181,     9832593348.00
206       ,WIPRO     ,            22752,    18621270300.00
207       ,YESBANK   ,            32273,    24221168270.00
208       ,ZYDUSLIFE ,             6083,     5127210630.00
