The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,HDFCBANK  ,27/01/2026,    23070874668.00,            44085
2         ,TCS       ,27/01/2026,    23988835448.00,            42819
3         ,ICICIBANK ,27/01/2026,    38886580250.00,            38612
4         ,BHEL      ,27/01/2026,    23538441675.00,            31811
5         ,RELIANCE  ,27/01/2026,    21972905600.00,            29533
6         ,LT        ,27/01/2026,    15939358068.00,            22350
7         ,VEDL      ,27/01/2026,    14762686793.00,            21284
8         ,HINDZINC  ,27/01/2026,    15463312261.00,            21016
9         ,DIXON     ,27/01/2026,    12518565300.00,            20968
10        ,CGPOWER   ,27/01/2026,    11282407680.00,            20928
The top ten contracts contributed to around  19% of the total traded volume in Futures on individual securities.HDFCBANK was the most active future contracts on individual securities traded today with 49637 contracts and TCS was the next most active futures contracts with 47002 contracts being traded.                                                                                                                                                                                                     
