MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     26250.30,     26189.70,     26273.95,     26124.75,     26178.70,1094540579541.71,4845262669,Y, ,33227364,     26373.20,     21743.65
Y, , ,NIFTY50 EQL Wgt,     33705.55,     33664.20,     33816.20,     33642.60,     33734.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     34426.25,     34434.00,     34543.55,     34356.60,     34481.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     21249.50,     21237.95,     21366.10,     21221.10,     21358.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     50820.55,     51008.60,     51244.55,     50711.30,     50958.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22555.45,     22582.50,     22586.70,     22417.10,     22510.60,0.00,0,Y, ,0,     22648.45,     17269.50
Y, , ,NIFTY SMLCAP 50,      8696.30,      8735.90,      8743.75,      8661.30,      8706.55,0.00,0,Y, ,0,      9282.70,      6776.05
Y, , ,NIFTY SMLCAP 250,     16843.35,     16893.40,     16893.40,     16735.00,     16791.50,0.00,0,Y, ,0,     18077.35,     13314.70
Y, , ,NIFTY MIDSML 400,     20449.55,     20486.45,     20486.45,     20322.45,     20401.25,0.00,0,Y, ,0,     20668.15,     15832.85
Y, , ,NIFTY200 QUALTY30,     21508.20,     21541.65,     21573.25,     21462.10,     21531.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     30536.85,     30490.05,     30819.45,     30451.80,     30732.60,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     27360.40,     27356.85,     27538.20,     27311.40,     27526.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     31719.10,     31769.75,     31930.85,     31644.85,     31760.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      4399.45,      4389.90,      4404.35,      4379.55,      4392.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      5242.55,      5240.25,      5264.90,      5237.20,      5256.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     24190.90,     24214.95,     24220.60,     24057.50,     24122.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15669.80,     15686.00,     15705.25,     15613.05,     15670.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25499.85,     25551.15,     25677.50,     25432.00,     25560.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     62737.05,     62873.45,     62992.75,     62305.60,     62621.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,     10074.35,     10074.30,     10105.60,      9972.90,     10059.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     37771.15,     37712.05,     38053.10,     37680.70,     37977.40,0.00,0,Y, ,0,     44798.65,     30918.95
