Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-09-24,456.5,474.95,504.0,440.0,452.1,137783,64524598.55,2879
2025-09-25,452.1,458.0,473.0,440.0,443.7,25423,11565692.95,592
2025-09-26,443.7,450.0,454.45,430.0,435.65,24506,10871091.4,1716
2025-09-29,435.65,451.85,451.85,435.95,444.15,32011,14233932.1,200
2025-09-30,444.15,448.95,450.0,430.25,431.8,37276,16469285.25,2315
2025-10-01,431.8,447.8,450.0,427.0,439.0,68983,30349988.25,1342
2025-10-03,439.0,445.6,454.95,431.0,446.05,25714,11484508.55,766
2025-10-06,446.05,455.0,455.0,435.05,437.2,16488,7299737.55,338
2025-10-07,437.2,474.9,474.9,435.0,438.75,23130,10413888.0,941
2025-10-08,438.75,445.35,449.5,426.3,429.0,20275,8897674.9,1578
2025-10-09,429.0,442.05,444.5,429.85,438.25,17580,7699610.1,900
2025-10-10,438.25,443.2,447.0,430.5,438.8,17367,7640181.05,996
2025-10-13,438.8,439.3,445.6,431.0,434.1,19864,8693545.25,1185
2025-10-14,434.1,454.05,459.8,387.4,391.8,38070,15630736.15,2063
2025-10-15,391.8,389.95,440.75,388.8,429.45,45586,19135629.45,2967
2025-10-16,429.45,434.8,451.9,411.3,428.4,26862,11635196.25,1649
2025-10-17,428.4,427.95,440.9,380.05,384.25,43326,17377458.6,1858
2025-10-20,384.25,387.0,408.95,384.25,404.25,19756,7857836.15,1518
2025-10-21,404.25,414.8,467.95,400.0,410.05,100967,42977394.65,2197
2025-10-23,410.05,414.0,437.0,408.5,411.95,68982,28965014.55,2965
2025-10-24,411.95,418.0,424.6,411.0,423.0,16121,6794654.65,600
2025-10-27,423.0,428.0,444.0,416.3,420.85,21936,9363706.45,908
2025-10-28,420.85,425.05,432.0,414.7,422.3,20201,8518739.1,980
2025-10-29,422.3,415.95,436.85,406.3,411.1,44360,18521379.45,1885
2025-10-30,411.1,414.8,421.3,408.15,415.45,95733,39709494.75,790
2025-10-31,415.45,419.0,419.0,405.6,416.0,22750,9399820.7,1372
2025-11-03,416.0,418.6,427.95,409.95,422.85,31571,13224400.55,1397
2025-11-04,422.85,420.25,446.0,413.05,422.5,26326,11151082.6,1547
2025-11-06,422.5,421.7,431.95,416.6,420.4,5224,2209407.6,304
2025-11-07,420.4,416.85,429.0,416.4,419.65,7359,3098795.85,605
2025-11-10,419.65,420.0,431.9,398.0,410.15,26506,10936821.2,1919
2025-11-11,410.15,410.15,429.0,410.15,418.85,12841,5374473.25,779
2025-11-12,418.85,437.0,443.95,397.0,405.8,51555,21472808.15,1664
2025-11-13,405.8,423.95,430.0,404.1,410.3,35318,14603359.8,1319
2025-11-14,410.3,417.95,420.0,410.9,414.8,15865,6583058.0,510
2025-11-17,414.8,418.05,424.75,407.05,412.9,23854,9933679.25,854
2025-11-18,412.9,415.0,418.0,410.0,412.65,11388,4708042.75,651
2025-11-19,412.65,417.0,417.75,410.9,416.4,6747,2806309.7,290
2025-11-20,416.4,417.75,424.9,413.65,418.6,9866,4127891.95,658
2025-11-21,418.6,420.95,431.0,405.35,410.9,51918,21589849.9,2379
2025-11-24,410.9,413.15,419.95,410.0,415.95,15474,6428174.6,901
2025-11-25,415.95,418.9,420.6,407.0,408.8,9106,3741804.65,457
2025-11-26,408.8,412.0,415.5,408.45,412.15,6575,2709112.7,502
2025-11-27,412.15,414.85,423.95,412.1,421.55,14283,5983872.1,858
2025-11-28,421.55,425.0,429.55,409.8,415.15,23602,9882831.6,1649
2025-12-01,415.15,419.8,424.85,410.1,418.7,23654,9874423.3,1545
2025-12-02,418.7,418.7,456.0,411.0,415.9,78004,33210022.2,3706
2025-12-03,415.9,421.0,421.0,411.5,419.0,7513,3134075.25,627
2025-12-04,419.0,418.4,418.9,412.35,418.25,36081,15066225.7,285
2025-12-05,418.25,411.05,422.0,407.4,409.9,27273,11299218.7,1845
2025-12-08,409.9,409.75,419.75,405.05,414.05,17924,7403019.5,877
2025-12-09,414.05,412.55,417.95,410.75,415.85,7252,3006982.45,425
2025-12-10,415.85,415.8,418.4,410.4,414.05,7867,3261230.1,330
2025-12-11,414.05,417.85,417.85,411.75,414.85,1815,752204.05,182
2025-12-12,414.85,419.65,419.65,409.0,414.3,9187,3806030.7,502
2025-12-15,414.3,416.5,418.95,410.3,411.9,6415,2657559.05,397
2025-12-16,411.9,414.55,416.95,409.55,413.95,2870,1187374.35,313
2025-12-17,413.95,413.15,416.95,410.05,414.75,3131,1295887.1,227
2025-12-18,414.75,415.85,418.0,411.05,412.95,5007,2068645.55,148
2025-12-19,412.95,417.25,417.25,407.6,412.35,9752,4028205.8,271
2025-12-22,412.35,413.05,414.3,405.1,409.85,9750,4017941.2,216
2025-12-23,409.85,410.05,413.95,409.55,413.0,1510,622122.95,134
2025-12-24,413.0,413.1,416.0,413.1,414.15,6944,2878664.9,78
2025-12-26,414.15,415.05,416.95,408.8,410.5,10057,4167091.65,368
2025-12-29,410.5,418.05,418.05,405.95,411.5,15618,6425469.55,384
2025-12-30,411.5,412.1,414.35,407.05,412.1,8036,3304391.4,200
2025-12-31,412.1,416.65,416.65,410.3,411.95,9719,4006205.3,114
2026-01-01,411.95,411.7,414.0,409.1,411.7,9022,3717208.4,162
2026-01-02,411.7,412.9,413.4,407.0,412.2,13172,5422767.9,342
2026-01-05,412.2,411.4,412.1,408.4,410.0,9875,4055488.5,105
2026-01-06,410.00,413.85,415.00,407.55,409.35,12321,5072034.15,384
2026-01-07,409.35,412.90,412.90,407.10,410.30,8642,3548895.70,230
