Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-07-07,159.47,160.2,164.8,156.6,163.47,3192030,515749431.54,13883
2025-07-08,163.47,164.49,168.0,164.0,165.17,3142095,520833647.58,21336
2025-07-09,165.17,165.19,166.44,160.03,160.85,1324994,215525531.15,12481
2025-07-10,160.85,161.9,164.89,160.1,163.31,1483912,241834850.71,18605
2025-07-11,163.31,162.0,166.25,158.45,158.75,2333265,376447195.05,31690
2025-07-14,158.75,160.0,160.37,155.8,156.46,2137838,335720452.51,29146
2025-07-15,156.46,157.0,157.74,154.12,155.24,6369609,989484961.25,20417
2025-07-16,155.24,155.75,158.85,154.0,155.04,1883236,294347620.75,17287
2025-07-17,155.04,155.01,155.8,152.9,153.25,1060102,163385827.88,9833
2025-07-18,153.25,153.3,155.3,150.75,154.94,1860071,284902505.17,14091
2025-07-21,154.94,154.2,155.2,152.6,153.53,804423,123722860.95,8554
2025-07-22,153.53,153.55,154.4,151.66,153.3,1158469,177620619.49,11142
2025-07-23,153.3,153.3,154.04,150.9,151.55,2156511,327928064.84,26425
2025-07-24,151.55,151.55,152.01,149.1,149.77,1858457,278690262.38,18521
2025-07-25,149.77,149.77,150.35,145.2,145.78,1968935,289080001.91,14118
2025-07-28,145.78,145.0,146.2,140.7,141.53,2316103,332944804.31,9900
2025-07-29,141.53,140.98,145.0,138.95,144.09,981360,139152789.98,11873
2025-07-30,144.09,144.0,146.77,142.5,143.94,453832,65615756.56,6889
2025-07-31,143.94,140.94,144.5,140.6,143.5,790989,113577787.1,6945
2025-08-01,143.5,142.0,142.62,137.37,137.94,1453201,201706969.32,13324
2025-08-04,137.94,138.18,139.74,136.37,136.82,1205857,166056078.83,26859
2025-08-05,136.82,137.4,138.77,135.25,135.87,928916,126962924.52,10927
2025-08-06,135.87,136.94,137.95,133.32,136.65,1357544,183760234.26,14099
2025-08-07,136.65,135.2,139.53,134.7,135.43,1515214,206379196.79,15594
2025-08-08,135.43,136.5,137.9,131.5,132.14,968473,129693844.38,11291
2025-08-11,132.14,132.2,136.0,129.5,133.51,1113219,147406762.68,12660
2025-08-12,133.51,134.2,135.7,133.02,134.52,706283,94850373.13,11760
2025-08-13,134.52,134.5,137.28,133.89,135.54,1192506,161852247.16,13909
2025-08-14,135.54,134.0,135.78,130.35,131.93,2093454,275808427.8,21785
2025-08-18,131.93,133.5,139.24,132.48,137.66,1763895,240827958.91,21483
2025-08-19,137.66,139.0,143.37,137.63,142.8,1817693,256547981.46,24006
2025-08-20,142.8,142.9,143.52,140.1,140.8,605433,85390656.62,13339
2025-08-21,140.8,140.8,140.8,137.35,139.32,970538,134555884.87,26750
2025-08-22,139.32,139.32,145.5,137.91,142.81,1326203,188830754.21,27729
2025-08-25,142.81,144.0,145.9,142.14,144.13,803259,115828188.97,13404
2025-08-26,144.13,144.13,144.13,137.3,138.9,1884179,264221397.57,37198
2025-08-28,138.9,138.05,139.81,133.45,134.02,896748,121910639.01,14372
2025-08-29,134.02,134.8,136.14,131.6,135.01,658888,88741297.12,10457
2025-09-01,135.01,136.8,139.66,133.92,139.14,1238404,171075585.59,19210
2025-09-02,139.14,140.94,142.95,139.49,140.96,1599328,226375246.39,30703
2025-09-03,140.96,142.5,143.9,141.25,143.05,850274,121253415.78,13414
2025-09-04,143.05,144.6,144.64,141.26,142.01,937950,133628897.88,15125
2025-09-05,142.01,142.09,143.39,139.98,141.6,836340,118339494.08,14750
2025-09-08,141.6,142.99,144.95,141.69,143.44,1232254,176911472.71,14531
2025-09-09,143.44,150.0,151.33,146.35,149.15,3601263,535511481.23,29009
2025-09-10,149.15,149.7,150.95,144.7,145.21,1074489,157183366.41,12643
2025-09-11,145.21,146.25,146.3,143.86,144.42,395287,57237264.86,7979
2025-09-12,144.42,145.0,147.37,144.66,145.48,568188,82763397.71,11850
2025-09-15,145.48,145.48,145.89,142.84,143.57,595211,85782553.68,12327
2025-09-16,143.57,144.0,146.0,141.87,142.16,1228313,176067144.88,18935
2025-09-17,142.16,143.9,145.85,143.1,145.28,783913,113736030.4,13038
2025-09-18,145.28,145.92,147.02,143.78,146.19,2342606,341087459.07,22783
2025-09-19,146.19,146.0,146.0,140.12,141.44,3103733,441436807.25,24234
2025-09-22,141.44,141.4,143.02,140.2,142.62,1148147,163071606.32,15219
2025-09-23,142.62,143.89,143.89,139.77,140.0,657624,92881516.36,10998
