Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,54.13,53.32,57.14,53.32,54.85,52448.73,2894717.55,251
2017-01-03,54.85,53.41,56.16,53.41,54.93,61575.12,3404307.35,292
2017-01-04,54.93,54.26,56.72,54.26,55.66,102714.07,5686159.45,278
2017-01-05,55.66,55.1,57.22,54.68,55.53,49211.97,2746545.4,226
2017-01-06,55.53,55.19,56.38,54.26,55.23,71664.05,3969079.8,99
2017-01-09,55.23,54.26,60.61,54.26,56.8,42600.44,2396542.6,123
2017-01-10,56.8,57.22,57.61,55.95,56.46,33095.4,1895793.95,230
2017-01-11,56.46,55.95,59.34,55.95,58.2,54640.39,3167303.0,247
2017-01-12,58.2,55.1,59.05,55.1,58.5,44050.14,2554006.3,272
2017-01-13,58.5,56.42,60.7,56.42,58.96,57322.75,3337239.4,138
2017-01-16,58.96,56.8,59.77,56.8,57.73,32708.5,1907737.7,140
2017-01-17,57.73,55.57,58.33,55.57,56.72,47511.02,2726004.75,246
2017-01-18,56.72,56.04,59.09,56.04,57.48,46720.7,2668030.2,412
2017-01-19,57.48,57.22,62.18,57.22,61.42,126494.35,7618797.15,608
2017-01-20,61.42,63.41,65.96,61.04,64.13,105031.94,6721168.15,786
2017-01-23,64.13,65.28,66.55,62.27,64.01,144205.7,9340120.05,696
2017-01-24,64.01,65.28,65.28,63.16,64.56,75724.15,4898377.5,582
2017-01-25,64.56,63.79,65.66,61.97,62.73,85664.45,5490387.2,596
2017-01-27,62.73,66.76,66.76,60.61,61.46,64627.87,4018501.45,560
2017-01-30,61.46,62.1,63.24,60.74,61.97,57794.58,3601669.25,351
2017-01-31,61.97,61.08,61.08,57.86,59.43,107546.8,6449454.75,630
2017-02-01,59.43,60.95,62.65,58.5,59.13,86915.99,5199058.3,534
2017-02-02,59.13,65.02,65.02,58.58,61.17,85570.09,5105175.7,542
2017-02-03,61.17,59.51,62.35,57.73,59.0,44739.01,2674179.35,406
2017-02-06,59.0,58.67,61.84,58.67,59.56,141263.84,8446098.8,945
2017-02-07,59.56,59.77,62.31,57.01,58.16,93093.43,5501964.1,780
2017-02-08,58.16,58.16,59.89,57.01,57.94,82834.65,4878307.3,542
2017-02-09,57.94,59.26,59.26,56.04,56.93,100308.91,5819734.85,480
2017-02-10,56.93,58.92,59.05,56.5,56.76,89498.08,5114924.1,538
2017-02-13,56.76,60.95,60.95,55.06,55.23,42161.64,2385779.25,312
2017-02-14,55.23,59.17,59.17,53.66,54.68,99535.11,5453691.5,409
