Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,1628.65,1626.0,1639.0,1610.25,1622.25,9913,16096511.85,1168
2017-01-03,1622.25,1635.0,1669.5,1622.0,1655.15,24497,40450646.95,4107
2017-01-04,1655.15,1655.15,1679.0,1648.65,1667.35,14271,23744558.75,3131
2017-01-05,1667.35,1670.9,1670.9,1655.0,1661.95,10540,17530478.4,2040
2017-01-06,1661.95,1664.9,1669.0,1655.0,1659.9,11179,18575020.35,3153
2017-01-09,1659.9,1669.0,1689.0,1661.7,1681.2,16158,27096237.6,3280
2017-01-10,1681.2,1696.15,1719.0,1675.05,1683.75,21579,36428854.3,3313
2017-01-11,1683.75,1673.05,1699.0,1671.0,1692.7,11839,19955937.95,2199
2017-01-12,1692.7,1690.0,1699.5,1671.3,1683.25,12347,20767580.75,1700
2017-01-13,1683.25,1678.0,1697.0,1670.25,1686.85,12666,21316134.35,2084
2017-01-16,1686.85,1663.0,1683.0,1658.05,1667.45,22349,37314588.0,2154
2017-01-17,1667.45,1668.8,1684.9,1650.25,1666.05,14502,24152753.05,2312
2017-01-18,1666.05,1653.2,1700.0,1648.5,1654.25,16450,27288618.95,2723
2017-01-19,1654.25,1640.0,1665.0,1640.0,1654.5,8304,13721101.15,1417
2017-01-20,1654.5,1654.0,1658.0,1639.0,1645.5,8646,14252467.15,1443
2017-01-23,1645.5,1631.05,1654.0,1630.55,1643.05,9722,15942266.65,1401
2017-01-24,1643.05,1633.0,1660.45,1633.0,1651.85,27253,44967586.35,2635
2017-01-25,1651.85,1655.0,1658.0,1625.0,1646.6,40990,67414544.55,4202
2017-01-27,1646.6,1640.0,1666.85,1635.05,1659.9,17898,29651824.3,3439
2017-01-30,1659.9,1659.9,1685.0,1633.55,1656.6,34486,56765701.8,2171
2017-01-31,1656.6,1655.0,1675.0,1644.1,1668.35,25421,42101442.35,3624
2017-02-01,1668.35,1667.0,1705.0,1647.1,1694.75,51808,87093270.85,3839
2017-02-02,1694.75,1686.3,1798.7,1686.3,1770.5,56804,98446807.45,4138
2017-02-03,1770.5,1768.0,1834.0,1750.05,1811.75,94644,167606042.95,5746
2017-02-06,1811.75,1834.0,1834.0,1788.05,1818.9,27089,49171155.3,5027
2017-02-07,1818.9,1822.0,1845.0,1790.0,1816.0,43206,78559749.5,6516
2017-02-08,1816.0,1814.9,1840.0,1803.1,1831.2,14051,25598088.35,2405
2017-02-09,1831.2,1820.05,1839.0,1805.1,1812.2,10691,19485142.75,1935
2017-02-10,1812.2,1814.0,1846.0,1773.25,1830.45,76093,138184907.85,6463
2017-02-13,1830.45,1829.7,1870.0,1822.0,1847.35,36178,66891162.2,3490
2017-02-14,1847.35,1845.0,1886.95,1836.0,1874.25,37722,70492400.7,11508
2017-02-15,1874.25,1861.1,2019.0,1861.1,1977.0,375039,742758872.45,20901
2017-02-16,1977.0,1979.0,2024.0,1933.85,2010.2,72835,145044488.95,6007
2017-02-17,2010.2,2010.2,2026.85,1986.0,2001.5,81569,163227270.55,6988
2017-02-20,2001.5,1990.8,2077.3,1990.8,2035.35,68310,138664353.65,6179
2017-02-21,2035.35,2020.5,2045.65,1975.55,2000.05,346789,698793845.25,4238
2017-02-22,2000.05,2006.9,2038.0,1985.0,2022.55,107908,216938744.45,5804
2017-02-23,2022.55,2006.15,2098.0,2006.15,2076.85,65409,135400061.25,9093
2017-02-27,2076.85,2077.9,2185.0,2075.0,2154.75,191498,412390693.6,12517
2017-02-28,2154.75,2121.0,2184.0,2121.0,2141.55,53551,115416534.9,4030
2017-03-01,2141.55,2154.35,2162.0,2132.0,2144.15,43868,94115181.7,4891
2017-03-02,2144.15,2144.0,2160.0,2084.2,2142.1,31306,66865268.05,4453
2017-03-03,2142.1,2123.0,2150.0,2123.0,2138.95,21328,45608011.1,4626
2017-03-06,2138.95,2128.0,2155.0,2090.0,2110.2,29713,63344682.5,4906
2017-03-07,2110.2,2103.95,2119.85,2039.25,2048.6,20724,42954825.05,3135
2017-03-08,2048.6,2048.0,2064.95,1955.25,1974.75,152272,306606768.35,4373
2017-03-09,1974.75,1980.0,2022.95,1960.15,1977.95,29279,58270900.7,5897
2017-03-10,1977.95,1994.95,2010.0,1966.0,1977.75,14067,27881502.95,2984
2017-03-14,1977.75,1981.0,1998.0,1915.25,1930.5,198150,383374155.6,7998
2017-03-15,1930.5,1945.95,2000.0,1895.65,1927.5,113577,221157035.6,8760
2017-03-16,1927.5,1930.0,1970.0,1930.0,1953.5,25813,50442325.5,2790
