Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,29.65,29.55,29.95,27.3,29.65,11195,323675.6,158
2017-01-03,29.65,29.3,30.9,29.0,30.0,9327,278617.35,105
2017-01-04,30.0,29.9,31.0,29.1,29.9,12629,377843.5,205
2017-01-05,29.9,31.1,31.9,29.1,29.65,19849,602641.65,264
2017-01-06,29.65,29.8,29.8,28.2,28.65,14779,423588.15,258
2017-01-09,28.65,29.0,29.15,28.5,29.0,4226,121912.65,77
2017-01-10,29.0,29.6,29.7,29.05,29.5,9024,266127.55,80
2017-01-11,29.5,29.35,30.95,29.25,29.75,7200,217390.55,97
2017-01-12,29.75,30.05,31.35,29.75,29.95,32533,987488.3,359
2017-01-13,29.95,30.5,32.6,29.65,31.95,84948,2631252.8,455
2017-01-16,31.95,32.25,33.75,30.55,32.7,215345,7062717.55,1566
2017-01-17,32.7,32.5,32.9,31.7,31.9,24677,797965.2,211
2017-01-18,31.9,32.45,32.45,31.55,31.75,4637,147837.5,103
2017-01-19,31.75,32.05,32.05,30.55,31.1,20715,647384.3,219
2017-01-20,31.1,30.7,31.25,30.0,30.4,8427,255893.1,120
2017-01-23,30.4,30.6,31.4,29.8,30.65,17562,539981.1,252
2017-01-24,30.65,30.15,31.25,30.0,30.2,16171,489715.85,280
2017-01-25,30.2,30.8,31.0,30.15,30.5,30797,942022.2,346
2017-01-27,30.5,30.5,30.6,29.25,29.4,37051,1105554.65,400
2017-01-30,29.4,30.6,30.9,28.25,29.55,14459,424812.65,172
2017-01-31,29.55,30.65,30.65,29.1,29.95,21251,635924.5,174
2017-02-01,29.95,29.65,30.0,29.5,29.95,12375,367882.9,111
2017-02-02,29.95,29.5,29.95,29.0,29.75,3939,117053.8,67
2017-02-03,29.75,29.7,30.1,29.15,30.0,24804,742351.8,176
2017-02-06,30.0,30.3,30.75,30.0,30.4,22838,688374.5,106
2017-02-07,30.4,30.25,31.95,30.25,30.8,13568,419819.1,364
2017-02-08,30.8,30.05,30.9,30.0,30.5,12849,391166.8,52
2017-02-09,30.5,31.7,32.8,29.8,30.7,7170,218591.7,125
2017-02-10,30.7,30.05,30.65,29.5,29.55,10411,313507.4,196
2017-02-13,29.55,29.6,29.6,27.15,27.85,56855,1596963.1,331
2017-02-14,27.85,28.0,28.7,27.65,27.9,11213,314384.05,124
2017-02-15,27.9,28.0,28.0,26.85,26.95,23376,639240.2,249
2017-02-16,26.95,28.0,28.0,27.0,28.0,4473,123753.1,57
2017-02-17,28.0,27.05,28.5,26.55,27.7,6282,175273.9,87
2017-02-20,27.7,28.35,28.35,27.0,28.0,5760,160204.7,94
2017-02-21,28.0,27.75,28.45,27.75,28.25,6594,185098.3,50
2017-02-22,28.25,28.5,28.85,28.0,28.25,6876,196001.6,69
2017-02-23,28.25,27.9,28.7,27.4,27.95,9486,265202.45,274
2017-02-27,27.95,27.9,29.6,27.9,28.6,25691,742623.75,283
2017-02-28,28.6,28.0,29.0,27.5,28.35,5577,158595.25,60
2017-03-01,28.35,28.15,29.0,28.0,28.7,6512,186017.7,96
2017-03-02,28.7,29.8,29.8,28.15,28.35,10598,302800.3,157
2017-03-03,28.35,28.15,28.7,27.6,28.1,5610,157618.95,133
2017-03-06,28.1,28.15,28.2,27.75,27.9,6596,184035.6,77
2017-03-07,27.9,27.75,28.35,27.35,27.55,7355,203302.6,58
2017-03-08,27.55,27.6,27.95,27.25,27.5,2946,81740.9,96
2017-03-09,27.5,27.65,28.5,27.4,27.55,10123,283222.75,156
2017-03-10,27.55,27.5,28.05,27.4,27.5,6586,182965.95,138
2017-03-14,27.5,27.9,28.0,27.15,27.7,4774,131741.8,143
2017-03-15,27.7,27.4,28.4,26.65,27.95,7158,199595.0,99
2017-03-16,27.95,28.2,28.3,27.55,27.9,11053,309070.8,79
2017-03-17,27.9,27.9,28.2,27.3,27.55,13309,370425.95,120
2017-03-20,27.55,27.0,28.4,27.0,27.95,4843,134763.7,29
2017-03-21,27.95,27.95,28.25,27.6,28.0,11989,334119.2,109
2017-03-22,28.0,27.8,29.0,27.65,27.85,16810,471603.9,158
2017-03-23,27.85,27.75,28.5,27.75,28.2,13455,377957.45,186
2017-03-24,28.2,27.9,28.5,27.65,27.95,7341,204863.3,179
2017-03-27,27.95,27.8,27.9,27.5,27.65,9521,263775.5,40
2017-03-28,27.65,27.4,28.8,27.4,27.8,11764,329143.95,94
2017-03-29,27.8,28.65,28.7,27.5,27.65,24767,692910.35,97
2017-03-30,27.65,27.1,29.5,27.1,29.1,35556,1023360.7,148
2017-03-31,29.1,29.25,29.7,27.5,29.35,15134,444264.6,79
2017-04-03,29.35,29.7,29.95,28.8,29.25,14323,420606.85,89
2017-04-05,29.25,29.15,29.65,29.0,29.05,8953,260810.9,120
2017-04-06,29.05,29.0,29.65,28.5,28.6,6713,193136.7,44
2017-04-07,28.6,28.2,29.6,28.2,29.1,22880,666027.8,56
2017-04-10,29.1,29.5,29.5,28.65,28.7,20456,590925.5,153
2017-04-11,28.7,28.55,29.2,28.55,28.7,4421,127856.8,51
2017-04-12,28.7,28.9,29.0,28.05,28.7,7111,203463.45,73
2017-04-13,28.7,28.95,31.4,28.95,30.6,144028,4384740.4,764
2017-04-17,30.6,31.2,32.65,30.65,31.1,50944,1608839.7,331
2017-04-18,31.1,31.95,34.85,31.5,32.35,332405,10986749.35,1587
2017-04-19,32.35,33.6,33.6,32.1,32.7,34972,1148945.15,252
2017-04-20,32.7,32.35,34.9,32.3,33.4,131495,4487698.4,619
2017-04-21,33.4,33.85,34.9,33.6,33.75,79421,2734082.9,455
2017-04-24,33.75,35.0,35.0,32.7,33.15,28387,949536.3,209
2017-04-25,33.15,32.95,33.1,31.65,31.9,29749,962683.45,219
2017-04-26,31.9,31.7,31.8,30.2,30.55,37206,1148449.65,271
2017-04-27,30.55,31.5,31.5,30.1,30.45,22488,683933.85,111
2017-04-28,30.45,30.2,30.95,29.25,30.1,22568,674621.3,166
2017-05-02,30.1,29.9,31.15,29.5,30.75,8183,249783.55,74
2017-05-03,30.75,30.2,31.75,29.25,31.5,25146,790783.3,139
2017-05-04,31.5,31.85,33.6,31.55,32.15,33756,1096868.7,235
2017-05-05,32.15,32.05,32.15,30.55,31.7,18238,573579.05,153
2017-05-08,31.7,32.0,32.65,30.8,31.1,9905,313365.95,131
2017-05-09,31.1,32.1,32.1,30.25,30.85,18595,573664.5,127
2017-05-10,30.85,30.9,31.7,30.1,31.1,28624,878220.3,193
2017-05-11,31.1,31.0,32.0,30.55,31.55,16693,523325.15,136
2017-05-12,31.55,31.0,31.4,30.5,30.85,5361,165274.2,46
2017-05-15,30.85,30.45,31.9,30.1,31.7,22745,712938.15,103
2017-05-16,31.7,32.0,32.0,30.65,31.0,21528,681802.85,117
2017-05-17,31.0,31.0,31.9,30.25,30.6,19598,604245.35,138
2017-05-18,30.6,30.6,31.65,30.0,30.6,17063,530056.3,97
2017-05-19,30.6,30.6,30.95,30.0,30.1,11094,334182.35,71
2017-05-22,30.1,29.9,30.35,28.55,29.0,19419,567649.0,105
2017-05-23,29.0,29.0,29.2,28.0,28.9,31178,889754.15,164
2017-05-24,28.9,28.15,29.5,28.15,28.2,11822,337043.9,111
2017-05-25,28.2,29.3,30.5,27.6,28.05,23020,649796.35,184
2017-05-26,28.05,28.0,29.25,28.0,28.5,7423,211208.05,63
2017-05-29,28.5,28.5,29.0,27.7,28.35,6518,186417.75,50
2017-05-30,28.35,29.5,33.7,28.5,32.05,439101,14160020.5,2856
2017-05-31,32.05,31.95,32.4,30.0,30.6,126266,3936493.6,744
2017-06-01,30.6,30.1,30.7,29.8,30.05,16583,503317.75,120
2017-06-02,30.05,29.8,31.0,29.35,30.25,34463,1038466.15,294
2017-06-05,30.25,30.65,30.8,29.85,30.4,5834,177549.4,79
2017-06-06,30.4,30.0,30.75,29.85,30.0,6845,206903.85,71
2017-06-07,30.0,29.85,30.0,29.4,29.6,6259,185866.35,52
2017-06-08,29.6,29.25,29.75,28.6,29.35,13191,386151.05,110
2017-06-09,29.35,29.05,29.3,28.5,29.0,26621,769244.6,90
2017-06-12,29.0,28.9,28.95,28.2,28.7,16171,461857.9,174
2017-06-13,28.7,28.5,29.0,28.15,28.6,13237,381296.85,60
2017-06-14,28.6,29.35,29.7,27.75,28.0,15574,438383.05,161
2017-06-15,28.0,28.85,28.85,28.1,28.7,3726,106407.85,51
2017-06-16,28.7,28.4,29.45,28.3,28.45,14221,409612.55,82
2017-06-19,28.45,28.6,28.7,27.8,28.2,10550,299160.8,128
2017-06-20,28.2,29.3,29.3,28.05,28.5,5152,147014.4,83
2017-06-21,28.5,28.0,28.85,27.7,28.1,16347,464073.05,133
2017-06-22,28.1,27.85,28.3,27.5,28.0,13313,372316.65,136
2017-06-23,28.0,28.15,28.25,27.15,27.35,14839,407038.0,128
2017-06-27,27.35,27.35,27.35,26.05,26.15,25455,675432.35,201
2017-06-28,26.15,26.45,26.45,25.8,26.05,8492,221530.05,62
2017-06-29,26.05,26.4,27.0,26.2,26.65,11509,305387.15,59
2017-06-30,26.65,27.7,27.7,26.1,26.75,7765,207819.55,83
2017-07-03,26.75,27.8,29.2,26.4,27.2,15016,410503.7,134
2017-07-04,27.2,28.25,28.25,27.1,27.3,7313,199793.75,53
2017-07-05,27.3,28.3,29.0,27.1,27.95,10302,287039.45,66
2017-07-06,27.95,27.95,29.8,27.2,29.25,55073,1601455.55,196
2017-07-07,29.25,29.4,29.9,28.15,28.3,17974,517633.7,177
2017-07-10,28.3,28.0,28.55,27.5,27.7,6568,182142.1,65
2017-07-11,27.7,29.1,30.0,28.4,28.85,50684,1468491.9,254
2017-07-12,28.85,29.15,29.15,28.35,28.7,7408,212459.05,36
2017-07-13,28.7,28.25,29.1,28.25,29.0,19701,567414.0,100
2017-07-14,29.0,28.55,29.25,28.5,28.95,30716,887457.75,107
2017-07-17,28.95,29.1,29.1,28.5,28.8,10095,290442.2,101
2017-07-18,28.8,28.8,29.4,28.5,29.1,13879,401962.05,75
2017-07-19,29.1,29.1,29.4,28.65,29.15,11221,324335.5,95
2017-07-20,29.15,29.0,29.45,28.85,28.9,9486,275308.55,66
2017-07-21,28.9,28.6,30.5,28.6,29.65,27748,829189.0,210
2017-07-24,29.65,30.5,30.5,29.25,29.85,9786,290630.8,109
2017-07-25,29.85,29.55,29.9,29.3,29.6,7361,217756.8,85
2017-07-26,29.6,29.85,30.0,29.5,29.75,6827,202785.15,52
2017-07-27,29.75,30.3,30.4,28.75,29.45,9047,267910.1,54
2017-07-28,29.45,30.15,30.15,29.2,29.55,5243,155090.5,74
2017-07-31,29.55,30.0,30.0,29.0,29.1,6770,199273.55,62
2017-08-01,29.1,28.9,32.95,28.25,31.5,143842,4517246.55,837
2017-08-02,31.5,31.6,34.4,29.5,32.05,353321,11612091.5,1908
2017-08-03,32.05,33.0,35.9,32.75,32.95,595050,20397737.95,3496
2017-08-04,32.95,33.4,33.4,31.1,31.8,19954,635907.5,246
2017-08-07,31.8,31.25,35.7,30.25,34.25,204022,6946201.95,864
2017-08-08,34.25,34.75,37.7,32.6,33.25,514050,18465464.45,2486
2017-08-09,33.25,33.0,33.65,32.2,32.5,25345,833288.05,196
2017-08-10,32.5,32.0,36.3,31.1,35.0,219139,7691892.05,1201
2017-08-11,35.0,34.0,34.05,30.8,32.75,26090,866447.3,256
2017-08-14,32.75,33.9,35.4,32.55,33.25,24173,819070.9,231
2017-08-16,33.25,33.95,34.9,32.05,33.0,4698,156346.0,108
2017-08-17,33.0,33.0,34.5,33.0,33.2,9659,322823.3,203
2017-08-18,33.2,33.0,33.75,32.65,32.85,11284,372174.5,101
2017-08-21,32.85,33.0,37.4,32.8,35.35,185266,6633770.2,817
2017-08-22,35.35,34.4,39.1,34.4,36.85,574797,21539388.1,3289
2017-08-23,36.85,37.0,38.5,35.75,36.0,81678,3030252.15,605
2017-08-24,36.0,35.75,37.4,35.5,36.9,81079,2970139.25,317
2017-08-28,36.9,36.9,38.0,35.0,35.55,90404,3287059.95,430
2017-08-29,35.55,34.3,34.3,32.95,33.3,77616,2606906.8,393
2017-08-30,33.3,33.3,34.75,31.8,33.0,38210,1283917.1,284
2017-08-31,33.0,33.15,34.25,32.05,32.7,54408,1801920.35,374
2017-09-01,32.7,33.6,34.2,32.75,32.8,53316,1770551.3,335
2017-09-04,32.8,32.7,33.0,30.85,31.3,99172,3162111.3,445
2017-09-05,31.3,30.6,32.9,30.6,32.35,42164,1342237.75,253
2017-09-06,32.35,31.65,32.4,31.1,32.35,24930,791449.6,168
2017-09-07,32.35,31.65,32.5,29.8,32.05,67228,2120960.7,445
2017-09-08,32.05,31.85,34.9,31.6,33.55,87689,2944109.9,482
2017-09-11,33.55,34.4,35.45,33.9,34.9,79463,2772511.85,433
2017-09-12,34.9,35.4,36.0,34.7,35.4,36161,1279229.6,223
2017-09-13,35.4,35.1,35.4,33.7,34.2,21684,744379.45,199
2017-09-14,34.2,33.65,34.85,33.4,33.7,20030,680336.35,156
2017-09-15,33.7,34.0,34.0,32.0,33.95,10403,345811.4,96
2017-09-18,33.95,33.85,34.25,32.95,33.3,8878,297309.9,147
2017-09-19,33.3,33.0,34.0,32.1,33.7,14504,480486.7,135
2017-09-20,33.7,33.3,37.2,33.05,35.05,326141,11729106.15,1847
2017-09-21,35.05,36.0,36.0,33.5,34.5,22813,788452.7,294
2017-09-22,34.5,34.05,34.05,32.5,33.0,26344,876896.25,263
2017-09-25,33.0,32.4,33.0,31.85,31.95,25594,823322.8,220
2017-09-26,31.95,32.05,32.6,31.75,32.0,13402,429197.75,101
2017-09-27,32.0,32.15,32.15,30.7,31.05,11978,376262.7,111
2017-09-28,31.05,30.5,32.9,30.5,31.85,18451,589619.75,172
2017-09-29,31.85,32.0,34.95,31.85,33.65,70934,2379866.95,381
2017-10-03,33.65,33.7,36.2,33.4,35.35,89358,3128460.45,461
2017-10-04,35.35,35.0,36.9,34.7,35.45,36226,1292411.25,218
2017-10-05,35.45,35.15,38.0,34.65,35.55,304789,11180238.1,1453
2017-10-06,35.55,36.0,37.95,35.45,37.65,174229,6518589.65,1167
2017-10-09,37.65,37.25,40.9,37.2,39.2,265735,10528055.25,1089
2017-10-10,39.2,40.75,40.9,36.7,39.15,83552,3276948.65,482
2017-10-11,39.15,38.5,40.75,38.1,38.65,99013,3903459.6,539
2017-10-12,38.65,39.6,40.0,38.1,38.3,15554,598817.2,128
2017-10-13,38.3,38.3,40.35,37.6,38.55,50021,1957645.5,404
2017-10-16,38.55,39.95,43.0,38.4,41.55,583957,24376480.7,3299
2017-10-17,41.55,42.8,43.95,39.05,39.7,267099,11224350.95,1644
2017-10-18,39.7,40.35,42.8,39.7,40.25,310485,12875498.55,2293
2017-10-19,40.25,41.6,41.9,39.7,40.55,41315,1702720.4,257
2017-10-23,40.55,40.55,41.3,39.35,39.9,60310,2418371.2,378
2017-10-24,39.9,40.0,40.0,37.45,38.75,88560,3434057.3,562
2017-10-25,38.75,39.25,39.25,36.9,37.45,90115,3419379.7,391
2017-10-26,37.45,38.1,38.95,36.9,37.3,35033,1324844.15,303
2017-10-27,37.3,37.0,38.4,36.25,36.5,29641,1100073.85,264
2017-10-30,36.5,36.15,36.9,35.7,36.65,24239,884269.45,198
2017-10-31,36.65,36.55,37.55,36.0,37.1,37855,1399041.75,318
2017-11-01,37.1,37.0,41.9,36.5,40.15,292997,11895737.15,2000
2017-11-02,40.15,40.15,43.0,38.2,41.15,547077,22666338.65,2735
2017-11-03,41.15,41.2,44.9,40.5,43.65,439243,19128188.45,2106
2017-11-06,43.65,43.0,47.35,42.2,43.1,591637,26611856.85,3235
2017-11-07,43.1,44.8,44.8,40.5,41.35,173778,7303784.45,948
2017-11-08,41.35,41.65,43.5,41.15,41.55,150758,6392576.8,763
2017-11-09,41.55,43.2,43.5,39.25,41.15,47965,1964722.5,416
2017-11-10,41.15,41.75,42.5,40.55,41.2,55104,2283753.15,371
2017-11-13,41.2,41.75,48.9,40.85,48.1,999851,46452070.4,3830
2017-11-14,48.1,48.9,53.75,47.0,52.1,2325005,118257859.55,9466
2017-11-15,52.1,51.3,59.45,45.3,53.85,3356806,181796533.35,20077
2017-11-16,53.85,53.05,55.4,49.0,50.2,869647,45281125.95,5244
2017-11-17,50.2,51.0,53.3,49.05,49.55,199386,10171943.85,1653
2017-11-20,49.55,50.9,51.5,48.45,49.25,140277,7003213.75,1179
2017-11-21,49.25,49.5,50.65,46.1,47.85,146649,7065362.5,1259
2017-11-22,47.85,48.85,50.0,46.5,47.6,149995,7255410.3,1301
2017-11-23,47.6,48.0,50.25,47.05,48.3,179691,8779416.65,1186
2017-11-24,48.3,48.85,48.85,46.0,46.3,95778,4524065.2,843
