Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,26.4,26.4,26.85,25.85,26.2,3889,101717.95,26
2017-01-03,26.2,26.55,28.85,26.05,28.05,18983,522892.95,85
2017-01-04,28.05,27.5,31.0,27.1,29.35,132700,3952668.05,685
2017-01-05,29.35,30.0,30.6,29.9,30.1,20887,631214.6,102
2017-01-06,30.1,30.0,30.25,27.4,28.0,33532,960268.05,112
2017-01-09,28.0,28.1,29.25,28.1,29.0,13062,373460.05,69
2017-01-10,29.0,29.5,29.9,28.85,29.5,9795,289346.8,87
2017-01-11,29.5,29.0,29.05,28.9,29.0,3626,105153.0,25
2017-01-12,29.0,28.45,29.0,28.35,28.9,4541,131005.65,24
2017-01-13,28.9,28.4,28.9,28.0,28.25,5548,157630.25,48
2017-01-16,28.25,28.6,28.6,28.05,28.05,2032,57217.4,25
2017-01-17,28.05,28.1,28.6,28.0,28.1,3088,86941.2,24
2017-01-18,28.1,28.6,29.0,28.3,28.6,10320,296005.05,41
2017-01-19,28.6,28.5,30.5,28.05,28.95,30869,902244.3,87
2017-01-20,28.95,29.0,29.5,28.6,29.35,10065,293440.6,46
2017-01-23,29.35,28.7,29.25,28.65,28.9,6021,174261.85,19
2017-01-24,28.9,28.8,28.85,28.5,28.55,2870,82489.45,14
2017-01-25,28.55,28.25,30.0,28.25,29.2,14250,415559.65,32
2017-01-27,29.2,29.8,33.0,28.7,30.6,80452,2526071.95,371
2017-01-30,30.6,30.0,30.75,29.35,30.0,13460,405580.95,50
2017-01-31,30.0,29.3,29.8,29.3,29.4,3834,112803.15,23
2017-02-01,29.4,28.75,29.6,28.75,29.6,2354,68759.05,16
2017-02-02,29.6,29.0,30.5,29.0,29.8,6432,189937.35,22
2017-02-03,29.8,29.8,29.8,29.0,29.2,5354,156971.9,39
2017-02-06,29.2,28.7,29.2,28.0,28.5,4503,129120.8,32
2017-02-07,28.5,28.8,28.95,27.25,27.5,20080,561614.55,56
2017-02-08,27.5,27.9,28.6,27.5,27.7,31625,888761.7,66
2017-02-09,27.7,27.7,28.25,26.15,27.5,8490,232780.9,51
2017-02-10,27.5,26.5,27.8,26.5,27.5,5853,159435.25,50
2017-02-13,27.5,27.0,28.0,25.8,26.0,18941,508333.1,70
2017-02-14,26.0,26.0,26.55,25.05,25.15,21671,554168.35,67
2017-02-15,25.15,23.8,25.0,23.45,23.9,35045,841902.65,85
2017-02-16,23.9,24.4,24.9,23.6,24.2,16483,398553.9,37
2017-02-17,24.2,24.0,24.95,23.65,23.95,23714,567988.25,47
2017-02-20,23.95,24.7,24.7,23.3,23.8,8607,203472.9,75
2017-02-21,23.8,23.9,24.2,23.0,23.8,5347,125419.4,28
2017-02-22,23.8,23.1,24.0,23.1,23.65,1148,27222.4,13
2017-02-23,23.65,24.45,24.5,22.15,22.5,10942,254168.25,64
2017-02-27,22.5,22.5,26.85,22.5,25.15,20815,496703.6,73
2017-02-28,25.15,26.8,26.8,24.5,24.5,16999,431130.0,145
2017-03-01,24.5,24.5,25.0,24.0,25.0,6664,162158.75,21
2017-03-02,25.0,25.05,25.8,24.05,24.05,18669,458298.25,52
2017-03-03,24.05,24.8,28.85,24.8,27.8,204843,5761216.65,1132
2017-03-06,27.8,27.55,29.0,26.0,27.0,39889,1086825.95,281
2017-03-07,27.0,26.85,27.05,25.6,25.75,12569,330714.1,118
2017-03-08,25.75,25.7,26.5,24.6,25.05,19450,491775.1,93
2017-03-09,25.05,25.75,25.75,24.5,25.0,7522,187709.1,37
2017-03-10,25.0,25.75,25.75,24.3,24.75,6676,164912.15,58
2017-03-14,24.75,26.0,26.45,24.75,24.95,8439,214395.85,67
2017-03-15,24.95,25.5,25.5,24.7,25.0,3514,88357.0,24
2017-03-16,25.0,24.7,25.4,23.8,24.2,34797,842321.45,125
2017-03-17,24.2,24.1,24.35,23.55,24.0,4230,101450.7,42
2017-03-20,24.0,24.0,24.45,24.0,24.1,2793,67826.3,16
2017-03-21,24.1,24.0,24.8,24.0,24.1,781,18837.0,8
2017-03-22,24.1,24.0,24.35,23.6,24.15,17549,423635.1,28
2017-03-23,24.15,24.4,24.85,24.05,24.4,4720,115029.5,31
2017-03-24,24.4,24.0,24.7,22.8,23.35,60715,1417344.9,166
2017-03-27,23.35,24.4,24.5,23.5,23.95,11582,276019.75,64
2017-03-28,23.95,23.45,28.2,23.4,24.6,100680,2628498.95,355
2017-03-29,24.6,24.1,25.0,23.35,23.55,30798,737991.5,75
2017-03-30,23.55,23.6,24.7,23.6,23.9,3229,77947.4,25
2017-03-31,23.9,24.25,24.95,23.6,24.85,15178,365271.0,70
2017-04-03,24.85,24.5,24.65,24.2,24.45,14769,360562.5,55
2017-04-05,24.45,24.0,24.35,23.5,23.75,27129,650611.0,141
2017-04-06,23.75,24.0,24.5,23.4,24.1,26454,638205.15,87
2017-04-07,24.1,24.3,25.05,23.7,23.9,30861,751442.2,115
2017-04-10,23.9,24.4,25.4,24.2,24.95,52155,1294132.7,206
2017-04-11,24.95,24.7,24.7,24.0,24.2,34602,838860.1,156
2017-04-12,24.2,24.05,24.5,23.8,24.5,31179,757953.95,53
2017-04-13,24.5,24.5,24.55,24.1,24.15,33242,809967.95,62
2017-04-17,24.15,24.85,24.85,23.25,23.6,47014,1127861.05,105
2017-04-18,23.6,23.8,24.75,23.8,24.1,26804,643610.9,59
2017-04-19,24.1,24.1,24.8,24.05,24.55,36895,894237.5,62
2017-04-20,24.55,24.55,24.75,24.05,24.35,17093,417524.55,25
