Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-07-21,570.0,723.05,747.0,723.05,730.35,41014089,29945681635.65,948031
2025-07-22,730.35,731.15,752.7,701.9,732.5,13471449,9886688283.2,318623
2025-07-23,732.5,741.75,765.9,721.0,756.2,11975338,8983259838.9,265868
2025-07-24,756.2,766.6,770.0,746.0,758.3,3432005,2596239526.05,80414
2025-07-25,758.3,753.0,762.7,737.3,757.35,3115418,2341208290.1,67430
2025-07-28,757.35,750.0,759.95,742.25,755.9,2776920,2085723708.85,65181
2025-07-29,755.9,747.6,788.35,747.05,782.45,4307521,3319336112.0,90093
2025-07-30,782.45,786.5,801.85,763.0,770.65,2336388,1823431952.95,57251
2025-07-31,770.65,753.0,774.7,750.0,759.15,1353708,1033720294.75,48728
2025-08-01,759.15,759.0,765.8,732.0,738.4,1138993,851225445.65,38512
2025-08-04,738.4,738.4,753.9,734.0,752.3,909658,679690598.25,29157
2025-08-05,752.3,758.4,762.0,734.0,736.7,627833,468230207.55,23701
2025-08-06,736.7,735.45,739.95,711.55,724.5,908026,658959887.7,36804
2025-08-07,724.5,720.05,756.7,716.0,749.65,1070979,793950656.6,37159
2025-08-08,749.65,749.0,755.5,726.4,729.6,676488,502361668.6,27943
2025-08-11,729.6,730.1,760.0,725.05,753.25,946417,704392636.2,55499
2025-08-12,753.25,755.0,765.95,741.0,743.45,562786,423486552.25,27559
2025-08-13,743.45,748.45,761.85,747.0,754.95,436574,329614045.95,19124
2025-08-14,754.95,780.0,836.4,779.0,824.95,10948453,8889932275.15,288266
2025-08-18,824.95,825.0,825.7,791.2,800.65,3479297,2796510290.7,115766
2025-08-19,800.65,798.0,823.95,796.25,818.25,1125065,917050927.0,49234
2025-08-20,818.25,818.0,857.3,812.35,840.9,2593213,2186637996.85,86813
2025-08-21,840.9,842.2,860.8,836.5,846.35,815481,690667450.7,44189
2025-08-22,846.35,845.0,850.95,811.15,822.9,687734,573260414.2,24458
2025-08-25,822.9,828.2,847.85,827.05,843.65,589796,495462678.75,23284
2025-08-26,843.65,853.95,864.9,830.0,835.85,1706485,1447048821.45,73408
2025-08-28,835.85,839.7,845.85,815.2,817.5,684187,564434141.8,33179
2025-08-29,817.5,820.9,837.5,816.1,818.05,665988,550134910.7,31105
2025-09-01,818.05,826.0,828.4,811.05,814.3,481101,394126551.3,20578
2025-09-02,814.3,818.0,821.4,801.2,804.15,464360,375729322.55,26712
2025-09-03,804.15,809.8,825.0,802.25,823.65,633538,517701146.7,19411
2025-09-04,823.65,829.0,858.0,828.15,844.0,863254,729869629.25,34058
2025-09-05,844.0,844.0,847.75,826.25,829.8,369047,307342034.25,23511
2025-09-08,829.8,829.75,834.8,813.1,816.1,304414,250773636.7,14740
2025-09-09,816.1,818.95,825.95,813.6,818.9,245748,201495748.85,11661
2025-09-10,818.9,820.0,832.2,812.5,815.2,349715,287337140.95,18767
2025-09-11,815.2,815.3,835.3,815.3,820.9,414905,342359057.3,15332
2025-09-12,820.9,824.95,841.95,818.05,833.5,438590,365330536.6,17398
2025-09-15,833.5,833.5,840.15,824.0,835.45,284825,237074710.55,14619
2025-09-16,835.45,838.4,860.0,828.0,831.8,621254,523842946.6,26236
2025-09-17,831.8,836.0,870.0,835.1,864.5,1170779,1001573545.1,43303
2025-09-18,864.5,866.05,873.5,850.5,857.05,580108,499389373.0,27647
2025-09-19,857.05,856.85,862.9,843.0,846.1,294500,250511911.8,14849
2025-09-22,846.1,840.7,848.95,827.25,831.25,296350,248210255.9,13582
2025-09-23,831.25,838.95,838.95,806.0,821.85,608762,498140585.95,28915
2025-09-24,821.85,819.55,823.0,812.75,820.75,222672,182315612.5,13403
2025-09-25,820.75,816.0,820.0,801.0,805.0,343261,278079713.25,29283
2025-09-26,805.0,798.0,798.0,770.4,780.9,733813,573869413.3,52732
2025-09-29,780.9,782.1,784.6,758.2,765.85,436199,335135007.1,28705
2025-09-30,765.85,764.7,771.9,759.6,761.2,389301,297534211.6,23360
