Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-08-23,250.6,245.55,261.0,245.55,257.1,19596,5016555.95,217
2017-08-24,257.1,259.0,260.0,248.5,249.95,7402,1887788.05,120
2017-08-28,249.95,251.9,255.0,246.5,251.05,14300,3617334.5,148
2017-08-29,251.05,250.1,251.0,245.3,248.0,7013,1743242.05,84
2017-08-30,248.0,247.05,253.0,247.05,248.15,7189,1795125.7,58
2017-08-31,248.15,251.65,251.65,249.25,251.4,15193,3803637.95,74
2017-09-01,251.4,254.4,263.95,250.0,263.95,47791,12535293.1,293
2017-09-04,263.95,277.1,277.1,272.0,277.1,25793,7138665.95,327
2017-09-05,277.1,282.0,290.95,278.0,280.4,45038,12974404.1,312
2017-09-06,280.4,285.0,285.0,269.0,276.3,11408,3126846.05,136
2017-09-07,276.3,272.5,279.9,268.0,275.6,5620,1548205.8,92
2017-09-08,275.6,276.0,279.5,275.0,276.0,4311,1188973.3,59
2017-09-11,276.0,271.0,284.9,271.0,278.25,4226,1187489.0,95
2017-09-12,278.25,278.0,285.0,278.0,279.15,6608,1849412.5,78
2017-09-13,279.15,276.0,288.0,276.0,285.15,7559,2151226.0,96
2017-09-14,285.15,284.9,293.1,279.3,281.45,23551,6750062.75,383
2017-09-15,281.45,284.0,295.5,283.2,286.75,43830,12815732.35,394
2017-09-18,286.75,282.0,300.0,282.0,294.4,17406,5134396.1,243
2017-09-19,294.4,290.7,295.0,286.0,287.35,6878,1998797.5,186
2017-09-20,287.35,289.95,292.0,286.0,288.4,5236,1513330.1,50
2017-09-21,288.4,285.0,295.0,282.55,294.1,11305,3300881.55,120
2017-09-22,294.1,296.0,297.0,280.0,280.45,7320,2074938.5,112
2017-09-25,280.45,276.25,279.75,270.0,274.55,4711,1280709.65,76
2017-09-26,274.55,275.0,284.0,272.05,280.2,3010,837592.6,32
2017-09-27,280.2,280.0,280.0,268.0,270.35,3619,982400.5,42
2017-09-28,270.35,270.0,280.0,268.05,277.6,3964,1094233.45,64
2017-09-29,277.6,280.0,280.0,277.0,277.15,1370,379893.85,22
2017-10-03,277.15,285.0,285.0,277.0,278.55,1460,408774.7,26
2017-10-04,278.55,277.0,283.0,277.0,279.9,1412,397792.5,13
2017-10-05,279.9,283.5,283.5,275.0,276.0,3163,874424.2,38
2017-10-06,276.0,276.0,283.85,276.0,278.75,6684,1865086.75,35
2017-10-09,278.75,280.85,289.5,280.85,287.2,5941,1704380.0,111
2017-10-10,287.2,287.2,298.0,287.2,296.35,10799,3174962.2,158
2017-10-11,296.35,300.0,300.0,284.5,295.65,9318,2755350.7,126
2017-10-12,295.65,297.5,325.2,290.05,324.2,52583,16538718.55,579
2017-10-13,324.2,332.9,340.0,313.3,315.15,36752,11996793.6,554
2017-10-16,315.15,301.15,324.0,301.15,311.35,10746,3347712.2,106
2017-10-17,311.35,306.25,314.0,306.25,310.05,3560,1108905.1,77
2017-10-18,310.05,305.0,313.75,305.0,309.8,7781,2413467.15,83
2017-10-19,309.8,310.0,318.0,310.0,314.7,3405,1065041.95,44
2017-10-23,314.7,310.0,320.0,306.0,314.95,6448,2023284.6,103
2017-10-24,314.95,317.5,317.5,310.0,313.0,2126,665262.2,43
2017-10-25,313.0,313.0,316.5,310.0,313.4,5095,1590213.0,30
2017-10-26,313.4,305.0,313.75,305.0,312.95,4699,1468573.7,53
2017-10-27,312.95,310.05,341.0,310.05,337.7,36679,12159812.15,517
2017-10-30,337.7,357.0,369.4,347.0,358.2,135804,48774456.35,3705
2017-10-31,358.2,359.0,369.85,345.25,350.8,21894,7785965.95,818
