Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,613.85,602.39,609.74,596.98,606.71,89401.73,53955029.7,5786
2017-01-03,606.71,608.35,627.3,605.96,615.84,111904.57,69228107.0,5840
2017-01-04,615.84,619.81,633.55,613.31,616.48,101299.06,63223650.25,3888
2017-01-05,616.48,620.26,629.88,612.96,616.09,136066.01,84411956.55,5173
2017-01-06,616.09,620.26,620.8,601.7,605.82,67707.03,41331348.95,3823
2017-01-09,605.82,611.03,620.16,603.73,607.65,78679.33,48206024.7,6001
2017-01-10,607.65,610.08,614.9,601.5,604.03,31870.96,19372157.85,2473
2017-01-11,604.03,605.47,620.26,601.6,610.03,82764.34,50789244.1,3172
2017-01-12,610.03,608.84,610.33,598.42,600.95,54352.64,32807441.7,2825
2017-01-13,600.95,602.39,606.81,590.53,595.3,38093.2,22725546.3,1803
2017-01-16,595.3,590.53,595.44,581.05,584.38,40331.19,23695399.65,2322
2017-01-17,584.38,585.72,622.24,585.72,599.07,228445.35,139453892.85,8325
2017-01-18,599.07,601.3,613.8,599.41,603.09,71516.95,43262434.85,3248
2017-01-19,603.09,605.32,608.74,595.44,596.88,32680.11,19658145.8,1761
2017-01-20,596.88,604.18,618.07,596.44,599.17,112506.14,68441141.0,5505
2017-01-23,599.17,602.34,610.28,596.69,600.31,28671.67,17267121.6,1246
2017-01-24,600.31,600.41,618.07,590.04,593.96,130381.85,78959747.55,4527
2017-01-25,593.96,598.42,602.29,584.08,593.36,124181.78,73808861.25,3646
2017-01-27,593.36,600.41,618.52,586.51,592.42,272750.71,164889907.35,9270
2017-01-30,592.42,587.11,591.23,579.57,581.55,46582.65,27249968.6,2045
2017-01-31,581.55,583.34,583.88,557.39,561.95,48285.58,27513699.4,2294
2017-02-01,561.95,565.37,572.47,553.32,565.52,61068.63,34348255.2,2277
2017-02-02,565.52,566.66,575.6,556.84,569.94,43650.39,24763636.45,2260
2017-02-03,569.94,574.41,585.27,560.71,566.86,56223.85,32343528.2,2310
2017-02-06,566.86,575.4,599.41,567.81,588.35,135836.26,79499019.15,5318
2017-02-07,588.35,582.44,598.42,576.39,580.81,60737.11,35732351.6,3539
2017-02-08,580.81,585.32,590.88,579.57,581.3,36573.67,21381307.05,1934
2017-02-09,581.3,576.79,587.01,575.6,578.23,135254.85,78663300.65,2527
2017-02-10,578.23,579.91,584.53,576.59,580.96,23248.5,13512745.5,1237
2017-02-13,580.96,583.88,587.21,578.72,585.87,40825.95,23813107.35,1014
2017-02-14,585.87,585.92,596.83,585.52,589.79,33347.17,19735513.05,1018
2017-02-15,589.79,595.1,595.15,578.57,583.24,21232.19,12395018.9,831
