Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-05-21,83.75,100.0,100.0,83.9,84.37,34608,2968917.35,451
2021-05-24,84.37,86.0,87.5,84.4,85.23,35967,3065191.43,291
2021-05-25,85.23,88.23,88.23,84.1,84.56,38901,3311416.64,274
2021-05-26,84.56,85.99,85.99,83.05,85.2,21063,1784830.32,248
2021-05-27,85.2,86.0,86.0,84.1,84.76,11265,953365.52,168
2021-05-28,84.76,85.48,85.48,84.0,84.11,13126,1106812.84,224
2021-05-31,84.11,84.5,85.0,82.53,84.17,24341,2048630.1,288
2021-06-01,84.17,84.74,84.74,83.9,84.03,10044,844876.51,381
2021-06-02,84.03,84.65,85.25,84.05,84.57,10446,883634.16,290
2021-06-03,84.57,84.5,86.5,84.5,85.73,70282,6033957.59,406
2021-06-04,85.73,85.7,89.7,85.0,85.06,34713,2982825.03,522
2021-06-07,85.06,85.9,87.99,84.95,85.48,32204,2751710.96,460
2021-06-08,85.48,85.79,85.79,85.2,85.55,7374,630016.71,163
2021-06-09,85.55,85.9,87.0,85.45,86.61,20810,1802202.62,257
2021-06-10,86.61,86.6,87.9,86.1,86.89,7649,664391.72,274
2021-06-11,86.89,86.9,88.2,86.3,88.07,13085,1145147.24,225
2021-06-14,88.07,87.2,90.0,86.53,87.08,17794,1558711.26,427
2021-06-15,87.08,87.8,88.5,87.05,87.56,6567,576396.28,198
2021-06-16,87.56,87.9,88.5,87.11,87.67,10771,941559.89,316
2021-06-17,87.67,86.97,88.4,86.5,86.79,15349,1342484.49,549
2021-06-18,86.79,87.0,87.74,86.15,87.49,7128,621517.84,216
2021-06-21,87.49,87.49,87.75,86.15,87.04,6801,590188.68,276
2021-06-22,87.04,87.5,87.5,86.4,86.76,13209,1151296.93,327
2021-06-23,86.76,86.72,87.49,85.51,85.7,17570,1511591.97,376
2021-06-24,85.7,86.95,86.95,85.71,85.94,1837,157893.61,90
2021-06-25,85.94,86.9,86.9,85.1,86.14,4803,412751.13,145
2021-06-28,86.14,86.14,86.98,85.25,86.91,6927,599824.03,237
2021-06-29,86.91,87.5,87.5,86.81,87.37,6145,535931.39,266
2021-06-30,87.37,86.77,88.99,86.77,87.82,9983,878552.6,329
2021-07-01,87.82,87.8,88.4,87.6,87.86,3987,350287.03,179
2021-07-02,87.86,88.4,88.8,87.65,88.1,22292,1967892.62,457
2021-07-05,88.1,88.4,91.1,88.4,88.93,15107,1346387.75,348
2021-07-06,88.93,89.49,89.49,88.8,89.1,16610,1479750.97,354
2021-07-07,89.1,89.5,91.0,88.5,88.76,8631,769080.11,301
2021-07-08,88.76,88.6,89.49,88.2,88.28,7414,657618.07,357
2021-07-09,88.28,88.31,88.35,87.6,87.87,5782,508589.04,393
2021-07-12,87.87,86.0,89.25,86.0,88.2,6658,587653.84,271
2021-07-13,88.2,89.0,89.49,88.27,88.68,11857,1051169.21,218
2021-07-14,88.68,89.95,89.95,88.05,88.28,6594,582784.58,268
2021-07-15,88.28,88.05,88.9,88.0,88.35,3509,310630.95,131
2021-07-16,88.35,88.7,89.23,87.85,88.64,6410,568129.5,292
2021-07-19,88.64,91.98,91.98,88.5,88.53,7448,661263.46,415
2021-07-20,88.53,91.94,91.94,88.05,89.02,13340,1186136.45,347
2021-07-22,89.02,89.1,90.0,88.8,89.19,6849,609716.72,212
2021-07-23,89.19,89.19,89.19,88.55,88.88,3327,295552.96,345
2021-07-26,88.88,89.6,89.6,88.25,89.48,11696,1042761.57,249
2021-07-27,89.48,88.7,90.0,87.55,88.48,10815,957989.52,469
2021-07-28,88.48,89.5,89.5,86.98,87.86,14803,1296585.59,476
