Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,3.95,4.0,4.1,4.0,4.05,143841,583175.4,164
2017-01-03,4.05,4.05,4.25,4.0,4.15,160237,667846.7,219
2017-01-04,4.15,4.2,4.25,4.15,4.2,150693,634177.95,123
2017-01-05,4.2,4.35,4.35,4.2,4.25,110635,471334.7,122
2017-01-06,4.25,4.25,4.3,4.2,4.2,42971,182337.4,66
2017-01-09,4.2,4.2,4.3,4.2,4.25,55643,237146.0,97
2017-01-10,4.25,4.3,4.6,4.2,4.4,185556,820093.2,212
2017-01-11,4.4,4.4,4.55,4.3,4.35,116299,513609.6,169
2017-01-12,4.35,4.45,4.45,4.3,4.35,30415,131893.4,40
2017-01-13,4.35,4.45,4.55,4.35,4.5,126108,564646.55,127
2017-01-16,4.5,4.6,4.6,4.45,4.5,74800,340194.95,113
2017-01-17,4.5,4.5,4.6,4.4,4.45,25691,115819.65,44
2017-01-18,4.45,4.4,4.6,4.4,4.55,55558,250730.55,68
2017-01-19,4.55,4.55,4.6,4.35,4.4,56036,250139.95,74
2017-01-20,4.4,4.4,4.45,4.3,4.35,114234,500743.5,126
2017-01-23,4.35,4.5,4.55,4.3,4.5,150566,670509.45,127
2017-01-24,4.5,4.65,4.65,4.35,4.35,37571,167489.65,79
2017-01-25,4.35,4.35,4.5,4.25,4.25,154776,669347.7,184
2017-01-27,4.25,4.3,4.45,4.1,4.2,211299,909671.75,203
2017-01-30,4.2,4.25,4.35,4.2,4.2,63375,269874.1,134
2017-01-31,4.2,4.2,4.75,4.15,4.5,424062,1908297.7,533
2017-02-01,4.5,4.7,4.7,4.35,4.5,78605,352955.0,183
2017-02-02,4.5,4.55,4.7,4.4,4.6,172495,791123.55,184
2017-02-03,4.6,4.65,4.95,4.6,4.65,310755,1474782.6,267
2017-02-06,4.65,4.65,4.85,4.6,4.6,137667,645290.3,182
2017-02-07,4.6,4.5,4.65,4.5,4.5,77769,356210.5,88
2017-02-08,4.5,4.6,5.25,4.6,4.95,677688,3387064.85,948
2017-02-09,4.95,5.05,5.05,4.8,4.85,202504,992892.9,198
