Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,217.1,216.0,224.0,216.0,221.05,61876,13639038.8,1077
2017-01-03,221.05,221.0,227.0,221.0,226.4,72962,16405236.35,1501
2017-01-04,226.4,226.6,230.0,225.3,226.35,78606,17914422.25,1722
2017-01-05,226.35,226.6,235.0,226.6,232.8,394857,92446739.8,5337
2017-01-06,232.8,235.0,236.0,226.55,229.1,45875,10617891.75,1509
2017-01-09,229.1,229.1,234.0,227.05,231.0,32564,7527402.0,2244
2017-01-10,231.0,231.0,237.5,230.75,233.8,172336,40488658.9,3094
2017-01-11,233.8,235.3,235.4,229.5,230.35,57530,13404676.35,1167
2017-01-12,230.35,232.6,232.7,227.1,228.05,40958,9415679.15,826
2017-01-13,228.05,230.2,230.2,226.0,228.35,32800,7476528.35,911
2017-01-16,228.35,229.4,233.75,226.0,230.3,61440,14169288.8,1791
2017-01-17,230.3,231.9,236.0,228.2,230.45,54067,12457443.8,1066
2017-01-18,230.45,230.1,232.0,225.7,227.55,95376,21932539.6,2634
2017-01-19,227.55,228.0,229.9,226.0,226.95,40763,9278655.8,1319
2017-01-20,226.95,227.15,229.95,225.6,228.05,127217,29105753.45,3008
2017-01-23,228.05,229.4,230.9,228.1,228.9,74480,17092666.0,863
2017-01-24,228.9,230.35,236.7,228.5,231.8,445180,103262466.45,13660
2017-01-25,231.8,232.95,242.0,232.95,239.5,222866,52994831.7,3354
2017-01-27,239.5,241.0,244.0,236.35,242.2,156021,37550793.9,3362
2017-01-30,242.2,241.65,249.35,239.0,240.2,83420,20180946.15,1902
2017-01-31,240.2,238.8,243.9,238.8,241.1,92635,22328391.1,3618
2017-02-01,241.1,241.5,245.6,238.8,243.6,64372,15562749.8,1481
2017-02-02,243.6,244.95,247.95,241.95,244.95,96553,23628102.85,1748
2017-02-03,244.95,245.9,250.9,244.15,250.2,182956,45403240.9,3519
2017-02-06,250.2,251.1,254.0,242.0,243.4,180808,44989986.3,2410
2017-02-07,243.4,245.8,252.0,244.05,249.85,186543,46660265.45,4389
2017-02-08,249.85,252.0,253.85,248.3,250.45,84285,21098192.25,2860
2017-02-09,250.45,250.95,264.5,245.15,263.1,1079668,277070867.15,16776
2017-02-10,263.1,262.8,272.0,261.9,270.6,438130,117246443.95,11717
2017-02-13,270.6,271.0,271.5,260.0,265.1,256540,67752260.95,4009
2017-02-14,265.1,265.8,265.95,256.1,256.9,58872,15237700.75,1181
2017-02-15,256.9,256.5,257.9,250.1,251.1,60421,15323195.95,2066
2017-02-16,251.1,251.0,257.65,251.0,255.3,40910,10408713.5,1226
2017-02-17,255.3,255.25,259.9,253.2,258.8,51144,13139173.2,1332
2017-02-20,258.8,257.1,261.4,256.25,259.5,43230,11199976.45,2075
2017-02-21,259.5,260.0,270.0,256.1,257.1,425913,110781862.25,5517
2017-02-22,257.1,258.5,265.6,258.5,262.85,260527,68611806.85,3066
2017-02-23,262.85,260.8,264.5,257.05,262.15,164775,43027466.65,1431
2017-02-27,262.15,263.7,264.8,255.75,259.0,58172,15189692.65,1936
2017-02-28,259.0,260.0,262.5,257.0,260.25,117809,30714834.35,2587
2017-03-01,260.25,260.75,264.6,260.05,262.2,339723,89084678.95,2688
2017-03-02,262.2,262.25,263.85,255.25,256.3,125292,32732154.4,2398
2017-03-03,256.3,256.2,259.95,255.7,258.65,33380,8622326.8,703
2017-03-06,258.65,259.4,268.0,257.15,265.4,479490,126266338.75,6172
2017-03-07,265.4,266.85,276.0,266.0,273.9,522808,142873685.2,7460
2017-03-08,273.9,273.55,286.9,268.55,279.75,423186,117929458.9,6677
2017-03-09,279.75,278.7,286.8,273.2,282.45,407304,115104353.25,7262
2017-03-10,282.45,283.0,306.85,283.0,296.25,2462768,736183090.35,33815
2017-03-14,296.25,303.0,329.8,296.95,315.45,2170361,680744329.75,34169
2017-03-15,315.45,316.0,317.7,302.45,306.75,516953,160073363.25,9565
2017-03-16,306.75,308.9,318.0,304.6,308.65,662105,205890019.65,9423
2017-03-17,308.65,310.0,317.0,305.45,308.4,1027414,320289587.75,12359
2017-03-20,308.4,309.95,314.7,308.95,311.4,291693,90952472.9,5653
2017-03-21,311.4,314.0,315.8,308.7,312.0,208438,65098789.75,5195
2017-03-22,312.0,308.0,316.6,308.0,309.7,378383,118228599.65,5255
2017-03-23,309.7,311.0,319.9,310.45,315.3,398161,126103731.95,4696
2017-03-24,315.3,317.25,317.95,313.55,316.1,134281,42407852.1,2643
2017-03-27,316.1,316.05,321.0,313.0,314.0,181098,57537611.65,2868
2017-03-28,314.0,316.6,318.5,309.1,310.15,164823,51780536.3,2884
2017-03-29,310.15,311.25,317.8,309.5,316.0,217593,68102820.95,2758
2017-03-30,316.0,320.0,327.95,318.5,320.7,556310,180391583.6,8977
2017-03-31,320.7,322.8,322.8,311.35,313.05,175725,55457429.35,2599
2017-04-03,313.05,315.8,374.0,312.0,370.45,2602243,920371251.65,35624
2017-04-05,370.45,376.0,387.4,345.0,348.55,2849225,1045855080.5,48137
2017-04-06,348.55,347.85,359.6,345.0,351.55,865586,306008897.05,14556
2017-04-07,351.55,351.0,354.9,341.2,343.3,318144,110836257.9,5536
2017-04-10,343.3,346.95,359.9,344.1,347.2,650546,229703266.25,11078
2017-04-11,347.2,348.9,352.0,345.05,347.4,493674,171635650.55,4681
2017-04-12,347.4,349.45,357.4,342.0,350.15,715120,250834373.4,10552
2017-04-13,350.15,352.0,355.0,345.85,347.5,398102,139529905.35,4841
2017-04-17,347.5,350.0,362.5,344.15,354.5,715316,255546559.25,17013
2017-04-18,354.5,356.65,357.5,345.0,346.15,312510,109319604.55,6629
2017-04-19,346.15,347.2,354.35,346.15,353.1,239394,83958380.65,4633
2017-04-20,353.1,355.2,363.8,351.05,354.25,700235,250989909.2,10116
2017-04-21,354.25,355.9,357.0,346.7,348.05,208965,73594642.8,3894
2017-04-24,348.05,349.7,353.75,348.6,349.55,82985,29133279.95,1993
2017-04-25,349.55,349.8,353.0,346.55,347.95,115244,40302980.85,2495
2017-04-26,347.95,349.05,351.1,346.1,347.25,129660,45057746.7,2231
2017-04-27,347.25,347.2,352.5,345.0,347.2,195257,67963338.6,3047
2017-04-28,347.2,347.65,352.5,347.05,351.8,210987,74075853.35,2839
2017-05-02,351.8,351.8,360.0,351.1,353.2,291754,103933687.8,4599
2017-05-03,353.2,354.9,356.25,348.0,349.15,89308,31458173.65,2228
2017-05-04,349.15,351.2,354.5,350.05,351.45,86333,30432600.45,2388
2017-05-05,351.45,351.35,352.3,346.15,349.1,100198,34863995.85,2039
2017-05-08,349.1,350.9,360.0,348.35,352.1,305241,108754362.2,4562
2017-05-09,352.1,352.0,358.8,350.75,353.2,168247,59705387.2,2896
2017-05-10,353.2,354.2,355.5,350.25,351.2,56194,19817777.55,1361
2017-05-11,351.2,353.0,357.0,350.0,350.6,216985,76636848.3,1723
2017-05-12,350.6,352.25,355.5,347.1,350.75,113921,40024275.35,2294
2017-05-15,350.75,351.2,352.3,339.1,341.15,150265,51815366.05,2733
2017-05-16,341.15,342.9,350.5,341.65,347.0,118849,41138046.6,2671
2017-05-17,347.0,347.1,352.0,345.85,349.85,108592,37996454.75,2259
