Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,551.25,554.98,560.0,540.02,543.78,101654,55762894.0,2154
2017-01-03,543.78,543.5,555.02,543.5,548.52,64600,35456695.85,3831
2017-01-04,548.52,550.02,555.0,543.0,545.15,32784,18027984.65,3171
2017-01-05,545.15,552.95,552.95,548.0,551.28,36390,20034143.75,2441
2017-01-06,551.28,546.42,552.2,545.0,548.15,46844,25729179.75,4008
2017-01-09,548.15,553.0,554.9,543.0,544.85,15670,8549084.55,1372
2017-01-10,544.85,554.48,554.48,532.5,543.67,49018,26656673.5,4857
2017-01-11,543.67,546.0,562.5,542.12,550.88,209504,115885229.45,7499
2017-01-12,550.88,553.2,560.0,548.0,550.17,114196,63414422.25,5947
2017-01-13,550.17,553.72,553.72,536.0,539.75,140778,76102177.9,8009
2017-01-16,539.75,544.75,549.0,538.5,540.7,63844,34753476.9,3302
2017-01-17,540.7,545.1,612.5,542.15,583.08,1931542,1144272507.7,33704
2017-01-18,583.08,582.0,595.9,575.0,587.72,270612,158504822.15,9673
2017-01-19,587.72,589.8,589.8,571.02,578.48,125502,72450756.9,6931
2017-01-20,578.48,571.5,580.0,558.33,562.45,78000,44294816.55,4327
2017-01-23,562.45,565.0,570.0,556.02,565.02,53120,29981757.35,3175
2017-01-24,565.02,567.15,567.92,561.08,563.22,456948,257900395.8,5252
2017-01-25,563.22,569.95,569.95,557.1,562.35,44912,25238515.1,4163
2017-01-27,562.35,568.0,605.0,562.5,567.33,470974,277482750.25,19192
2017-01-30,567.33,558.5,584.0,558.5,571.12,87398,49856412.85,3563
2017-01-31,571.12,570.55,572.5,557.5,560.9,53968,30406603.1,3008
2017-02-01,560.9,564.5,579.45,558.52,575.0,141570,81232646.15,9121
2017-02-02,575.0,572.15,578.5,568.0,572.92,51120,29334167.95,4073
2017-02-03,572.92,572.92,577.95,565.05,568.8,52128,29745229.3,2082
2017-02-06,568.8,567.0,572.48,563.0,569.78,63462,36062151.0,4124
2017-02-07,569.78,576.0,576.0,568.02,570.48,144116,82386070.7,2901
2017-02-08,570.48,570.42,590.5,568.6,584.95,74512,43272834.7,3095
2017-02-09,584.95,593.5,611.0,587.58,592.25,154184,92084504.45,10167
2017-02-10,592.25,594.5,610.0,578.9,591.12,212864,126519691.85,6493
2017-02-13,591.12,620.0,620.0,577.78,585.0,483204,288252186.05,9992
2017-02-14,585.0,586.0,601.02,579.98,595.38,620162,364463033.4,4964
2017-02-15,595.38,597.5,597.62,578.0,580.3,118554,69465552.9,4077
2017-02-16,580.3,580.0,589.5,573.02,584.28,103618,60315564.65,7664
2017-02-17,584.28,587.5,588.5,572.5,576.05,193388,111986284.6,4302
2017-02-20,576.05,576.25,586.0,573.02,580.95,47060,27343705.45,2576
2017-02-21,580.95,583.5,587.5,582.02,585.95,359892,210274102.55,2297
2017-02-22,585.95,586.98,591.4,583.08,586.22,312310,183261890.75,4056
2017-02-23,586.22,590.25,620.0,583.0,610.6,397532,240906303.65,10692
2017-02-27,610.6,614.5,642.5,611.7,636.0,401666,251236390.95,8807
2017-02-28,636.0,639.0,655.0,631.52,650.33,208432,135409365.65,6199
2017-03-01,650.33,656.0,671.0,646.52,655.15,213794,141397866.0,4393
2017-03-02,655.15,654.95,699.5,654.95,673.25,639550,436714411.5,20351
2017-03-03,673.25,671.5,676.85,651.42,656.68,196592,130445212.4,13657
2017-03-06,656.68,656.0,664.45,651.65,661.1,99246,65499166.35,9455
2017-03-07,661.1,652.5,665.78,627.52,658.92,262486,172624005.5,12123
2017-03-08,658.92,659.98,664.5,650.5,655.72,50198,32919507.95,2786
2017-03-09,655.72,657.5,664.0,651.5,653.4,282916,185863256.65,5485
2017-03-10,653.4,653.25,689.0,653.25,661.18,312400,208336008.6,15350
2017-03-14,661.18,663.32,688.95,653.33,670.25,504106,335919186.85,9752
2017-03-15,670.25,672.5,697.4,672.5,688.88,313486,216199957.25,11346
2017-03-16,688.88,692.5,729.6,692.5,710.35,370620,263724623.15,12686
2017-03-17,710.35,707.5,712.5,699.0,706.7,1132242,799714997.25,25173
2017-03-20,706.7,715.0,725.0,708.15,717.08,190878,137014612.25,7053
2017-03-21,717.08,724.95,739.85,712.75,719.32,319624,231094157.85,12132
2017-03-22,719.32,716.5,721.0,706.0,712.6,135278,96674498.55,9623
2017-03-23,712.6,715.05,723.0,705.0,706.92,124434,88871563.75,4398
2017-03-24,706.92,713.35,730.0,703.78,707.38,105608,75222404.9,3000
2017-03-27,707.38,707.5,713.9,706.0,709.62,80716,57281790.55,5840
2017-03-28,709.62,716.95,717.35,707.28,709.98,82424,58718394.2,6419
2017-03-29,709.98,715.0,722.5,707.75,720.0,185618,133333837.55,6135
2017-03-30,720.0,724.98,724.98,698.28,704.4,219656,155157873.4,4626
2017-03-31,704.4,706.08,709.92,690.0,693.08,93030,64609616.85,4120
2017-04-03,693.08,690.0,708.92,690.0,705.0,128188,90261573.1,4821
2017-04-05,705.0,700.0,707.3,696.0,700.72,99106,69407237.05,9954
2017-04-06,700.72,702.2,707.0,695.0,704.6,232916,163656202.85,6524
2017-04-07,704.6,703.52,704.95,692.55,697.0,321890,225797892.1,3336
2017-04-10,697.0,702.68,702.68,695.0,697.72,224248,156968417.15,3519
2017-04-11,697.72,710.0,710.0,698.02,702.15,185874,130246454.1,2804
2017-04-12,702.15,704.98,706.3,695.0,703.95,81620,57337352.15,2458
2017-04-13,703.95,702.48,704.92,697.05,698.05,27574,19313227.7,1398
2017-04-17,698.05,695.0,705.5,695.0,702.68,88188,62119861.05,1590
2017-04-18,702.68,707.72,707.72,698.28,699.7,93748,65804363.45,1662
2017-04-19,699.7,695.75,705.0,695.75,702.38,116894,82139372.0,2890
2017-04-20,702.38,711.35,724.55,701.5,709.9,376324,267432362.7,6358
2017-04-21,709.9,712.0,715.0,697.62,702.85,96646,67907992.95,2866
