Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,185.0,184.8,184.8,181.75,182.92,27139,4977435.01,49
2017-01-03,182.92,181.92,184.75,181.41,183.57,178052,32672127.45,122
2017-01-04,183.57,183.57,184.08,182.17,182.19,165766,30466104.64,126
2017-01-05,182.19,183.94,186.9,183.3,184.45,212213,38994270.5,99
2017-01-06,184.45,185.73,186.56,185.55,185.85,173,32130.68,12
2017-01-09,185.85,185.85,186.63,185.85,186.22,865,161117.6,24
2017-01-10,186.22,187.01,187.01,185.76,186.2,29291,5455500.84,36
2017-01-11,186.2,188.0,191.15,188.0,190.67,2094,397413.51,48
2017-01-12,190.67,191.97,192.36,190.56,191.45,520,99670.32,24
2017-01-13,191.45,191.66,192.49,190.58,192.05,808,154720.81,14
2017-01-16,192.05,192.0,194.15,192.0,194.15,1951,375877.74,37
2017-01-17,194.15,194.79,194.8,193.15,194.01,2804,543703.17,20
2017-01-18,194.01,194.49,196.31,194.13,194.33,11160,2180562.39,19
2017-01-19,194.33,194.01,194.8,193.27,193.77,6155,1191295.75,20
2017-01-20,193.77,192.8,193.7,191.09,192.0,1806330,348800638.41,281
2017-01-23,192.0,191.85,192.5,190.71,192.13,4932548,946678569.74,615
2017-01-24,192.13,192.9,193.0,192.5,192.55,3151,607050.85,20
2017-01-25,192.55,195.0,197.5,194.5,197.32,5119518,1003030104.97,855
2017-01-27,197.32,198.99,200.73,198.9,200.2,3975,793312.48,32
2017-01-30,200.2,221.2,221.2,198.7,199.02,55531,11072578.31,26
2017-01-31,199.02,198.7,199.54,196.86,197.64,13896,2756635.35,52
2017-02-01,197.64,199.0,204.0,198.3,203.6,169358,34315946.56,127
2017-02-02,203.6,203.88,204.55,203.0,203.95,18539,3776836.6,38
2017-02-03,203.95,203.99,204.86,203.54,204.76,23926,4880831.16,43
2017-02-06,204.76,205.46,207.73,205.46,207.43,308574,64008821.93,195
2017-02-07,207.43,207.3,207.3,205.77,206.0,64972,13405742.73,64
2017-02-08,206.0,206.5,206.5,204.31,206.24,2985,614918.46,34
2017-02-09,206.24,206.92,207.1,203.03,204.86,30403,6198316.27,31
2017-02-10,204.86,205.36,206.09,204.66,204.87,6950,1425781.39,29
2017-02-13,204.87,205.4,205.5,204.0,205.29,30660,6274442.32,36
2017-02-14,205.29,205.3,205.54,204.3,205.12,4867,998159.01,35
2017-02-15,205.12,205.85,206.28,204.0,204.59,14087,2880990.2,35
2017-02-16,204.59,204.6,205.74,204.23,205.2,51606,10589201.45,14
2017-02-17,205.2,209.3,210.37,207.3,208.54,64370,13493300.57,70
2017-02-20,208.54,207.52,209.2,207.1,208.99,36396,7574443.43,62
2017-02-21,208.99,209.0,211.0,209.0,211.0,23348,4880804.72,16
2017-02-22,211.0,211.98,211.98,210.6,210.61,10163,2151863.29,41
2017-02-23,210.61,211.69,212.4,210.6,210.6,18475,3918092.5,74
2017-02-27,210.6,211.05,211.42,208.65,208.81,108803,22822841.96,92
2017-02-28,208.81,209.49,209.6,208.55,208.55,142249,29749119.94,101
2017-03-01,208.55,209.46,211.02,209.46,210.61,4703,990396.56,24
2017-03-02,210.61,211.3,211.7,207.84,208.78,2192,458909.3,24
2017-03-03,208.78,208.1,208.1,207.2,208.0,4809,999874.49,17
2017-03-06,208.0,209.6,209.95,209.6,209.9,1295,271463.85,10
2017-03-07,209.9,210.0,210.0,208.57,209.35,729,152718.95,14
2017-03-08,209.35,210.12,210.12,207.93,209.36,8089,1692181.45,17
2017-03-09,209.36,209.89,210.41,209.55,210.4,1157,243417.7,14
2017-03-10,210.4,210.51,211.75,209.5,211.02,2230132,470304677.05,1139
2017-03-14,211.02,215.0,215.0,212.56,213.99,9384,2004480.45,43
2017-03-15,213.99,213.65,214.99,213.65,214.0,23906,5127966.81,170
2017-03-16,214.0,215.22,215.49,214.41,215.05,310215,66630844.3,767
2017-03-17,215.05,214.9,215.18,213.25,214.12,439100,93729502.21,148
2017-03-20,214.12,213.8,214.64,213.09,213.62,352179,75201113.03,777
2017-03-21,213.62,213.89,213.89,212.2,212.8,23418,4991167.52,40
2017-03-22,212.8,211.2,211.45,210.6,210.68,4789,1011034.72,37
2017-03-23,210.68,210.45,211.45,210.29,211.45,51355,10820330.6,36
2017-03-24,211.45,211.4,215.7,211.4,214.99,1470762,316925910.31,826
2017-03-27,214.99,214.98,214.98,213.5,213.87,797,170756.81,28
2017-03-28,213.87,215.6,215.6,214.12,215.27,831,178426.89,18
2017-03-29,215.27,215.12,216.36,214.86,216.1,120140,25840747.86,73
