Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,1000.6,1004.0,1006.5,989.15,996.3,150354,149741218.15,5041
2017-01-03,996.3,1002.8,1015.95,996.2,1009.3,285489,288035254.45,8424
2017-01-04,1009.3,1013.8,1023.0,1002.75,1005.8,202005,204648979.0,7800
2017-01-05,1005.8,1006.4,1017.5,993.6,1001.6,150463,151856892.35,7134
2017-01-06,1001.6,998.5,1009.0,987.9,993.55,161214,160913515.35,5995
2017-01-09,993.55,984.0,1188.0,980.65,1150.75,5793201,6536175534.4,159998
2017-01-10,1150.75,1161.35,1175.5,1133.6,1170.75,2726697,3160449763.5,70074
2017-01-11,1170.75,1174.85,1230.5,1165.1,1219.3,2743020,3332400135.4,64361
2017-01-12,1219.3,1221.05,1242.0,1211.0,1222.75,1449876,1775408582.35,36634
2017-01-13,1222.75,1230.0,1243.9,1200.1,1205.75,1345486,1644976346.5,30037
2017-01-16,1205.75,1208.0,1225.8,1180.3,1212.8,1034522,1249933429.6,25791
2017-01-17,1212.8,1219.0,1227.2,1186.5,1189.45,602874,723764681.7,18743
2017-01-18,1189.45,1190.0,1209.0,1169.5,1181.85,616910,734166211.4,17681
2017-01-19,1181.85,1181.0,1199.9,1161.1,1172.25,840107,987940981.85,23107
2017-01-20,1172.25,1172.0,1183.7,1152.0,1158.55,512975,598677941.0,19486
2017-01-23,1158.55,1162.0,1241.3,1157.05,1231.9,1523136,1837427714.55,46361
2017-01-24,1231.9,1248.7,1263.0,1222.0,1233.1,1617662,2008624329.35,48563
2017-01-25,1233.1,1258.5,1264.0,1233.8,1238.1,947602,1180924947.4,24150
2017-01-27,1238.1,1240.0,1249.25,1216.0,1220.8,520153,640026316.6,15358
2017-01-30,1220.8,1221.15,1235.5,1214.8,1221.35,424037,519282772.0,10758
2017-01-31,1221.35,1225.0,1225.0,1196.0,1203.8,367768,443300933.15,11238
2017-02-01,1203.8,1206.0,1253.5,1203.6,1243.05,972479,1197246694.5,27366
2017-02-02,1243.05,1239.0,1240.0,1210.45,1215.55,382241,467531665.75,11305
2017-02-03,1215.55,1216.5,1272.2,1213.85,1256.4,864490,1085075815.55,21825
2017-02-06,1256.4,1269.0,1275.0,1240.0,1244.0,347895,437183157.25,11077
2017-02-07,1244.0,1246.8,1284.45,1242.15,1263.1,611668,774685039.0,19368
2017-02-08,1263.1,1264.7,1281.0,1255.7,1274.65,320854,407236465.65,11415
2017-02-09,1274.65,1282.0,1341.0,1282.0,1330.7,1551271,2034924977.5,40755
2017-02-10,1330.7,1342.0,1344.0,1300.1,1308.45,754072,999328365.05,25316
2017-02-13,1308.45,1317.4,1329.9,1271.0,1287.0,610133,791439292.85,24928
