Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2019-11-22,6.45,6.75,6.75,6.75,6.75,1519,10253.25,9
2019-11-25,6.75,7.05,7.05,7.05,7.05,4351,30674.55,10
2019-11-26,7.05,7.4,7.4,7.4,7.4,2309,17086.6,10
2019-11-27,7.4,7.75,7.75,7.75,7.75,2670,20692.5,13
2019-11-28,7.75,8.1,8.1,8.1,8.1,1091,8837.1,8
2019-11-29,8.1,8.5,8.5,8.5,8.5,9102,77367.0,17
2019-12-02,8.5,8.9,8.9,8.9,8.9,4221,37566.9,14
2019-12-03,8.9,9.3,9.3,9.3,9.3,9356,87010.8,42
2019-12-04,9.3,9.75,9.75,9.75,9.75,6927,67538.25,37
2019-12-05,9.75,10.2,10.2,10.2,10.2,1132,11546.4,11
2019-12-06,10.2,10.7,10.7,10.7,10.7,58204,622782.8,186
2019-12-09,10.7,11.2,11.2,11.2,11.2,11850,132720.0,43
2020-03-04,8.5,8.5,8.75,8.5,8.6,664,5729.0,11
2020-03-05,8.6,8.6,9.0,8.2,9.0,13722,123043.85,327
2020-03-06,9.0,9.4,9.45,8.55,8.7,58268,520863.7,145
2020-03-09,8.7,8.3,8.8,8.3,8.3,6208,51836.05,37
2020-03-11,8.3,8.2,8.65,7.9,8.05,18905,152362.55,88
2020-03-12,8.05,8.0,8.0,7.65,7.85,982,7663.1,25
2020-03-13,7.85,7.5,8.2,7.5,7.7,13125,99988.3,53
2020-03-16,7.7,8.05,8.05,7.35,7.95,8189,63734.8,68
2020-03-17,7.95,8.0,8.0,7.6,7.8,10691,82402.2,58
2020-03-18,7.8,7.8,8.1,7.45,7.55,14475,110547.05,50
2020-03-19,7.55,7.9,7.9,7.2,7.2,4491,33172.3,41
2020-03-20,7.2,7.2,7.2,6.85,7.1,6785,47590.5,54
2020-03-23,7.1,7.45,7.45,6.75,6.75,3112,21039.9,40
2020-03-24,6.75,7.0,7.0,6.45,6.8,5081,34197.05,144
2020-03-25,6.8,6.95,7.1,6.5,7.0,9658,66017.85,150
2020-03-26,7.0,7.0,7.1,6.65,6.85,12524,84725.3,82
2020-03-27,6.85,6.75,7.15,6.55,7.05,12561,84888.55,78
2020-03-30,7.05,7.15,7.35,6.9,7.3,4225,29445.95,44
2020-03-31,7.3,7.05,7.6,6.95,7.5,8433,59836.4,106
2020-04-01,7.5,7.8,7.85,7.2,7.7,23884,179238.35,167
2020-04-03,7.7,8.0,8.05,7.4,7.9,42520,336976.2,187
2020-04-07,7.9,8.25,8.25,8.2,8.25,12122,99999.65,100
2020-04-08,8.25,8.65,8.65,8.65,8.65,2683,23207.95,25
2020-04-09,8.65,9.05,9.05,9.05,9.05,1401,12679.05,14
2020-04-13,9.05,9.5,9.5,9.5,9.5,4860,46170.0,44
2020-04-15,9.5,9.95,9.95,9.95,9.95,9346,92992.7,61
2020-04-16,9.95,10.4,10.4,10.4,10.4,2780,28912.0,18
2020-04-17,10.4,10.9,10.9,10.9,10.9,1801,19630.9,9
2020-04-20,10.9,11.4,11.4,11.4,11.4,3465,39501.0,19
2020-04-21,11.4,11.95,11.95,11.95,11.95,5673,67792.35,33
2020-04-22,11.95,12.5,12.5,12.4,12.5,76559,956932.2,248
2020-04-23,12.5,13.1,13.1,13.1,13.1,5872,76923.2,22
2020-04-24,13.1,13.75,13.75,13.75,13.75,6016,82720.0,31
2020-04-27,13.75,14.4,14.4,14.4,14.4,9455,136152.0,46
2020-04-28,14.4,15.1,15.1,15.1,15.1,11409,172275.9,30
