Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,47.78,48.2,48.48,46.89,47.81,1258440,60374197.0,1032
2017-01-03,47.81,47.88,48.0,47.5,47.52,913400,43751153.3,853
2017-01-04,47.52,47.87,47.9,47.45,47.49,1068640,50948038.1,1192
2017-01-05,47.49,48.12,48.62,47.35,48.5,1588680,76264708.25,1583
2017-01-06,48.5,48.75,49.62,48.25,48.38,1189440,58180205.4,1429
2017-01-09,48.38,47.75,47.95,47.49,47.59,1060080,50625413.5,1234
2017-01-10,47.59,48.27,48.47,47.0,47.06,1422800,67905741.05,1523
2017-01-11,47.06,47.5,48.3,46.84,46.9,1286960,60766929.15,1529
2017-01-12,46.9,47.01,47.06,46.64,46.72,1031880,48371926.8,1338
2017-01-13,46.72,47.5,47.62,46.62,46.77,1195600,56111949.25,1525
2017-01-16,46.77,48.13,48.13,46.75,47.46,1322960,62501970.35,1760
2017-01-17,47.46,47.55,47.77,47.18,47.23,1010960,47911843.9,1379
2017-01-18,47.23,47.36,47.62,46.62,46.84,1436040,67908859.05,1449
2017-01-19,46.84,47.14,47.9,46.78,46.93,1821120,85979330.6,1228
2017-01-20,46.93,47.38,47.4,45.82,46.02,997440,46926795.65,883
2017-01-23,46.02,46.25,46.25,45.61,45.68,880880,40303480.8,1208
2017-01-24,45.68,45.58,46.04,45.58,45.84,1151120,52736809.15,1424
2017-01-25,45.84,45.5,47.0,45.5,46.18,1413480,65208079.05,1187
2017-01-27,46.18,46.05,46.2,45.83,45.87,1237520,56903924.8,1288
2017-01-30,45.87,45.85,47.12,45.78,46.41,3484560,160973544.65,1915
2017-01-31,46.41,46.38,46.45,46.05,46.1,2017680,93226097.5,1508
2017-02-01,46.1,46.13,47.1,45.75,46.29,3222800,148658842.7,1532
2017-02-02,46.29,46.27,46.42,45.92,46.19,2177120,100453864.35,1188
2017-02-03,46.19,46.23,46.5,45.75,46.07,2066200,95489248.15,1400
2017-02-06,46.07,46.05,46.5,46.04,46.17,1970240,91135261.2,1024
2017-02-07,46.17,46.0,46.09,45.82,45.86,1736160,79757474.55,965
2017-02-08,45.86,46.37,46.37,45.8,45.84,1679360,77268430.9,1151
2017-02-09,45.84,46.05,46.05,45.78,45.85,1355920,62185578.3,877
2017-02-10,45.85,45.75,45.78,45.0,45.04,961000,43810245.55,864
2017-02-13,45.04,45.04,45.3,44.4,44.51,945480,42651295.5,993
2017-02-14,44.51,44.68,45.94,44.25,44.82,702680,31386210.85,421
2017-02-15,44.82,46.72,46.72,45.0,45.85,1908040,87827220.15,878
2017-02-16,45.85,45.45,46.0,45.25,45.61,988280,44954930.6,667
2017-02-17,45.61,46.12,46.25,45.45,45.72,1144240,52442631.8,1108
2017-02-20,45.72,45.75,45.8,45.0,45.16,1113400,50765894.25,921
2017-02-21,45.16,45.0,45.0,44.38,44.48,1121240,50029704.85,820
