Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,43.5,43.0,45.9,41.8,43.75,7433,319089.95,85
2017-01-03,43.75,44.5,52.5,44.5,51.75,106905,5494512.9,800
2017-01-04,51.75,53.75,61.4,53.0,55.55,242074,14036721.25,2973
2017-01-05,55.55,55.7,58.0,54.0,55.15,70069,3888548.95,569
2017-01-06,55.15,56.35,56.35,52.05,52.6,29055,1556617.85,306
2017-01-09,52.6,55.0,55.0,48.1,51.25,13624,691011.9,233
2017-01-10,51.25,53.0,53.0,49.25,51.15,4279,219824.45,114
2017-01-11,51.15,54.0,54.0,50.1,51.65,9972,513066.2,154
2017-01-12,51.65,54.9,54.9,48.6,49.35,20796,1043217.95,255
2017-01-13,49.35,50.4,52.7,49.25,51.45,49181,2569083.75,214
2017-01-16,51.45,52.0,55.9,50.0,51.35,26736,1410260.3,484
2017-01-17,51.35,50.75,53.85,49.65,50.0,15618,789367.4,141
2017-01-18,50.0,50.3,52.0,50.3,50.75,20506,1054804.45,142
2017-01-19,50.75,52.8,52.8,47.95,50.15,12883,638442.2,112
2017-01-20,50.15,51.35,51.6,49.1,50.05,4160,210590.1,41
2017-01-23,50.05,49.4,51.7,49.4,50.05,3646,186073.25,62
2017-01-24,50.05,50.05,52.5,50.05,50.75,34052,1734124.55,102
2017-01-25,50.75,51.35,52.0,50.45,51.05,5519,283846.0,59
2017-01-27,51.05,50.5,51.6,49.95,50.05,19884,1004075.45,61
2017-01-30,50.05,51.9,51.9,50.0,51.55,6683,340709.15,72
2017-01-31,51.55,49.2,51.25,49.2,49.7,5130,257991.8,66
2017-02-01,49.7,51.85,52.8,50.55,51.75,13728,709582.15,87
2017-02-02,51.75,51.05,53.0,51.0,51.55,22136,1149015.55,112
2017-02-03,51.55,50.15,58.6,50.1,56.5,59939,3363557.0,632
2017-02-06,56.5,55.15,61.7,55.15,59.6,111571,6685146.3,566
2017-02-07,59.6,62.4,62.4,57.05,58.3,43799,2584415.0,125
2017-02-08,58.3,61.95,61.95,56.2,57.65,37902,2191060.6,156
2017-02-09,57.65,57.5,57.55,53.95,55.85,35697,2005494.7,147
2017-02-10,55.85,55.0,57.6,54.1,55.8,7877,441162.65,92
2017-02-13,55.8,56.8,56.9,54.75,55.6,18429,1031756.7,67
2017-02-14,55.6,56.75,56.85,51.55,53.4,8082,436626.25,60
2017-02-15,53.4,53.9,54.1,52.0,52.7,14248,761328.95,57
2017-02-16,52.7,52.45,53.8,52.4,53.25,32043,1714958.2,23
2017-02-17,53.25,53.8,54.0,53.0,53.1,2266,120960.35,20
2017-02-20,53.1,51.1,54.35,50.2,53.0,128298,6859657.3,117
2017-02-21,53.0,54.0,54.0,52.0,53.0,959,50461.0,10
2017-02-22,53.0,52.95,54.0,49.2,50.25,36200,1855195.95,269
2017-02-23,50.25,50.25,52.45,49.1,50.25,5933,297130.7,107
2017-02-27,50.25,50.05,51.3,49.5,49.9,143501,7172989.15,141
2017-02-28,49.9,52.0,52.0,47.6,47.95,32838,1597808.3,233
2017-03-01,47.95,48.75,49.0,47.75,48.0,22708,1093135.45,147
2017-03-02,48.0,52.9,52.9,46.5,46.9,23115,1107908.55,131
2017-03-03,46.9,47.8,50.0,47.0,47.8,58256,2791538.7,159
2017-03-06,47.8,47.7,49.5,45.8,48.6,12162,590685.1,64
2017-03-07,48.6,49.85,49.85,46.0,47.45,11142,522806.35,105
2017-03-08,47.45,47.45,48.0,46.1,46.55,4095,191436.5,54
2017-03-09,46.55,49.9,49.9,45.25,46.1,39355,1812133.45,118
2017-03-10,46.1,45.15,46.65,45.0,45.7,4227,192713.5,69
2017-03-14,45.7,54.0,54.0,44.3,44.6,6262,283499.15,98
2017-03-15,44.6,47.5,47.5,43.65,44.55,17482,783717.8,104
2017-03-16,44.55,46.6,46.6,43.4,44.55,40150,1796126.45,94
2017-03-17,44.55,45.9,45.9,42.25,43.95,22882,1007502.9,124
2017-03-20,43.95,44.0,44.0,43.1,43.55,5293,231754.05,61
2017-03-21,43.55,45.0,45.0,42.85,43.75,9363,414831.05,72
2017-03-22,43.75,42.9,44.9,40.45,41.2,25420,1069810.95,173
2017-03-23,41.2,41.2,43.3,40.5,40.95,39694,1649841.65,143
2017-03-24,40.95,41.5,41.8,39.5,41.0,28444,1147340.7,115
2017-03-27,41.0,41.75,43.5,41.0,42.6,35622,1491420.7,223
2017-03-28,42.6,44.9,49.0,43.0,45.3,125076,5899214.8,1334
2017-03-29,45.3,44.1,47.7,44.0,44.65,39033,1806534.2,254
2017-03-30,44.65,45.2,46.9,43.5,44.95,18146,813122.85,118
2017-03-31,44.95,45.25,45.25,43.65,44.9,30975,1391063.1,65
2017-04-03,44.9,46.9,47.6,45.5,47.15,24055,1120561.1,285
2017-04-05,47.15,50.0,50.0,45.55,48.2,72145,3484273.8,315
2017-04-06,48.2,48.5,51.5,48.5,49.9,87573,4398368.1,617
2017-04-07,49.9,50.0,51.0,47.5,47.9,102708,4968822.95,317
2017-04-10,47.9,48.9,49.9,47.5,48.55,28489,1386825.25,248
2017-04-11,48.55,50.4,51.9,47.2,50.45,170640,8613055.1,904
2017-04-12,50.45,52.0,52.0,47.45,48.4,29762,1482972.35,503
2017-04-13,48.4,49.5,49.95,47.0,47.5,32825,1583862.65,243
2017-04-17,47.5,46.2,49.35,46.2,47.0,28528,1351433.25,133
2017-04-18,47.0,50.75,50.75,42.75,46.55,24200,1124042.7,119
2017-04-19,46.55,46.0,47.8,45.55,45.9,30595,1417575.9,165
2017-04-20,45.9,47.0,47.7,44.0,44.7,33934,1548188.35,160
2017-04-21,44.7,46.7,46.8,44.3,45.65,16715,760953.8,191
2017-04-24,45.65,48.55,48.55,44.55,45.2,9356,426672.1,109
2017-04-25,45.2,47.15,47.15,44.5,45.35,9069,410234.75,79
2017-04-26,45.35,47.1,47.1,44.4,44.9,8218,378026.45,115
2017-04-27,44.9,48.0,48.0,44.1,44.25,13604,613201.95,147
2017-04-28,44.25,46.9,46.9,43.05,43.6,6327,279342.2,104
2017-05-02,43.6,43.5,48.95,43.5,44.0,32281,1437451.75,217
2017-05-03,44.0,46.5,46.5,43.65,44.05,11926,528140.25,136
2017-05-04,44.05,44.55,45.7,43.65,44.55,16229,721930.0,111
2017-05-05,44.55,45.35,45.45,43.0,43.25,19814,871970.55,161
2017-05-08,43.25,45.5,45.5,43.5,43.6,5191,228278.05,76
2017-05-09,43.6,45.0,45.0,42.85,43.05,9154,395507.0,101
2017-05-10,43.05,43.05,44.5,43.05,43.95,4373,192485.0,55
2017-05-11,43.95,44.9,44.9,43.2,43.45,5802,252299.0,75
2017-05-12,43.45,47.0,47.0,42.85,43.8,4625,202384.55,60
2017-05-15,43.8,45.5,45.5,42.55,43.3,12663,546168.95,132
2017-05-16,43.3,44.0,44.0,42.6,42.95,2332,100073.2,43
2017-05-17,42.95,42.95,43.0,42.6,42.8,8296,355966.55,78
2017-05-18,42.8,42.1,42.9,41.5,42.15,8574,363190.35,116
2017-05-19,42.15,42.0,43.0,38.65,42.25,21552,893888.0,339
2017-05-22,42.25,43.0,46.8,43.0,45.35,207060,9259818.45,662
2017-05-23,45.35,47.9,47.9,38.65,41.35,27041,1128895.35,503
2017-05-24,41.35,45.0,45.0,40.0,41.3,12518,527465.8,185
2017-05-25,41.3,40.65,42.7,40.1,40.4,5425,221256.1,118
2017-05-26,40.4,44.0,44.0,39.1,39.7,24958,1005459.65,245
2017-05-29,39.7,39.7,42.3,38.65,41.2,58266,2408564.9,470
2017-05-30,41.2,41.55,41.95,39.3,40.45,2921,119046.85,74
2017-05-31,40.45,44.5,44.5,40.0,41.05,9858,398095.75,119
2017-06-01,41.05,40.05,41.35,38.15,40.15,11184,452344.3,201
2017-06-02,40.15,41.5,41.5,39.0,40.25,12415,498613.7,124
2017-06-05,40.25,39.6,41.45,38.7,40.85,7822,314187.75,165
2017-06-06,40.85,41.45,41.6,40.1,41.0,2186,89923.2,75
2017-06-07,41.0,41.7,41.7,39.8,39.95,1604,64466.4,59
2017-06-08,39.95,40.5,42.0,39.0,40.55,85297,3493164.65,511
2017-06-09,40.55,40.05,41.15,40.0,40.35,1311,53128.1,50
2017-06-12,40.35,40.95,41.4,40.0,40.6,3301,133330.75,48
2017-06-13,40.6,41.45,48.7,41.45,48.7,474501,22881519.65,1466
2017-06-14,48.7,49.4,49.9,45.1,46.55,538542,25371867.0,1957
2017-06-15,46.55,48.0,55.85,48.0,54.9,789478,42900869.5,3455
2017-06-16,54.9,57.6,61.8,55.0,55.45,553233,32316862.55,4146
2017-06-19,55.45,56.55,60.5,56.5,59.65,409598,24119962.95,1420
2017-06-20,59.65,59.95,61.5,59.65,61.2,1030167,62778786.65,3073
2017-06-21,61.2,61.9,62.5,61.6,61.85,822565,50909561.95,3049
2017-06-22,61.85,61.9,64.0,61.8,62.35,528132,32995520.25,2967
2017-06-23,62.35,63.0,63.95,62.6,62.65,731081,45982705.25,6243
2017-06-27,62.65,63.3,63.3,56.85,61.65,552534,34120563.15,3792
2017-06-28,61.65,61.4,61.5,55.5,55.95,285726,16315861.1,1708
2017-06-29,55.95,57.0,58.0,51.5,51.95,293033,15522883.5,1790
2017-06-30,51.95,53.7,53.7,47.3,50.1,205097,10242359.55,1823
2017-07-03,50.1,50.5,54.8,50.5,54.65,716121,38901118.5,3588
2017-07-04,54.65,55.5,56.45,54.95,56.45,985669,55130270.65,5080
2017-07-05,56.45,57.0,58.65,51.55,53.1,1057016,59145665.6,6848
2017-07-06,53.1,54.5,54.6,48.3,49.35,628774,31501004.15,5581
2017-07-07,49.35,49.3,50.5,47.8,49.75,167757,8228900.5,1531
2017-07-10,49.75,50.8,50.8,45.3,48.9,23126,1125722.05,267
2017-07-11,48.9,49.9,51.5,47.5,47.95,67457,3275735.6,925
2017-07-12,47.95,48.0,48.85,47.1,47.25,58188,2781099.9,698
2017-07-13,47.25,47.2,47.55,45.25,45.5,81962,3760143.5,994
2017-07-14,45.5,44.6,45.75,43.25,43.9,75356,3312386.75,654
2017-07-17,43.9,44.45,46.05,43.15,46.05,100612,4528090.9,783
2017-07-18,46.05,47.0,48.1,44.05,47.5,141763,6595402.25,1268
2017-07-19,47.5,47.5,49.85,46.5,49.85,148429,7268334.45,929
2017-07-20,49.85,51.75,51.75,50.2,51.1,94705,4847964.7,820
2017-07-21,51.1,50.15,52.8,48.55,48.6,100167,4968418.0,803
2017-07-24,48.6,49.75,49.8,47.3,47.7,32120,1549058.45,427
2017-07-25,47.7,49.2,49.35,47.3,47.65,18358,882982.55,211
2017-07-26,47.65,47.2,48.7,46.7,47.25,32869,1553737.75,363
2017-07-27,47.25,48.0,48.0,45.8,46.6,39109,1823143.65,333
2017-07-28,46.6,47.0,47.0,45.5,45.6,31682,1451762.6,331
2017-07-31,45.6,46.0,46.0,43.65,45.2,24316,1097964.2,296
2017-08-01,45.2,45.5,46.5,44.9,45.9,18326,840308.15,200
2017-08-02,45.9,46.8,46.8,44.0,44.8,27795,1246366.5,268
2017-08-03,44.8,44.0,45.4,42.6,42.8,49456,2142157.3,388
2017-08-04,42.8,43.0,44.0,42.5,43.3,20104,871351.7,267
2017-08-07,43.3,43.8,45.0,42.0,43.8,25962,1114543.15,235
2017-08-08,43.8,44.8,45.0,42.0,43.35,19825,865804.25,206
2017-08-09,43.35,43.0,43.0,41.0,41.3,20713,862485.1,246
2017-08-10,41.3,41.25,41.25,39.9,40.1,29634,1200763.2,260
2017-08-11,40.1,39.9,40.0,38.0,38.5,19694,768724.0,252
2017-08-14,38.5,38.8,40.9,34.8,35.15,135830,5009396.2,967
2017-08-16,35.15,34.7,36.9,31.65,32.35,211632,7046813.45,1192
2017-08-17,32.35,33.4,33.4,30.75,30.85,85871,2678898.7,570
2017-08-18,30.85,30.85,31.4,29.35,29.65,85076,2544908.85,454
2017-08-21,29.65,29.75,31.1,29.75,31.1,23896,733497.7,221
2017-08-22,31.1,32.2,32.65,30.05,31.1,123205,3921961.2,615
2017-08-23,31.1,31.1,31.8,30.1,30.5,62272,1926848.05,303
2017-08-24,30.5,30.25,31.0,29.6,30.1,31868,963836.75,166
2017-08-28,30.1,29.4,30.9,29.4,29.85,12044,360546.1,110
2017-08-29,29.85,30.0,31.0,29.3,30.4,50793,1530279.1,266
2017-08-30,30.4,31.5,31.5,29.95,30.75,31743,977532.85,190
2017-08-31,30.75,30.1,31.9,30.1,31.45,60885,1906156.45,260
2017-09-01,31.45,31.5,32.5,31.0,31.95,49688,1582957.85,277
2017-09-04,31.95,32.4,32.4,31.2,31.65,24869,789594.0,197
2017-09-05,31.65,31.5,32.2,31.35,31.7,29395,937521.0,127
2017-09-06,31.7,32.1,32.1,30.5,31.0,42462,1314806.95,213
2017-09-07,31.0,31.8,31.8,29.85,30.25,95790,2887451.7,292
2017-09-08,30.25,30.5,30.8,29.9,30.3,81409,2462927.85,176
2017-09-11,30.3,30.8,30.8,29.75,29.95,94810,2846890.75,244
2017-09-12,29.95,29.85,30.5,29.6,29.9,56192,1680178.75,176
2017-09-13,29.9,30.0,30.25,29.6,29.9,19910,595410.4,126
2017-09-14,29.9,30.25,30.5,29.35,29.65,82416,2452571.75,275
2017-09-15,29.65,30.0,30.0,28.2,29.15,133313,3888179.1,272
2017-09-18,29.15,29.0,29.65,28.8,29.25,55087,1609981.4,207
2017-09-19,29.25,29.65,29.65,29.0,29.35,14975,438211.15,93
2017-09-20,29.35,30.45,30.55,29.2,29.4,77509,2298941.0,201
2017-09-21,29.4,30.0,30.0,29.1,29.35,12915,379508.9,78
2017-09-22,29.35,29.45,29.45,28.85,28.95,28808,836705.75,141
2017-09-25,28.95,29.5,29.5,28.25,28.5,31079,904019.7,158
2017-09-26,28.5,28.65,29.9,27.25,29.5,46676,1364183.45,279
2017-09-27,29.5,29.8,30.5,29.4,29.65,49558,1489775.75,323
2017-09-28,29.65,29.1,29.85,28.8,29.05,49291,1431886.65,152
2017-09-29,29.05,29.0,29.65,28.9,29.0,4173,121385.2,56
2017-10-03,29.0,29.05,29.65,28.25,29.0,12407,358124.95,100
2017-10-04,29.0,29.6,29.6,28.25,28.4,12194,350206.05,120
2017-10-05,28.4,28.4,28.9,28.0,28.35,15640,444399.8,105
2017-10-06,28.35,28.15,28.85,28.0,28.7,13032,370636.15,98
2017-10-09,28.7,28.75,29.05,27.5,28.6,30032,853871.05,154
2017-10-10,28.6,29.9,30.1,28.9,29.1,35707,1045432.8,211
2017-10-11,29.1,29.1,30.0,29.0,29.0,17188,506444.2,139
2017-10-12,29.0,29.6,29.6,28.3,28.55,11008,317695.7,123
2017-10-13,28.55,28.25,29.5,28.1,28.4,21272,608812.6,155
2017-10-16,28.4,29.0,29.2,28.1,28.55,19383,553949.25,128
2017-10-17,28.55,29.2,29.2,28.25,28.25,9434,267427.75,84
2017-10-18,28.25,27.75,28.75,27.75,28.3,7513,211656.95,75
2017-10-19,28.3,28.2,28.9,28.0,28.3,4230,120199.9,31
2017-10-23,28.3,28.25,28.7,27.95,28.3,17715,501628.2,77
