Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-12-24,1432.2,1432.2,1508.4,1432.2,1466.0,22642,33477365.0,1212
2025-12-26,1466.0,1480.7,1495.0,1460.0,1487.6,9590,14255888.3,708
2025-12-29,1487.6,1498.8,1498.8,1406.5,1424.5,16018,22995131.7,1388
2025-12-30,1424.5,1438.7,1444.9,1418.1,1428.4,5822,8330496.0,746
2025-12-31,1428.4,1429.8,1444.8,1415.1,1428.7,6752,9672402.0,947
2026-01-01,1428.7,1439.5,1443.9,1415.0,1421.5,4962,7103502.8,453
2026-01-02,1421.5,1421.5,1447.5,1419.1,1442.6,6137,8816844.4,1026
2026-01-05,1442.6,1442.7,1460.2,1430.0,1437.1,8562,12348809.7,1199
2026-01-06,1437.10,1437.90,1496.90,1420.60,1476.10,34525,51034079.30,3000
2026-01-07,1476.10,1476.10,1520.00,1470.00,1487.10,20218,30257990.10,1761
