Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,50.98,51.54,51.55,49.88,50.89,17954780.86,910205138.4,30037
2017-01-03,50.89,50.75,51.75,50.11,51.35,17310974.08,885849071.55,28732
2017-01-04,51.35,51.52,51.93,50.7,51.17,12160081.46,626756348.35,19154
2017-01-05,51.17,51.51,52.12,51.48,51.65,10489685.32,543255095.95,17102
2017-01-06,51.65,51.71,53.13,51.71,52.43,21211403.06,1117312488.7,30592
2017-01-09,52.43,52.61,52.85,52.05,52.36,9206800.58,482946588.35,13980
2017-01-10,52.36,52.44,52.8,51.8,52.11,9083990.23,474001210.85,20718
2017-01-11,52.11,52.55,54.28,52.44,53.58,20767150.85,1110218933.7,36179
2017-01-12,53.58,53.71,54.1,52.94,53.36,12835546.14,686879662.45,22898
2017-01-13,53.36,53.52,53.98,52.86,53.54,11789345.29,630266867.0,20474
2017-01-16,53.54,53.71,54.3,53.38,53.95,12300373.54,664012132.85,20461
2017-01-17,53.95,54.19,55.35,54.18,55.12,18336563.0,1007050584.4,33543
2017-01-18,55.12,55.36,56.2,55.13,55.89,14919645.32,831603518.3,21648
2017-01-19,55.89,55.87,56.61,55.16,55.62,14399731.83,803877814.9,21746
2017-01-20,55.62,55.43,56.11,52.6,52.87,34456470.03,1866108598.95,55790
2017-01-23,52.87,52.87,53.61,52.18,53.26,16438976.73,872509306.9,28812
2017-01-24,53.26,53.68,54.45,53.34,53.87,16331348.14,879879547.45,27550
2017-01-25,53.87,54.1,54.74,53.53,54.64,13910645.98,753292431.75,20206
2017-01-27,54.64,54.76,55.71,54.6,55.07,13489852.27,745646349.6,18526
2017-01-30,55.07,55.31,56.94,54.74,55.82,21623167.12,1212054129.4,33464
2017-01-31,55.82,55.85,56.22,54.76,55.02,10458032.59,580941082.05,14565
2017-02-01,55.02,55.27,56.91,54.26,56.69,18289238.6,1022156239.85,27745
2017-02-02,56.69,57.01,58.65,56.26,57.91,24871146.44,1430622260.65,39413
2017-02-03,57.91,58.15,60.99,57.81,60.31,25481511.06,1515138595.45,40604
2017-02-06,60.31,60.88,61.7,60.15,60.33,18072485.94,1101038902.1,30665
2017-02-07,60.33,60.39,61.34,59.75,60.41,18232750.48,1106046018.1,29097
2017-02-08,60.41,60.7,60.7,59.08,60.1,11664843.49,699546515.7,19530
2017-02-09,60.1,60.5,60.66,58.64,60.01,21456590.59,1280602688.5,28829
2017-02-10,60.01,60.21,60.58,58.91,60.32,17349341.03,1037794716.6,37265
2017-02-13,60.32,60.21,60.7,57.98,58.35,15693188.11,923749523.45,26462
2017-02-14,58.35,58.56,59.24,57.5,58.8,13806106.34,803922905.95,25450
2017-02-15,58.8,58.74,59.0,56.58,56.89,14246351.67,820367509.1,25537
2017-02-16,56.89,57.4,57.87,56.52,57.41,13514280.27,773432136.0,23201
2017-02-17,59.21,58.8,59.7,58.04,58.38,10983245.0,646134493.95,16271
2017-02-20,58.38,58.28,58.5,57.6,58.06,9107740.0,528983235.05,17703
2017-02-21,58.06,58.36,59.03,58.13,58.76,11109255.0,651765174.6,15595
2017-02-22,58.76,58.78,59.26,58.11,58.34,8944235.0,525156219.95,14481
2017-02-23,58.34,58.68,58.91,58.01,58.3,6444415.0,377108619.4,20594
2017-02-27,58.3,58.6,59.1,57.61,57.79,9920815.0,576968356.65,14627
2017-02-28,57.79,57.51,59.37,57.18,59.11,13655710.0,798534272.65,24898
2017-03-01,59.11,59.22,60.46,58.67,59.2,11537740.0,689925668.6,16867
2017-03-02,59.2,59.79,60.08,58.06,58.2,9775155.0,578141314.35,15615
2017-03-03,58.2,58.0,58.38,57.42,57.74,5330705.0,308412289.35,9234
2017-03-06,57.74,58.29,58.76,57.7,58.18,7044630.0,409778398.1,12181
2017-03-07,58.18,58.2,58.5,57.6,57.78,5272585.0,305716320.65,9380
2017-03-08,57.78,57.8,58.64,57.2,57.55,10542130.0,610394989.55,19123
2017-03-09,57.55,57.3,57.78,57.02,57.19,6310975.0,362405446.55,12111
2017-03-10,57.19,57.65,57.78,56.6,56.8,7008225.0,399936888.55,15008
2017-03-14,56.8,58.2,58.2,56.85,56.95,11663215.0,668597475.65,28264
2017-03-15,56.95,57.2,58.56,56.95,57.91,13195850.0,764637827.55,26896
2017-03-16,57.91,58.49,59.36,57.92,59.13,12785350.0,750729507.1,27887
2017-03-17,59.13,59.6,59.63,58.09,58.57,9199030.0,539746585.85,18689
2017-03-20,58.57,58.42,59.18,58.3,58.85,7581610.0,445893876.55,16644
2017-03-21,58.85,59.01,59.22,57.3,57.69,10639715.0,618299669.55,23002
2017-03-22,57.69,57.0,57.15,56.31,56.45,10738260.0,608940301.0,20311
2017-03-23,56.45,56.6,56.84,56.22,56.61,6716000.0,379860733.7,12024
2017-03-24,56.61,56.69,59.68,56.69,58.65,24512760.0,1437231404.5,45608
2017-03-27,58.65,58.8,59.74,58.6,59.35,14993255.0,888394441.85,28304
2017-03-28,59.35,59.78,59.78,58.9,59.44,9875500.0,586409231.8,20127
2017-03-29,59.44,59.88,61.07,59.13,60.42,20886335.0,1260489953.2,38184
2017-03-30,60.42,60.8,61.55,60.4,60.63,17438740.0,1064116524.65,29766
2017-03-31,60.63,60.9,61.51,59.97,60.55,15572670.0,945813250.85,24350
2017-04-03,60.55,60.6,61.0,60.35,60.89,6488955.0,394173063.25,14360
2017-04-05,60.89,60.96,62.65,60.75,62.1,20591820.0,1275189868.4,40205
2017-04-06,62.1,61.99,62.9,61.43,61.99,14287760.0,888206535.1,23259
2017-04-07,61.99,61.56,62.27,60.64,60.96,9297585.0,573168353.2,18022
2017-04-10,60.96,61.01,62.06,60.63,61.89,9402570.0,576725435.85,17742
2017-04-11,61.89,61.93,63.32,61.84,63.2,18228580.0,1142809893.55,34055
2017-04-12,63.2,63.4,63.98,62.25,62.45,13746840.0,865481922.9,20166
2017-04-13,62.45,62.78,63.86,62.61,62.89,14481180.0,916466127.8,20085
2017-04-17,62.89,62.94,63.16,61.47,62.04,7101340.0,440962235.75,11393
2017-04-18,62.04,62.2,64.37,62.2,62.55,22429110.0,1420073265.3,32746
2017-04-19,62.55,62.51,63.8,61.86,63.53,18950215.0,1195186767.0,41620
