Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,185.39,185.29,188.48,184.59,187.75,531970.84,99316818.75,5108
2017-01-03,187.75,188.43,189.46,187.24,187.85,756156.32,142322819.45,7704
2017-01-04,187.85,188.43,188.97,186.19,188.02,733570.64,137750285.25,7127
2017-01-05,188.02,188.7,192.6,188.21,190.67,1323923.41,252826291.1,11168
2017-01-06,190.67,191.36,191.92,189.53,190.04,727297.98,138617777.15,7703
2017-01-09,190.04,190.16,190.72,187.68,189.55,538440.61,101886435.0,6353
2017-01-10,189.55,189.6,190.55,188.51,189.48,694784.86,131720919.4,4753
2017-01-11,189.48,189.75,191.36,189.65,190.97,810899.91,154707307.3,13359
2017-01-12,190.97,191.33,193.96,189.99,193.3,2167424.72,417035302.75,18091
2017-01-13,193.3,194.06,195.2,191.65,192.7,807945.29,156096158.8,13501
2017-01-16,192.7,193.01,194.84,191.5,194.01,1253271.29,242358004.05,10004
2017-01-17,194.01,193.38,195.62,191.82,192.77,637382.32,123423325.1,10905
2017-01-18,192.77,192.84,193.35,191.16,192.4,1381726.33,265766272.4,15508
2017-01-19,192.4,191.77,198.56,191.77,198.0,1415118.23,278139983.6,12914
2017-01-20,198.0,198.22,198.98,190.48,191.48,1086416.48,211267497.1,11828
2017-01-23,191.48,191.4,194.69,191.4,192.77,648137.21,125360264.7,6185
2017-01-24,192.77,194.18,196.98,193.23,195.76,1491796.62,291703608.5,23681
2017-01-25,195.76,196.86,197.69,193.6,194.64,1449337.6,283777496.0,15707
2017-01-27,194.64,195.35,197.69,194.06,194.89,979378.83,192203684.05,7718
2017-01-30,194.89,195.69,201.88,195.3,201.22,1836657.41,365713539.8,13861
2017-01-31,201.22,202.53,203.46,196.52,197.37,2149658.0,431974714.85,21440
2017-02-01,197.37,197.66,200.66,197.32,198.78,1275364.19,253911349.05,10845
2017-02-02,198.78,199.2,203.31,198.71,202.53,1594310.98,322074182.95,9919
2017-02-03,202.53,202.75,204.75,200.78,203.75,1466478.08,298259447.45,16478
2017-02-06,203.75,203.7,207.94,202.29,205.77,1753420.95,360756696.05,18812
2017-02-07,205.77,205.04,206.89,201.63,202.36,679438.92,138488955.95,7401
2017-02-08,202.36,203.02,205.92,200.59,204.36,1242099.59,252081304.55,12524
2017-02-09,204.36,205.33,206.33,202.78,203.75,701876.76,143288907.05,7551
2017-02-10,203.75,204.46,204.97,202.73,203.46,511460.99,104218497.15,6221
2017-02-13,203.46,204.29,204.97,200.95,202.22,1064524.8,215153260.95,14515
2017-02-14,202.22,201.75,203.43,199.73,202.68,764617.74,154239054.65,8005
2017-02-15,202.68,202.85,204.48,200.22,201.34,1577706.4,317834468.2,18101
2017-02-16,201.34,200.85,203.53,198.42,202.78,1117036.51,224792009.2,12309
2017-02-17,202.78,204.53,211.76,203.58,210.69,2964222.95,619199755.5,28493
2017-02-20,210.69,211.37,213.71,209.42,210.11,1948429.84,411962202.6,19241
2017-02-21,210.11,210.89,212.27,209.47,210.91,3267084.63,688741892.4,16544
2017-02-22,210.91,209.42,211.37,205.16,206.53,3684381.8,762318815.4,46515
2017-02-23,206.53,207.23,207.82,202.53,203.14,3126367.61,637332797.9,17007
2017-02-27,203.14,203.58,205.7,201.63,202.39,1415352.3,287687296.85,13030
2017-02-28,202.39,203.53,203.97,197.74,198.22,1675913.05,335327235.75,14758
2017-03-01,198.22,199.54,202.36,198.71,199.76,1712493.64,343245143.75,17340
2017-03-02,199.76,201.15,202.27,196.54,197.22,1126471.16,224948485.65,15991
2017-03-03,197.22,197.47,199.56,196.08,198.81,521259.06,103431410.9,6529
2017-03-06,198.81,198.88,202.53,198.27,200.85,1716361.96,345882148.4,13570
2017-03-07,201.83,201.86,203.01,199.41,200.36,812100.05,163357339.15,8280
2017-03-08,200.36,201.34,201.54,199.21,199.9,598284.44,119696477.0,8689
2017-03-09,199.9,199.68,201.54,199.09,200.49,421940.66,84595886.05,5888
2017-03-10,200.49,201.22,201.83,198.48,198.97,400177.62,79994206.1,3379
2017-03-14,198.97,201.15,201.66,197.97,199.83,1441744.85,287633091.4,11769
2017-03-15,199.83,200.17,207.07,199.92,203.57,3245075.78,663209350.35,27022
2017-03-16,203.57,204.62,207.02,204.43,206.53,1301683.71,268444476.0,13814
2017-03-17,206.53,207.24,209.47,204.11,208.98,1874692.7,389181900.05,15279
2017-03-20,208.98,209.44,209.44,205.97,206.38,800326.64,165722668.3,10220
2017-03-21,206.38,207.39,208.0,204.79,205.45,622716.02,128273394.9,5982
2017-03-22,205.45,204.79,204.79,202.15,202.86,706451.93,143524306.65,5940
2017-03-23,202.86,203.25,205.36,203.08,204.82,1102571.59,225626980.5,4967
2017-03-24,204.82,205.45,207.48,204.69,205.31,1106096.26,228377402.4,8817
2017-03-27,205.31,205.06,206.16,203.2,203.74,486479.9,99335772.1,3993
2017-03-28,203.74,204.21,206.19,202.57,203.47,1145427.47,234114138.65,8619
2017-03-29,203.47,203.59,207.88,203.59,206.8,2163051.48,445777552.0,21638
2017-03-30,206.8,207.19,211.82,206.92,209.98,3753937.84,788262447.3,24847
2017-03-31,209.98,211.42,213.36,210.98,211.62,2378914.46,504512555.2,27384
2017-04-03,211.62,211.64,214.36,209.22,212.01,2143914.06,455323917.3,15284
2017-04-05,212.01,211.42,213.11,208.98,209.42,1623715.84,341903615.95,8653
2017-04-06,209.42,208.98,210.59,207.46,208.78,755619.53,157834232.9,16305
2017-04-07,208.78,207.29,209.47,206.65,207.17,2025491.32,422376417.8,18435
2017-04-10,207.17,207.51,215.51,207.02,211.84,6103220.56,1296286978.45,29346
2017-04-11,211.84,212.67,214.07,211.67,212.72,1100442.48,234366654.1,8615
2017-04-12,212.72,213.75,213.75,206.7,209.34,2829377.36,593797310.0,9602
2017-04-13,209.34,209.49,212.57,209.49,211.55,1189204.88,250909146.2,7792
2017-04-17,211.55,211.57,211.57,208.78,209.69,918179.3,193387903.7,3747
2017-04-18,209.69,210.64,211.84,208.98,210.0,1265991.58,266409037.25,7609
2017-04-19,210.0,211.33,214.31,210.62,212.84,2234742.22,475490800.3,13967
2017-04-20,212.84,213.38,213.43,210.45,210.86,1417580.95,300462865.05,5729
2017-04-21,210.86,210.96,212.82,208.88,209.74,928003.42,195663436.0,10255
2017-04-24,209.74,210.45,219.5,209.86,218.72,2589109.36,559059809.2,19405
2017-04-25,218.72,220.23,221.6,216.05,216.66,2022935.16,441618963.6,15379
2017-04-26,216.66,218.28,218.64,213.19,214.48,1200641.16,259717075.15,10538
2017-04-27,214.48,215.78,216.07,213.01,214.07,1415727.69,303171649.65,6468
2017-04-28,214.07,214.41,217.74,213.5,214.36,1889120.34,407101069.3,13574
2017-05-02,214.36,214.85,217.27,212.57,213.43,1577733.73,337878358.25,26048
2017-05-03,213.43,214.26,214.8,211.96,212.99,974978.58,208370646.3,24342
2017-05-04,212.99,213.33,214.16,210.69,212.4,1158553.55,245651764.6,6445
2017-05-05,212.4,212.84,217.74,212.43,213.53,1791310.27,385423592.9,21427
2017-05-08,213.53,213.82,217.59,212.7,216.34,1394873.91,301541364.85,10231
2017-05-09,216.34,219.23,219.23,214.65,215.17,910504.72,196447177.3,8594
2017-05-10,215.17,215.76,217.52,214.78,215.83,1587402.56,343431620.7,20522
2017-05-11,215.83,215.93,217.27,214.36,215.29,792026.81,170615064.45,4135
2017-05-12,215.29,215.78,215.78,213.06,214.21,974134.7,208680113.4,11190
2017-05-15,214.21,214.36,221.21,213.14,220.16,4124181.32,900103147.15,29885
2017-05-16,220.16,221.16,221.21,216.44,216.81,1092798.55,237342389.7,9438
2017-05-17,216.81,217.1,217.54,214.53,215.12,770778.67,166238432.75,12293
2017-05-18,215.12,214.34,215.34,211.55,212.38,814697.07,173482318.0,7171
2017-05-19,212.38,213.7,218.69,212.4,213.92,1811303.83,389611035.25,14752
2017-05-22,213.92,212.89,213.63,206.16,207.97,1002616.07,209485598.6,10053
2017-05-23,207.97,208.0,209.59,200.68,201.59,940939.47,190807451.4,10753
2017-05-24,201.59,200.66,205.75,199.73,204.96,2453692.61,498144074.9,12980
2017-05-25,204.96,205.45,207.12,201.17,202.84,1576473.02,321150340.55,10059
2017-05-26,202.84,202.84,207.88,202.84,205.8,1273649.82,262424396.85,9299
2017-05-29,205.8,206.29,206.99,202.86,204.03,647991.47,132403720.7,9060
2017-05-30,204.03,203.89,208.19,203.23,206.68,1695572.09,349348245.85,10427
2017-05-31,206.68,208.0,210.4,205.65,207.58,3493888.8,728160533.75,26165
2017-06-01,207.58,207.02,208.37,203.5,207.12,2099305.03,433409084.3,13373
2017-06-02,207.12,208.0,208.49,203.35,204.77,1085647.05,222683820.2,14142
2017-06-05,204.77,205.06,206.21,201.39,201.98,958636.37,195195355.05,7182
