Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,12.35,12.5,12.5,12.2,12.4,7491,92722.35,43
2017-01-03,12.4,12.2,12.5,12.0,12.4,51219,630460.3,192
2017-01-04,12.4,12.35,13.55,12.3,13.1,113783,1488801.55,524
2017-01-05,13.1,13.05,13.4,13.0,13.1,61879,814432.1,265
2017-01-06,13.1,13.4,13.45,13.1,13.15,31340,414604.1,185
2017-01-09,13.15,13.1,13.3,12.6,12.95,64003,826913.8,271
2017-01-10,12.95,13.0,13.3,12.8,13.1,31421,410914.95,118
2017-01-11,13.1,13.0,13.4,13.0,13.3,65341,858240.75,164
2017-01-12,13.3,13.2,14.25,13.2,13.9,216974,3024281.25,913
2017-01-13,13.9,14.15,14.9,13.1,14.45,373229,5395825.9,1448
2017-01-16,14.45,14.45,14.65,14.25,14.35,113054,1641125.8,297
2017-01-17,14.35,14.3,14.4,13.05,13.95,111200,1540754.9,379
2017-01-18,13.95,14.0,14.0,13.25,13.7,45515,626119.7,273
2017-01-19,13.7,13.85,14.2,13.6,13.8,54657,759044.05,336
2017-01-20,13.8,14.0,14.25,13.7,13.8,60640,844507.1,240
2017-01-23,13.8,14.0,14.0,13.6,13.75,20939,288429.35,98
2017-01-24,13.75,13.6,14.15,13.55,13.7,39704,549188.05,184
2017-01-25,13.7,13.9,13.9,13.5,13.55,49789,680444.55,163
2017-01-27,13.55,13.5,13.8,13.4,13.6,49020,668315.2,229
2017-01-30,13.6,13.45,13.7,13.15,13.4,32993,445116.0,161
2017-01-31,13.4,13.25,13.5,13.05,13.1,36096,477756.95,160
2017-02-01,13.1,13.05,13.5,13.05,13.2,25730,342075.35,211
2017-02-02,13.2,13.5,13.5,13.0,13.25,139449,1841349.3,242
2017-02-03,13.25,13.05,13.6,13.05,13.35,89000,1184272.75,311
2017-02-06,13.35,13.3,13.8,13.3,13.5,49774,676362.05,220
2017-02-07,13.5,13.65,13.8,13.1,13.35,80788,1096651.25,263
2017-02-08,13.35,13.45,13.65,13.05,13.3,69516,920976.75,282
2017-02-09,13.3,13.35,13.5,13.15,13.25,43271,576469.05,114
2017-02-10,13.25,13.15,13.4,12.65,13.3,35991,477365.6,133
2017-02-13,13.3,13.4,13.6,13.2,13.35,77645,1034853.3,169
2017-02-14,13.35,13.35,13.45,13.0,13.05,71775,942299.6,174
2017-02-15,13.05,12.95,13.05,12.65,12.7,74181,948358.5,236
2017-02-16,12.7,12.95,13.3,12.4,12.9,62965,796091.95,228
2017-02-17,12.9,13.3,13.4,12.8,12.95,41400,537398.1,150
