Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,71.05,71.6,72.2,70.85,71.35,274197,19594210.0,1373
2017-01-03,71.35,71.5,72.0,70.45,70.8,273602,19526520.9,1577
2017-01-04,70.8,70.9,80.25,70.6,78.7,5904763,449023358.55,25647
2017-01-05,78.7,80.0,84.0,78.1,83.15,5762526,469439903.5,27672
2017-01-06,83.15,83.45,86.45,82.0,85.95,4574413,386567401.45,20106
2017-01-09,85.95,85.1,87.25,82.55,86.3,3223425,273241180.25,16380
2017-01-10,86.3,86.8,86.9,83.1,83.6,1632830,138242209.2,12356
2017-01-11,83.6,84.0,84.0,81.45,82.2,1015715,83910571.8,6320
2017-01-12,82.2,82.3,82.7,79.65,80.35,1164493,94189683.95,6962
2017-01-13,80.35,80.5,85.5,80.1,83.5,2332125,194590138.35,13429
2017-01-16,83.5,83.3,85.65,82.8,84.95,1380419,116613607.65,7241
2017-01-17,84.95,85.4,87.8,83.65,86.8,2073356,178963276.05,11295
2017-01-18,86.8,86.5,87.4,84.65,85.3,1185442,102013015.6,7872
2017-01-19,85.3,85.3,88.55,84.15,86.75,1749203,152178239.0,10233
2017-01-20,86.75,86.6,86.6,81.95,82.6,838468,70758321.9,7254
2017-01-23,82.6,83.05,84.7,82.15,83.25,456981,38110629.05,3618
2017-01-24,83.25,83.65,84.6,82.1,82.4,532881,44300465.05,3281
2017-01-25,82.4,82.7,83.7,81.65,82.15,539369,44564344.4,3474
2017-01-27,82.15,82.15,85.1,82.15,82.6,968337,80952076.05,5761
2017-01-30,82.6,82.5,85.25,81.5,81.95,1442179,120298118.5,8860
2017-01-31,81.95,81.8,82.5,80.1,80.5,621912,50568187.6,3825
2017-02-01,80.5,80.55,83.35,77.0,78.3,3052609,244372477.5,15960
2017-02-02,78.3,78.05,80.45,77.55,78.35,1105147,86782726.25,6501
2017-02-03,78.35,78.6,80.8,78.05,79.25,1670525,132325298.85,12032
2017-02-06,79.25,80.15,87.4,80.0,84.05,3304455,278310075.15,15718
2017-02-07,84.05,83.5,84.7,81.25,82.3,588163,48992538.05,8081
2017-02-08,82.3,82.6,82.7,80.1,80.75,874863,71160528.3,5978
2017-02-09,80.75,80.55,82.5,80.5,80.75,571724,46381569.75,3264
2017-02-10,80.75,81.5,83.85,79.5,80.05,1885410,153929415.95,10847
2017-02-13,80.05,80.7,83.5,79.6,80.1,992588,80740441.45,6718
2017-02-14,80.1,80.1,81.15,79.15,79.6,509873,40869564.4,2516
2017-02-15,79.6,79.9,80.9,79.3,80.25,1135901,91046020.1,8532
2017-02-16,80.25,80.5,80.7,79.4,80.1,672821,53784574.95,3279
2017-02-17,80.1,80.2,83.6,80.05,81.05,1383098,113212271.05,7799
2017-02-20,81.05,81.35,82.9,81.1,81.85,719585,59027345.95,4850
2017-02-21,81.85,82.1,84.9,81.8,84.15,1192532,99621460.35,7339
2017-02-22,84.15,84.8,86.85,83.95,84.4,1468715,125716288.65,9836
2017-02-23,84.4,84.65,84.75,81.05,82.05,672024,55885590.1,4843
2017-02-27,82.05,82.1,83.9,81.55,82.55,1014678,84292241.2,4201
2017-02-28,82.55,82.8,83.15,81.65,82.5,462101,38026688.15,2714
2017-03-01,82.5,82.05,83.8,82.05,83.05,494769,41108403.75,4778
2017-03-02,83.05,83.7,83.8,81.6,82.1,438478,36273819.85,2821
2017-03-03,82.1,81.7,82.3,80.35,81.0,446074,36103657.05,5506
2017-03-06,81.0,81.35,81.9,77.6,78.4,738471,58762990.3,6213
2017-03-07,78.4,78.65,79.95,77.6,79.1,327100,25842117.75,2905
2017-03-08,79.1,78.5,79.55,76.75,77.0,469026,36384692.8,4373
2017-03-09,77.0,76.75,79.75,76.0,77.15,505770,39465519.75,4592
2017-03-10,77.15,77.5,79.65,77.5,79.15,733688,57993035.0,5153
2017-03-14,79.15,81.5,82.0,78.95,81.4,1189032,95837571.9,12939
2017-03-15,81.4,81.45,83.55,80.95,82.35,735092,60482658.9,3944
2017-03-16,82.35,82.7,83.55,81.85,82.0,971802,79909920.25,16500
2017-03-17,82.0,82.45,83.0,79.8,80.8,815354,66212260.1,6485
2017-03-20,80.8,81.5,84.5,80.2,84.25,1131452,94175010.4,6133
2017-03-21,84.25,84.6,84.9,82.25,82.85,593376,49764541.0,4610
2017-03-22,82.85,82.0,83.8,81.0,81.6,585039,47978170.75,4585
2017-03-23,81.6,81.75,82.8,81.0,81.3,354941,29010247.05,3691
2017-03-24,81.3,81.7,82.55,80.7,81.0,250148,20439929.75,2785
2017-03-27,81.0,81.35,82.6,81.05,81.35,544502,44563430.15,7589
2017-03-28,81.35,81.0,84.1,81.0,82.35,736003,60753991.85,5099
2017-03-29,82.35,83.05,83.2,81.85,82.7,538078,44471935.15,4255
2017-03-30,82.7,82.3,84.2,82.3,83.75,471095,39370020.1,3872
2017-03-31,83.75,85.0,91.0,85.0,86.75,5503197,485728488.7,29018
2017-04-03,86.75,86.25,90.35,85.65,87.15,1997505,176038638.7,8782
2017-04-05,87.15,87.9,89.5,87.5,88.7,840894,74572310.15,5668
2017-04-06,88.7,88.5,89.1,86.0,87.1,488979,42679045.2,3987
2017-04-07,87.1,86.75,89.3,85.8,86.3,883433,77238038.85,5428
2017-04-10,86.3,86.55,87.55,86.05,86.65,433674,37670329.15,4201
2017-04-11,86.65,86.95,88.2,84.0,85.95,494035,42842730.1,6537
2017-04-12,85.95,85.9,86.7,84.25,85.4,483565,41395453.1,3295
2017-04-13,85.4,85.4,85.65,83.5,83.85,300038,25368887.05,4958
2017-04-17,83.85,83.8,86.0,83.8,84.5,388855,32989809.25,3024
2017-04-18,84.5,84.9,86.75,84.85,85.15,446589,38256743.0,3898
2017-04-19,85.15,85.5,85.85,84.0,84.15,241747,20411578.3,2446
2017-04-20,84.15,84.6,94.0,83.2,92.1,3544805,320067901.05,20108
2017-04-21,92.1,92.9,94.65,90.75,93.05,2313231,215325002.4,19082
2017-04-24,93.05,93.7,97.7,93.05,96.05,1754604,168101013.25,16162
2017-04-25,96.05,96.5,96.9,93.7,96.0,741083,70665340.2,5424
2017-04-26,96.0,96.55,101.0,95.1,98.25,2480916,245118431.15,25578
2017-04-27,98.25,99.0,100.85,96.4,99.4,1636414,162327755.6,28295
2017-04-28,99.4,99.9,101.0,96.2,100.1,1113286,110757061.45,11372
2017-05-02,100.1,101.05,104.2,100.15,100.8,2002330,204752796.7,11065
2017-05-03,100.8,101.55,103.2,99.5,101.5,887514,89915767.35,6429
2017-05-04,101.5,101.5,118.6,101.05,113.35,6599386,743347498.1,34935
2017-05-05,113.35,112.7,115.6,109.1,113.8,3549141,397537775.15,26140
2017-05-08,113.8,113.95,119.9,111.7,119.0,2987545,347970806.75,22074
2017-05-09,119.0,120.1,122.3,116.6,120.75,2139458,257171723.0,14203
2017-05-10,120.75,121.5,138.3,121.5,128.75,7661047,1008749496.9,57077
2017-05-11,128.75,129.65,133.2,127.6,129.9,3409585,444544148.05,31548
2017-05-12,129.9,129.5,131.3,126.2,127.2,1501543,192795643.7,23616
2017-05-15,127.2,131.0,133.1,129.15,129.9,1632868,213327093.75,13417
2017-05-16,129.9,129.15,131.15,124.1,125.3,1130240,144288156.95,20161
2017-05-17,125.3,125.0,125.0,121.0,121.8,2915710,356490634.9,26488
2017-05-18,121.8,120.8,126.0,116.55,118.15,1508774,184135317.85,13479
2017-05-19,118.15,118.85,121.45,115.1,116.65,859467,102105603.85,8676
2017-05-22,116.65,117.7,119.5,113.15,114.3,1016350,117137286.75,8520
2017-05-23,114.3,114.85,115.0,106.25,112.55,1280829,141341762.75,11271
2017-05-24,112.55,112.6,113.65,104.1,105.6,1643202,181325277.3,9858
2017-05-25,105.6,106.25,116.9,105.25,115.45,1744567,195315880.65,19232
2017-05-26,115.45,116.2,124.1,115.1,122.95,1761138,212271086.35,16840
2017-05-29,122.95,123.85,124.4,118.0,119.15,713543,86473511.9,6720
2017-05-30,119.15,117.25,122.75,115.5,118.05,884688,105592241.55,9325
2017-05-31,118.05,117.75,124.5,116.9,122.9,1623985,199162706.05,14731
2017-06-01,122.9,122.05,125.8,121.1,122.45,946117,117260168.75,9297
2017-06-02,122.45,123.0,125.8,122.2,124.85,762449,94559166.45,7877
2017-06-05,124.85,124.9,125.4,121.75,123.75,532665,65720276.5,7669
2017-06-06,123.75,123.8,124.15,120.0,121.1,469274,57019244.05,7204
2017-06-07,121.1,121.4,126.85,120.15,122.1,1311319,161952149.5,13702
2017-06-08,122.1,122.0,129.3,121.0,128.25,2136371,269487764.45,20599
2017-06-09,128.25,128.9,129.5,125.0,126.95,1410422,180165375.0,12928
2017-06-12,126.95,125.6,128.2,124.85,126.75,670160,84984730.15,13218
2017-06-13,126.75,126.7,129.2,125.6,126.95,480035,61170611.35,4568
2017-06-14,126.95,127.5,130.7,126.5,127.4,2040745,261736471.1,12911
2017-06-15,127.4,127.65,128.3,123.35,123.75,750748,94422941.15,9599
2017-06-16,123.75,124.45,125.5,120.7,123.45,742204,91587075.45,11708
2017-06-19,123.45,124.55,124.8,121.0,121.45,381613,46826565.0,6966
2017-06-20,121.45,122.05,123.5,118.0,118.75,528969,63754307.95,9704
2017-06-21,118.75,118.4,122.9,118.25,122.25,686005,83089709.0,12262
2017-06-22,122.25,123.0,125.95,121.7,122.75,713170,88317526.5,5841
2017-06-23,122.75,123.0,123.9,117.05,117.75,550306,65539602.4,5384
2017-06-27,117.75,118.1,118.45,111.9,113.35,488239,55856915.75,4399
2017-06-28,113.35,111.5,118.95,110.25,117.9,966981,112315453.15,12624
2017-06-29,117.9,118.45,123.65,116.75,122.85,1783025,215690068.95,14773
2017-06-30,122.85,121.05,122.1,117.0,117.35,1505199,179099808.75,9462
2017-07-03,117.35,120.4,122.5,119.5,120.85,1418122,171329002.5,10473
2017-07-04,120.85,121.25,129.4,121.0,128.15,2526788,317871992.8,22764
2017-07-05,128.15,128.9,139.4,127.0,136.95,4171663,555638707.05,34894
2017-07-06,136.95,139.05,140.8,132.0,133.25,1701212,233714162.2,14978
2017-07-07,133.25,133.4,135.6,130.1,131.05,847859,112638074.75,10095
2017-07-10,131.05,134.0,134.5,115.3,131.75,89931,11852130.7,964
2017-07-11,131.75,132.4,133.5,128.4,129.9,753715,98936715.5,9902
2017-07-12,129.9,130.5,131.4,126.0,126.65,858538,110567858.95,10164
2017-07-13,126.65,127.2,131.15,126.5,127.3,1033095,132939552.0,9092
2017-07-14,127.3,127.5,128.45,124.5,125.35,649863,81810006.35,7072
2017-07-17,125.35,125.85,133.45,125.7,132.25,1728840,225980102.6,20014
2017-07-18,132.25,132.3,134.2,129.0,130.3,1425678,188693048.15,18415
2017-07-19,130.3,130.7,131.5,128.4,129.05,796051,103770777.0,7867
2017-07-20,129.05,129.25,132.5,128.55,129.1,645998,84271835.45,6743
2017-07-21,129.1,128.1,129.95,127.1,127.75,658075,84570957.4,10841
2017-07-24,127.75,127.6,136.8,127.5,134.85,1721557,229458018.85,16753
2017-07-25,134.85,135.2,137.15,132.3,135.5,1595564,216642595.2,14130
2017-07-26,135.5,135.0,138.6,133.7,137.5,1422928,193567884.95,11682
2017-07-27,137.5,136.95,137.7,130.5,131.55,896204,120124222.0,6507
2017-07-28,131.55,130.1,134.5,129.6,133.9,777573,103786176.7,5510
2017-07-31,133.9,133.7,138.7,132.5,135.45,1046400,142312360.55,9529
2017-08-01,135.45,135.45,136.3,133.8,135.2,461860,62339285.1,4637
2017-08-02,135.2,135.45,144.5,135.2,141.4,3302948,467466668.0,20024
2017-08-03,141.4,141.4,141.5,136.55,138.4,1058256,147112350.15,9068
2017-08-04,138.4,139.0,144.9,135.3,140.55,1795170,252155874.65,14410
2017-08-07,140.55,141.5,142.8,138.1,141.5,806524,113900357.55,6421
2017-08-08,141.5,142.0,145.45,137.65,139.75,1576241,223590317.95,12577
