Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-06-20,1210.9,1240.1,1254.0,1147.55,1152.55,4450,5326946.4,615
2022-06-21,1152.55,1165.0,1199.0,1165.0,1191.6,1104,1310399.45,230
2022-06-22,1191.6,1191.6,1209.55,1105.0,1148.3,1892,2188377.3,351
2022-06-23,1148.3,1148.0,1175.4,1148.0,1154.0,1548,1802030.75,318
2022-06-24,1154.0,1154.05,1203.95,1154.05,1194.65,3511,4170406.0,527
2022-06-27,1194.65,1209.95,1211.65,1183.25,1192.35,1542,1841639.65,334
2022-06-28,1192.35,1184.1,1199.95,1155.55,1174.7,1644,1943858.95,375
2022-06-29,1174.7,1180.1,1239.95,1169.5,1213.3,2858,3449912.1,722
2022-06-30,1213.3,1220.5,1224.95,1184.0,1196.05,2201,2647652.6,379
2022-07-01,1196.05,1203.95,1231.95,1180.4,1224.05,2644,3210877.45,464
2022-07-04,1224.05,1239.8,1239.8,1198.1,1202.95,1452,1756197.05,449
2022-07-05,1202.95,1208.8,1222.05,1203.65,1210.15,842,1020848.05,237
2022-07-06,1210.15,1212.05,1219.4,1199.9,1207.2,663,799784.7,158
2022-07-07,1207.2,1229.0,1235.0,1181.1,1219.05,1432,1738380.15,272
2022-07-08,1219.05,1231.0,1250.0,1205.0,1214.9,2357,2879568.9,367
2022-07-11,1214.9,1224.0,1250.0,1209.05,1236.25,1517,1865887.55,241
2022-07-12,1236.25,1246.0,1293.15,1206.0,1258.45,3663,4584148.6,685
2022-07-13,1258.45,1269.95,1290.0,1269.95,1285.65,2933,3765273.25,606
2022-07-14,1285.65,1285.7,1299.0,1266.05,1274.05,2205,2827051.9,559
2022-07-15,1274.05,1278.6,1300.0,1260.0,1288.25,2135,2741992.4,457
2022-07-18,1288.25,1307.0,1359.0,1286.9,1326.55,6765,9000391.95,1254
2022-07-19,1326.55,1365.8,1365.8,1325.95,1338.1,4075,5506193.45,890
2022-07-20,1338.1,1364.0,1364.0,1301.0,1315.05,2482,3284186.7,707
2022-07-21,1315.05,1325.85,1325.85,1304.95,1316.25,1569,2062701.15,512
2022-07-22,1316.25,1338.95,1338.95,1316.0,1333.15,2206,2934832.0,372
2022-07-25,1333.15,1345.0,1356.5,1335.0,1339.55,2458,3291211.6,302
2022-07-26,1339.55,1356.0,1356.0,1338.75,1341.9,2222,2986693.0,436
2022-07-27,1341.9,1348.0,1348.0,1334.05,1343.95,1686,2261243.95,324
2022-07-28,1343.95,1353.9,1360.0,1333.85,1351.15,5840,7879338.2,522
2022-07-29,1351.15,1362.0,1388.0,1354.55,1377.45,6856,9416734.05,962
2022-08-01,1377.45,1397.0,1498.0,1396.95,1476.9,32816,47316515.35,3451
2022-08-02,1476.9,1476.9,1499.85,1418.65,1427.15,24231,35042129.65,2978
2022-08-03,1427.15,1430.05,1453.45,1409.0,1434.65,16919,24265803.8,2141
2022-08-04,1434.65,1394.95,1400.0,1321.7,1329.95,13203,17805465.95,2040
2022-08-05,1329.95,1320.0,1326.45,1290.0,1291.95,5687,7409922.0,1185
2022-08-08,1291.95,1285.0,1287.0,1240.0,1250.25,6545,8234346.3,1359
2022-08-10,1250.25,1264.5,1284.55,1251.0,1282.3,3818,4840749.3,687
2022-08-11,1282.3,1276.05,1287.1,1175.0,1224.45,20022,24740132.2,4829
2022-08-12,1224.45,1214.4,1235.4,1201.55,1204.55,4177,5066925.35,895
2022-08-16,1204.55,1220.0,1224.7,1188.05,1205.7,4434,5335781.75,740
2022-08-17,1205.7,1220.9,1224.0,1202.0,1218.55,1976,2407742.6,356
2022-08-18,1218.55,1212.55,1230.0,1212.0,1222.5,2173,2654265.65,513
2022-08-19,1222.5,1211.25,1229.6,1198.05,1206.1,2723,3287290.6,658
2022-08-22,1206.1,1203.75,1203.75,1160.0,1167.15,7255,8481798.95,823
2022-08-23,1167.15,1151.0,1184.7,1151.0,1172.15,3074,3597433.4,651
2022-08-24,1172.15,1185.0,1187.95,1159.95,1179.05,2696,3164763.25,529
2022-08-25,1179.05,1170.0,1193.05,1170.0,1185.55,1156,1367561.45,366
2022-08-26,1185.55,1187.65,1189.1,1161.05,1162.95,3486,4083662.35,731
2022-08-29,1162.95,1165.7,1171.3,1146.9,1158.95,1563,1814225.15,435
2022-08-30,1158.95,1160.25,1179.85,1160.25,1172.35,911,1068104.45,208
2022-09-01,1172.35,1184.65,1187.9,1157.1,1169.35,1198,1398210.05,238
2022-09-02,1169.35,1181.25,1189.95,1169.25,1183.45,1075,1265499.0,249
2022-09-05,1183.45,1183.0,1197.4,1171.2,1174.75,1980,2340072.65,294
2022-09-06,1174.75,1176.95,1180.0,1170.1,1176.0,1065,1250055.8,185
2022-09-07,1176.0,1172.0,1188.95,1170.0,1177.4,1123,1325852.3,247
2022-09-08,1177.4,1172.15,1197.0,1168.5,1179.45,2909,3428005.35,433
2022-09-09,1179.45,1192.0,1192.0,1161.0,1169.35,1677,1972219.65,296
2022-09-12,1169.35,1171.0,1182.0,1163.05,1167.7,4169,4878373.75,323
2022-09-13,1167.7,1169.0,1178.5,1154.0,1161.95,5226,6094247.25,634
2022-09-14,1161.95,1175.0,1175.0,1161.05,1170.5,1496,1748392.7,338
2022-09-15,1170.5,1175.05,1176.5,1164.2,1170.55,2048,2396613.6,223
2022-09-16,1170.55,1163.75,1169.5,1158.0,1160.0,1274,1480704.95,277
2022-09-19,1160.0,1160.0,1179.15,1152.05,1156.85,1277,1480684.5,294
2022-09-20,1156.85,1158.0,1171.15,1158.0,1165.55,1581,1843330.9,236
2022-09-21,1165.55,1169.15,1172.75,1132.3,1148.1,2934,3380024.45,490
2022-09-22,1148.1,1143.3,1150.8,1137.8,1148.25,879,1006006.05,210
2022-09-23,1148.25,1167.1,1172.4,1141.0,1146.25,2195,2533665.55,515
2022-09-26,1146.25,1131.0,1173.25,1106.0,1115.8,2226,2494011.05,474
2022-09-27,1115.8,1120.0,1169.8,1104.05,1142.25,1165,1317915.15,251
2022-09-28,1142.25,1075.0,1152.0,1075.0,1122.7,926,1032154.55,271
2022-09-29,1122.7,1128.0,1144.0,1125.05,1140.85,818,930998.6,155
2022-09-30,1140.85,1129.0,1148.0,1118.9,1130.65,1480,1679089.65,324
2022-10-03,1130.65,1145.9,1149.0,1120.0,1131.7,862,974808.95,273
2022-10-04,1131.7,1140.1,1149.95,1120.1,1141.35,1175,1338338.9,263
2022-10-06,1141.35,1146.35,1200.0,1146.35,1181.25,2750,3230926.2,509
2022-10-07,1181.25,1190.0,1244.9,1176.1,1224.35,9364,11359591.7,1208
2022-10-10,1224.35,1191.55,1217.85,1190.05,1211.2,1561,1883748.35,352
2022-10-11,1211.2,1199.7,1210.0,1182.55,1190.65,1097,1311618.9,273
2022-10-12,1190.65,1200.65,1225.05,1190.05,1210.35,3752,4541879.8,611
2022-10-13,1210.35,1211.95,1211.95,1162.15,1181.5,2177,2593479.3,478
2022-10-14,1181.5,1200.0,1208.9,1147.55,1158.8,2016,2374351.15,405
2022-10-17,1158.8,1164.55,1187.9,1147.05,1154.8,1938,2272223.15,317
2022-10-18,1154.8,1154.85,1170.05,1150.0,1162.8,1697,1971901.1,258
2022-10-19,1162.8,1162.8,1185.0,1160.0,1169.65,710,831666.45,176
2022-10-20,1169.65,1161.0,1179.4,1155.05,1162.1,774,900536.55,182
2022-10-21,1162.1,1173.7,1180.0,1170.0,1175.15,591,694419.9,94
2022-10-24,1175.15,1177.0,1195.75,1177.0,1191.3,1075,1278696.1,139
2022-10-25,1191.3,1180.6,1190.0,1155.6,1176.3,700,825413.35,152
2022-10-27,1176.3,1198.5,1198.6,1170.2,1181.95,733,868556.7,190
2022-10-28,1181.95,1181.45,1181.5,1167.5,1168.6,885,1035530.8,126
2022-10-31,1168.6,1181.05,1245.0,1181.05,1212.7,9944,12125847.5,1672
2022-11-01,1212.7,1215.15,1227.9,1200.0,1208.3,1647,2006262.6,341
2022-11-02,1208.3,1205.6,1244.0,1195.55,1229.35,4160,5082057.7,680
2022-11-03,1229.35,1206.2,1284.7,1206.2,1272.5,9636,12160801.25,1551
2022-11-04,1272.5,1272.45,1272.5,1201.9,1251.0,3071,3802191.25,695
2022-11-07,1251.0,1242.1,1253.9,1194.1,1226.8,4505,5488514.35,761
2022-11-09,1226.8,1253.9,1309.3,1226.0,1296.65,12450,15962279.1,2213
2022-11-10,1296.65,1287.0,1335.7,1281.05,1304.25,8389,11027400.9,1687
2022-11-11,1304.25,1312.0,1348.85,1250.0,1265.5,5502,7074478.25,904
2022-11-14,1265.5,1208.0,1260.0,1208.0,1245.65,6483,8012399.35,1328
2022-11-15,1245.65,1250.0,1250.0,1230.05,1240.05,1674,2072911.35,374
2022-11-16,1240.05,1260.0,1260.0,1225.0,1238.2,1788,2218285.0,335
2022-11-17,1238.2,1236.5,1249.1,1218.1,1226.1,2208,2717419.4,455
2022-11-18,1226.1,1233.1,1243.0,1218.05,1229.75,947,1164895.8,333
2022-11-21,1229.75,1232.7,1232.7,1201.0,1208.8,2033,2459445.5,369
2022-11-22,1208.8,1226.35,1226.35,1197.0,1211.35,2842,3432371.45,524
2022-11-23,1211.35,1221.05,1221.05,1190.1,1197.95,2468,2962288.05,394
2022-11-24,1197.95,1220.0,1220.0,1178.0,1190.35,4054,4826689.85,665
2022-11-25,1190.35,1203.7,1227.9,1192.1,1200.6,1740,2100030.15,451
2022-11-28,1200.6,1204.75,1229.0,1200.0,1224.25,2016,2456639.15,407
2022-11-29,1224.25,1226.95,1238.0,1220.0,1228.3,867,1064849.05,291
2022-11-30,1228.3,1237.95,1250.0,1233.05,1248.1,1687,2096493.75,358
2022-12-01,1248.1,1249.2,1260.0,1220.7,1245.4,1745,2167409.25,408
2022-12-02,1245.4,1225.0,1245.05,1225.0,1232.6,1054,1301759.0,271
2022-12-05,1232.6,1235.8,1236.45,1205.0,1213.1,2031,2480555.65,294
2022-12-06,1213.1,1213.0,1234.0,1197.55,1222.65,1609,1957181.85,474
2022-12-07,1222.65,1224.35,1240.0,1201.0,1210.05,1683,2045960.15,344
2022-12-08,1210.05,1208.1,1229.9,1200.0,1203.8,1834,2226635.25,449
2022-12-09,1203.8,1212.9,1218.0,1195.25,1214.9,1154,1392497.5,290
2022-12-12,1214.9,1190.35,1240.0,1190.35,1217.0,690,838162.1,260
2022-12-13,1217.0,1223.95,1235.9,1197.2,1203.55,1733,2100424.55,314
2022-12-14,1203.55,1216.6,1229.0,1193.0,1204.95,4088,4908180.0,466
2022-12-15,1204.95,1202.9,1214.95,1171.75,1184.55,2416,2878948.5,377
2022-12-16,1184.55,1188.95,1221.0,1181.0,1192.55,1569,1880313.75,423
2022-12-19,1192.55,1211.95,1212.0,1180.8,1197.4,1931,2300259.8,295
2022-12-20,1197.4,1212.0,1212.0,1182.3,1198.05,499,594290.55,143
2022-12-21,1198.05,1205.05,1205.7,1175.0,1178.95,1053,1253172.25,279
2022-12-22,1178.95,1166.55,1176.25,1148.0,1150.5,2228,2580934.75,702
2022-12-23,1150.5,1152.1,1152.1,1106.05,1111.4,1913,2149636.1,563
2022-12-26,1111.4,1120.0,1160.0,1108.1,1135.35,1352,1525162.05,408
2022-12-27,1135.35,1169.9,1169.9,1138.0,1146.7,1436,1647108.8,434
2022-12-28,1146.7,1140.05,1173.15,1140.05,1162.7,739,857120.5,283
2022-12-29,1162.7,1165.5,1167.0,1145.0,1155.55,542,626348.2,145
2022-12-30,1155.55,1165.65,1176.9,1156.2,1164.9,688,801319.8,228
2023-01-02,1164.9,1212.0,1224.9,1180.0,1193.35,4960,5950754.9,957
2023-01-03,1193.35,1201.85,1210.0,1189.95,1193.5,1472,1766706.9,370
2023-01-04,1193.5,1200.05,1201.4,1177.0,1189.2,1020,1212002.3,228
2023-01-05,1189.2,1189.0,1189.0,1170.0,1174.45,875,1030608.3,155
2023-01-06,1174.45,1173.5,1174.95,1156.6,1163.3,1024,1192920.95,229
2023-01-09,1163.3,1174.9,1183.4,1158.0,1163.0,1019,1191812.95,204
2023-01-10,1163.0,1181.45,1184.95,1153.55,1157.85,505,588549.3,211
2023-01-11,1157.85,1170.0,1177.45,1155.05,1159.6,651,758841.05,259
2023-01-12,1159.6,1164.9,1172.9,1151.2,1156.9,1184,1373360.6,250
2023-01-13,1156.9,1167.95,1167.95,1150.05,1156.3,703,814210.45,169
2023-01-16,1156.3,1161.75,1162.0,1132.6,1139.2,1878,2153281.8,425
2023-01-17,1139.2,1140.05,1157.3,1129.0,1141.45,1936,2218704.6,530
2023-01-18,1141.45,1143.45,1152.1,1136.25,1145.5,707,808326.8,262
2023-01-19,1145.5,1145.25,1155.0,1133.05,1143.8,809,925233.9,301
2023-01-20,1143.8,1141.5,1147.4,1111.0,1134.55,1610,1824178.8,400
2023-01-23,1134.55,1132.1,1168.7,1130.0,1139.15,1184,1354374.3,436
2023-01-24,1139.15,1138.3,1152.5,1119.9,1142.95,1734,1979411.3,461
2023-01-25,1142.95,1147.95,1147.95,1130.45,1138.05,737,838283.6,243
2023-01-27,1138.05,1130.2,1146.5,1110.0,1122.3,1584,1778152.65,459
2023-01-30,1122.3,1112.05,1143.3,1112.05,1121.65,733,824159.15,362
2023-01-31,1121.65,1128.55,1135.3,1117.45,1128.7,779,878089.5,254
2023-02-01,1128.7,1129.45,1139.5,1080.0,1095.9,1921,2129900.45,427
2023-02-02,1095.9,1113.05,1125.0,1104.4,1118.35,1062,1183529.95,236
2023-02-03,1118.35,1121.05,1121.05,1088.05,1103.05,2038,2247853.45,433
2023-02-06,1103.05,1114.35,1119.95,1094.25,1106.9,1936,2147085.8,424
2023-02-07,1106.9,1108.7,1122.8,1106.0,1108.2,727,808218.85,212
2023-02-08,1108.2,1113.5,1121.0,1108.2,1113.1,1005,1118997.25,183
2023-02-09,1113.1,1119.7,1125.0,1112.1,1123.25,795,891206.55,180
2023-02-10,1123.25,1125.0,1128.6,1110.05,1118.15,957,1072498.2,233
2023-02-13,1118.15,1100.0,1100.0,1074.0,1080.15,3297,3569443.2,846
2023-02-14,1080.15,1080.3,1096.95,1075.0,1089.3,1097,1188845.5,206
2023-02-15,1089.3,1089.9,1097.35,1083.0,1091.55,742,809087.25,161
2023-02-16,1091.55,1070.0,1115.0,1070.0,1090.6,1501,1629090.75,430
2023-02-17,1090.6,1090.95,1105.8,1072.1,1085.8,760,824447.6,222
2023-02-20,1085.8,1085.1,1090.5,1040.2,1064.55,3284,3481756.0,637
2023-02-21,1064.55,1073.4,1082.4,1060.0,1075.95,795,852398.85,185
2023-02-22,1075.95,1067.45,1180.0,1055.0,1136.8,23419,26758206.45,4130
2023-02-23,1136.8,1155.0,1178.95,1116.0,1143.85,4660,5340521.3,942
2023-02-24,1143.85,1143.0,1158.95,1116.0,1122.45,1494,1686708.85,413
2023-02-27,1122.45,1120.0,1125.65,1090.0,1093.8,1053,1164258.7,316
2023-02-28,1093.8,1099.1,1099.1,1077.9,1083.15,1270,1375676.15,266
2023-03-01,1083.15,1092.1,1105.7,1087.35,1102.25,699,769169.2,152
2023-03-02,1102.25,1109.45,1117.5,1080.0,1090.45,1055,1160914.45,196
