Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,39.43,40.03,46.9,40.03,43.33,241108.31,10079062.25,461
2017-01-03,43.33,43.91,44.85,41.19,42.54,72765.27,3138364.35,388
2017-01-04,42.54,42.45,45.43,41.58,41.77,98028.62,4112382.8,243
2017-01-05,41.77,41.68,43.52,41.58,43.52,55159.52,2324830.65,187
2017-01-06,43.52,43.61,43.98,41.59,41.82,82842.69,3551003.05,241
2017-01-09,41.82,41.6,43.13,41.6,42.91,61209.07,2581425.5,209
2017-01-10,42.91,41.7,42.36,41.68,42.07,56819.27,2391033.75,192
2017-01-11,42.07,42.16,42.39,41.39,41.57,574904.04,23986531.75,548
2017-01-12,41.57,41.97,42.54,41.44,41.58,65940.13,2746834.55,187
2017-01-13,41.58,41.56,41.56,40.81,41.11,55898.91,2309613.8,204
2017-01-16,41.11,41.1,41.68,39.55,41.15,276050.94,11328610.0,260
2017-01-17,41.15,42.8,45.25,40.23,40.42,73670.12,2991333.9,187
2017-01-18,40.42,40.42,43.89,40.02,43.33,535535.41,22623476.35,445
2017-01-19,43.33,43.33,45.05,43.13,44.38,91829.12,4034532.8,238
2017-01-20,44.38,44.48,45.02,43.15,43.83,65748.82,2882049.95,191
2017-01-23,43.83,43.9,46.22,43.38,44.77,612199.28,27891248.5,474
2017-01-24,44.77,44.79,46.02,43.72,44.5,53939.26,2422235.25,181
2017-01-25,44.5,44.15,46.22,44.15,45.93,578513.09,26216319.45,276
2017-01-27,45.93,46.8,49.68,45.55,48.21,577220.45,27335035.1,713
2017-01-30,48.21,48.16,49.7,47.99,48.42,252928.2,12356578.05,406
2017-01-31,48.42,49.48,50.28,45.82,47.25,229676.2,11075141.35,365
2017-02-01,47.25,48.35,48.74,44.89,48.46,276609.36,13078549.05,527
2017-02-02,48.46,48.68,49.12,46.42,48.35,331665.47,16024946.95,305
2017-02-03,48.35,49.72,49.72,46.8,48.74,197520.5,9513441.6,372
2017-02-06,48.74,49.69,51.23,49.59,50.38,87253.17,4386769.8,380
2017-02-07,50.38,51.06,54.54,51.06,53.34,114615.77,5978136.2,449
2017-02-08,53.34,55.47,58.74,52.49,56.77,890277.08,50537963.95,931
2017-02-09,56.77,56.6,56.98,54.55,54.95,19839.43,1101198.0,250
2017-02-10,54.95,55.12,55.51,54.15,54.63,25480.51,1391625.75,144
2017-02-13,54.63,54.93,55.88,54.18,54.87,1183892.41,64908535.65,236
2017-02-14,54.87,55.11,59.94,54.54,56.74,1061494.95,61760862.6,709
2017-02-15,56.74,57.06,58.87,55.51,57.23,112666.47,6406961.65,571
2017-02-16,286.14,57.49,59.04,56.14,57.73,333672.68,19279375.15,862
2017-02-17,57.73,57.73,57.73,55.6,56.04,31162.96,1777179.0,202
2017-02-20,56.04,56.09,56.09,50.33,54.44,199264.01,10732243.2,820
2017-02-21,54.44,53.38,57.54,50.86,57.1,356974.32,19813896.9,752
2017-02-22,57.1,55.12,60.24,54.25,57.39,81434.23,4736816.2,941
2017-02-23,57.39,58.99,58.99,54.2,55.8,14552.02,826308.15,169
2017-02-27,55.8,55.65,58.99,54.59,55.8,1667120.39,96031671.5,980
2017-02-28,55.8,57.01,59.47,52.41,53.04,120151.37,6493332.5,627
2017-03-01,53.04,53.04,53.23,46.71,49.32,505166.66,24972848.2,648
2017-03-02,49.32,50.28,50.82,47.38,48.11,680846.72,33056410.75,428
2017-03-03,48.11,49.22,49.27,44.97,45.64,173242.66,8149762.3,379
2017-03-06,45.64,47.29,47.29,43.76,44.24,71991.75,3243348.55,344
2017-03-07,44.24,43.81,45.45,42.55,44.92,776848.47,34886505.85,234
2017-03-08,44.92,45.93,45.93,42.55,44.24,636302.36,28466905.55,267
2017-03-09,44.24,44.19,49.32,42.65,43.52,2322400.76,106329537.0,939
2017-03-10,43.52,43.52,51.01,42.89,49.17,3713568.45,176158524.8,8644
2017-03-14,49.17,50.19,50.24,42.07,42.98,2659270.91,121696303.45,3828
2017-03-15,42.98,42.36,43.95,41.1,41.68,182450.39,7728917.4,1174
2017-03-16,41.68,42.45,42.55,39.89,41.68,275668.32,11479129.6,1518
2017-03-17,41.68,41.82,42.16,39.65,39.94,438581.24,17954643.35,1051
2017-03-20,39.94,39.7,41.39,38.87,39.89,32859.93,1313987.7,370
2017-03-21,39.89,40.47,40.86,38.49,39.16,273965.14,10919593.65,508
2017-03-22,39.16,38.68,39.41,38.54,38.68,107896.11,4176079.3,179
2017-03-23,38.68,39.12,39.16,35.88,36.26,347692.13,12783016.0,578
2017-03-24,36.26,36.26,37.28,33.12,34.81,963361.89,33939182.05,1825
2017-03-27,34.81,38.1,40.42,36.75,37.23,1679804.8,64768580.9,4382
2017-03-28,37.23,39.36,39.36,36.6,36.75,177575.59,6628415.0,866
2017-03-29,36.75,36.94,38.2,33.85,35.1,498408.74,17320806.05,1476
2017-03-30,35.1,36.55,36.55,34.81,34.86,126865.85,4458150.35,341
2017-03-31,34.86,35.68,35.78,31.72,35.44,136651.65,4744329.7,641
2017-04-03,35.44,36.84,41.53,36.26,39.74,261486.51,9820096.25,748
2017-04-05,39.74,39.74,41.1,38.2,38.2,273524.61,10597596.9,917
2017-04-06,38.2,38.29,38.49,36.55,36.75,109763.72,4048714.2,433
2017-04-07,36.75,36.65,37.81,35.97,36.26,90751.57,3311358.6,387
2017-04-10,36.26,37.04,37.04,35.92,36.65,211375.53,7701012.1,472
2017-04-11,36.65,37.62,37.71,36.02,36.26,148216.12,5416428.7,439
