Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,291.71,296.05,303.23,291.51,301.59,373105.19,111218377.65,3850
2017-01-03,301.59,302.58,305.98,296.3,299.54,301561.72,90428169.35,4401
2017-01-04,299.54,302.09,305.23,298.25,302.53,399801.54,120614695.6,5286
2017-01-05,302.53,304.23,314.11,303.23,312.21,691266.79,215628742.5,10327
2017-01-06,312.21,314.16,316.95,310.56,312.71,168937.16,52942799.3,3647
2017-01-09,312.71,311.21,332.06,311.16,328.77,1019212.06,331006536.65,16219
2017-01-10,328.77,327.37,340.79,327.37,338.19,955979.55,319141012.65,15987
2017-01-11,338.19,340.14,341.09,326.77,334.6,418752.34,140034432.3,7683
2017-01-12,334.6,334.6,339.14,320.79,326.82,262953.33,86758319.65,5958
2017-01-13,326.82,329.17,332.11,324.18,328.27,237679.57,77868442.9,4387
2017-01-16,328.27,329.07,329.17,323.18,324.33,91582.02,29930838.4,2113
2017-01-17,324.33,327.57,330.86,322.09,324.23,443637.12,145701641.1,4653
2017-01-18,324.23,328.12,332.06,323.68,329.37,249343.99,81794769.2,5906
2017-01-19,329.37,330.76,334.15,327.17,329.57,243388.97,80312661.05,6713
2017-01-20,329.57,331.01,331.16,318.69,323.58,291616.63,95136831.05,5034
2017-01-23,323.58,323.68,326.18,315.7,318.84,364115.52,117057507.7,4402
2017-01-24,318.84,316.75,328.67,314.21,326.82,273223.23,88969050.75,9698
2017-01-25,326.82,327.17,346.52,325.18,333.76,906290.21,302862923.95,19743
2017-01-27,333.76,335.1,337.15,327.17,331.51,146050.43,48368165.2,3221
2017-01-30,331.51,331.66,339.04,316.8,320.44,257150.69,84262388.4,3925
2017-01-31,320.44,322.19,328.17,306.08,312.81,246314.35,78724809.9,3685
2017-02-01,312.81,312.81,329.12,309.32,325.78,510280.23,165061924.4,17006
2017-02-02,325.78,325.18,332.96,317.4,329.22,568697.6,184836349.6,3820
2017-02-03,329.22,331.16,341.14,331.16,336.8,510484.75,172878034.05,9621
2017-02-06,336.8,337.15,339.14,330.21,332.41,89222.07,29887732.8,2718
2017-02-07,332.41,332.96,340.74,330.31,335.75,242679.18,81820998.6,8326
2017-02-08,335.75,332.46,341.34,332.46,339.94,218270.61,73791761.0,7307
2017-02-09,339.94,343.13,345.13,337.15,340.44,268858.22,91505501.35,9610
2017-02-10,340.44,343.13,350.01,338.34,348.47,326876.58,113406405.05,5547
2017-02-13,348.47,351.91,355.6,346.52,352.56,346750.71,122176007.45,6285
2017-02-14,352.56,355.0,355.0,347.62,349.57,65202.48,22841689.25,2258
2017-02-15,349.57,349.47,357.5,339.34,342.38,197096.19,68644125.3,5619
2017-02-16,342.38,344.13,346.62,339.74,343.58,88268.67,30296057.5,2727
2017-02-17,343.58,349.12,349.12,339.19,340.59,110676.19,38083848.9,6956
2017-02-20,340.59,342.04,342.04,331.21,332.51,124313.59,41757879.85,2785
2017-02-21,332.51,334.5,341.69,332.21,333.26,108899.71,36685308.2,4478
2017-02-22,333.26,334.2,338.14,329.17,333.36,157160.45,52456353.9,3107
