Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-08-18,1.45,1.45,1.5,1.45,1.5,532,788.15,41
2020-08-19,1.5,1.55,1.55,1.55,1.55,2020,3131.0,5
2020-08-20,1.55,1.6,1.6,1.6,1.6,2451,3921.6,6
2020-08-21,1.6,1.65,1.65,1.65,1.65,6400,10560.0,6
2020-08-24,1.65,1.7,1.7,1.7,1.7,10509,17865.3,7
2020-08-25,1.7,1.75,1.75,1.75,1.75,904,1582.0,8
2020-08-26,1.75,1.8,1.8,1.8,1.8,340,612.0,3
2020-08-27,1.8,1.85,1.85,1.85,1.85,356,658.6,5
2020-08-28,1.85,1.9,1.9,1.9,1.9,3005,5709.5,4
2020-08-31,1.9,1.95,1.95,1.95,1.95,4500,8775.0,8
2020-09-01,1.95,2.0,2.0,2.0,2.0,364,728.0,3
2020-09-02,2.0,2.1,2.1,2.1,2.1,204,428.4,2
2020-09-03,2.1,2.2,2.2,2.2,2.2,4208,9257.6,5
2020-09-04,2.2,2.3,2.3,2.3,2.3,4859,11175.7,8
2020-09-07,2.3,2.4,2.4,2.4,2.4,400,960.0,1
2020-09-08,2.4,2.5,2.5,2.5,2.5,1650,4125.0,4
2020-09-09,2.5,2.6,2.6,2.6,2.6,3233,8405.8,4
2020-11-10,2.85,2.85,2.95,2.75,2.9,19975,56798.4,77
2020-11-11,2.9,2.85,2.9,2.8,2.9,4721,13282.8,11
2020-11-12,2.9,2.8,3.0,2.8,2.8,1808,5140.4,29
2020-11-13,2.8,2.9,2.9,2.7,2.85,4322,12013.15,49
2020-11-17,2.95,3.05,3.05,2.85,2.9,6301,18435.85,48
2020-11-18,2.9,2.8,3.0,2.8,2.8,2349,6695.05,24
2020-11-19,2.8,2.9,2.9,2.7,2.9,30107,84248.95,39
2020-11-20,2.9,3.0,3.0,2.8,2.95,8021,22722.05,54
2020-11-23,2.95,2.95,2.95,2.85,2.9,5985,17295.0,65
2020-11-24,2.9,3.0,3.0,2.8,2.9,11410,32699.3,32
2020-11-25,2.9,2.9,2.9,2.8,2.85,6371,17966.9,24
2020-11-26,2.85,2.8,2.95,2.75,2.85,9892,27724.3,29
2020-11-27,2.85,2.75,2.95,2.75,2.75,10415,28786.5,43
2020-12-01,2.75,2.85,2.85,2.65,2.65,7873,22160.55,21
2020-12-02,2.65,2.7,2.75,2.6,2.75,4216,11071.85,53
2020-12-03,2.75,2.85,2.85,2.65,2.85,7131,19952.0,32
2020-12-04,2.85,2.85,2.95,2.75,2.85,4080,11692.55,37
2020-12-07,2.85,2.95,3.1,2.9,3.1,23726,71418.2,455
2020-12-08,3.1,3.35,3.4,3.2,3.35,16656,55828.6,79
2020-12-09,3.35,3.65,3.65,3.15,3.3,10225,34484.45,85
2020-12-10,3.3,3.45,3.6,3.05,3.35,19597,65180.65,452
2020-12-11,3.35,3.45,3.45,3.05,3.2,14669,47243.55,64
2020-12-14,3.2,3.45,3.45,2.9,3.4,19466,64410.45,67
2020-12-15,3.4,3.45,3.45,3.15,3.35,9690,32143.6,97
2020-12-16,3.35,3.6,3.6,3.05,3.35,12234,40009.3,79
2020-12-17,3.35,3.5,3.5,3.15,3.35,2783,9440.4,79
2020-12-18,3.35,3.45,3.45,3.1,3.2,8815,28103.1,62
2020-12-21,3.2,3.45,3.5,3.05,3.15,37114,122890.75,147
2020-12-22,3.15,3.15,3.3,2.85,3.1,20812,62472.7,56
2020-12-23,3.1,3.2,3.4,2.95,3.4,45009,151851.1,201
2020-12-24,3.4,3.65,3.7,3.65,3.7,68915,254862.65,80
2020-12-28,3.7,3.95,4.05,3.95,4.05,33682,136043.55,74
2020-12-29,4.05,4.25,4.25,4.1,4.25,93195,395430.85,307
2020-12-30,4.25,4.45,4.45,4.05,4.4,129059,552983.8,202
2020-12-31,4.4,4.6,4.6,4.2,4.2,143192,628285.5,705
2021-01-01,4.2,4.2,4.3,4.0,4.15,99276,408051.85,246
2021-01-04,4.15,4.15,4.25,4.0,4.15,105445,439089.35,278
2021-01-05,4.15,4.2,4.25,4.05,4.1,66997,277045.25,129
2021-01-06,4.1,4.2,4.2,3.9,3.95,76466,303764.75,146
2021-01-07,3.95,3.95,4.1,3.85,3.95,58404,236102.6,141
2021-01-08,3.95,4.1,4.1,3.85,4.0,66758,268385.65,121
2024-04-23,4.55,4.45,4.6,4.35,4.5,19248,85968.85,69
2024-04-24,4.5,4.7,4.7,4.45,4.7,10546,49074.35,64
2024-04-25,4.7,4.8,4.9,4.8,4.9,10135,49575.6,39
2024-04-26,4.9,5.0,5.1,4.9,5.1,9781,49825.8,18
2024-04-29,5.1,5.35,5.35,5.35,5.35,5279,28242.65,30
2024-04-30,5.35,5.6,5.6,5.6,5.6,18005,100828.0,53
2024-05-02,5.6,5.85,5.85,5.85,5.85,13172,77056.2,35
2024-05-03,5.85,6.1,6.1,5.55,6.05,120278,723734.6,773
2024-05-06,6.05,6.3,6.35,5.85,6.2,93710,576887.5,348
2024-05-07,6.2,6.35,6.4,5.9,5.9,56776,343861.45,233
2024-05-08,5.9,6.0,6.05,5.6,5.6,59334,341229.6,684
2024-05-09,5.6,5.65,5.85,5.55,5.85,31635,182873.6,2138
2024-05-10,5.85,6.0,6.1,5.9,6.1,51520,313656.55,137
