Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-10-28,203.0,200.0,200.0,160.51,161.95,7640370,1329059303.24,97082
2024-10-29,161.95,161.0,169.9,155.0,157.25,2052812,331725316.06,45277
2024-10-30,157.25,158.99,164.0,158.6,161.35,672612,108669992.2,11177
2024-10-31,161.35,163.7,165.29,160.21,160.79,328820,53389466.86,7555
2024-11-01,160.79,161.7,162.39,160.1,160.97,124267,20052076.27,2589
2024-11-04,160.97,162.95,162.95,152.7,154.25,553939,85808710.76,15482
2024-11-05,154.25,155.99,156.35,153.0,154.32,372935,57535102.15,9647
2024-11-06,154.32,155.8,162.3,154.55,159.01,631348,100303762.07,14867
2024-11-07,159.01,160.0,165.22,157.95,158.74,513600,82784122.74,15472
2024-11-08,158.74,158.99,159.4,154.64,155.7,211588,33045105.53,5272
2024-11-11,155.7,155.39,156.94,152.9,153.7,165684,25526472.52,3557
2024-11-12,153.7,154.85,155.53,150.0,150.64,216642,32864304.17,5273
2024-11-13,150.64,150.05,150.51,144.8,146.08,213234,31268310.42,5279
2024-11-14,146.08,146.35,149.75,144.58,148.14,156802,23057414.82,4411
2024-11-18,148.14,148.15,149.99,143.5,144.28,144267,20943959.66,5102
2024-11-19,144.28,144.15,147.47,143.0,144.27,168123,24439038.13,4120
2024-11-21,144.27,143.51,143.51,139.1,141.46,188757,26605102.75,5160
2024-11-22,141.46,142.0,155.44,140.93,150.42,314729,46758684.12,8198
2024-11-25,150.42,154.99,158.25,151.61,155.77,1367300,211131037.85,11643
2024-11-26,155.77,155.02,157.59,153.5,155.92,331290,51614911.47,5466
2024-11-27,155.92,157.95,164.8,155.61,157.24,295832,46852477.96,7141
2024-11-28,157.24,157.48,162.19,156.45,160.09,361634,57785969.1,8749
2024-11-29,160.09,160.2,174.0,160.09,171.02,1520269,257772505.07,29210
2024-12-02,171.02,170.75,179.94,168.05,169.79,1118297,195269319.77,27255
2024-12-03,169.79,170.0,175.0,169.17,169.78,398880,68319480.74,9187
2024-12-04,169.78,170.7,179.8,170.11,173.18,631556,110044306.83,15093
2024-12-05,173.18,175.99,178.7,172.25,174.9,356492,62448372.89,10125
2024-12-06,174.9,184.45,198.5,183.0,193.84,5895921,1138030021.84,76138
2024-12-09,193.84,194.85,196.4,185.16,186.91,763296,145577345.85,15853
2024-12-10,186.91,186.9,188.2,178.0,180.06,572350,103994446.52,11955
2024-12-11,180.06,179.55,189.0,179.01,183.85,508225,93930262.67,10806
2024-12-12,183.85,185.7,204.9,183.63,191.67,3986839,786655621.0,60708
2024-12-13,191.67,190.0,206.0,189.04,198.79,3228813,645952646.18,55260
2024-12-16,198.79,200.01,210.0,196.1,198.18,1801919,366858762.24,32309
2024-12-17,198.18,198.0,199.0,192.0,192.49,643076,125318640.18,12926
2024-12-18,192.49,192.15,197.79,191.0,196.25,658498,128121752.44,13889
2024-12-19,196.25,191.35,195.85,190.31,191.81,559710,107679026.31,10102
2024-12-20,191.81,193.5,204.95,187.0,189.6,1428147,280682461.91,24700
2024-12-23,189.6,193.14,194.04,185.0,186.31,492116,93130886.06,10240
2024-12-24,186.31,185.6,193.18,181.55,182.53,490298,91486926.94,10427
2024-12-26,182.53,183.06,207.0,182.8,204.3,2150379,427823483.98,35804
2024-12-27,204.3,207.0,214.0,198.5,201.87,2405000,494947770.27,44561
2024-12-30,201.87,201.99,203.0,189.0,190.26,711530,138847025.3,17620
2024-12-31,190.26,190.3,194.9,190.0,192.82,453129,87284790.78,11585
2025-01-01,192.82,193.0,195.55,191.49,193.71,262328,50811040.52,6470
2025-01-02,193.71,194.38,199.9,192.15,194.19,380346,74444549.12,9811
2025-01-03,194.19,195.8,196.4,189.01,189.94,349542,67066803.23,10706
2025-01-06,189.94,195.2,199.7,184.72,187.07,775247,149509986.52,19295
2025-01-07,187.07,190.5,195.1,187.93,193.93,250408,48012655.96,7728
2025-01-08,193.93,195.1,196.0,188.27,190.28,218723,41745203.04,6185
2025-01-09,190.28,190.7,190.7,182.25,183.14,198665,36865176.1,6171
2025-01-10,183.14,183.17,183.25,172.42,178.86,338861,60274921.73,10893
2025-01-13,178.86,175.0,177.81,165.0,166.83,323521,55144749.17,12669
2025-01-14,166.83,170.18,172.19,166.39,168.89,228909,38659416.41,7167
2025-01-15,168.89,170.0,173.4,164.51,171.2,244706,41361488.62,7965
2025-01-16,171.2,172.0,176.29,170.1,171.93,140090,24321976.46,4921
2025-01-17,171.93,172.28,172.99,168.97,170.83,97795,16675679.35,3237
2025-01-20,170.83,171.0,174.0,171.0,173.25,96362,16649644.12,3311
2025-01-21,173.25,173.8,173.8,169.0,169.32,111537,19077492.75,4519
2025-01-22,169.32,168.1,168.4,163.17,165.25,1041110,172787672.26,5943
2025-01-23,165.25,165.0,183.0,165.0,178.84,615153,106361728.41,11841
2025-01-24,178.84,175.4,178.98,169.11,172.44,143995,24990399.9,6398
2025-01-27,172.44,170.8,170.8,160.68,164.78,219211,36069769.13,9276
2025-01-28,164.78,165.9,168.04,155.0,161.22,163825,26309146.1,8461
2025-01-29,161.22,163.68,170.42,160.18,167.44,100983,16937512.52,4170
2025-01-30,167.44,168.7,174.79,166.57,167.62,125486,21401184.28,5376
2025-01-31,167.62,168.0,175.75,168.0,173.52,143978,24817332.28,6267
2025-02-03,170.98,169.98,171.35,166.33,169.75,57427,9677670.89,2052
2025-02-04,169.75,171.45,174.16,169.11,169.98,79826,13692675.16,2234
2025-02-05,169.98,170.9,176.8,169.41,172.88,111057,19298252.98,3370
2025-02-06,172.88,173.9,178.47,168.0,169.77,162342,28131996.67,4282
2025-02-07,169.77,171.0,172.38,167.51,168.98,103507,17523619.1,2469
2025-02-10,168.98,168.89,169.58,160.25,161.65,65520,10701611.57,3150
2025-02-11,161.65,161.66,163.07,153.0,154.58,76980,12040690.77,3725
2025-02-12,154.58,159.5,159.5,145.35,155.16,166613,25086747.65,7051
2025-02-13,155.16,158.0,159.0,147.1,149.1,102191,15660322.0,3448
2025-02-14,149.1,149.85,151.75,141.0,142.67,102864,14873868.85,3404
2025-02-17,142.67,145.0,158.39,144.99,156.3,444746,68697020.02,10502
2025-02-18,156.3,156.01,156.01,147.87,149.6,102363,15426825.9,3787
2025-02-19,149.6,150.34,153.25,148.51,152.4,86012,13068702.57,2527
2025-02-20,152.4,153.48,161.0,150.95,158.51,101276,15757132.36,2561
2025-02-21,158.51,159.93,162.78,156.16,157.13,68981,10986940.45,2785
2025-02-24,157.13,154.75,155.78,149.41,150.47,53518,8174805.42,2157
2025-02-25,150.47,148.63,153.79,147.0,147.81,38284,5737738.63,1875
2025-02-27,147.81,150.0,156.0,137.37,145.84,106864,15580116.36,1983
2025-02-28,145.84,145.84,149.8,141.31,144.05,92898,13551833.63,2117
2025-03-03,144.05,146.85,149.25,133.39,137.05,173894,23996232.71,4888
2025-03-04,137.05,146.0,146.0,136.15,137.82,162780,22870606.61,3808
2025-03-05,137.82,137.78,143.45,137.78,142.82,110556,15658235.45,2472
2025-03-06,142.82,144.48,147.0,141.52,145.41,105801,15337970.92,2902
2025-03-07,145.41,145.39,147.69,142.12,146.18,89156,13029687.13,2015
2025-03-10,146.18,148.35,148.35,140.05,141.03,80142,11451588.59,1632
2025-03-11,141.03,140.05,141.45,136.23,136.83,123771,17116154.99,2158
2025-03-12,136.83,137.55,141.65,136.71,139.41,92696,12889339.73,2218
2025-03-13,139.41,140.0,140.0,135.9,136.54,64302,8866079.82,1406
2025-03-17,136.54,137.64,137.77,133.05,133.76,67886,9163542.8,1943
2025-03-18,133.76,134.6,136.0,131.31,132.55,136657,18190706.54,3052
2025-03-19,132.55,133.51,139.8,132.8,138.37,125237,17234272.93,2714
2025-03-20,138.37,140.0,142.01,136.71,137.28,105134,14555739.29,4106
2025-03-21,137.28,135.9,145.43,135.9,143.04,210495,29901641.73,5577
2025-03-24,143.04,143.1,149.53,143.1,143.7,233178,33808936.61,3956
2025-03-25,143.7,144.7,145.69,137.55,138.39,207312,29086775.89,4339
2025-03-26,138.39,138.01,150.42,136.05,148.75,887864,130143248.64,13680
2025-03-27,148.75,147.51,153.9,147.5,148.29,389804,58454117.31,8209
2025-03-28,148.29,149.01,153.0,142.0,143.07,289433,42330863.59,6053
2025-04-01,143.07,142.0,144.95,141.1,141.4,94722,13518358.14,2851
2025-04-02,141.4,141.5,152.5,140.9,148.6,135977,19983136.32,3546
2025-04-03,148.6,146.35,149.23,145.08,146.15,59168,8693385.19,2565
2025-04-04,146.15,147.1,148.79,140.0,140.84,136997,19643548.37,3517
2025-04-07,140.84,131.0,137.95,129.05,135.03,121366,16375400.62,3985
2025-04-08,135.03,137.7,141.8,135.95,141.14,75254,10475225.41,2557
2025-04-09,141.14,139.25,140.93,136.6,139.55,40415,5600712.72,1644
2025-04-11,139.55,143.9,143.9,140.71,141.94,46476,6610146.64,1480
2025-04-15,141.94,142.81,144.78,142.17,143.62,81281,11672499.75,2535
2025-04-16,143.62,143.6,145.8,143.55,144.71,46469,6728278.03,1555
2025-04-17,144.71,144.71,146.69,140.61,142.05,103694,14877487.76,2353
2025-04-21,142.05,143.9,154.9,143.89,149.16,347927,52436404.44,8452
2025-04-22,149.16,149.89,152.0,147.0,148.38,125695,18803066.53,3900
2025-04-23,148.38,149.0,150.9,146.05,146.62,69260,10201807.14,2143
2025-04-24,146.62,148.0,148.5,144.35,144.72,78489,11450096.71,1993
2025-04-25,144.72,145.0,147.6,139.26,140.3,95375,13461079.96,3285
2025-04-28,140.3,140.25,141.09,137.71,138.99,79827,11103977.46,2251
2025-04-29,138.99,138.1,141.64,138.05,139.16,36928,5160744.99,1515
2025-04-30,139.16,139.9,139.9,136.0,137.5,40450,5570781.02,1673
2025-05-02,137.5,135.6,138.45,135.6,137.5,46484,6375444.42,1894
2025-05-05,137.5,136.25,141.0,135.56,139.84,51383,7124112.69,1686
2025-05-06,139.84,141.59,141.59,134.2,135.09,48221,6572672.84,1570
2025-05-07,135.09,132.77,137.95,132.77,134.85,51315,6929343.57,2020
2025-05-08,134.85,136.5,138.45,133.06,133.82,42193,5729684.04,1562
2025-05-09,133.82,132.0,132.86,128.5,130.23,80233,10448811.08,2754
2025-05-12,130.23,133.06,140.8,133.06,139.24,95241,13145783.8,2184
2025-05-13,139.24,139.0,140.95,137.06,139.41,51990,7234472.54,1514
2025-05-14,139.41,142.78,142.78,139.62,140.25,42772,6021618.62,1390
2025-05-15,140.25,140.95,146.0,140.95,143.03,80214,11533505.56,2197
2025-05-16,143.03,142.09,144.94,141.15,142.8,72491,10344974.24,1840
2025-05-19,142.8,142.8,147.0,142.8,143.73,80266,11628164.31,2496
2025-05-20,143.73,145.78,145.78,140.5,140.97,41731,5932998.72,1524
2025-05-21,140.97,141.0,144.25,139.41,142.6,61970,8775736.89,1409
2025-05-22,142.6,142.6,144.9,141.08,143.17,47576,6823663.36,1269
2025-05-23,143.17,143.0,144.9,141.75,143.26,66255,9526588.81,1251
2025-05-26,143.26,143.2,145.45,142.55,143.18,57061,8223483.53,1401
2025-05-27,143.18,143.5,148.95,142.7,147.75,113933,16718687.02,2672
2025-05-28,147.75,148.07,152.52,147.51,151.18,123209,18554580.33,3268
2025-05-29,151.18,154.0,154.0,148.85,152.22,92842,14036752.56,2724
2025-05-30,152.22,150.2,158.2,149.49,156.27,144936,22333421.45,2993
2025-06-02,156.27,140.0,149.4,135.1,146.61,734099,104896218.57,6860
2025-06-03,146.61,150.8,159.5,149.05,150.72,469684,71538722.74,8949
2025-06-04,150.72,151.8,152.98,150.6,151.42,111776,16929744.57,1338
2025-06-05,151.42,152.9,152.9,147.35,148.91,74269,11107514.17,1693
2025-06-06,148.91,152.4,152.4,143.81,148.5,124128,18389828.19,2495
2025-06-09,148.5,150.0,151.72,147.55,148.8,79901,11956207.3,1916
2025-06-10,148.8,148.1,151.9,147.4,147.83,75385,11228553.13,1930
2025-06-11,147.83,148.56,151.9,147.55,148.09,145859,21769452.75,2418
2025-06-12,148.09,149.7,149.7,143.15,144.34,80974,11845323.41,1730
2025-06-13,144.34,142.5,143.79,141.55,142.22,83774,11941778.2,1890
2025-06-16,142.22,141.35,143.87,139.48,140.53,76221,10704183.61,1795
2025-06-17,140.53,142.94,142.94,139.55,140.15,56193,7924090.89,1191
2025-06-18,140.15,140.15,140.45,137.5,138.45,68741,9535537.84,1738
2025-06-19,138.45,138.45,141.09,135.9,139.07,89682,12402483.92,1585
2025-06-20,139.07,138.98,140.79,137.81,138.65,284883,39481056.99,1302
2025-06-23,138.65,138.49,139.45,136.88,138.04,53606,7408282.95,1145
2025-06-24,138.04,138.97,140.75,138.5,139.55,279647,38797172.2,1095
2025-06-25,139.55,140.55,143.76,139.95,142.39,63860,9093576.63,1353
2025-06-26,142.39,143.5,151.7,141.51,146.25,637365,94333282.03,10199
2025-06-27,146.25,149.7,150.9,145.11,146.17,237534,35061977.47,4175
2025-06-30,146.17,145.55,147.7,143.1,143.56,48598,7022560.11,1378
2025-07-01,143.56,142.96,145.45,142.12,142.67,62933,9029457.56,1596
2025-07-02,142.67,142.67,143.5,140.8,141.3,46140,6541944.52,1283
2025-07-03,141.3,141.05,142.45,140.55,141.27,42759,6041736.92,897
2025-07-04,141.27,141.3,142.51,139.5,139.69,80068,11232835.27,1312
2025-07-07,139.69,139.05,140.81,139.05,139.77,41327,5785489.06,1071
2025-07-08,139.77,140.5,140.51,138.6,139.44,46201,6442746.47,941
2025-07-09,139.44,139.97,141.78,138.51,139.51,313677,43790370.37,1519
2025-07-10,139.51,140.09,141.43,138.99,139.4,55167,7722028.83,1140
2025-07-11,139.4,139.4,140.2,138.1,138.7,46261,6435569.7,1102
2025-07-14,138.7,139.8,139.8,137.75,139.08,36397,5042326.65,903
2025-07-15,139.08,139.05,141.4,139.05,140.57,48680,6841752.71,907
2025-07-16,140.57,140.02,140.32,138.75,139.8,50465,7040191.1,965
2025-07-17,139.8,140.5,141.45,139.25,139.66,45416,6364557.24,992
2025-07-18,139.66,139.62,140.14,138.5,138.74,45861,6377870.02,881
2025-07-21,138.74,139.1,139.95,138.06,138.17,34369,4760845.34,746
2025-07-22,138.17,138.25,139.47,137.62,137.81,39124,5418511.73,833
2025-07-23,137.81,138.0,140.42,137.4,139.37,45277,6279894.38,1049
2025-07-24,139.37,139.02,139.85,137.8,138.04,30016,4160422.07,799
2025-07-25,138.04,137.61,140.75,136.72,139.18,46629,6467317.4,1041
2025-07-28,139.18,139.18,139.95,136.0,137.02,44447,6107532.55,1204
2025-07-29,137.02,135.45,139.95,135.13,137.83,36235,4965591.0,973
2025-07-30,137.83,138.9,140.83,137.41,139.24,38863,5403267.19,961
2025-07-31,139.24,138.1,139.49,136.0,138.54,34707,4790054.5,770
2025-08-01,138.54,138.54,140.2,134.21,135.19,36900,5061814.86,1345
2025-08-04,135.19,136.1,138.5,135.19,137.74,19842,2709886.49,841
2025-08-05,137.74,138.0,138.07,135.14,136.32,29720,4059002.75,1362
2025-08-06,136.32,136.01,136.99,134.02,134.43,25539,3447125.17,1078
2025-08-07,134.43,134.9,135.48,132.21,133.55,31203,4168750.54,1040
2025-08-08,133.55,133.55,134.9,132.43,132.81,21437,2867504.55,968
2025-08-11,132.81,133.89,133.89,130.5,130.98,21566,2840421.93,1069
2025-08-12,130.98,131.1,136.07,131.1,132.66,50513,6724239.52,1883
2025-08-13,132.66,133.9,135.0,131.0,131.96,34350,4564252.17,1092
2025-08-14,131.96,132.8,134.01,131.2,132.5,50857,6739762.07,692
2025-08-18,132.5,133.2,133.34,130.43,131.03,48832,6453019.8,995
2025-08-19,131.03,131.69,132.9,130.99,131.42,37061,4874082.5,915
2025-08-20,131.42,131.2,136.8,131.2,134.65,51731,6953801.61,1365
2025-08-21,134.65,135.7,135.7,133.1,133.75,33005,4440080.56,883
2025-08-22,133.75,133.25,134.78,131.2,131.93,23309,3085141.27,745
2025-08-25,131.93,131.95,134.9,131.95,132.66,37148,4954710.62,932
2025-08-26,132.66,132.1,132.42,130.12,131.17,26384,3461684.63,1104
2025-08-28,131.17,130.0,132.6,129.5,131.35,32201,4201710.39,1106
2025-08-29,131.35,131.35,131.98,129.66,130.54,20801,2720875.78,746
2025-09-01,130.54,130.0,131.85,130.0,130.41,31433,4099140.74,699
2025-09-02,130.41,131.94,133.62,130.16,131.65,38853,5113923.02,1226
2025-09-03,131.65,132.98,133.0,131.92,132.58,15357,2035106.89,503
2025-09-04,132.58,132.6,136.8,132.21,136.14,87897,11868689.67,1380
2025-09-05,136.14,136.14,141.45,135.0,140.15,132457,18444087.91,2114
2025-09-08,140.15,142.45,146.8,140.01,145.89,148979,21548937.49,1926
2025-09-09,145.89,147.94,153.44,143.77,150.22,217269,32643056.41,2975
2025-09-10,150.22,151.4,152.01,148.1,148.74,101531,15246759.58,1123
2025-09-11,148.74,148.01,151.03,146.19,147.24,45023,6663530.47,936
2025-09-12,147.24,149.7,149.7,143.51,144.58,94586,13863052.6,1086
2025-09-15,144.58,144.58,144.97,142.0,142.34,41786,5970549.34,929
2025-09-16,142.34,142.24,144.14,140.6,141.19,32900,4677493.48,940
2025-09-17,141.19,143.3,144.08,141.0,141.68,51839,7390809.89,983
2025-09-18,141.68,143.1,170.01,141.7,164.4,6021801,995988364.92,40179
2025-09-19,164.4,165.69,168.85,161.04,166.98,824749,136206403.13,13076
2025-09-22,166.98,166.0,180.7,164.79,173.25,1040126,180792671.76,16837
2025-09-23,173.25,175.0,183.6,174.16,178.35,743603,133975899.41,10217
2025-09-24,178.35,177.8,184.85,175.11,179.23,742257,133619504.87,4912
2025-09-25,179.23,179.9,180.59,174.1,175.26,155146,27538756.65,3173
2025-09-26,175.26,172.6,175.25,164.8,166.78,97705,16533552.98,2366
2025-09-29,166.78,172.0,185.6,167.09,170.09,383824,67565354.7,5653
2025-09-30,170.09,170.5,177.11,170.5,171.95,103451,17949223.99,1986
2025-10-01,171.95,173.1,173.1,167.12,168.82,176863,29984015.3,1716
2025-10-03,168.82,169.64,172.0,167.5,169.44,132572,22492979.3,1525
2025-10-06,169.44,170.6,178.2,164.0,173.49,314021,54658787.46,5735
2025-10-07,173.49,174.25,174.9,170.19,172.37,118986,20540507.22,2341
2025-10-08,172.37,173.4,173.41,168.0,170.4,100118,17037648.04,1656
2025-10-09,170.4,170.4,170.97,166.5,168.75,119623,20173729.13,1758
2025-10-10,168.75,168.95,173.78,165.3,166.75,146316,24573628.63,1422
2025-10-13,166.75,164.2,168.9,162.91,167.29,76350,12703273.49,1191
2025-10-14,167.29,166.0,170.39,165.66,167.51,140588,23563914.31,1452
2025-10-15,167.51,167.51,172.7,165.25,166.28,69660,11664159.16,840
2025-10-16,166.28,167.03,167.03,154.8,159.06,291180,46688988.68,3920
2025-10-17,159.06,159.8,163.5,149.2,150.25,213021,32600815.7,2919
2025-10-20,150.25,159.95,159.95,149.23,152.26,94300,14376659.63,2018
2025-10-21,152.26,155.0,158.4,154.1,157.17,30240,4727222.58,581
2025-10-23,157.17,157.17,157.17,153.5,155.37,70811,10999514.35,1518
2025-10-24,155.37,155.37,159.03,153.2,156.17,68795,10747393.85,1492
2025-10-27,156.17,157.75,157.93,153.33,154.12,38732,5983144.12,890
2025-10-28,154.12,155.0,158.2,154.0,154.91,37705,5862649.2,939
2025-10-29,154.91,153.35,156.49,151.51,152.48,64989,9940338.34,1354
2025-10-30,152.48,153.95,155.08,152.1,153.4,31777,4881999.99,882
2025-10-31,153.4,153.5,153.5,148.5,149.07,71574,10756205.44,1602
2025-11-03,149.07,149.81,150.79,146.35,147.13,54062,8039369.46,1011
2025-11-04,147.13,150.0,151.0,146.02,147.88,42450,6274243.77,1108
2025-11-06,147.88,148.5,149.29,144.0,145.82,67992,9884144.95,1703
2025-11-07,145.82,142.55,145.55,141.0,143.32,74727,10706032.91,1373
2025-11-10,143.32,143.2,146.93,141.0,142.42,40799,5801660.26,1302
2025-11-11,142.42,141.0,142.9,140.0,141.01,34433,4855089.0,1088
2025-11-12,141.01,143.25,143.25,139.7,140.4,53790,7581259.98,1537
2025-11-13,140.4,140.95,142.65,134.81,136.94,120126,16571221.31,2435
2025-11-14,136.94,137.01,140.0,135.16,138.63,75192,10342848.66,1880
2025-11-17,138.63,133.5,139.35,133.0,136.07,122266,16448992.6,2250
2025-11-18,136.07,134.56,140.67,133.42,137.58,104732,14419498.03,3010
2025-11-19,137.58,138.9,141.98,135.0,135.31,57373,7810238.44,1444
2025-11-20,135.31,135.9,137.99,135.0,137.01,90275,12329172.86,1858
2025-11-21,137.01,137.0,138.8,135.0,136.94,60082,8202274.63,1179
2025-11-24,136.94,136.2,137.79,133.9,134.4,31404,4256895.06,807
2025-11-25,134.4,134.64,136.68,132.0,134.23,34637,4618620.52,1086
2025-11-26,134.23,137.69,137.69,134.6,135.44,17711,2394058.28,503
2025-11-27,135.44,136.95,136.95,133.0,134.15,26726,3596080.38,891
2025-11-28,134.15,135.4,135.4,132.8,132.99,14151,1885332.51,541
2025-12-01,132.99,134.4,135.99,130.42,132.49,40511,5391336.23,1485
2025-12-02,132.49,134.8,134.8,130.6,130.85,18038,2368463.95,670
2025-12-03,130.85,132.0,132.0,124.12,126.89,60367,7673755.15,1637
2025-12-04,126.89,126.89,129.0,125.31,128.04,20355,2587535.64,660
2025-12-05,128.04,129.9,129.9,124.01,124.5,29434,3693176.76,1215
2025-12-08,124.5,123.25,124.01,117.21,119.1,84386,10161059.63,2742
2025-12-09,119.1,120.9,124.0,117.1,121.96,33223,3970877.7,1144
2025-12-10,121.96,121.9,124.37,120.41,122.09,19309,2366057.13,868
2025-12-11,122.09,122.39,122.39,120.0,120.44,26203,3155239.42,624
2025-12-12,120.44,120.44,124.0,118.31,119.2,30052,3603533.86,1073
2025-12-15,119.2,119.0,121.21,118.02,120.23,25888,3101234.42,1031
2025-12-16,120.23,120.0,122.6,118.91,119.61,17977,2161844.85,704
2025-12-17,119.61,121.54,121.54,117.0,117.19,23898,2825277.78,910
2025-12-18,117.19,116.02,117.54,116.0,116.07,23150,2699505.94,862
2025-12-19,116.07,116.34,118.08,115.91,116.98,29877,3489455.97,831
2025-12-22,116.98,118.5,122.18,118.1,120.98,39301,4730138.42,966
2025-12-23,120.98,120.0,122.99,120.0,121.61,27411,3335187.26,636
2025-12-24,121.61,122.0,122.95,119.0,120.57,29885,3612424.92,653
2025-12-26,120.57,120.57,120.66,119.0,119.64,17628,2106842.27,562
2025-12-29,119.64,119.02,120.49,116.5,116.91,25061,2956520.29,913
2025-12-30,116.91,121.85,121.85,114.71,115.34,74290,8671465.58,1467
2025-12-31,115.34,117.25,119.49,115.38,117.97,29408,3459913.91,1025
2026-01-01,117.97,119.43,119.43,115.92,117.12,18552,2168935.86,649
2026-01-02,117.12,118.39,118.89,115.5,118.32,19958,2349397.48,631
2026-01-05,118.32,118.32,119.51,116.61,117.41,19391,2279709.32,590
2026-01-06,117.41,118.08,118.30,116.10,116.33,27859,3266236.79,529
2026-01-07,116.33,117.30,117.30,114.31,115.68,28757,3324317.66,950
