Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-02-15,26.73,27.6,28.06,26.2,26.63,232210.0,6335762.45,466
2022-02-16,26.63,27.01,27.05,25.6,26.08,149490.0,3922454.15,325
2022-02-17,26.08,26.6,26.95,24.82,25.1,114590.0,2907996.35,277
2022-02-18,25.1,25.1,25.8,24.66,24.95,15680.0,394822.7,59
2022-02-21,24.95,24.51,24.91,23.71,23.71,22810.0,548713.4,78
2022-02-22,23.71,22.53,23.7,22.53,22.53,15655.0,354288.25,79
2022-02-23,22.53,22.4,22.9,21.41,22.69,65995.0,1446363.3,229
2022-02-24,22.69,21.56,21.56,21.56,21.56,410.0,8839.6,5
2022-02-25,21.56,21.56,22.63,20.5,21.92,27985.0,606821.1,51
2022-02-28,21.92,21.2,22.8,21.2,21.99,44015.0,965157.15,71
2022-03-02,21.99,21.24,22.78,20.9,21.91,36135.0,774824.25,106
2022-03-03,21.91,22.7,22.8,21.7,21.85,47050.0,1034767.75,96
2022-03-04,21.85,21.85,22.21,20.82,21.92,26065.0,560345.25,129
2022-03-07,21.92,21.1,22.0,21.0,22.0,6880.0,147624.0,28
2022-03-08,22.0,22.66,23.1,21.62,22.13,21720.0,480799.55,92
2022-03-09,22.13,22.64,23.23,21.79,22.41,52650.0,1185938.7,118
2022-03-10,22.41,23.2,23.53,22.42,23.53,37360.0,874878.8,122
2022-03-11,23.53,24.69,24.7,23.53,24.16,21435.0,515924.45,151
2022-03-14,24.16,24.19,25.34,24.19,24.95,25485.0,638790.25,98
2022-03-15,24.95,25.59,25.59,24.11,24.72,19670.0,487183.2,114
2022-03-16,24.72,24.6,25.95,24.02,24.91,18130.0,457391.95,124
2022-03-17,24.91,25.95,26.15,24.99,26.15,159440.0,4130642.8,193
2022-03-21,26.15,27.0,27.25,26.6,26.65,159090.0,4277411.55,146
2022-03-22,26.65,27.08,27.12,26.06,26.93,96945.0,2571444.65,273
2022-03-23,26.93,28.0,28.19,26.6,28.07,194885.0,5391493.5,676
