Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-10-01,51.79,52.98,52.98,49.51,51.28,634755,32158385.69,4862
2025-10-03,51.28,52.43,52.8,50.1,52.04,278559,14473093.62,3659
2025-10-06,52.04,52.04,52.04,50.62,50.95,331000,16929199.7,2698
2025-10-07,50.95,51.0,54.0,51.0,51.87,600199,31470533.63,4737
2025-10-08,51.87,51.95,53.53,49.41,50.73,370623,19244367.26,2738
2025-10-09,50.73,51.0,51.16,49.56,50.32,228305,11480763.77,2221
2025-10-10,50.32,50.54,50.8,49.8,50.3,136465,6879547.02,1217
2025-10-13,50.3,50.3,50.3,49.1,49.19,141142,7016288.73,1502
2025-10-14,49.19,49.79,49.79,46.49,48.04,390207,18694768.26,3485
2025-10-15,48.04,48.01,48.66,44.3,44.67,923285,42006947.44,6678
2025-10-16,44.67,44.89,46.4,42.91,43.37,1351422,59744439.43,6864
2025-10-17,43.37,43.37,44.2,42.52,42.73,353491,15308328.06,3871
2025-10-20,42.73,43.8,43.8,40.48,42.45,460982,19278684.27,4031
2025-10-21,42.45,42.8,46.0,42.66,45.24,256434,11467510.37,1510
2025-10-23,45.24,45.24,47.7,45.07,45.41,511084,23731935.07,5694
2025-10-24,45.41,45.0,46.14,43.5,45.03,575558,25661738.77,4758
2025-10-27,45.03,45.0,45.28,43.12,43.49,262652,11480924.69,3386
2025-10-28,43.49,43.5,44.95,42.03,42.92,363714,15809152.72,3248
2025-10-29,42.92,43.3,43.3,42.3,42.77,167745,7168756.63,2089
2025-10-30,42.77,42.66,43.4,42.6,43.08,100218,4307581.1,1213
2025-10-31,43.08,43.08,44.93,42.56,43.87,339930,14929727.2,2712
2025-11-03,43.87,43.88,45.0,43.64,44.7,185142,8247517.94,1426
2025-11-04,44.7,44.95,44.95,44.08,44.53,258480,11512222.19,990
2025-11-06,44.53,44.5,45.35,43.6,44.06,424057,18767145.61,2150
2025-11-07,44.06,43.6,44.75,43.0,44.49,273938,12002009.77,1447
2025-11-10,44.49,44.99,44.99,43.25,43.52,122233,5353120.45,1227
2025-11-11,43.52,43.74,44.24,43.1,43.71,106142,4621567.81,911
2025-11-12,43.71,43.99,44.0,43.41,43.52,79995,3487186.83,1093
2025-11-13,43.52,43.47,43.89,42.8,43.05,126445,5450527.77,737
2025-11-14,43.05,43.66,43.66,42.4,42.64,109705,4690733.07,823
2025-11-17,42.64,42.5,42.97,40.37,40.98,194688,8073326.61,1774
2025-11-18,40.98,41.04,41.68,40.75,41.07,116327,4795895.34,1280
2025-11-19,41.07,40.85,41.55,40.61,40.87,155542,6368737.23,1566
2025-11-20,40.87,40.41,43.49,40.41,42.3,167632,6965467.15,1468
2025-11-21,42.3,42.3,50.28,41.6,46.66,1190215,56317768.6,9010
2025-11-24,46.66,46.5,48.6,45.69,47.48,592861,28085131.51,3604
2025-11-25,47.48,46.9,47.0,45.81,46.77,126978,5894348.07,1237
2025-11-26,46.77,47.0,47.0,45.81,46.21,92111,4257960.17,845
2025-11-27,46.21,46.3,47.0,45.52,46.58,44611,2060193.46,543
2025-11-28,46.58,47.0,47.1,44.0,45.21,142905,6502734.63,1616
2025-12-01,45.21,45.0,45.28,43.25,43.51,70953,3130572.64,1105
2025-12-02,43.51,44.01,44.64,41.1,42.05,142577,6037586.68,1725
2025-12-03,42.05,42.5,43.65,42.2,42.81,89792,3835837.55,899
2025-12-04,42.81,43.5,43.5,42.05,42.34,38994,1657589.01,720
2025-12-05,42.34,42.34,42.34,40.99,41.54,47623,1984445.92,527
2025-12-08,41.54,42.37,47.0,41.72,42.3,768355,34407723.03,6118
2025-12-09,42.3,42.98,43.99,42.21,43.0,103722,4457586.79,1366
2025-12-10,43.0,43.43,43.7,42.2,42.88,60106,2582493.52,786
2025-12-11,42.88,43.44,45.24,42.55,44.17,188822,8357553.99,2522
2025-12-12,44.17,44.5,45.02,43.18,43.87,81836,3602604.21,1041
2025-12-15,43.87,43.96,43.96,42.7,42.96,110882,4801763.21,576
2025-12-16,42.96,43.0,44.0,42.7,43.54,60997,2638963.37,523
2025-12-17,43.54,43.99,43.99,40.11,42.13,250067,10482693.09,1473
2025-12-18,42.13,42.13,42.13,41.2,41.47,62081,2583114.31,677
2025-12-19,41.47,42.1,42.33,41.4,41.71,113795,4747831.88,804
2025-12-22,41.71,41.98,43.0,41.85,42.53,122412,5163587.68,889
2025-12-23,42.53,43.0,44.0,42.03,43.11,222346,9539671.49,1543
2025-12-24,43.11,43.11,43.11,41.66,41.86,279989,11752647.74,5563
2025-12-26,41.86,43.3,43.3,41.0,41.3,357525,14737616.41,4430
2025-12-29,41.3,41.13,41.66,39.35,39.63,691812,27894051.36,3814
2025-12-30,39.63,40.05,41.9,38.0,38.2,1190828,46991252.92,5640
2025-12-31,38.2,38.4,41.75,38.4,41.28,915349,37026583.21,3939
2026-01-01,41.28,41.33,42.25,40.6,41.0,681971,28165477.3,3564
2026-01-02,41.0,41.33,42.5,41.11,42.02,302195,12666262.77,3801
2026-01-05,42.02,42.48,43.14,41.2,42.22,371241,15731227.68,3189
2026-01-06,42.22,42.00,42.49,41.66,41.79,99900,4186785.78,786
2026-01-07,41.79,41.79,42.40,41.51,41.74,121610,5083424.19,876
