Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-06-28,428.0,550.0,652.0,550.0,609.9,24434056,14570741421.15,807155
2021-06-29,609.9,614.7,627.3,583.0,585.7,4039010,2455243942.55,121276
2021-06-30,585.7,588.0,593.4,572.2,575.1,1316941,762395586.85,53851
2021-07-01,575.1,575.25,587.5,574.6,578.65,549079,318280504.5,16573
2021-07-02,578.65,580.75,591.75,574.5,576.15,598686,348110255.4,19905
2021-07-05,576.15,580.0,586.0,575.35,579.5,430136,249627370.1,18012
2021-07-06,579.5,579.0,579.0,572.0,572.6,241285,138739039.2,9093
2021-07-07,572.6,568.05,584.4,568.05,579.1,296719,171434912.45,12348
2021-07-08,579.1,579.15,581.8,573.25,576.8,152555,88085721.6,7102
2021-07-09,576.8,578.1,595.5,573.65,586.45,505011,296116425.65,16245
2021-07-12,586.45,594.95,631.0,594.05,614.1,1261642,777402014.95,54611
2021-07-13,614.1,622.8,634.65,619.0,623.5,725614,454975272.2,26469
2021-07-14,623.5,625.8,629.3,611.0,621.85,364066,226349146.2,14069
2021-07-15,621.85,623.9,629.95,603.0,606.0,441369,271485557.9,14555
2021-07-16,606.0,606.0,608.95,597.3,601.2,214297,129011362.2,10336
2021-07-19,601.2,593.0,618.95,586.5,598.65,404842,244787777.2,26502
2021-07-20,598.65,604.0,611.85,592.0,600.75,173944,104593865.55,10814
2021-07-22,600.75,605.9,618.5,598.55,602.6,206820,125885215.6,11264
2021-07-23,602.6,603.0,611.35,595.0,600.6,172788,104491590.9,13254
2021-07-26,600.6,600.6,606.0,585.0,587.2,230717,136497717.55,18543
2021-07-27,587.2,589.9,629.0,589.25,620.35,717677,442921161.85,25526
2021-07-28,620.35,618.9,620.15,603.95,611.3,198021,120875656.9,6286
2021-07-29,611.3,615.95,615.95,605.05,609.85,64669,39479844.0,5527
2021-07-30,609.85,615.0,646.35,611.35,617.8,575718,360701797.25,32195
2021-08-02,617.8,626.0,626.55,600.0,613.85,79329,49045004.65,4998
2021-08-03,613.85,615.0,624.25,610.05,614.2,68530,42263893.0,4406
2021-08-04,614.2,614.05,619.75,597.25,601.95,134802,81954704.45,7402
2021-08-05,601.95,604.6,609.6,595.0,603.3,57426,34727046.55,4255
2021-08-06,603.3,603.3,618.8,599.3,605.55,88141,53735952.0,7100
2021-08-09,605.55,610.0,618.0,594.0,599.6,115335,69643483.05,7115
2021-08-10,599.6,595.0,606.8,585.0,598.45,95929,57326383.45,6661
2021-08-11,598.45,599.8,599.8,575.0,589.1,97687,56995772.3,7131
2021-08-12,589.1,589.5,601.0,589.1,596.9,47562,28378081.6,3724
2021-08-13,596.9,597.0,607.9,591.5,598.3,71168,42867109.65,5505
2021-08-16,598.3,596.6,603.5,593.3,595.55,70298,41966095.0,5359
2021-08-17,595.55,594.95,600.85,594.05,596.2,197989,118102114.5,3841
2021-08-18,596.2,594.15,597.55,587.1,588.9,42503,25186890.25,3478
2021-08-20,588.9,587.5,591.4,570.1,575.85,125482,72395602.55,6934
2021-08-23,575.85,582.0,582.0,540.0,543.55,90805,50359449.45,9877
