Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,21.6,22.15,22.5,21.55,22.0,14611,320878.05,77
2017-01-03,22.0,22.8,22.8,21.4,22.2,23711,524428.0,151
2017-01-04,22.2,22.6,23.95,22.2,22.7,110749,2541801.4,381
2017-01-05,22.7,22.6,23.35,22.5,22.6,45907,1046337.9,149
2017-01-06,22.6,23.15,23.15,22.25,22.3,35748,800540.1,99
2017-01-09,22.3,22.9,22.9,22.15,22.45,26413,591753.6,51
2017-01-10,22.45,22.85,23.2,22.05,22.85,61984,1393657.1,307
2017-01-11,22.85,23.4,23.75,22.6,22.8,35787,821339.9,162
2017-01-12,22.8,23.2,23.2,22.5,22.65,36714,835616.25,102
2017-01-13,22.65,22.9,22.9,22.4,22.5,11972,269401.65,95
2017-01-16,22.5,23.5,23.5,22.5,22.8,29629,680945.1,113
2017-01-17,22.8,23.5,23.5,22.65,22.9,21787,499528.6,81
2017-01-18,22.9,23.3,23.5,22.7,23.15,34075,788960.9,191
2017-01-19,23.15,22.75,23.5,22.7,23.3,19270,446772.15,81
2017-01-20,23.3,23.65,23.65,22.7,22.7,23692,546693.0,95
2017-01-23,22.7,22.7,22.9,22.5,22.75,18109,410956.75,105
2017-01-24,22.75,23.3,23.75,22.75,22.9,48783,1134673.45,197
2017-01-25,22.9,23.45,23.5,22.7,23.15,30293,700370.95,111
2017-01-27,23.15,23.45,23.5,21.3,22.8,40069,921214.2,160
2017-01-30,22.8,23.3,23.4,21.55,22.2,52629,1174214.05,331
2017-01-31,22.2,22.65,22.65,22.05,22.15,22673,505837.85,105
2017-02-01,22.15,22.65,22.65,21.85,22.1,20415,452238.6,83
2017-02-02,22.1,22.0,22.5,22.0,22.4,22768,510189.45,69
2017-02-03,22.4,22.7,22.95,22.05,22.55,39971,900661.4,161
2017-02-06,22.55,22.9,23.15,22.55,23.0,32688,749761.6,170
2017-02-07,23.0,22.3,23.3,22.3,22.75,14154,322587.2,95
2017-02-08,22.75,22.9,23.95,22.5,23.45,93394,2197200.7,428
2017-02-09,23.45,23.7,23.85,23.0,23.5,42320,994243.15,226
2017-02-10,23.5,22.8,22.8,21.0,21.6,273283,5945812.6,951
2017-02-13,21.6,22.35,22.35,21.25,21.3,48269,1035389.4,154
2017-02-14,21.3,21.5,21.9,21.2,21.45,17359,372801.3,72
2017-02-15,21.45,21.75,21.75,20.7,21.35,25660,541861.95,96
2017-02-16,21.35,21.75,21.75,20.75,20.85,14398,301956.55,83
2017-02-17,20.85,21.5,21.5,19.8,20.1,51802,1054290.2,252
2017-02-20,20.1,20.65,21.3,20.2,20.4,60931,1253274.75,235
2017-02-21,20.4,20.9,21.4,20.4,20.65,25294,527378.05,157
2017-02-22,20.65,20.5,21.45,20.4,20.6,31403,657234.95,126
2017-02-23,20.6,20.2,21.0,20.2,20.4,13682,281652.4,90
2017-02-27,20.4,20.1,20.95,20.1,20.4,28706,590960.65,157
2017-02-28,20.4,20.8,21.0,20.25,20.4,8022,163741.25,59
2017-03-01,20.4,20.75,20.75,20.2,20.55,20170,411634.6,88
2017-03-02,20.55,20.7,20.7,20.15,20.15,23087,469616.05,98
2017-03-03,20.15,20.0,21.0,20.0,20.1,28923,581944.95,84
2017-03-06,20.1,20.9,20.9,19.8,19.85,21269,425273.7,102
2017-03-07,19.85,20.3,20.3,19.5,19.6,24123,473630.4,138
2017-03-08,19.6,19.8,20.1,19.5,19.65,38502,761461.1,132
2017-03-09,19.65,19.6,19.95,18.3,18.75,139142,2615538.9,486
2017-03-10,18.75,19.7,19.7,18.7,18.85,70471,1349330.2,151
2017-03-14,18.85,18.85,19.7,18.0,19.2,39005,747037.5,162
2017-03-15,19.2,19.65,19.65,19.0,19.25,19856,383124.35,83
2017-03-16,19.25,19.55,20.4,18.65,19.8,54611,1083961.95,388
2017-03-17,19.8,20.2,20.7,19.6,20.35,47724,965642.0,180
2017-03-20,20.35,20.25,20.6,19.55,19.65,69347,1379490.75,172
2017-03-21,19.65,20.0,20.7,19.65,20.05,82896,1676608.0,381
2017-03-22,20.05,19.9,20.4,19.85,20.0,27081,546948.95,180
2017-03-23,20.0,20.0,20.45,19.85,19.95,26733,534612.35,142
2017-03-24,19.95,20.4,20.4,19.35,19.6,41036,804410.4,200
2017-03-27,19.6,20.05,20.05,19.0,19.1,62611,1199026.45,149
2017-03-28,19.1,19.85,19.85,19.1,19.15,26487,512180.7,112
2017-03-29,19.15,19.6,22.4,19.5,21.6,476373,10346832.45,2034
2017-03-30,21.6,21.9,22.4,21.05,21.8,86811,1894900.95,644
2017-03-31,21.8,21.6,23.65,21.55,23.05,290702,6589293.05,1005
2017-04-03,23.05,22.65,24.6,22.6,24.0,165073,3927362.35,878
2017-04-05,24.0,24.4,24.6,23.6,24.1,117240,2833356.75,447
2017-04-06,24.1,24.6,24.9,23.05,23.85,86674,2051692.9,368
2017-04-07,23.85,23.8,25.8,23.2,24.5,204862,5041413.5,674
2017-04-10,24.5,24.3,25.0,23.55,23.75,55501,1343869.7,339
2017-04-11,23.75,22.9,23.95,22.9,23.15,79210,1848760.75,322
2017-04-12,23.15,23.0,23.35,22.1,22.6,76953,1741991.6,313
2017-05-30,18.45,18.5,18.9,18.4,18.75,3955,73641.1,41
2017-05-31,18.75,18.1,19.3,18.05,18.45,12140,228936.85,58
2017-06-01,18.45,18.55,18.55,18.0,18.15,40932,749041.8,81
2017-06-02,18.15,18.1,18.7,17.6,17.85,25967,466543.35,93
2017-06-05,17.85,17.35,18.0,17.0,17.1,40074,687897.55,154
2017-06-06,17.1,17.45,17.95,17.0,17.95,34349,600704.2,115
2017-06-07,17.95,16.6,17.5,16.2,16.25,192905,3200455.95,706
2017-06-08,16.25,16.0,16.2,14.65,14.8,321313,4827489.15,1116
2017-06-09,14.8,14.75,16.25,14.75,16.05,93924,1468618.1,431
2017-06-12,16.05,15.95,16.0,14.75,15.25,26880,416867.8,245
2017-06-13,15.25,15.1,15.55,14.8,14.9,27560,413898.45,126
2017-06-14,14.9,14.8,15.15,14.65,14.85,20340,300748.5,118
2017-06-15,14.85,14.75,14.8,14.55,14.55,89471,1311065.95,149
2017-06-16,14.55,14.55,15.35,14.0,14.85,59969,884699.05,316
2017-06-19,14.85,14.5,15.6,14.5,15.15,13426,204177.9,48
2017-06-20,15.15,15.3,15.3,14.7,14.75,13637,204125.65,44
2017-06-21,14.75,14.75,15.0,14.55,14.75,4637,67901.9,40
2017-06-22,14.75,14.45,15.2,14.2,14.55,15564,228214.0,92
2017-06-23,14.55,14.3,14.7,13.55,14.5,63807,901620.45,239
2017-06-27,14.5,14.35,14.65,13.55,13.65,25238,348277.6,117
2017-06-28,13.65,13.65,14.45,13.65,13.95,13176,183269.7,72
2017-06-29,13.95,14.25,14.7,13.5,14.3,19839,281206.25,61
2017-06-30,14.3,13.85,14.7,13.85,14.2,5624,80915.05,38
2017-07-03,14.2,14.6,14.7,13.5,14.6,31447,450398.65,162
2017-07-04,14.6,14.6,14.7,14.1,14.65,17122,248247.5,51
2017-07-05,14.65,15.8,15.8,14.35,15.05,27195,407875.45,97
2017-07-06,15.05,15.0,15.4,15.0,15.05,12775,194106.15,61
2017-07-07,15.05,15.0,15.0,14.55,14.95,12702,188644.2,46
2017-07-10,14.95,14.9,15.0,14.25,15.0,8014,119409.2,21
