Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-10-12,135.0,139.0,139.0,128.4,135.15,9841,1322122.45,347
2021-10-13,135.15,141.9,141.9,130.35,131.45,4005,547023.1,127
2021-10-14,131.45,138.0,138.0,128.15,138.0,14409,1975208.1,72
2021-10-18,138.0,143.0,144.55,140.0,141.4,2254,321432.05,107
2021-10-19,141.4,147.2,147.25,134.35,134.35,7594,1034151.55,157
2021-10-20,134.35,128.65,138.55,128.6,130.2,1501,198133.15,68
2021-10-21,130.2,136.65,136.7,125.05,132.3,525,69386.95,46
2021-10-22,132.3,138.9,138.9,130.2,134.4,408,54513.15,30
2021-10-25,134.4,141.0,141.0,128.75,131.05,667,87991.8,73
2021-10-26,131.05,131.1,137.55,130.0,136.5,470,63449.5,54
2021-10-27,136.5,137.0,143.3,132.5,132.5,870,120254.1,39
2021-10-28,132.5,138.85,139.1,127.0,128.1,12230,1580286.1,168
2021-10-29,128.1,133.95,134.5,126.2,134.5,8566,1095802.75,205
2021-11-01,134.5,138.0,138.0,128.45,131.85,7820,1022365.65,161
2021-11-02,131.85,131.8,135.95,128.6,135.65,1022,136255.45,76
2021-11-03,135.65,130.0,142.4,129.3,138.15,2550,356785.4,123
2021-11-04,138.15,142.5,142.5,131.65,132.2,434,57379.9,33
2021-11-08,132.2,138.0,138.0,130.0,135.65,1165,158774.2,98
2021-11-09,135.65,142.0,142.0,130.05,135.5,475,64472.2,85
2021-11-10,135.5,130.55,139.55,130.55,138.8,12,1638.3,4
2021-11-11,138.8,140.0,140.0,134.15,136.65,285,38839.2,21
2021-11-12,136.65,140.0,140.0,131.25,134.9,1481,201195.2,64
2021-11-15,134.9,139.5,139.5,130.5,135.0,746,99683.6,68
2021-11-16,135.0,139.85,141.5,128.5,132.5,1418,195009.75,150
2021-11-17,132.5,136.95,139.0,133.05,135.5,1405,191927.05,57
2021-11-18,135.5,137.4,139.0,132.0,138.55,1665,222914.8,42
2021-11-22,138.55,138.0,138.0,131.65,131.65,2294,303995.75,46
2021-11-23,131.65,125.5,138.0,125.5,133.1,612,81021.05,107
2021-11-24,133.1,138.45,138.5,129.0,131.55,177,23286.2,32
2021-11-25,131.55,134.2,134.2,128.15,128.55,328,42373.35,27
2021-11-26,128.55,128.55,132.95,122.5,124.1,1037,130812.3,46
2021-11-29,124.1,118.75,128.95,118.3,123.0,1538,185144.9,111
2021-11-30,123.0,128.95,129.15,124.9,129.15,1051,134644.2,68
2021-12-01,129.15,129.5,132.95,123.15,129.1,422,54958.1,39
2021-12-02,129.1,123.8,135.55,123.8,130.2,414,53650.95,63
2021-12-03,130.2,129.95,132.4,126.35,129.9,448,58031.2,45
2021-12-06,129.9,125.3,136.0,125.3,130.15,395,51796.3,30
2021-12-07,130.15,131.0,136.5,127.0,133.0,430,56851.6,40
2021-12-08,133.0,139.5,139.5,133.05,133.1,269,35830.85,25
2021-12-09,133.1,134.05,138.5,127.55,134.8,1654,225797.85,93
2021-12-10,134.8,128.15,136.2,128.15,135.3,127,17126.5,16
2021-12-13,135.3,132.6,142.0,132.6,138.05,806,111695.7,40
2021-12-14,138.05,138.3,138.9,131.6,133.9,381,52034.55,29
2021-12-15,133.9,135.0,140.55,135.0,140.55,4398,615106.2,58
2021-12-16,140.55,147.0,147.55,133.75,140.5,1914,279187.05,101
2021-12-17,140.5,135.0,142.3,135.0,141.35,56,7938.05,7
2021-12-20,141.35,141.35,141.35,134.3,134.3,536,72486.2,21
2021-12-21,134.3,134.0,141.0,127.6,138.3,562,75919.55,91
2021-12-22,138.3,138.25,145.2,135.15,140.15,547,77549.95,79
2021-12-23,140.15,143.85,143.85,136.1,136.2,171,23682.35,27
2021-12-24,136.2,130.05,143.0,130.05,134.2,336,46020.25,70
2021-12-27,134.2,128.75,139.0,128.7,136.1,584,78210.75,54
2021-12-28,136.1,142.75,142.9,133.05,138.1,4303,605700.95,216
2021-12-29,138.1,135.05,142.0,135.0,140.25,862,120188.85,25
2021-12-30,140.25,137.05,147.25,133.25,140.55,10611,1492520.15,172
2021-12-31,140.55,137.6,147.55,137.6,146.65,11540,1686719.4,118
2022-01-03,146.65,147.0,153.95,142.65,147.55,12994,1916653.1,195
2022-01-04,147.55,151.0,153.9,140.2,147.85,6722,985196.3,275
2022-01-05,147.85,151.95,152.0,140.5,141.25,5328,762828.0,160
2022-01-06,141.25,143.25,143.25,140.0,142.25,555,78464.35,34
2022-01-07,142.25,145.0,145.9,140.2,141.8,9513,1353622.7,167
2022-01-10,141.8,145.0,146.0,134.95,140.45,8505,1182954.8,266
2022-01-11,140.45,144.45,144.5,134.2,135.45,5217,718008.65,204
2022-01-12,135.45,132.4,137.8,130.5,132.2,7018,926573.75,194
2022-01-13,132.2,134.9,137.5,129.6,130.2,10296,1371194.05,208
2022-01-14,130.2,134.45,136.0,127.15,134.9,2286,302771.4,124
2022-01-17,134.9,129.15,140.95,129.15,136.05,19303,2582375.0,211
2022-01-18,136.05,142.85,142.85,130.0,131.4,16128,2149903.9,238
2022-01-19,131.4,134.9,134.9,128.55,130.85,26882,3512032.8,178
2022-01-20,130.85,130.1,133.9,130.1,132.0,28489,3747512.15,177
2022-01-21,132.0,133.9,133.9,129.0,131.6,12750,1667219.25,111
2022-01-24,131.6,133.0,133.0,126.1,126.7,13061,1665317.5,92
2022-01-25,126.7,129.95,129.95,124.5,126.3,12726,1623713.15,75
2022-01-27,126.3,120.3,130.7,120.0,120.55,15394,1876811.7,201
2022-01-28,120.55,121.1,122.0,114.55,114.7,99311,11539764.95,555
2022-01-31,114.7,115.0,120.4,110.4,113.8,8680,1009331.65,292
2022-02-01,113.8,118.95,118.95,112.0,113.15,14657,1692421.75,506
2022-02-02,113.15,117.0,118.8,113.0,113.85,9880,1136860.4,401
2022-02-03,113.85,114.05,119.5,114.05,118.25,22463,2660674.95,412
2022-02-04,118.25,118.2,119.5,115.45,116.65,8523,999114.1,275
2022-02-07,116.65,117.9,124.1,116.0,116.4,5603,668177.55,322
2022-02-08,116.4,121.1,121.1,114.6,119.4,3050,358966.85,209
2022-02-09,119.4,121.0,121.0,116.0,117.45,9733,1148671.75,239
2022-02-10,117.45,115.1,119.1,115.1,115.9,9421,1100767.45,680
2022-02-11,115.9,120.5,120.5,110.1,112.45,21906,2503394.5,341
2022-02-14,112.45,112.45,120.0,109.7,112.7,59614,6743252.0,880
2022-02-15,112.7,117.1,117.6,107.9,109.0,58012,6338197.4,306
2022-02-16,109.0,116.45,116.75,105.0,106.9,28842,3227544.35,541
2022-02-17,106.9,110.85,117.55,106.85,110.45,23463,2661455.05,822
2022-02-18,110.45,111.9,120.9,111.9,114.8,18129,2130405.2,998
2022-02-21,114.8,114.8,119.1,106.45,109.85,4710,524177.55,365
2022-02-22,109.85,111.9,114.5,105.8,108.5,5783,629859.85,264
2022-02-23,108.5,110.7,113.45,104.0,106.8,4540,482678.5,183
2022-02-24,106.8,108.9,108.9,100.05,100.7,4124,422225.5,273
2022-02-25,100.7,107.05,108.4,97.0,101.95,7026,730924.7,427
2022-02-28,101.95,105.0,108.1,102.5,104.15,3259,343256.95,189
2022-03-02,104.15,107.1,107.1,101.8,103.95,4895,510063.2,257
2022-03-03,103.95,107.0,107.0,98.6,100.2,5806,588161.9,289
2022-03-04,100.2,105.0,105.0,92.0,95.5,6652,651852.25,272
2022-03-07,95.5,103.0,103.0,92.0,101.7,2802,275061.25,135
2022-03-08,101.7,103.2,111.85,100.25,110.95,4397,465448.75,185
2022-03-09,110.95,112.0,119.0,108.1,115.45,4143,469139.2,277
2022-03-10,115.45,118.9,126.95,112.05,115.2,5875,692346.15,341
2022-03-11,115.2,125.1,125.1,116.95,123.3,8071,977747.85,386
2022-03-14,123.3,129.0,129.0,122.9,123.2,5368,676814.3,302
2022-03-15,123.2,117.6,129.3,117.55,121.4,3981,486958.6,202
2022-03-16,121.4,126.95,127.0,121.95,123.85,2245,279334.25,35
2022-03-17,123.85,127.6,127.6,118.9,120.5,3930,479112.05,179
2022-03-21,120.5,126.4,126.4,120.05,120.9,803,99453.9,55
2022-03-22,120.9,126.0,126.0,121.5,122.1,233,28647.75,24
2022-03-23,122.1,120.0,124.55,119.05,120.5,582,71165.15,77
2022-03-24,120.5,124.5,124.5,117.85,119.75,1138,137744.8,115
2022-03-25,119.75,120.25,121.2,118.4,120.5,589,70845.35,62
2022-03-28,120.5,122.95,122.95,118.0,120.05,3457,418682.6,142
2022-03-29,120.05,122.05,122.1,116.95,117.9,876,104034.75,111
2022-03-30,117.9,120.0,120.0,115.1,115.95,2006,236607.8,192
2022-03-31,115.95,118.0,119.1,112.55,116.9,2047,238918.6,201
2022-04-01,116.9,119.1,119.7,114.9,116.9,441,51636.6,83
2022-04-04,116.9,120.9,120.9,115.3,119.95,836,99787.35,83
2022-04-05,119.95,119.95,122.5,117.1,118.8,2828,339015.25,144
2022-04-06,118.8,120.0,120.0,117.05,119.0,1716,204096.9,73
2022-04-07,119.0,115.05,120.1,114.55,114.95,6029,705225.2,247
2022-04-08,114.95,117.9,119.0,112.6,115.25,8486,972115.45,208
2022-04-11,115.25,119.0,119.0,113.15,113.45,4005,463505.25,423
2022-04-12,113.45,114.05,116.5,108.05,112.95,3522,399942.1,310
2022-04-13,112.95,115.9,118.45,114.0,117.35,12886,1500778.9,1718
2022-04-18,117.35,119.95,119.95,115.5,117.5,3692,429797.2,531
2022-04-19,117.5,115.55,119.9,115.5,118.1,2905,341154.5,375
2022-04-20,118.1,117.25,129.9,117.1,127.3,18485,2283793.6,816
2022-04-21,127.3,127.3,133.2,124.2,131.95,9076,1165873.85,1342
2022-04-22,131.95,131.95,135.0,122.0,124.75,3576,466690.4,495
2022-04-25,124.75,126.05,129.45,121.1,121.75,268,33390.25,32
2022-04-26,121.75,129.0,129.0,124.8,126.0,55,6962.6,9
2022-04-27,126.0,122.95,128.9,122.05,127.45,543,68627.45,54
2022-04-28,127.45,129.9,130.5,122.95,127.9,1772,225803.85,98
2022-04-29,127.9,125.35,131.0,120.25,122.85,413,52442.7,56
2022-05-02,122.85,129.95,130.0,122.0,126.75,1005,126354.0,29
2022-05-04,126.75,126.7,126.7,120.5,126.1,489,61104.85,31
2022-05-05,126.1,129.9,131.95,122.25,125.6,4626,595029.15,188
2022-05-06,125.6,122.05,128.85,122.0,126.7,1141,143003.45,77
2022-05-09,126.7,124.9,129.9,114.05,117.35,6245,755234.8,572
2022-05-10,117.35,121.0,121.0,115.0,117.65,1403,164786.85,111
2022-05-11,117.65,116.95,120.9,116.45,119.25,1828,215226.1,185
2022-05-12,119.25,119.25,129.0,110.35,123.25,7419,865694.1,374
2022-05-13,123.25,135.55,135.55,112.9,125.75,2229,274702.05,181
2022-05-16,125.75,120.9,122.6,118.0,119.15,2655,323123.05,118
2022-05-17,119.15,119.45,123.0,116.0,118.6,1286,152789.5,85
2022-05-18,118.6,118.4,124.95,118.4,121.85,933,112305.0,105
2022-05-19,121.85,120.0,120.0,117.0,117.5,1241,146222.6,111
2022-05-20,117.5,115.4,117.5,111.2,115.1,6352,725386.3,362
2022-05-23,115.1,114.2,119.0,114.15,115.25,1085,126130.8,61
2022-05-24,115.25,115.3,120.35,115.3,118.35,1252,148176.35,64
2022-05-25,118.35,121.9,121.9,112.0,115.1,1350,156435.35,108
2022-05-26,115.1,119.9,119.9,111.0,115.0,189,21808.1,18
2022-05-27,115.0,112.25,117.45,112.25,114.7,52,5949.75,12
2022-05-30,114.7,111.2,114.9,104.95,106.3,10827,1174722.55,708
2022-05-31,106.3,105.05,108.9,105.05,107.0,702,74939.65,49
2022-06-01,107.0,108.0,109.9,105.0,105.05,333,35683.45,55
2022-06-02,105.05,109.5,109.8,107.4,108.5,2074,224731.15,55
2022-06-03,108.5,110.05,110.05,103.05,107.9,1827,194163.65,132
2022-06-06,107.9,103.8,109.9,103.15,109.8,1355,147431.3,53
2022-06-07,109.8,109.8,110.0,103.65,109.75,397,42839.95,57
2022-06-08,109.75,106.8,114.6,106.8,110.95,2690,295979.15,56
2022-06-09,110.95,109.0,111.95,105.05,107.2,2035,222128.85,95
2022-06-10,107.2,114.95,114.95,106.5,111.65,110,12225.5,18
2022-06-13,111.65,113.9,113.9,103.05,103.35,634,65731.75,28
2022-06-14,103.35,108.45,108.45,96.05,99.0,8311,823014.25,511
2022-06-15,99.0,102.85,118.8,97.95,117.55,15803,1840334.25,222
2022-06-16,117.55,114.0,116.9,103.05,110.95,10386,1149999.85,568
2022-06-17,110.95,116.9,127.0,106.0,115.9,1578,180019.3,76
2022-06-20,115.9,110.45,113.0,105.9,109.3,981,108225.35,81
2022-06-21,109.3,109.35,114.9,104.2,107.9,165,18609.6,32
2022-06-22,107.9,113.05,113.05,108.55,110.6,215,23901.1,55
2022-06-23,110.6,114.7,114.7,105.05,107.9,589,63216.4,110
2022-06-24,107.9,108.1,112.9,106.1,106.95,573,62364.6,93
2022-06-27,106.95,112.65,112.65,106.0,106.5,1288,140013.4,80
2022-06-28,106.5,106.5,112.0,103.05,110.9,1870,202105.5,266
2022-06-29,110.9,110.35,114.0,107.6,111.3,531,58691.95,73
2022-06-30,111.3,111.9,111.9,106.15,107.5,891,96581.95,222
2022-07-01,107.5,110.0,114.45,106.25,113.95,829,92021.3,101
2022-07-04,113.95,112.9,112.95,108.05,112.45,338,37735.5,38
2022-07-05,112.45,111.0,114.5,108.4,110.9,1420,157058.25,169
2022-07-06,110.9,110.0,112.95,107.1,112.2,1251,138259.6,179
2022-07-07,112.2,110.8,112.25,108.2,110.9,629,70290.75,54
2022-07-08,110.9,112.85,112.9,109.0,110.4,661,73173.75,92
2022-07-11,110.4,110.8,111.95,109.25,110.7,584,64278.3,52
2022-07-12,110.7,110.1,112.25,109.8,109.95,2828,311766.95,89
2022-07-13,109.95,112.55,112.55,107.1,107.15,278,30204.35,22
2022-07-14,107.15,112.5,124.95,107.2,112.0,13457,1602547.3,652
2022-07-15,112.0,114.0,123.9,108.15,114.35,5718,653966.45,405
2022-07-18,114.35,114.35,117.0,110.55,113.6,1042,119163.1,141
2022-07-19,113.6,112.0,113.5,109.9,111.45,1351,151328.45,73
2022-07-20,111.45,113.0,118.0,110.0,111.6,3140,353789.6,168
2022-07-21,111.6,110.65,114.7,110.5,112.2,45829,5142404.7,64
