Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,150.15,166.5,166.5,150.0,150.4,1084,164471.15,35
2017-01-03,150.4,148.18,153.0,148.18,150.05,1864,281094.7,17
2017-01-04,150.05,147.5,149.5,145.78,148.0,410,60679.65,15
2017-01-05,148.0,147.0,147.02,141.05,142.43,6266,903966.9,97
2017-01-06,142.43,144.8,146.95,144.75,146.95,3384,490271.6,21
2017-01-09,146.95,148.0,148.0,143.52,144.0,114,16577.45,16
2017-01-10,144.0,150.0,150.0,143.5,143.98,392,56700.65,18
2017-01-11,143.98,147.48,147.48,142.2,144.05,8434,1215290.8,93
2017-01-12,144.05,142.5,142.5,142.05,142.5,1204,171540.6,15
2017-01-13,142.5,142.52,146.43,142.5,142.8,3252,467911.95,29
2017-01-16,142.8,146.98,154.0,145.0,149.98,23232,3478848.4,53
2017-01-17,149.98,147.75,150.45,145.0,145.25,898,133711.65,64
2017-01-18,145.25,147.5,152.25,147.5,151.12,12478,1883592.25,38
2017-01-19,151.12,151.25,151.25,147.65,148.78,344,51320.5,11
2017-01-20,148.78,149.95,149.95,145.22,145.6,108,15924.85,19
2017-01-23,145.6,146.02,152.98,141.22,150.0,75000,11237631.5,133
2017-01-24,150.0,147.52,151.2,145.9,150.0,2956,443276.8,18
2017-01-25,150.0,157.5,158.3,151.5,155.07,4354,674908.1,109
2017-01-27,155.07,153.93,155.0,148.9,149.93,1756,268158.9,39
2017-01-30,149.93,151.0,159.48,151.0,154.48,4416,678011.65,60
2017-01-31,154.48,153.5,155.22,150.0,150.02,1620,247321.95,25
2017-02-01,150.02,150.52,154.85,150.52,154.57,2646,407684.85,17
2017-02-02,154.57,158.48,158.48,153.25,154.2,602,93876.75,11
2017-02-03,154.2,154.95,159.0,152.62,155.38,2626,409573.7,31
2017-02-06,155.38,159.0,160.0,153.0,153.52,7078,1104985.55,95
2017-02-07,153.52,155.0,157.45,151.5,151.9,626,96541.25,50
2017-02-08,151.9,151.7,156.75,150.6,155.55,1316,201477.35,26
2017-02-09,155.55,152.5,154.78,151.5,154.5,3276,503506.65,28
2017-02-10,154.5,157.5,157.5,152.5,153.22,1192,182520.75,30
2017-02-13,153.22,150.5,152.5,146.5,152.5,754,113789.3,23
2017-02-14,152.5,152.5,152.5,150.62,151.93,2818,428025.75,16
2017-02-15,151.93,151.5,153.95,150.0,152.32,2460,372357.55,28
2017-02-16,152.32,152.43,152.43,150.5,151.0,1288,195903.1,9
2017-02-17,151.0,150.5,157.0,150.02,156.72,3424,530787.3,34
2017-02-20,156.72,157.5,165.5,157.5,162.78,10972,1783972.05,115
2017-02-21,162.78,162.78,170.45,158.0,161.25,4362,711859.95,137
2017-02-22,161.25,160.5,163.92,158.0,158.85,382,60917.85,22
2017-02-23,158.85,161.48,169.4,156.52,163.15,2258,369647.8,123
2017-02-27,163.15,164.25,167.5,157.55,164.82,1990,330489.45,42
2017-02-28,164.82,165.0,165.0,161.05,162.82,2658,432954.2,28
2017-03-01,162.82,166.1,166.1,160.5,163.2,3708,604650.9,49
2017-03-02,163.2,160.0,172.35,160.0,165.48,2102,347601.0,66
2017-03-03,165.48,164.5,165.0,160.48,164.48,1594,260396.5,36
2017-03-06,164.48,169.98,169.98,162.5,164.82,350,57225.2,12
2017-03-07,164.82,167.5,169.4,163.18,167.5,1906,319004.6,36
2017-03-08,167.5,169.5,173.65,165.55,169.5,812,138048.7,23
2017-03-09,169.5,165.5,171.95,165.0,167.6,3510,594534.85,35
2017-03-10,167.6,165.0,168.5,165.0,166.52,6058,1009603.1,27
2017-03-14,166.52,166.52,167.5,163.15,167.5,2180,362208.8,34
2017-03-15,167.5,168.0,170.0,165.0,165.4,3476,579146.65,66
2017-03-16,165.4,167.5,167.5,165.28,165.5,2866,474282.1,24
2017-03-17,165.5,166.0,167.92,161.52,163.88,1062,173636.5,42
2017-03-20,163.88,164.25,168.5,163.0,168.12,3330,552881.0,41
2017-03-21,168.12,165.5,170.0,165.0,167.3,4024,667243.55,57
2017-03-22,167.3,167.0,172.82,165.6,169.28,3330,562275.15,26
2017-03-23,169.28,167.5,168.98,166.62,166.62,3202,534135.6,31
2017-03-24,166.62,165.8,169.0,165.12,165.62,1498,248154.5,19
2017-03-27,165.62,165.0,167.22,162.38,165.0,4362,715805.85,59
2017-03-28,165.0,163.1,169.98,163.02,167.78,6576,1089725.85,61
2017-03-29,167.78,165.15,169.85,165.15,166.65,3136,526016.05,28
2017-03-30,166.65,170.48,175.28,167.78,170.95,4154,719942.8,119
2017-03-31,170.95,170.95,177.5,168.28,176.18,514,89335.25,40
2017-04-03,176.18,171.0,179.5,170.5,174.9,2262,390075.5,30
2017-04-05,174.9,171.1,177.5,171.1,177.0,3312,573283.55,56
2017-04-06,177.0,175.0,180.0,173.25,173.58,10554,1855911.7,60
2017-04-07,173.58,171.0,180.0,170.18,175.88,11856,2093581.1,136
2017-04-10,175.88,175.02,182.15,172.52,174.18,8638,1535919.65,68
2017-04-11,174.18,172.65,178.5,172.62,176.72,4970,870732.1,30
2017-04-12,176.72,183.8,199.5,174.2,175.6,4038,713033.3,62
2017-04-13,175.6,175.02,179.98,175.0,175.58,882,154700.05,19
2017-04-17,175.58,172.7,177.5,172.62,177.45,4040,704068.75,71
2017-04-18,177.45,177.52,192.2,177.52,181.02,20470,3749966.75,489
2017-04-19,181.02,183.45,193.5,183.45,185.12,17154,3230698.75,479
2017-04-20,185.12,185.0,187.5,185.0,185.68,7066,1315159.8,73
2017-04-21,185.68,190.5,190.5,185.5,185.88,5526,1029842.25,90
2017-04-24,185.88,185.0,186.95,182.52,184.1,6336,1168678.55,94
2017-04-25,184.1,185.18,187.32,183.9,185.08,3736,691965.4,69
2017-04-26,185.08,188.5,189.0,183.5,184.12,13456,2501023.25,90
2017-04-27,184.12,187.5,187.5,181.7,183.55,5866,1082528.9,107
2017-04-28,183.55,184.0,185.0,181.72,184.22,5262,969674.05,69
2017-05-02,184.22,182.78,187.5,182.75,185.12,1472,272947.2,21
2017-05-03,185.12,187.48,187.48,184.0,185.75,4564,844862.7,42
2017-05-04,185.75,185.02,186.0,183.32,185.72,1288,238098.45,25
2017-05-05,185.72,184.0,187.45,182.1,184.18,4816,886153.65,57
2017-05-08,184.18,182.78,186.5,182.78,186.5,978,180708.6,13
2017-05-09,186.5,185.02,189.42,185.02,185.72,6090,1135301.6,93
2017-05-10,185.72,185.25,187.0,185.25,185.82,3358,625843.3,47
2017-05-11,185.82,187.48,187.5,181.52,184.12,9702,1788608.6,90
